Unnamed: 0,index,_rlnReferenceImage,_rlnClassDistribution,_rlnAccuracyRotations,_rlnAccuracyTranslationsAngst,_rlnEstimatedResolution,_rlnOverallFourierCompleteness,_rlnClassPriorOffsetX,_rlnClassPriorOffsetY,_rlnHelicalRise,_rlnHelicalTwist,Strain,Class_nb,Pitch_mean,Pitch_std,Width_mean,Width_std
0,0,000001@Class2D/job016/run_it025_classes.mrcs,0.063675,999.0,999.0,5.773617,0.952124,-0.02029,-0.02308,6.785,0.0,WT,1,40.824285714285715,1.8869186269582217,0,0
1,1,000002@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,54.272,0.66571,0.0,0.0,6.785,0.0,WT,2,0.0,0.0,0,0
2,2,000003@Class2D/job016/run_it025_classes.mrcs,0.047198,0.05,0.1166,4.678621,0.995874,-0.02285,0.054086,6.785,0.0,WT,3,40.51666666666667,1.7012426830604341,0,0
3,3,000004@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,54.272,0.780593,0.0,0.0,6.785,0.0,WT,4,0.0,0.0,0,0
4,4,000005@Class2D/job016/run_it025_classes.mrcs,0.044689,0.05,0.1166,4.599322,0.986455,-0.02476,-0.004,6.785,0.0,WT,5,40.69166666666666,1.455107098005733,0,0
5,5,000006@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,18.090667,0.878076,0.0,0.0,6.785,0.0,WT,6,0.0,0.0,0,0
6,6,000007@Class2D/job016/run_it025_classes.mrcs,0.054274,0.05,0.1166,4.307302,0.995772,-0.02492,0.06527899999999999,6.785,0.0,WT,7,40.7,0.6062012867026936,0,0
7,7,000008@Class2D/job016/run_it025_classes.mrcs,0.091596,999.0,999.0,5.320784,0.98306,-0.04377,-0.06836,6.785,0.0,WT,8,40.46833333333333,1.123021222714277,0,0
8,8,000009@Class2D/job016/run_it025_classes.mrcs,0.00426,0.1,0.1378,6.310698,0.907488,-0.0017399999999999998,0.0009314987,6.785,0.0,WT,9,40.654999999999994,1.1264945627920278,0,0
9,9,000010@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,30.151111,0.718541,0.0,0.0,6.785,0.0,WT,10,0.0,0.0,0,0
10,10,000011@Class2D/job016/run_it025_classes.mrcs,0.115047,0.05,0.1166,4.678621,0.980843,-0.06567,-0.05865,6.785,0.0,WT,11,39.58166666666667,1.2243106904159025,0,0
11,11,000012@Class2D/job016/run_it025_classes.mrcs,0.07573300000000001,0.05,0.1166,4.448525,0.999282,-0.03225,-0.05369,6.785,0.0,WT,12,39.93666666666667,0.585787219617045,0,0
12,12,000013@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,30.151111,0.8363200000000001,0.0,0.0,6.785,0.0,WT,13,0.0,0.0,0,0
13,13,000014@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,27.136,0.865718,0.0,0.0,6.785,0.0,WT,14,0.0,0.0,0,0
14,14,000015@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,19.382857,0.90636,0.0,0.0,6.785,0.0,WT,15,0.0,0.0,0,0
15,15,000016@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,54.272,0.792694,0.0,0.0,6.785,0.0,WT,16,0.0,0.0,0,0
16,16,000017@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,54.272,0.785676,0.0,0.0,6.785,0.0,WT,17,0.0,0.0,0,0
17,17,000018@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,27.136,0.906675,0.0,0.0,6.785,0.0,WT,18,0.0,0.0,0,0
18,18,000019@Class2D/job016/run_it025_classes.mrcs,0.033157,0.05,0.106,4.678621,0.998668,-0.01348,0.037453,6.785,0.0,WT,19,40.755,0.6627744714456028,0,0
19,19,000020@Class2D/job016/run_it025_classes.mrcs,0.061255,0.05,0.1166,4.522667,0.986762,-0.03647,-0.09008,6.785,0.0,WT,20,39.63833333333333,1.0875185822167235,0,0
20,20,000021@Class2D/job016/run_it025_classes.mrcs,0.089442,0.05,0.1166,4.599322,0.981087,-0.04572,0.085594,6.785,0.0,WT,21,40.031666666666666,1.0836496973961025,0,0
21,21,000022@Class2D/job016/run_it025_classes.mrcs,0.017052,0.1,0.1272,5.537959,0.8922680000000001,-0.00742,-0.02807,6.785,0.0,WT,22,41.38666666666666,0.9380760452472208,0,0
22,22,000023@Class2D/job016/run_it025_classes.mrcs,0.066025,0.05,0.1166,4.599322,0.976545,-0.02461,0.05898,6.785,0.0,WT,23,40.87833333333333,1.7128270977149656,0,0
23,23,000024@Class2D/job016/run_it025_classes.mrcs,0.026675,0.05,0.1166,5.12,0.978957,-0.01185,-0.05884,6.785,0.0,WT,24,0.0,0.0,0,0
24,24,000025@Class2D/job016/run_it025_classes.mrcs,0.047005,0.05,0.1166,4.448525,0.991838,-0.02722,0.0518,6.785,0.0,WT,25,40.94833333333333,0.876114528281927,0,0
25,25,000026@Class2D/job016/run_it025_classes.mrcs,0.050235,0.05,0.1166,4.448525,1.0,-0.01953,0.008019,6.785,0.0,WT,26,40.82,0.4904691631489209,0,0
26,26,000027@Class2D/job016/run_it025_classes.mrcs,0.064694,999.0,999.0,6.030222,0.989906,-0.03077,-0.06487000000000001,6.785,0.0,WT,27,0.0,0.0,0,0
27,27,000028@Class2D/job016/run_it025_classes.mrcs,0.047989,0.05,0.1166,4.678621,0.992474,-0.015280000000000004,-0.09752,6.785,0.0,WT,28,40.46333333333333,1.136691104331633,0,0
28,28,000029@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,54.272,0.744891,0.0,0.0,6.785,0.0,WT,29,0.0,0.0,0,0
29,29,000030@Class2D/job016/run_it025_classes.mrcs,0.0,999.0,999.0,27.136,0.751966,0.0,0.0,6.785,0.0,WT,30,0.0,0.0,0,0
0,0,000001@Class2D/job023/run_it025_classes.mrcs,0.044804,0.1,0.1166,5.773617,1.0,0.006789,-0.00583,6.785,0.0,t8v,1,40.946666666666665,0.43454190438514273,0,0
1,1,000002@Class2D/job023/run_it025_classes.mrcs,0.04313,0.1,0.106,5.773617,0.987974,-0.00287,0.005000999999999999,6.785,0.0,t8v,2,41.25666666666667,2.317599332642867,0,0
2,2,000003@Class2D/job023/run_it025_classes.mrcs,0.051705,0.1,0.1166,5.773617,1.0,0.004884,-0.0172,6.785,0.0,t8v,3,40.71,0.4997199215560664,0,0
3,3,000004@Class2D/job023/run_it025_classes.mrcs,0.038869,0.1,0.106,5.773617,1.0,-0.00359,-0.060479999999999985,6.785,0.0,t8v,4,40.025,1.0882049439328967,0,0
4,4,000005@Class2D/job023/run_it025_classes.mrcs,0.034720999999999995,0.1,0.106,5.89913,0.995905,-0.00162,-0.0381,6.785,0.0,t8v,5,0.0,0.0,0,0
5,5,000006@Class2D/job023/run_it025_classes.mrcs,0.039492,0.1,0.106,6.030222,1.0,-0.00179,-0.01523,6.785,0.0,t8v,6,40.94333333333333,2.838335192796413,0,0
6,6,000007@Class2D/job023/run_it025_classes.mrcs,0.025312,0.15,0.1166,6.460952,0.982404,-0.00514,0.02566,6.785,0.0,t8v,7,41.32333333333333,1.1417822325937037,0,0
7,7,000008@Class2D/job023/run_it025_classes.mrcs,0.0,999.0,999.0,27.136,0.938706,0.0,0.0,6.785,0.0,t8v,8,0.0,0.0,0,0
8,8,000009@Class2D/job023/run_it025_classes.mrcs,0.022864,0.15,0.1166,6.618537,0.931072,-0.00449,0.002821,6.785,0.0,t8v,9,41.385,1.3291162477375675,0,0
9,9,000010@Class2D/job023/run_it025_classes.mrcs,0.042342000000000005,0.1,0.106,5.653333,0.981035,-0.00207,-0.0601,6.785,0.0,t8v,10,40.07,0.5122889809472788,0,0
10,10,000011@Class2D/job023/run_it025_classes.mrcs,0.034841000000000004,0.1,0.106,5.653333,0.984371,-0.00106,-0.08223,6.785,0.0,t8v,11,40.461666666666666,1.6812901791977097,0,0
11,11,000012@Class2D/job023/run_it025_classes.mrcs,0.026376,0.15,0.1166,7.141053,0.979111,0.001241,0.036684,6.785,0.0,t8v,12,40.973333333333336,1.6681206990702666,0,0
12,12,000013@Class2D/job023/run_it025_classes.mrcs,0.0,999.0,999.0,45.226667,0.494115,0.0,0.0,6.785,0.0,t8v,13,0.0,0.0,0,0
13,13,000014@Class2D/job023/run_it025_classes.mrcs,0.057661,0.12,0.1166,5.773617,0.968992,-0.00149,0.011054,6.785,0.0,t8v,14,40.39,0.7025951892804286,0,0
