 ,Label,Angle,Median,Slice,Length
1,run_it025_classes-1.mrcs:z:1/30 - run_it025_classes.mrcs,-98.082633,0.109167,1,0.006031
2,run_it025_classes-1.mrcs:z:1/30 - run_it025_classes.mrcs,80.193907,0.106647,1,0.005809
3,run_it025_classes-1.mrcs:z:1/30 - run_it025_classes.mrcs,-98.325650,0.074528,1,0.005856
4,run_it025_classes-1.mrcs:z:1/30 - run_it025_classes.mrcs,82.359593,0.064980,1,0.005847
5,run_it025_classes-1.mrcs:z:3/30 - run_it025_classes.mrcs,-89.650640,0.120031,3,0.005795
6,run_it025_classes-1.mrcs:z:3/30 - run_it025_classes.mrcs,-90.698694,0.136042,3,0.005795
7,run_it025_classes-1.mrcs:z:3/30 - run_it025_classes.mrcs,-90.690277,0.125008,3,0.005866
8,run_it025_classes-1.mrcs:z:3/30 - run_it025_classes.mrcs,-90.000000,0.156458,3,0.005830
9,run_it025_classes-1.mrcs:z:5/30 - run_it025_classes.mrcs,-90.327401,0.129226,5,0.006183
10,run_it025_classes-1.mrcs:z:5/30 - run_it025_classes.mrcs,-89.664941,0.150092,5,0.006042
11,run_it025_classes-1.mrcs:z:5/30 - run_it025_classes.mrcs,89.329904,0.225878,5,0.006042
12,run_it025_classes-1.mrcs:z:5/30 - run_it025_classes.mrcs,90.337030,0.163586,5,0.006007
13,run_it025_classes-1.mrcs:z:7/30 - run_it025_classes.mrcs,-89.666889,0.162192,7,0.006077
14,run_it025_classes-1.mrcs:z:7/30 - run_it025_classes.mrcs,-90.000000,0.242881,7,0.006042
15,run_it025_classes-1.mrcs:z:7/30 - run_it025_classes.mrcs,-88.989003,0.170706,7,0.006008
16,run_it025_classes-1.mrcs:z:7/30 - run_it025_classes.mrcs,90.670096,0.157708,7,0.006042
17,run_it025_classes-1.mrcs:z:8/30 - run_it025_classes.mrcs,-97.549422,0.122879,8,0.005917
18,run_it025_classes-1.mrcs:z:8/30 - run_it025_classes.mrcs,-96.414602,0.111143,8,0.006009
19,run_it025_classes-1.mrcs:z:8/30 - run_it025_classes.mrcs,-96.225829,0.101311,8,0.005865
20,run_it025_classes-1.mrcs:z:8/30 - run_it025_classes.mrcs,82.158297,0.097126,8,0.005956
21,run_it025_classes-1.mrcs:z:9/30 - run_it025_classes.mrcs,-81.674350,0.127010,9,0.005856
22,run_it025_classes-1.mrcs:z:9/30 - run_it025_classes.mrcs,-82.703054,0.185664,9,0.005842
23,run_it025_classes-1.mrcs:z:9/30 - run_it025_classes.mrcs,-82.073073,0.081288,9,0.005637
24,run_it025_classes-1.mrcs:z:9/30 - run_it025_classes.mrcs,-81.919419,0.098856,9,0.005781
25,run_it025_classes-1.mrcs:z:11/30 - run_it025_classes.mrcs,-92.759108,0.124072,11,0.005872
26,run_it025_classes-1.mrcs:z:11/30 - run_it025_classes.mrcs,87.917435,0.134107,11,0.005834
27,run_it025_classes-1.mrcs:z:11/30 - run_it025_classes.mrcs,87.904747,0.111276,11,0.005799
28,run_it025_classes-1.mrcs:z:11/30 - run_it025_classes.mrcs,-91.405749,0.106100,11,0.005761
29,run_it025_classes-1.mrcs:z:12/30 - run_it025_classes.mrcs,-91.010997,0.135711,12,0.006008
30,run_it025_classes-1.mrcs:z:12/30 - run_it025_classes.mrcs,-90.674037,0.179830,12,0.006007
31,run_it025_classes-1.mrcs:z:12/30 - run_it025_classes.mrcs,-89.666889,0.209987,12,0.006077
32,run_it025_classes-1.mrcs:z:12/30 - run_it025_classes.mrcs,-90.000000,0.132433,12,0.005971
33,run_it025_classes-1.mrcs:z:19/30 - run_it025_classes.mrcs,92.910838,0.221130,19,0.006262
34,run_it025_classes-1.mrcs:z:19/30 - run_it025_classes.mrcs,-88.698047,0.099371,19,0.006220
35,run_it025_classes-1.mrcs:z:19/30 - run_it025_classes.mrcs,-89.333800,0.218742,19,0.006078
36,run_it025_classes-1.mrcs:z:19/30 - run_it025_classes.mrcs,92.357906,0.176822,19,0.006012
37,run_it025_classes-1.mrcs:z:20/30 - run_it025_classes.mrcs,-90.993469,0.170981,20,0.006114
38,run_it025_classes-1.mrcs:z:20/30 - run_it025_classes.mrcs,-91.324522,0.193319,20,0.006114
39,run_it025_classes-1.mrcs:z:20/30 - run_it025_classes.mrcs,89.345220,0.174816,20,0.006184
40,run_it025_classes-1.mrcs:z:20/30 - run_it025_classes.mrcs,89.656916,0.150472,20,0.005901
41,run_it025_classes-1.mrcs:z:21/30 - run_it025_classes.mrcs,-90.686144,0.142192,21,0.005901
42,run_it025_classes-1.mrcs:z:21/30 - run_it025_classes.mrcs,87.954592,0.130209,21,0.005940
43,run_it025_classes-1.mrcs:z:21/30 - run_it025_classes.mrcs,-91.035353,0.184329,21,0.005866
44,run_it025_classes-1.mrcs:z:21/30 - run_it025_classes.mrcs,87.966684,0.134294,21,0.005975
45,run_it025_classes-1.mrcs:z:22/30 - run_it025_classes.mrcs,-83.811384,0.121730,22,0.005900
46,run_it025_classes-1.mrcs:z:22/30 - run_it025_classes.mrcs,-84.393834,0.194337,22,0.005787
47,run_it025_classes-1.mrcs:z:22/30 - run_it025_classes.mrcs,-83.509228,0.199130,22,0.005939
48,run_it025_classes-1.mrcs:z:22/30 - run_it025_classes.mrcs,-83.470464,0.157888,22,0.005904
49,run_it025_classes-1.mrcs:z:23/30 - run_it025_classes.mrcs,-90.698694,0.112169,23,0.005795
50,run_it025_classes-1.mrcs:z:23/30 - run_it025_classes.mrcs,-90.349360,0.148338,23,0.005795
51,run_it025_classes-1.mrcs:z:23/30 - run_it025_classes.mrcs,-90.343084,0.193133,23,0.005901
52,run_it025_classes-1.mrcs:z:23/30 - run_it025_classes.mrcs,90.000000,0.105864,23,0.005759
53,run_it025_classes-1.mrcs:z:24/30 - run_it025_classes.mrcs,-90.000000,0.200494,24,0.005795
54,run_it025_classes-1.mrcs:z:24/30 - run_it025_classes.mrcs,-90.702980,0.092851,24,0.005760
55,run_it025_classes-1.mrcs:z:24/30 - run_it025_classes.mrcs,-90.345151,0.124502,24,0.005865
56,run_it025_classes-1.mrcs:z:24/30 - run_it025_classes.mrcs,91.016978,0.090581,24,0.005972
57,run_it025_classes-1.mrcs:z:25/30 - run_it025_classes.mrcs,-85.815084,0.135961,25,0.005810
58,run_it025_classes-1.mrcs:z:25/30 - run_it025_classes.mrcs,-86.467705,0.219946,25,0.005735
59,run_it025_classes-1.mrcs:z:25/30 - run_it025_classes.mrcs,-86.208834,0.105717,25,0.005878
60,run_it025_classes-1.mrcs:z:25/30 - run_it025_classes.mrcs,-88.602819,0.162760,25,0.005796
61,run_it025_classes-1.mrcs:z:26/30 - run_it025_classes.mrcs,90.337030,0.217351,26,0.006007
62,run_it025_classes-1.mrcs:z:26/30 - run_it025_classes.mrcs,-89.309723,0.242949,26,0.005866
63,run_it025_classes-1.mrcs:z:26/30 - run_it025_classes.mrcs,-88.976970,0.178376,26,0.005937
64,run_it025_classes-1.mrcs:z:26/30 - run_it025_classes.mrcs,-89.333800,0.140881,26,0.006078
65,run_it025_classes-1.mrcs:z:27/30 - run_it025_classes.mrcs,-99.077054,0.108998,27,0.006047
66,run_it025_classes-1.mrcs:z:27/30 - run_it025_classes.mrcs,-98.564519,0.122275,27,0.005931
67,run_it025_classes-1.mrcs:z:27/30 - run_it025_classes.mrcs,80.647021,0.127428,27,0.006088
68,run_it025_classes-1.mrcs:z:27/30 - run_it025_classes.mrcs,82.056528,0.082361,27,0.006136
69,run_it025_classes-1.mrcs:z:28/30 - run_it025_classes.mrcs,88.390991,0.087358,28,0.006292
70,run_it025_classes-1.mrcs:z:28/30 - run_it025_classes.mrcs,-90.670096,0.165957,28,0.006042
71,run_it025_classes-1.mrcs:z:28/30 - run_it025_classes.mrcs,-91.324522,0.149377,28,0.006114
72,run_it025_classes-1.mrcs:z:28/30 - run_it025_classes.mrcs,-90.000000,0.093174,28,0.006113
