 ,Label,Angle,Median,Slice,Length
1,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-1.108812,-0.107624,1,0.004108
2,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-0.739259,0.098138,1,0.004108
3,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-1.507436,-0.070641,1,0.004029
4,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-0.364936,-0.050874,1,0.004161
5,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,0.000000,0.138996,1,0.004081
6,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-0.372045,-0.047821,1,0.004081
7,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,0.678025,-0.023307,2,0.004479
8,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,0.702980,0.124031,2,0.004320
9,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,0.000000,-0.045934,2,0.004107
10,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-0.376940,0.068622,2,0.004028
11,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,1.961418,0.093363,2,0.003871
12,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,1.153450,-0.022791,2,0.003949
13,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,1.497588,0.086680,3,0.004056
14,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,3.366461,-0.109104,3,0.004062
15,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,1.884050,-0.108258,3,0.004030
16,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,2.188583,-0.020449,3,0.004164
17,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,2.231175,0.126228,3,0.004084
18,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,1.884050,-0.041982,3,0.004030
19,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,0.367276,-0.122915,4,0.004134
