Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_0,101,0,0,0,0,0,300,0,300,3.1286,0,0,113.99573000000001,85.1498,0,0.0334,0.11990999999999999,1.697e-08,0.02707,0.02843,3.6106199999999995,4.18852,2.61388,3.6799800000000005,0.32137,pilG-fliC-,PaQa,3,1
Track_1,101,0,0,0,0,0,300,0,300,1.0554700000000001,1,1,53.60369,92.49192,0,0.02622,0.11473,0.0,0.02198,0.023569999999999997,3.7100199999999997,4.23706,3.2968,3.6528,0.18514,pilG-fliC-,PaQa,3,1
Track_2,125,0,0,5,0,0,300,0,300,0.83362,2,2,271.52051,68.31223,0,0.01465,0.10918,0.0,1.812e-07,0.02107,3.24867,4.06061,2.78221,3.17656,0.21244000000000002,pilG-fliC-,PaQa,3,1
Track_3,101,0,0,0,0,0,300,0,300,4.22664,3,3,257.03752000000003,84.87601,0,0.040510000000000004,0.12978,1.9450000000000002e-08,0.038169999999999996,0.02546,3.48736,4.04202,2.3537,3.59071,0.34063000000000004,pilG-fliC-,PaQa,3,1
Track_5,101,0,0,0,0,0,300,0,300,0.8358,5,5,304.43816,67.46349000000001,0,0.02191,0.08479,1.186e-08,0.01949,0.019880000000000002,3.79253,4.40117,3.26819,3.74586,0.22795,pilG-fliC-,PaQa,3,1
Track_7,182,0,0,1,0,0,300,0,300,1.97733,7,7,60.46593000000001,62.11466,0,0.03633,0.39095,0.0,0.02462,0.056620000000000004,2.80076,4.6033599999999995,1.8186900000000001,2.69152,0.49699,pilG-fliC-,PaQa,3,1
Track_9,102,0,0,1,0,0,300,0,300,0.50112,9,9,130.65348999999998,55.942519999999995,0,0.0174,0.10518,0.0,0.01056,0.02053,4.3304,4.6146199999999995,3.79198,4.39388,0.20135,pilG-fliC-,PaQa,3,1
Track_10,101,0,0,0,0,0,300,0,300,0.69057,10,10,54.61305,33.27495,0,0.024059999999999998,0.09377,9.36e-09,0.01845,0.02197,3.8251800000000005,4.2843800000000005,3.3300099999999997,3.8355699999999997,0.18335,pilG-fliC-,PaQa,3,1
Track_12,104,0,0,2,0,0,300,0,300,0.42715,12,12,45.92241,30.1975,0,0.015080000000000001,0.07683999999999999,0.0,0.012329999999999999,0.01785,4.06835,4.3224,3.8440199999999995,4.0446,0.12458,pilG-fliC-,PaQa,3,1
Track_16,101,0,0,0,0,0,300,0,300,0.23736999999999997,16,16,100.51787,231.04997999999998,0,0.01964,0.1224,1.3400000000000001e-09,0.0173,0.02166,3.83285,4.06901,3.4292800000000003,3.81313,0.13046,pilG-fliC-,PaQa,3,1
Track_17,105,0,0,2,0,0,300,0,300,3.6252699999999995,17,17,54.601690000000005,183.66063,0,0.04096,0.18311,1.6450000000000002e-08,0.03627,0.03486,3.5667400000000002,4.1010599999999995,2.8647,3.60296,0.30596,pilG-fliC-,PaQa,3,1
Track_18,102,0,0,1,0,0,300,0,300,4.1146199999999995,18,18,281.16069,188.06886,0,0.05347999999999999,0.32224,8.144000000000001e-08,0.04417,0.04513,3.34499,4.242719999999999,2.58046,3.3398800000000004,0.35731,pilG-fliC-,PaQa,3,1
Track_19,101,0,0,0,0,0,300,0,300,0.5143399999999999,19,19,141.51133000000002,173.41956000000002,0,0.02222,0.08881,0.0,0.01821,0.02126,3.78084,4.0772,3.27133,3.79225,0.15582000000000001,pilG-fliC-,PaQa,3,1
