Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_11,105,0,0,4,0,0,300,0,300,0.31872,11,11,195.22074,29.884870000000006,0,0.13647,0.8352,0.0,0.052070000000000005,0.17506,3.98846,4.66392,3.02502,4.03716,0.33673000000000003,pilG-fliC-,PaQa,2,1
Track_19,86,1,1,7,0,0,228,0,228,1.3044,18,19,195.65,48.1,0,0.12254,0.56604,0.0,0.08148999999999999,0.13755,2.31758,3.43427,1.24971,2.2308,0.4502600000000001,pilG-fliC-,PaQa,2,1
Track_27,101,0,0,0,0,0,300,0,300,0.51986,26,27,105.7069,37.90837,0,0.05712,0.35733000000000004,2.363e-07,0.036410000000000005,0.06765,4.34068,5.07108,3.63525,4.38478,0.32587,pilG-fliC-,PaQa,2,1
Track_29,101,0,0,0,0,0,300,0,300,0.45715,28,29,6.02924,42.78131,0,0.07,0.8852899999999999,8.916e-08,0.0443,0.12433,4.17669,4.95582,3.36646,4.18852,0.289,pilG-fliC-,PaQa,2,1
Track_36,101,0,0,0,0,0,300,0,300,0.32671,35,36,145.83208,68.55027,0,0.15104,0.41453,3.734e-08,0.13635,0.09496,4.2175699999999985,4.99325,3.5881,4.2053699999999985,0.22516,pilG-fliC-,PaQa,2,1
Track_44,83,0,0,10,0,0,195,0,195,1.64957,40,44,207.15036,60.64964000000001,0,0.05532,0.3126,3.773e-08,0.05351,0.055999999999999994,2.46722,3.4218800000000003,2.05757,2.39243,0.34267,pilG-fliC-,PaQa,2,1
Track_58,108,0,0,3,0,0,300,0,300,0.63753,52,58,204.53079,72.62108,0,0.04656,0.41021,0.0,0.02789,0.07081,3.18898,4.50936,2.37091,3.17656,0.37434,pilG-fliC-,PaQa,2,1
Track_64,65,0,0,0,0,0,192,0,192,2.44878,58,64,318.30452,95.03932,0,0.15203,0.42524,0.00765,0.13369,0.09077,3.4351800000000003,4.5444900000000015,1.73837,3.5330699999999995,0.56966,pilG-fliC-,PaQa,2,1
Track_67,101,0,0,0,0,0,300,0,300,1.12311,61,67,16.57486,91.48751,0,0.03227,0.14067000000000002,2.85e-08,0.03171,0.02729,3.68501,4.50191,3.01485,3.71902,0.28922,pilG-fliC-,PaQa,2,1
Track_72,102,0,0,1,0,0,300,0,300,0.32206,66,72,47.18266,89.25625,0,0.1626,0.45623,1.274e-07,0.13799,0.11248,3.5315800000000004,4.7031800000000015,2.3868400000000003,3.49887,0.28829,pilG-fliC-,PaQa,2,1
Track_87,102,1,1,1,0,0,300,0,300,0.36021,81,87,126.20609,98.69725,0,0.01697,0.07639,3.132e-10,0.01652,0.017830000000000002,3.80846,4.11674,3.30188,3.82173,0.16985999999999998,pilG-fliC-,PaQa,2,1
Track_94,99,1,2,0,0,0,300,0,300,1.35243,86,94,108.26056,130.39838999999998,0,0.06817000000000001,0.41544,7e-05,0.04417,0.07391,2.60588,3.3006,1.0235,2.72511,0.49359,pilG-fliC-,PaQa,2,1
Track_96,110,0,0,2,0,0,300,0,300,1.02221,88,96,151.2369,131.9459,0,0.08597,0.87905,1.07e-07,0.05248,0.12802,3.7332,6.9513300000000005,1.28406,3.77418,1.2159799999999998,pilG-fliC-,PaQa,2,1
Track_98,101,0,0,0,0,0,300,0,300,1.12042,90,98,115.46631,127.581,0,0.02575,0.19603,3.571e-08,0.01708,0.02815,3.34857,4.060219999999998,2.66415,3.36486,0.31209000000000003,pilG-fliC-,PaQa,2,1
Track_103,106,0,0,3,0,0,300,0,300,4.15771,94,103,262.47465,124.34964,0,0.05117,0.29889,5.8050000000000005e-09,0.04358,0.05513,2.89811,3.80831,2.05757,2.86611,0.37606,pilG-fliC-,PaQa,2,1
Track_112,101,0,0,0,0,0,300,0,300,0.3102,102,112,123.37399,133.83858,0,0.02471,0.21083,2.734e-08,0.01669,0.029560000000000006,3.1181400000000004,3.78069,2.36111,3.12244,0.29734,pilG-fliC-,PaQa,2,1
Track_118,104,0,0,2,0,0,300,0,300,0.23441,108,118,246.73373,155.78412,0,0.0226,0.17712999999999998,0.0,0.016,0.02951,4.31487,5.0346199999999985,3.84278,4.27102,0.20831,pilG-fliC-,PaQa,2,1
Track_128,102,0,0,1,0,0,300,0,300,0.34975,117,128,219.87514,176.01838,0,0.01877,0.183,4.3680000000000005e-08,0.01114,0.02719,3.68204,4.07125,3.34007,3.68489,0.16135,pilG-fliC-,PaQa,2,1
Track_131,103,0,0,1,0,0,300,0,300,0.7141,120,131,226.78123,168.35109,0,0.01475,0.09169,4.981e-09,0.01044,0.01743,3.76118,4.10186,3.26138,3.76098,0.18432,pilG-fliC-,PaQa,2,1
Track_141,103,0,0,2,0,0,300,0,300,0.16026,130,141,203.62226,182.97373,0,0.038110000000000005,0.49991,3.059e-08,0.01859,0.07537,4.0833900000000005,6.674410000000001,3.37317,3.95888,0.56513,pilG-fliC-,PaQa,2,1
Track_145,101,0,0,0,0,0,300,0,300,0.56421,134,145,299.39622,181.09806,0,0.13149,0.43876,2.908e-07,0.11513,0.08834,3.17267,5.35567,2.2308,3.11485,0.4448,pilG-fliC-,PaQa,2,1
Track_151,103,0,0,2,0,0,300,0,300,0.28962,139,151,272.29584,205.16628,0,0.03481,0.19704,5.11e-09,0.02926,0.0341,2.88687,3.40595,2.2136,2.93489,0.27235,pilG-fliC-,PaQa,2,1
Track_153,103,0,0,2,0,0,300,0,300,1.83721,141,153,317.51524,200.44703,0,0.03555,0.20064,7.976e-09,0.03047,0.03386,3.48707,4.29402,2.5047,3.59542,0.38361,pilG-fliC-,PaQa,2,1
Track_156,106,0,0,2,0,0,300,0,300,0.30616,143,156,34.37437,193.99667,0,0.02106,0.10668,8.466e-09,0.01343,0.02338,3.78584,4.09266,3.20349,3.8307,0.18185,pilG-fliC-,PaQa,2,1
Track_159,104,0,0,2,0,0,300,0,300,1.126,146,159,215.72278,235.53357000000003,0,0.11948,0.4905,1.51e-08,0.09957,0.09794,3.4065800000000004,3.75514,2.91015,3.4338,0.18131,pilG-fliC-,PaQa,2,1
Track_160,111,1,1,3,0,0,300,0,300,0.43104,147,160,282.31743,235.93693,0,0.01739,0.11974,1.6880000000000003e-08,0.0087,0.02441,3.22715,3.8182,1.14181,3.17656,0.31128,pilG-fliC-,PaQa,2,1
Track_161,111,1,1,4,0,0,300,0,300,0.60452,148,161,47.931000000000004,220.66793,0,0.04202,0.40058,4.825e-09,0.0225,0.06986,2.77161,5.89331,1.87315,2.64984,0.42534,pilG-fliC-,PaQa,2,1
Track_180,101,0,0,0,0,0,300,0,300,0.45325,161,180,68.52373,237.83817,0,0.02522,0.06944,0.0,0.02137,0.01803,3.728380000000001,4.27686,3.35,3.74586,0.18682,pilG-fliC-,PaQa,2,1
Track_189,107,0,0,5,0,0,300,0,300,4.3883199999999984,170,189,50.21563,268.98789,0,0.03732,0.10483,1.7549999999999998e-08,0.03576,0.02361,3.07589,3.7097,1.90153,3.14249,0.43626,pilG-fliC-,PaQa,2,1
Track_192,103,0,0,2,0,0,300,0,300,2.4234400000000003,173,192,190.67201,299.6169700000001,0,0.05202,0.35295,1.256e-08,0.032139999999999995,0.05938,3.27466,5.0493,2.2456,3.3462300000000003,0.4154100000000001,pilG-fliC-,PaQa,2,1
Track_195,105,0,0,4,0,0,300,0,300,3.70557,175,195,25.99829,297.56225,0,0.03573,0.12646,1.7130000000000002e-08,0.03083,0.03078,3.3757,3.74674,2.36096,3.42046,0.23565,pilG-fliC-,PaQa,2,1
Track_196,101,0,0,0,0,0,300,0,300,0.45803,176,196,143.86455,286.22954,0,0.03572,0.8480700000000001,5.417999999999999e-09,0.01339,0.10711,2.11828,2.8971400000000003,1.46902,2.03605,0.30215,pilG-fliC-,PaQa,2,1
Track_205,104,0,0,2,0,0,300,0,300,0.5102899999999999,183,205,116.05384,323.8001799999999,0,0.01513,0.0803,0.0,0.00476,0.02093,3.36067,3.76181,2.61805,3.3748400000000003,0.19165,pilG-fliC-,PaQa,2,1
Track_206,101,0,0,0,0,0,300,0,300,0.80637,184,206,309.51905,320.86878,0,0.03067,0.50836,5.441e-08,0.01982,0.05644,3.636530000000001,4.06901,2.87029,3.63989,0.21641,pilG-fliC-,PaQa,2,1
