 ,Label,Track_ID,BiologicalReplicate,PaqaArea,PaqaMean,PaqaTotalFluorescence,PaqaMin,PaqaMax,PaqaStd,rfpArea,rfpMean,rfpTotalFluorescence,rfpMin,rfpMax,rfpStd,PaQa_RFP_ratio,Strain,Reporter,TimePoint,TeckRep
1,fliC-_PaQa_1h.nd2 - C=2.tif,0,1,7.71063,16.36986,126.22188,5,29,5.4709,5.17563,12.63265,65.38188000000001,2,27,5.49505,1.9305299999999999,fliC-,PaQa,1,1
2,fliC-_PaQa_1h.nd2 - C=2.tif,2,1,10.24563,16.969070000000002,173.85876000000002,4,36,7.21898,8.55563,12.51852,107.10376000000001,2,26,4.7119800000000005,1.62327,fliC-,PaQa,1,1
3,fliC-_PaQa_1h.nd2 - C=2.tif,5,1,9.295,16.0,148.72001,2,34,6.3932400000000005,8.45,15.15,128.01751000000002,4,26,4.85251,1.16172,fliC-,PaQa,1,1
4,fliC-_PaQa_1h.nd2 - C=2.tif,7,1,2.535,299.875,760.1831599999999,112,643,151.11047,2.64063,247.56,653.71316,84,540,158.97879,1.16287,fliC-,PaQa,1,1
5,fliC-_PaQa_1h.nd2 - C=2.tif,8,1,2.64063,138.52,365.77939,52,297,72.65852,2.32375,183.77273,427.0419,71,374,102.74235999999999,0.85654,fliC-,PaQa,1,1
6,fliC-_PaQa_1h.nd2 - C=2.tif,15,1,3.4856300000000005,258.48485,900.9813,45,576,177.35172,3.4856300000000005,281.0303,979.5663,49,644,195.77945,0.9197799999999999,fliC-,PaQa,1,1
7,fliC-_PaQa_1h.nd2 - C=2.tif,16,1,2.535,129.58333000000002,328.49377000000004,40,292,74.43463,2.64063,212.8,561.92503,51,444,121.4681,0.5845899999999999,fliC-,PaQa,1,1
8,fliC-_PaQa_1h.nd2 - C=2.tif,20,1,2.1125,111.75,236.07189,39,255,65.64246999999999,1.90125,179.38889,341.06314,84,354,82.06177,0.69216,fliC-,PaQa,1,1
9,fliC-_PaQa_1h.nd2 - C=2.tif,22,1,2.74625,149.69231000000002,411.09252000000004,27,303,95.17846999999999,2.74625,202.73077,556.7494,56,446,131.29648,0.73838,fliC-,PaQa,1,1
10,fliC-_PaQa_1h.nd2 - C=2.tif,25,1,2.9575,140.03571000000002,414.15565,31,323,89.88449,2.74625,178.46153999999999,490.10002000000003,46,399,106.28423000000001,0.84504,fliC-,PaQa,1,1
11,fliC-_PaQa_1h.nd2 - C=2.tif,26,1,4.225,423.275,1788.33696,55,959,256.00441,4.43625,688.1666700000001,3052.87953,159,1389,381.62687,0.5857899999999999,fliC-,PaQa,1,1
12,fliC-_PaQa_1h.nd2 - C=2.tif,27,1,2.32375,189.68182,440.77315,86,314,78.42278,2.21813,177.0,392.60814,62,337,81.91825,1.12268,fliC-,PaQa,1,1
13,fliC-_PaQa_1h.nd2 - C=2.tif,28,1,3.06313,186.10345,570.05815,38,519,142.4235,3.4856300000000005,191.27273,666.70503,27,534,151.52006,0.8550399999999999,fliC-,PaQa,1,1
14,fliC-_PaQa_1h.nd2 - C=2.tif,30,1,2.42938,191.34783000000002,464.85565,30,400,127.53488,2.42938,210.13043,510.48565,47,481,129.63421,0.91061,fliC-,PaQa,1,1
15,fliC-_PaQa_1h.nd2 - C=2.tif,31,1,2.74625,140.57692,386.05939,25,297,83.07595,3.27438,268.70968,879.8562900000001,44,579,170.16114,0.43878,fliC-,PaQa,1,1
16,fliC-_PaQa_1h.nd2 - C=2.tif,34,1,1.58438,135.53333,214.73564,35,301,79.56028,1.7956299999999998,195.17647,350.46377,43,409,108.04758000000001,0.6127199999999999,fliC-,PaQa,1,1
17,fliC-_PaQa_1h.nd2 - C=2.tif,35,1,2.21813,75.47619,167.41563,26,164,40.28848,4.1193800000000005,220.64102999999997,908.9031699999999,38,507,144.8521,0.1842,fliC-,PaQa,1,1
18,fliC-_PaQa_1h.nd2 - C=2.tif,36,1,3.06313,151.41378999999998,463.7994,52,321,81.47546,2.535,212.66667,539.1100299999999,72,446,99.62829,0.86031,fliC-,PaQa,1,1
19,fliC-_PaQa_1h.nd2 - C=2.tif,39,1,2.1125,310.8,656.56503,54,800,251.14802000000003,2.32375,338.5,786.5894099999999,60,920,278.3165,0.8347,fliC-,PaQa,1,1
