Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR,Strain,Reporter,TimePoint,TeckRep
ID475540,475540,5,0.30362,271.64302999999995,196.625,0,0,0,5,1,-10921639,9.53271,0,0,255,7140,48.40555,2.6903099999999998,1.0,0.19693,fliC-,PaQa,2,1
ID475649,475649,5,0.26363000000000003,271.96366,197.24376,0,3,1,5,1,-10921639,8.17089,0,0,255,6120,44.93897,2.0,1.0,0.18182,fliC-,PaQa,2,1
ID475335,475335,5,0.28379,271.96957000000003,196.94248000000002,0,6,2,5,1,-10921639,8.8518,0,0,255,6630,46.7094,2.60974,1.0,0.18950999999999998,fliC-,PaQa,2,1
ID475435,475435,5,0.31666,272.13223999999997,197.0068,0,9,3,5,1,-10921639,9.87316,0,0,255,7395,49.22817,2.0,1.0,0.20056,fliC-,PaQa,2,1
ID475860,475860,5,0.27125,272.18022,197.12795,0,12,4,5,1,-10921639,8.51135,0,0,255,6375,45.834,2.51362,1.0,0.1857,fliC-,PaQa,2,1
ID475968,475968,5,0.31659,272.32362,197.02802,0,15,5,5,1,-10921639,9.87316,0,0,255,7395,49.22817,2.5127099999999998,1.0,0.20056,fliC-,PaQa,2,1
ID475755,475755,5,0.30622,272.35913999999997,197.00785,0,18,6,5,1,-10921639,9.53271,0,0,255,7140,48.40555,2.0,1.0,0.19693,fliC-,PaQa,2,1
ID476069,476069,5,0.28545,272.55952,197.01166,0,21,7,5,1,-10921639,8.8518,0,0,255,6630,46.7094,2.0,1.0,0.18950999999999998,fliC-,PaQa,2,1
ID476181,476181,5,0.28269,272.51222,197.1514,0,24,8,5,1,-10921639,8.8518,0,0,255,6630,46.7094,2.51362,1.0,0.18950999999999998,fliC-,PaQa,2,1
ID476276,476276,5,0.28473000000000004,272.5877,197.16412,0,27,9,5,1,-10921639,8.8518,0,0,255,6630,46.7094,2.0,1.0,0.18950999999999998,fliC-,PaQa,2,1
ID476385,476385,5,0.26471,272.68914,197.15441,0,30,10,5,1,-10921639,8.17089,0,0,255,6120,44.93897,2.0,1.0,0.18182,fliC-,PaQa,2,1
ID476498,476498,5,0.28665999999999997,272.82253,197.03753999999998,0,33,11,5,1,-10921639,8.8518,0,0,255,6630,46.7094,2.0,1.0,0.18950999999999998,fliC-,PaQa,2,1
ID476595,476595,5,0.28359,272.83751,196.95001000000002,0,36,12,5,1,-10921639,8.8518,0,0,255,6630,46.7094,2.51362,1.0,0.18950999999999998,fliC-,PaQa,2,1
ID476699,476699,5,0.25424,273.00001000000003,196.95,0,39,13,5,1,-10921639,7.830439999999999,0,0,255,5865,44.023109999999996,2.0,1.0,0.17787,fliC-,PaQa,2,1
ID476804,476804,5,0.28456,273.11384,197.1383,0,42,14,5,1,-10921639,8.8518,0,0,255,6630,46.7094,2.0,1.0,0.18950999999999998,fliC-,PaQa,2,1
ID476909,476909,5,0.29406,273.18158999999997,197.16838,0,45,15,5,1,-10921639,9.192260000000001,0,0,255,6885,47.56625,2.0,1.0,0.19325,fliC-,PaQa,2,1
ID477010,477010,5,0.27481,273.25922,197.06656,0,48,16,5,1,-10921639,8.51135,0,0,255,6375,45.834,2.0,1.0,0.1857,fliC-,PaQa,2,1
ID477221,477221,5,0.29584,273.38316000000003,197.0448,0,51,17,5,1,-10921639,9.192260000000001,0,0,255,6885,47.56625,2.0,1.0,0.19325,fliC-,PaQa,2,1
ID477120,477120,5,0.27316,273.4298,197.11915,0,54,18,5,1,-10921639,8.51135,0,0,255,6375,45.834,2.0,1.0,0.1857,fliC-,PaQa,2,1
ID477332,477332,5,0.27316,273.4298,197.11915,0,57,19,5,1,-10921639,8.51135,0,0,255,6375,45.834,2.0,1.0,0.1857,fliC-,PaQa,2,1
ID477427,477427,5,0.29386999999999996,273.49358,197.1309,0,60,20,5,1,-10921639,9.192260000000001,0,0,255,6885,47.56625,2.0,1.0,0.19325,fliC-,PaQa,2,1
ID477634,477634,5,0.25424,273.65001,196.95,0,63,21,5,1,-10921639,7.830439999999999,0,0,255,5865,44.023109999999996,2.0,1.0,0.17787,fliC-,PaQa,2,1
ID477535,477535,5,0.24351,273.81251000000003,196.95,0,66,22,5,1,-10921639,7.48999,0,0,255,5610,43.08509,2.0,1.0,0.17384000000000002,fliC-,PaQa,2,1
ID477534,477534,5,0.24351,273.81251000000003,196.95001000000002,0,66,22,5,1,-10921639,7.48999,0,0,255,5610,43.08509,2.0,1.0,0.17384000000000002,fliC-,PaQa,2,1
