 ,Label,Track_ID,BiologicalReplicate,PaqaArea,PaqaMean,PaqaTotalFluorescence,PaqaMin,PaqaMax,PaqaStd,rfpArea,rfpMean,rfpTotalFluorescence,rfpMin,rfpMax,rfpStd,PaQa_RFP_ratio,Strain,Reporter,TimePoint,TeckRep
1,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,1,1,2.21813,49.714290000000005,110.27251000000001,20,104,23.95233,2.32375,169.13636,393.03064,63,354,92.31638000000001,0.28057,pilT-pilA-fliC-,PaQa,0,1
2,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,4,1,2.74625,36.65385,100.66063,2,71,16.69238,2.85188,206.2963,588.33128,77,441,110.47653000000001,0.1711,pilT-pilA-fliC-,PaQa,0,1
3,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,5,1,2.32375,59.72727,138.79126000000002,18,104,32.52279,2.32375,191.68182,445.42065,63,397,80.13939,0.3116,pilT-pilA-fliC-,PaQa,0,1
4,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,6,1,2.42938,54.04348,131.29188,14,117,24.47351,2.1125,178.55,377.18689,54,381,96.37453000000001,0.34808,pilT-pilA-fliC-,PaQa,0,1
5,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,8,1,3.9081300000000003,50.0,195.40626,14,111,28.57835,3.27438,232.03226,759.7606599999999,44,493,140.55876,0.25719000000000003,pilT-pilA-fliC-,PaQa,0,1
6,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,11,1,2.74625,65.88462,180.93563,33,116,23.68008,2.535,213.08333,540.16628,100,349,88.53390999999999,0.33496,pilT-pilA-fliC-,PaQa,0,1
7,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,12,1,2.32375,64.31818,149.45938,27,112,26.2359,3.16875,231.36667000000003,733.14316,64,494,129.60191,0.20385999999999999,pilT-pilA-fliC-,PaQa,0,1
8,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,17,1,2.42938,58.21739,141.43188,16,114,31.05268,2.1125,179.45,379.08814,66,413,85.17689,0.37308,pilT-pilA-fliC-,PaQa,0,1
9,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,24,1,3.06313,65.34483,200.15939,19,128,34.57732,2.9575,200.03571000000002,591.60565,48,480,134.96131,0.33833,pilT-pilA-fliC-,PaQa,0,1
10,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,25,1,2.32375,51.95455,120.72938,8,116,30.73927,3.8025,214.88889,817.11504,40,442,126.23307,0.14775,pilT-pilA-fliC-,PaQa,0,1
