TimePoint,meanMSD,medianMSD,medianMSD_sem,meanRMSD,medianRMSD,medianRMSD_sem,meanSpeed,medianSpeed,medianSpeed_sem,TeckRep,Strain,IC_meanMSD,IC_medianMSD,IC_meanRMSD,IC_medianRMSD,IC_meanSpeed,IC_medianSpeed
0.0,0.7152593903531766,0.6777952709456825,0.0005375072967562066,12.179589485676868,10.970938231967919,0.01070801334239046,0.890914335541785,0.906,0.00029617920609340974,1.0,cpdA-fliC-,[0.68597023 0.74524899],[0.6500281  0.71543167],[11.46393481 12.93656402],[10.42498175 11.73108931],[0.87011004 0.91077685],[0.889 0.927]
1.0,0.6579196144120676,0.7045753229554831,0.0015730914100029296,9.673686357713501,8.295870356726285,0.028950203520386412,0.803109975609756,0.903,0.000947887042767146,1.0,cpdA-fliC-,[0.54398883 0.76960101],[0.61929106 0.76477071],[ 7.24355124 12.35866143],[ 7.20123645 10.37728675],[0.69345915 0.90215671],[0.878 0.978]
2.0,0.5804186164166644,0.6381610817204675,0.0020482935106695983,8.063789990375426,7.472004800131536,0.03436862952653597,0.6421958010201066,0.9,0.001695231517418092,1.0,cpdA-fliC-,[0.48207395 0.68426511],[0.50787867 0.73782572],[6.73783935 9.40332792],[6.08576822 9.9332614 ],[0.55054337 0.72684042],[0.83785  0.972025]
3.0,0.8572042729496031,0.8423713229212247,0.000860729109816091,11.631254281028816,10.954370200525858,0.023522205709983413,0.9722559095744681,1.021,0.00045084205250431835,1.0,cpdA-fliC-,[0.7990567  0.92067175],[0.77164827 0.88142509],[10.76362082 12.5164782 ],[ 9.866105   12.48264529],[0.9346004  1.00824574],[0.997 1.048]
0.0,0.2900247389430296,0.26751960008407166,0.00040943513071059647,8.716547517852403,7.972315006326728,0.007678064972363262,0.5675024772727272,0.616,0.00048114056183223673,3.0,cpdA-fliC-,[0.26863644 0.3107875 ],[0.24278415 0.28834801],[8.15492094 9.32425233],[7.49741627 8.37077816],[0.54232062 0.59145641],[0.5775 0.6315]
1.0,,,,,,,,,,3.0,cpdA-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,3.0,cpdA-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,,,,,,,,,,3.0,cpdA-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
0.0,0.349184496520578,0.32599824109913833,0.0004091301099953665,10.34064456490591,8.92152208681089,0.022691479870811125,0.6749970636363636,0.675,0.000540852457127062,2.0,cpdA-fliC-,[0.31744402 0.38216247],[0.28813442 0.35061074],[ 9.39755699 11.25258439],[ 8.02106066 10.92226346],[0.65017205 0.69819295],[0.64  0.711]
1.0,,,,,,,,,,2.0,cpdA-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,2.0,cpdA-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,,,,,,,,,,2.0,cpdA-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
0.0,0.14927662095104866,0.06303183094337411,0.00023923875235936287,1.8658030544416933,0.9806176657075475,0.0018035245775380642,0.26424731764803006,0.179,0.000748804210388467,1.0,cyaB-fliC-,[0.1219617  0.18033778],[0.05014437 0.07866544],[1.54498785 2.22271809],[0.89722969 1.13807639],[0.23173642 0.29881801],[0.151     0.2340125]
1.0,0.07624833213830347,0.016915994306273458,0.00010155569519506166,1.0330153679182277,0.7283697677131631,0.0020096933145441,0.1376526025919241,0.086,0.0003993076641020187,1.0,cyaB-fliC-,[0.04995643 0.113138  ],[0.00951817 0.02258378],[0.86481304 1.20378026],[0.60970719 0.87221179],[0.11519805 0.16302389],[0.066 0.111]
2.0,0.1292218842300224,0.0766362817896134,0.0002657945702714265,1.56871109269194,1.077258670696005,0.0020476582018461994,0.26506028393944336,0.22,0.00044275097337490336,1.0,cyaB-fliC-,[0.10694538 0.15354264],[0.06276178 0.09647446],[1.34276953 1.82807974],[0.95029169 1.22544179],[0.23757673 0.2968631 ],[0.193 0.253]
3.0,0.12762074257569933,0.07650454562309057,0.00019994852401893106,1.6999588943064567,1.1097964470325923,0.0011967523429386024,0.28660774504249287,0.242,0.0003307442997117136,1.0,cyaB-fliC-,[0.11328429 0.14225271],[0.06680991 0.09144076],[1.52902896 1.87913037],[1.02340596 1.18993395],[0.26919681 0.30671261],[0.219 0.263]
0.0,0.15296630725376026,0.0717836634306707,0.0002408371103660688,2.229069238262424,1.1884858641778804,0.002561023954784274,0.28610125120772945,0.21600000000000005,0.0003410568042771522,3.0,cyaB-fliC-,[0.1262871  0.18229586],[0.05484367 0.08461815],[1.91451537 2.56158252],[1.01240468 1.36560565],[0.25460894 0.31520882],[0.182 0.23 ]
1.0,,,,,,,,,,3.0,cyaB-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,3.0,cyaB-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,,,,,,,,,,3.0,cyaB-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
0.0,0.09704621090660234,0.049898038745519055,0.0001819721804572499,1.943589629836983,0.9318240486767341,0.002678897527414651,0.240979385026738,0.19399999999999998,0.0002983348113439994,2.0,cyaB-fliC-,[0.07885176 0.11892254],[0.03962539 0.06116187],[1.60849062 2.29485536],[0.82857081 1.14455606],[0.21513971 0.26739759],[0.177 0.212]
1.0,,,,,,,,,,2.0,cyaB-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,2.0,cyaB-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,,,,,,,,,,2.0,cyaB-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
0.0,0.127088955112009,0.04870427847681649,0.0001270805756478921,2.216361123605262,1.5595156559268935,0.0029167176660667283,0.22866371929241744,0.168,0.00023263046432686518,1.0,fliC-,[0.11335954 0.14163679],[0.04154034 0.05616596],[2.06022935 2.37337661],[1.33155509 1.70169268],[0.21331573 0.24506232],[0.15 0.18]
1.0,0.2784213353057872,0.2153527625322576,0.0007182490564091376,4.222153850814159,3.39042217882249,0.006530759941215945,0.47235090480911834,0.463,0.0011426867202740613,1.0,fliC-,[0.24337477 0.31909178],[0.16599815 0.25181641],[3.83952039 4.6596584 ],[2.95380716 3.72706685],[0.44417908 0.50180213],[0.413 0.534]
