Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep,MSD,RMSD,PaqaTotalFluorescence,rfpTotalFluorescence,PaQa_RFP_ratio
Track_6357,1,56,2,4,0,0,0,60,0,60,27.421,1,151.35399999999996,30.185,0,0.8240000000000001,3.17,0.044,0.732,0.526,19.271,28.012,5.202000000000001,18.547,3.785,cpdA-fliC-,PaQa,0,1,0.9057316496711312,12.029190380071313,,,
Track_6360,4,40,5,1,0,0,0,44,0,44,5.7479999999999976,4,234.803,45.07899999999999,0,0.69,1.599,4.963e-07,0.5820000000000001,0.435,12.351,19.257,5.214,12.007,4.762,cpdA-fliC-,PaQa,0,1,0.4573558571131979,4.543633610296433,,,
Track_6363,7,47,6,2,0,0,0,53,0,53,22.372,7,139.091,267.628,0,0.985,3.403,0.022,0.918,0.5760000000000001,12.466,17.951,5.214,13.187,3.77,cpdA-fliC-,PaQa,0,1,0.9918531851611797,13.207005157013867,,,
Track_6364,8,42,5,3,0,0,0,48,0,48,8.815,8,223.197,54.82,0,0.7170000000000001,1.622,2.922e-07,0.6809999999999999,0.38,10.844,17.977,5.214,10.178,3.632,cpdA-fliC-,PaQa,0,1,0.45022518909266684,6.265587267357939,,,
Track_6370,14,47,1,1,0,0,0,47,0,47,17.933,14,166.68400000000003,104.056,0,0.8959999999999999,2.669,0.06,0.831,0.64,17.256,19.951,5.214,17.758,2.341,cpdA-fliC-,PaQa,0,1,0.9530151302083792,16.642872215665072,,,
Track_6371,15,62,5,3,0,0,0,69,0,69,11.395,15,164.305,322.346,0,0.69,2.2030000000000003,4.067e-07,0.65,0.472,12.524,16.033,5.214,13.182,2.173,cpdA-fliC-,PaQa,0,1,0.34739144210875905,7.102212599132669,,,
Track_6372,16,187,3,3,0,0,0,191,0,191,57.057,16,265.713,106.064,0,0.894,3.605,0.001,0.8109999999999999,0.557,17.519000000000002,20.418,5.209,17.974,2.064,cpdA-fliC-,PaQa,0,1,0.5457522978577353,30.075107722525377,,,
Track_6374,18,102,3,3,0,0,0,106,0,106,4.109,18,148.995,135.778,0,1.014,3.164,0.037000000000000005,0.8759999999999999,0.648,17.256,24.018,7.6960000000000015,17.485,1.852,cpdA-fliC-,PaQa,0,1,0.7329993415632136,8.667657933917663,,,
Track_6376,20,88,2,2,0,0,0,90,0,90,12.75,20,80.092,152.137,0,1.009,3.644,0.002,0.893,0.7140000000000001,15.374,21.6,5.214,16.515,3.219,cpdA-fliC-,PaQa,0,1,0.8942520501352702,10.253662960861476,,,
Track_6393,37,126,5,1,0,0,0,130,1,131,8.183,37,184.842,131.496,0,0.862,3.452,0.058,0.7170000000000001,0.591,16.733,20.458,5.214,17.508,3.097,cpdA-fliC-,PaQa,0,1,0.5497840166812848,12.265300744131808,,,
