Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR,Strain,Reporter,TimePoint,TeckRep
ID1994839,1994839,23,2.515,320.885,300.469,0,0,0,3,1,-10921639,34.982,0,0,255,9690,87.889,2.411,1.0,0.39799999999999996,fliC-,PaQa,3,2
ID1994354,1994354,23,2.248,320.694,300.301,0,1,1,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.5419999999999998,1.0,0.348,fliC-,PaQa,3,2
ID1995309,1995309,23,2.256,320.698,300.29200000000003,0,2,2,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.5419999999999998,1.0,0.348,fliC-,PaQa,3,2
ID1995780,1995780,23,2.248,320.689,300.29400000000004,0,3,3,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.5419999999999998,1.0,0.348,fliC-,PaQa,3,2
ID1997690,1997690,23,2.0869999999999997,320.538,300.181,0,4,4,3,1,-10921639,25.776,0,0,255,7140,77.006,1.2,1.0,0.335,fliC-,PaQa,3,2
ID1996736,1996736,23,2.5069999999999997,320.324,300.416,0,5,5,3,1,-10921639,32.22,0,0,255,8925,84.876,1.82,1.0,0.38,fliC-,PaQa,3,2
ID1996258,1996258,23,2.119,320.536,301.41200000000003,0,6,6,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,2.412,1.0,0.348,fliC-,PaQa,3,2
ID1997228,1997228,23,2.495,320.877,301.76,0,7,7,3,1,-10921639,33.141,0,0,255,9180,85.902,2.454,1.0,0.386,fliC-,PaQa,3,2
ID2000115,2000115,23,2.171,321.089,302.392,0,8,8,3,1,-10921639,26.697,0,0,255,7395,78.211,2.235,1.0,0.341,fliC-,PaQa,3,2
ID1998671,1998671,23,2.5380000000000003,320.418,302.69,0,9,9,3,1,-10921639,33.141,0,0,255,9180,85.902,2.415,1.0,0.386,fliC-,PaQa,3,2
ID1999168,1999168,23,1.935,320.85400000000004,303.462,0,10,10,3,1,-10921639,23.014,0,0,255,6375,73.20100000000001,2.259,1.0,0.314,fliC-,PaQa,3,2
ID1998194,1998194,23,2.015,321.073,303.644,0,11,11,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.2,0.564,0.251,fliC-,PaQa,3,2
ID2000599,2000599,23,2.033,320.593,303.383,0,12,12,3,1,-10921639,24.855999999999998,0,0,255,6885,75.77,2.336,1.0,0.32799999999999996,fliC-,PaQa,3,2
ID1999642,1999642,23,2.135,320.607,303.465,0,13,13,3,1,-10921639,25.776,0,0,255,7140,77.006,2.114,1.0,0.335,fliC-,PaQa,3,2
ID2001088,2001088,23,2.191,320.86400000000003,303.375,0,14,14,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,2.283,1.0,0.348,fliC-,PaQa,3,2
ID2001553,2001553,23,2.221,321.03,303.388,0,15,15,3,1,-10921639,32.22,0,0,255,8925,84.876,2.237,0.905,0.361,fliC-,PaQa,3,2
ID2002029,2002029,23,2.104,320.976,303.293,0,16,16,3,1,-10921639,26.697,0,0,255,7395,78.211,2.193,0.866,0.317,fliC-,PaQa,3,2
ID2003988,2003988,23,1.9409999999999998,320.863,303.107,0,17,17,3,1,-10921639,25.776,0,0,255,7140,77.006,10.561,0.74,0.285,fliC-,PaQa,3,2
ID2002501,2002501,23,1.975,321.126,302.707,0,18,18,3,1,-10921639,25.776,0,0,255,7140,77.006,2.333,0.905,0.318,fliC-,PaQa,3,2
ID2003009,2003009,23,1.834,321.22900000000004,302.776,0,19,19,3,1,-10921639,24.855999999999998,0,0,255,6885,75.77,2.1959999999999997,0.6579999999999999,0.26,fliC-,PaQa,3,2
ID2003495,2003495,23,2.075,321.175,302.80400000000003,0,20,20,3,1,-10921639,26.697,0,0,255,7395,78.211,11.4,0.866,0.317,fliC-,PaQa,3,2
ID2005440,2005440,23,1.92,321.241,302.811,0,21,21,3,1,-10921639,24.855999999999998,0,0,255,6885,75.77,11.4,0.856,0.303,fliC-,PaQa,3,2
ID2004466,2004466,23,2.421,321.923,302.809,0,22,22,3,1,-10921639,31.3,0,0,255,8670,83.82799999999999,2.83,1.0,0.373,fliC-,PaQa,3,2
ID2004954,2004954,23,2.555,321.444,301.89,0,23,23,3,1,-10921639,34.061,0,0,255,9435,86.906,2.474,1.0,0.392,fliC-,PaQa,3,2
ID2006386,2006386,23,2.496,322.275,302.06,0,24,24,3,1,-10921639,34.061,0,0,255,9435,86.906,2.475,1.0,0.392,fliC-,PaQa,3,2
ID2006859,2006859,23,2.275,322.487,302.328,0,25,25,3,1,-10921639,30.379,0,0,255,8415,82.756,2.407,1.0,0.36700000000000005,fliC-,PaQa,3,2
ID2005913,2005913,23,2.5780000000000003,322.685,300.996,0,26,26,3,1,-10921639,38.664,0,0,255,10710,91.62299999999999,2.405,0.861,0.391,fliC-,PaQa,3,2
ID1994399,1994399,38,1.7790000000000001,87.912,1.8259999999999998,0,0,0,3,1,-10921639,38.354,0,0,255,10624,90.95700000000001,11.4,0.7340000000000001,0.35700000000000004,fliC-,PaQa,3,2
ID1993923,1993923,38,2.275,87.696,3.1180000000000003,0,1,1,3,1,-10921639,28.538,0,0,255,7905,80.53699999999999,2.113,1.0,0.354,fliC-,PaQa,3,2
ID1994887,1994887,38,2.113,87.729,2.86,0,2,2,3,1,-10921639,28.538,0,0,255,7905,80.53699999999999,11.4,0.7979999999999999,0.315,fliC-,PaQa,3,2
ID1995352,1995352,38,2.158,87.796,2.8960000000000004,0,3,3,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.857,1.0,0.348,fliC-,PaQa,3,2
ID1997271,1997271,38,2.3369999999999997,87.294,3.158,0,4,4,3,1,-10921639,44.188,0,0,255,12240,96.691,2.9160000000000004,0.66,0.363,fliC-,PaQa,3,2
ID1996304,1996304,38,3.015,88.986,3.011,0,5,5,3,1,-10921639,55.235,0,0,255,15300,105.23299999999999,2.384,0.898,0.49700000000000005,fliC-,PaQa,3,2
ID1995820,1995820,38,2.008,87.93,2.79,0,6,6,3,1,-10921639,26.697,0,0,255,7395,78.211,1.746,0.9570000000000001,0.33399999999999996,fliC-,PaQa,3,2
ID1996792,1996792,38,2.037,88.046,2.557,0,7,7,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.8559999999999999,0.963,0.341,fliC-,PaQa,3,2
ID1999688,1999688,38,2.234,88.494,3.217,0,8,8,3,1,-10921639,28.538,0,0,255,7905,80.53699999999999,2.112,0.956,0.34600000000000003,fliC-,PaQa,3,2
ID1998245,1998245,38,2.147,88.431,3.449,0,9,9,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.844,0.6709999999999999,0.27899999999999997,fliC-,PaQa,3,2
ID1998722,1998722,38,2.28,88.494,3.464,0,10,10,3,1,-10921639,29.458000000000002,0,0,255,8160,81.65899999999999,1.994,0.804,0.322,fliC-,PaQa,3,2
ID1997736,1997736,38,2.199,88.62299999999999,3.592,0,11,11,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.8530000000000002,0.87,0.324,fliC-,PaQa,3,2
ID2000163,2000163,38,2.395,88.70299999999999,3.71,0,12,12,3,1,-10921639,29.458000000000002,0,0,255,8160,81.65899999999999,2.002,0.917,0.345,fliC-,PaQa,3,2
ID1999211,1999211,38,2.541,88.62299999999999,3.76,0,13,13,3,1,-10921639,35.903,0,0,255,9945,88.852,2.174,0.7809999999999999,0.354,fliC-,PaQa,3,2
ID2000645,2000645,38,2.247,88.52600000000001,3.522,0,14,14,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.98,1.0,0.348,fliC-,PaQa,3,2
ID2001131,2001131,38,2.3,88.82799999999999,3.721,0,15,15,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.857,0.977,0.344,fliC-,PaQa,3,2
ID2001597,2001597,38,2.169,89.039,3.5839999999999996,0,16,16,3,1,-10921639,26.697,0,0,255,7395,78.211,1.8090000000000002,0.9309999999999999,0.32899999999999996,fliC-,PaQa,3,2
ID2003552,2003552,38,2.244,88.86399999999999,3.484,0,17,17,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,2.161,1.0,0.348,fliC-,PaQa,3,2
ID2002074,2002074,38,2.205,88.726,3.228,0,18,18,3,1,-10921639,27.616999999999997,0,0,255,7650,79.388,1.857,1.0,0.348,fliC-,PaQa,3,2
ID2002551,2002551,38,1.999,88.245,2.6639999999999997,0,19,19,3,1,-10921639,26.697,0,0,255,7395,78.211,1.811,0.98,0.33799999999999997,fliC-,PaQa,3,2
ID2003053,2003053,38,2.217,87.556,2.55,0,20,20,3,1,-10921639,29.458000000000002,0,0,255,8160,81.65899999999999,2.005,0.965,0.354,fliC-,PaQa,3,2
ID2005000,2005000,38,2.1069999999999998,87.08200000000001,1.385,0,21,21,3,1,-10921639,33.357,0,0,255,9240,82.62899999999999,2.3209999999999997,1.0,0.40399999999999997,fliC-,PaQa,3,2
ID2004023,2004023,38,2.245,87.75,0.0,0,22,22,3,1,-10921639,34.585,0,0,255,9580,83.306,2.6719999999999997,1.0,0.415,fliC-,PaQa,3,2
ID2004507,2004507,38,3.0039999999999996,88.075,0.0,0,23,23,3,1,-10921639,44.585,0,0,255,12350,91.78299999999999,3.43,1.0,0.486,fliC-,PaQa,3,2
ID2005957,2005957,38,2.937,87.75,0.0,0,24,24,3,1,-10921639,36.585,0,0,255,10134,86.03399999999999,2.313,0.966,0.418,fliC-,PaQa,3,2
ID2006429,2006429,38,2.657,87.425,0.0,0,25,25,3,1,-10921639,32.578,0,0,255,9024,81.517,2.339,1.0,0.4,fliC-,PaQa,3,2
ID2005481,2005481,38,3.338,87.75,0.0,0,26,26,3,1,-10921639,45.365,0,0,255,12566,94.05,2.4330000000000003,1.0,0.48200000000000004,fliC-,PaQa,3,2
ID2007394,2007394,38,3.1430000000000002,87.425,0.0,0,27,27,3,1,-10921639,38.123000000000005,0,0,255,10560,87.339,2.362,1.0,0.436,fliC-,PaQa,3,2
