Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_5,5,75,1,1,0,0,0,75,0,75,1.347,5,199.923,44.753,0,0.198,1.7480000000000002,1.043e-06,0.077,0.32,2.773,4.002,2.342,2.725,0.266,cyaB-fliC-,PaQa,0,2
Track_18,18,29,0,0,0,0,0,28,0,28,6.431,18,74.024,9.84,0,0.5670000000000001,2.696,0.085,0.431,0.557,2.865,3.252,2.204,2.907,0.244,cyaB-fliC-,PaQa,0,2
Track_20,20,53,1,1,0,0,0,53,0,53,2.048,20,119.00200000000001,13.435,0,0.363,1.3769999999999998,0.005,0.251,0.348,2.866,3.395,2.4019999999999997,2.8339999999999996,0.225,cyaB-fliC-,PaQa,0,2
Track_23,23,190,1,1,0,0,0,190,0,190,1.0090000000000001,23,198.795,7.006,0,0.226,1.097,0.005,0.192,0.165,2.944,3.74,2.367,2.958,0.191,cyaB-fliC-,PaQa,0,2
Track_25,25,41,0,0,0,0,0,40,0,40,1.625,25,0.0,9.702,0,0.171,1.625,0.0,0.0,0.345,2.648,3.9389999999999996,1.694,2.464,0.563,cyaB-fliC-,PaQa,0,2
Track_29,29,150,0,0,0,0,0,149,0,149,0.789,29,177.854,18.441,0,0.218,0.9009999999999999,0.008,0.177,0.166,2.785,3.487,2.146,2.773,0.214,cyaB-fliC-,PaQa,0,2
Track_30,30,37,0,0,0,0,0,36,0,36,3.875,30,320.724,17.684,0,0.18899999999999997,1.344,5.104999999999999e-07,0.11699999999999999,0.276,3.185,3.674,1.768,3.264,0.33899999999999997,cyaB-fliC-,PaQa,0,2
Track_57,57,201,0,0,0,0,0,200,0,200,2.887,57,14.595999999999998,59.669,0,0.131,1.621,2.376e-08,0.07,0.21899999999999997,2.577,3.1210000000000004,1.693,2.5669999999999997,0.17300000000000001,cyaB-fliC-,PaQa,0,2
Track_62,62,125,0,0,0,0,0,124,0,124,1.518,62,238.825,46.369,0,0.212,1.7919999999999998,0.0,0.067,0.361,2.292,3.6689999999999996,1.754,2.293,0.287,cyaB-fliC-,PaQa,0,2
Track_67,67,64,0,0,0,0,0,63,0,63,3.301,67,242.37900000000002,65.99600000000001,0,0.15,2.799,8.078e-08,0.053,0.375,2.423,3.4189999999999996,1.754,2.498,0.267,cyaB-fliC-,PaQa,0,2
Track_72,72,87,0,0,0,0,0,86,0,86,1.7080000000000002,72,266.284,62.613,0,0.151,2.426,2.062e-08,0.067,0.324,2.556,3.56,2.023,2.605,0.266,cyaB-fliC-,PaQa,0,2
Track_73,73,58,1,1,0,0,0,58,0,58,2.697,73,138.124,127.456,0,0.084,2.705,7.829e-08,0.015,0.358,1.814,1.999,1.5819999999999999,1.8769999999999998,0.109,cyaB-fliC-,PaQa,0,2
Track_82,82,69,0,0,0,0,0,68,0,68,2.725,82,54.458,139.813,0,0.212,1.742,0.001,0.127,0.281,2.681,3.307,2.123,2.688,0.28600000000000003,cyaB-fliC-,PaQa,0,2
Track_85,85,138,1,1,0,0,0,138,0,138,1.148,85,318.41900000000004,134.243,0,0.11,1.127,2.23e-07,0.040999999999999995,0.188,2.655,3.68,2.2359999999999998,2.6460000000000004,0.168,cyaB-fliC-,PaQa,0,2
Track_88,88,170,1,1,0,0,0,170,0,170,3.9610000000000003,88,101.073,136.361,0,0.136,1.5019999999999998,5.178999999999999e-07,0.086,0.195,2.292,3.0439999999999996,1.709,2.2769999999999997,0.198,cyaB-fliC-,PaQa,0,2
Track_104,104,217,0,0,0,0,0,216,0,216,0.268,104,198.30200000000002,173.865,0,0.09300000000000001,0.7879999999999999,3.3989999999999995e-08,0.047,0.13,2.778,3.033,2.25,2.801,0.138,cyaB-fliC-,PaQa,0,2
Track_105,105,53,0,0,0,0,0,52,0,52,4.31,105,313.245,183.89,0,0.305,2.488,0.024,0.159,0.508,2.167,3.673,1.679,2.151,0.29600000000000004,cyaB-fliC-,PaQa,0,2
Track_107,107,261,1,1,0,0,0,261,0,261,2.0469999999999997,107,96.818,171.63099999999997,0,0.114,1.083,0.0,0.07200000000000001,0.147,2.401,2.977,1.656,2.425,0.141,cyaB-fliC-,PaQa,0,2
Track_111,111,124,0,0,0,0,0,123,0,123,6.017,111,151.233,196.58900000000003,0,0.22,2.0709999999999997,3.163e-07,0.109,0.309,2.1390000000000002,2.642,1.685,2.149,0.183,cyaB-fliC-,PaQa,0,2
Track_112,112,78,0,0,0,0,0,77,0,77,1.3730000000000002,112,53.92100000000001,186.298,0,0.14800000000000002,1.032,2.819e-08,0.094,0.188,2.7889999999999997,3.16,2.259,2.7939999999999996,0.14800000000000002,cyaB-fliC-,PaQa,0,2
Track_117,117,371,0,0,0,0,0,370,0,370,0.493,117,35.314,150.645,0,0.14300000000000002,0.841,8.77e-08,0.114,0.12300000000000001,2.204,2.702,1.59,2.27,0.235,cyaB-fliC-,PaQa,0,2
Track_118,118,112,1,1,0,0,0,112,0,112,4.391,118,86.583,149.912,0,0.184,1.11,2.874e-07,0.11900000000000001,0.19699999999999998,2.867,3.13,2.1719999999999997,2.9410000000000003,0.225,cyaB-fliC-,PaQa,0,2
Track_124,124,50,0,0,0,0,0,49,0,49,5.577000000000001,124,74.065,147.41,0,0.258,1.3630000000000002,5.723e-07,0.136,0.344,2.812,3.472,2.339,2.822,0.17,cyaB-fliC-,PaQa,0,2
Track_126,126,276,0,0,0,0,0,275,0,275,1.7309999999999999,126,118.13799999999999,161.738,0,0.131,0.9259999999999999,2.029e-07,0.102,0.11599999999999999,2.8810000000000002,3.216,2.128,2.887,0.11900000000000001,cyaB-fliC-,PaQa,0,2
Track_130,130,49,1,1,0,0,0,49,0,49,3.321,130,217.29,158.673,0,0.26899999999999996,1.749,0.01,0.141,0.335,2.221,3.951,1.584,2.174,0.479,cyaB-fliC-,PaQa,0,2
Track_133,133,112,0,0,0,0,0,111,0,111,2.002,133,185.24900000000002,232.328,0,0.14300000000000002,0.985,6.812999999999999e-07,0.095,0.171,2.418,2.925,1.73,2.399,0.149,cyaB-fliC-,PaQa,0,2
Track_134,134,22,1,1,0,0,0,22,0,22,1.31,134,244.59400000000002,230.801,0,0.335,1.2009999999999998,0.047,0.21600000000000003,0.335,2.443,3.085,2.154,2.428,0.214,cyaB-fliC-,PaQa,0,2
Track_136,136,82,0,0,0,0,0,81,0,81,21.729,136,320.329,230.826,0,0.442,2.8739999999999997,0.0005283999999999999,0.267,0.49700000000000005,2.463,3.208,1.661,2.504,0.26,cyaB-fliC-,PaQa,0,2
Track_146,146,34,1,1,0,0,0,34,0,34,1.251,146,228.604,242.66,0,0.23,1.168,0.025,0.14,0.257,1.949,2.294,1.534,1.972,0.21,cyaB-fliC-,PaQa,0,2
Track_150,150,24,1,1,0,0,0,24,0,24,2.87,150,322.994,198.917,0,0.966,2.6180000000000003,0.256,0.757,0.608,2.569,3.469,1.546,2.714,0.527,cyaB-fliC-,PaQa,0,2
Track_152,152,60,0,0,0,0,0,59,0,59,2.189,152,221.83,197.041,0,0.09300000000000001,0.9420000000000001,6.607000000000001e-08,0.05,0.158,2.35,2.5789999999999997,1.546,2.3890000000000002,0.174,cyaB-fliC-,PaQa,0,2
Track_157,157,64,0,0,0,0,0,63,0,63,6.598,157,230.338,218.18200000000002,0,0.264,2.345,1.119e-06,0.142,0.43700000000000006,2.292,2.531,1.798,2.302,0.14,cyaB-fliC-,PaQa,0,2
