Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_11411,1,142,0,0,0,0,0,141,0,141,6.992000000000001,1,134.635,159.096,0,0.136,2.516,6.865e-08,0.03,0.387,2.4419999999999997,2.842,1.349,2.479,0.207,fliC-,PaQa,0,3
Track_11412,2,92,0,0,0,0,0,91,0,91,0.37200000000000005,2,69.953,158.306,0,0.066,0.504,0.0,0.024,0.099,1.6280000000000001,2.293,1.261,1.6680000000000001,0.153,fliC-,PaQa,0,3
Track_11415,5,29,0,0,0,0,0,28,0,28,0.753,5,12.722000000000001,160.36700000000002,0,0.05,0.133,1.068e-07,0.061,0.039,2.376,2.576,2.171,2.418,0.113,fliC-,PaQa,0,3
Track_11417,7,139,0,0,0,0,0,138,0,138,2.68,7,146.751,163.467,0,0.045,2.9160000000000004,1.259e-07,0.008,0.249,2.54,2.6689999999999996,2.2319999999999998,2.544,0.085,fliC-,PaQa,0,3
Track_11418,8,46,0,0,0,0,0,45,0,45,1.103,8,126.757,161.447,0,0.142,0.479,0.0003881,0.11,0.128,2.052,2.696,1.6230000000000002,1.9780000000000002,0.332,fliC-,PaQa,0,3
Track_11419,9,63,0,0,0,0,0,62,0,62,0.5,9,117.04799999999999,166.31400000000002,0,0.153,0.9159999999999999,3.594e-07,0.127,0.142,2.7119999999999997,3.0239999999999996,2.491,2.713,0.126,fliC-,PaQa,0,3
Track_11423,13,88,0,0,0,0,0,87,0,87,0.48100000000000004,13,215.46,167.113,0,0.031,0.413,4.616e-09,0.016,0.054000000000000006,2.87,2.971,2.6830000000000003,2.877,0.066,fliC-,PaQa,0,3
Track_11427,17,34,0,0,0,0,0,33,0,33,5.912999999999999,17,166.024,164.94,0,0.609,1.192,0.127,0.5920000000000001,0.28800000000000003,1.672,2.2230000000000003,1.097,1.722,0.297,fliC-,PaQa,0,3
Track_11434,24,39,0,0,0,0,0,38,0,38,3.2030000000000003,24,256.899,172.606,0,0.13,2.5780000000000003,7.123e-07,0.027000000000000003,0.424,2.467,2.7510000000000003,2.23,2.491,0.083,fliC-,PaQa,0,3
Track_11436,26,188,0,0,0,0,0,187,0,187,0.662,26,267.486,144.997,0,0.027000000000000003,0.33799999999999997,5.4029999999999995e-12,0.02,0.042,2.673,2.82,2.451,2.701,0.075,fliC-,PaQa,0,3
Track_11439,29,32,0,0,0,0,0,31,0,31,0.6459999999999999,29,47.33,143.732,0,0.09300000000000001,0.384,0.02,0.059000000000000004,0.081,2.253,3.017,1.95,2.2430000000000003,0.212,fliC-,PaQa,0,3
