Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_23,23,27,0,0,0,0,0,26,0,26,1.876,23,321.08099999999996,302.16700000000003,0,0.43200000000000005,1.347,0.009000000000000001,0.318,0.368,2.218,2.5780000000000003,1.834,2.191,0.221,fliC-,PaQa,3,2
Track_38,38,35,0,0,0,0,0,34,0,34,1.89,38,88.20700000000001,1.93,0,0.498,1.699,0.0,0.325,0.457,2.3569999999999998,3.338,1.6740000000000002,2.247,0.371,fliC-,PaQa,3,2
Track_39,39,45,1,1,0,0,0,45,0,45,5.2,39,242.291,0.0,0,0.336,2.6,0.0,0.325,0.506,3.662,5.261,1.8559999999999999,3.823,0.8490000000000001,fliC-,PaQa,3,2
Track_40,40,61,1,1,0,0,0,61,0,61,0.0,40,308.97900000000004,0.0,0,0.127,1.3,0.0,0.0,0.254,3.3739999999999997,4.306,2.2119999999999997,3.495,0.405,fliC-,PaQa,3,2
Track_49,49,44,1,1,0,0,0,44,0,44,6.473,49,257.652,4.067,0,0.508,2.398,0.0,0.37799999999999995,0.428,2.641,3.7769999999999997,1.725,2.7030000000000003,0.43,fliC-,PaQa,3,2
Track_54,54,95,0,0,0,0,0,94,0,94,1.148,54,287.464,28.785,0,0.439,2.069,2.087e-07,0.35100000000000003,0.369,2.4219999999999997,3.7969999999999997,1.883,2.316,0.365,fliC-,PaQa,3,2
Track_58,58,35,1,1,0,0,0,35,0,35,4.522,58,194.28599999999997,22.421999999999997,0,0.7140000000000001,2.376,0.078,0.583,0.5820000000000001,3.5610000000000004,5.441,3.068,3.52,0.426,fliC-,PaQa,3,2
Track_71,71,28,1,1,0,0,0,28,0,28,3.387,71,40.174,43.559,0,0.858,2.251,0.231,0.733,0.413,3.245,4.967,2.195,3.3089999999999997,0.505,fliC-,PaQa,3,2
Track_79,79,37,1,1,0,0,0,37,0,37,3.667,79,89.604,32.133,0,0.19699999999999998,1.143,0.006999999999999999,0.11599999999999999,0.23600000000000002,3.35,3.9130000000000003,2.7039999999999997,3.375,0.214,fliC-,PaQa,3,2
Track_84,84,117,1,1,0,0,0,117,0,117,3.708,84,202.562,65.695,0,0.257,1.442,1.3040000000000001e-06,0.154,0.26899999999999996,2.0140000000000002,3.403,1.6380000000000001,1.965,0.24,fliC-,PaQa,3,2
Track_85,85,45,0,0,0,0,0,44,0,44,11.539000000000001,85,289.11,62.997,0,0.539,2.002,0.008,0.391,0.493,3.594,3.97,2.715,3.65,0.23800000000000002,fliC-,PaQa,3,2
Track_90,90,54,0,0,0,0,0,53,0,53,8.326,90,236.21599999999998,54.037,0,0.706,1.955,0.065,0.6829999999999999,0.43200000000000005,3.398,5.193,2.403,3.38,0.5920000000000001,fliC-,PaQa,3,2
Track_93,93,80,1,1,0,0,0,80,0,80,7.496,93,277.85400000000004,47.841,0,0.485,2.496,0.037000000000000005,0.406,0.387,3.5980000000000003,3.989,2.249,3.6310000000000002,0.26899999999999996,fliC-,PaQa,3,2
Track_101,101,22,0,0,0,0,0,21,0,21,3.241,101,289.599,81.673,0,0.361,1.14,0.015,0.182,0.355,3.068,3.735,2.266,3.0839999999999996,0.301,fliC-,PaQa,3,2
Track_102,102,35,1,1,0,0,0,35,0,35,1.65,102,51.608999999999995,78.92,0,0.578,2.1069999999999998,0.04,0.467,0.493,3.082,4.023,2.616,3.003,0.301,fliC-,PaQa,3,2
Track_112,112,49,1,1,0,0,0,49,0,49,15.943,112,112.693,71.378,0,0.69,2.589,0.01,0.447,0.662,3.161,3.787,1.7690000000000001,3.435,0.5529999999999999,fliC-,PaQa,3,2
Track_114,114,45,0,0,0,0,0,44,0,44,2.097,114,87.088,100.68799999999999,0,0.358,1.089,6.801000000000001e-07,0.3,0.27399999999999997,1.9369999999999998,2.63,1.646,1.8880000000000001,0.18899999999999997,fliC-,PaQa,3,2
Track_115,115,28,0,0,0,0,0,27,0,27,3.9,115,330.57099999999997,98.633,0,0.647,2.383,0.0,0.486,0.62,3.266,4.988,1.7480000000000002,3.1310000000000002,0.8370000000000001,fliC-,PaQa,3,2
Track_131,131,27,0,0,0,0,0,26,0,26,4.613,131,74.16199999999999,114.059,0,0.349,1.13,0.07400000000000001,0.258,0.315,3.449,3.763,3.114,3.457,0.146,fliC-,PaQa,3,2
Track_139,139,31,0,0,0,0,0,30,0,30,1.345,139,181.718,152.879,0,0.313,1.5030000000000001,0.002,0.2,0.35200000000000004,2.918,3.303,2.0869999999999997,2.985,0.273,fliC-,PaQa,3,2
Track_142,142,22,0,0,0,0,0,21,0,21,1.4509999999999998,142,188.135,153.10299999999998,0,0.655,1.9040000000000001,0.09300000000000001,0.491,0.57,2.7710000000000004,3.3080000000000003,2.347,2.802,0.196,fliC-,PaQa,3,2
Track_144,144,24,0,0,0,0,0,23,0,23,3.7030000000000003,144,323.453,145.76,0,0.534,1.663,0.106,0.43200000000000005,0.385,3.628,3.798,3.45,3.6310000000000002,0.091,fliC-,PaQa,3,2
Track_148,148,23,0,0,0,0,0,22,0,22,5.595,148,310.08299999999997,141.718,0,0.49,2.024,0.027999999999999997,0.331,0.535,3.207,3.477,2.673,3.264,0.201,fliC-,PaQa,3,2
Track_154,154,88,0,0,0,0,0,87,0,87,15.932,154,188.356,136.894,0,0.34600000000000003,1.865,1.776e-06,0.21600000000000003,0.33899999999999997,3.5010000000000003,3.88,2.347,3.554,0.198,fliC-,PaQa,3,2
Track_197,197,40,1,1,0,0,0,40,1,41,7.079,197,319.922,53.61600000000001,0,0.8859999999999999,1.91,0.131,0.899,0.436,3.42,4.717,2.305,3.528,0.612,fliC-,PaQa,3,2
Track_211,211,22,0,0,0,0,0,21,1,22,0.841,211,143.936,35.379,0,0.503,2.194,0.085,0.371,0.483,3.0810000000000004,3.56,2.2769999999999997,3.112,0.304,fliC-,PaQa,3,2
Track_280,280,22,0,0,0,0,0,21,1,22,2.231,280,245.187,111.995,0,0.534,1.61,0.15,0.431,0.37,3.292,4.7010000000000005,2.71,3.25,0.46399999999999997,fliC-,PaQa,3,2
Track_297,297,31,0,0,0,0,0,30,1,31,8.61,297,61.92100000000001,176.42700000000002,0,0.78,2.755,0.03,0.44299999999999995,0.775,3.19,3.57,2.127,3.27,0.304,fliC-,PaQa,3,2
