Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_1,1,601,0,0,0,0,0,600,0,600,0.9640000000000001,1,194.204,257.099,0,0.037000000000000005,0.5770000000000001,0.0,0.009000000000000001,0.07200000000000001,2.303,2.617,2.012,2.2880000000000003,0.078,pilG-fliC-,PaQa,0,3
Track_9,9,601,0,0,0,0,0,600,0,600,0.249,9,76.30199999999999,257.954,0,0.039,0.596,4.425e-07,0.023,0.053,1.8319999999999999,2.138,1.3519999999999999,1.827,0.073,pilG-fliC-,PaQa,0,3
Track_15,15,601,0,0,0,0,0,600,0,600,0.723,15,312.111,254.27,0,0.07400000000000001,0.519,3.675e-07,0.047,0.087,1.946,2.596,1.544,1.9669999999999999,0.207,pilG-fliC-,PaQa,0,3
Track_31,31,60,0,0,0,0,0,59,0,59,0.363,31,147.477,254.31,0,0.055999999999999994,0.45899999999999996,7.21e-07,0.036000000000000004,0.08199999999999999,2.249,2.352,1.805,2.278,0.078,pilG-fliC-,PaQa,0,3
Track_32,32,601,0,0,0,0,0,600,0,600,0.698,32,32.518,254.03,0,0.105,0.563,5.819e-07,0.096,0.068,2.3,2.639,1.945,2.315,0.152,pilG-fliC-,PaQa,0,3
Track_35,35,601,0,0,0,0,0,600,0,600,0.07200000000000001,35,192.882,97.573,0,0.042,1.265,1.2869999999999998e-07,0.013999999999999999,0.114,1.8259999999999998,2.3280000000000003,1.462,1.8419999999999999,0.11699999999999999,pilG-fliC-,PaQa,0,3
Track_37,37,601,0,0,0,0,0,600,0,600,0.235,37,200.415,97.316,0,0.042,0.638,7.306000000000001e-08,0.024,0.053,1.8559999999999999,2.633,1.595,1.865,0.11800000000000001,pilG-fliC-,PaQa,0,3
Track_40,40,601,0,0,0,0,0,600,0,600,0.175,40,27.991,267.795,0,0.10300000000000001,0.9209999999999999,8.789e-07,0.08,0.098,1.7719999999999998,2.49,1.101,1.764,0.134,pilG-fliC-,PaQa,0,3
Track_43,43,127,0,0,0,0,0,126,0,126,0.387,43,93.79700000000001,116.292,0,0.036000000000000004,0.585,5.683e-08,0.033,0.061,2.081,2.194,1.8019999999999998,2.092,0.059000000000000004,pilG-fliC-,PaQa,0,3
Track_44,44,200,0,0,0,0,0,199,0,199,0.28300000000000003,44,20.163,268.30400000000003,0,0.106,1.229,8.609e-07,0.084,0.131,1.514,1.8230000000000002,1.044,1.4969999999999999,0.11199999999999999,pilG-fliC-,PaQa,0,3
Track_45,45,601,0,0,0,0,0,600,0,600,0.239,45,61.198,268.49,0,0.08199999999999999,0.615,2.2010000000000002e-07,0.065,0.076,2.2319999999999998,2.528,1.8259999999999998,2.25,0.121,pilG-fliC-,PaQa,0,3
Track_53,53,601,0,0,0,0,0,600,0,600,0.382,53,189.037,266.241,0,0.033,0.507,0.0,0.006999999999999999,0.055,1.946,2.261,1.4869999999999999,1.9169999999999998,0.136,pilG-fliC-,PaQa,0,3
Track_56,56,79,0,0,0,0,0,78,0,78,1.4780000000000002,56,151.254,266.948,0,0.078,1.479,0.0,0.03,0.214,2.451,2.8139999999999996,1.952,2.498,0.10300000000000001,pilG-fliC-,PaQa,0,3
Track_60,60,601,0,0,0,0,0,600,0,600,0.527,60,79.415,263.402,0,0.063,0.611,7.940000000000001e-08,0.05,0.064,2.231,2.6510000000000002,1.5930000000000002,2.225,0.12300000000000001,pilG-fliC-,PaQa,0,3
Track_62,62,601,0,0,0,0,0,600,0,600,0.5529999999999999,62,71.428,263.695,0,0.084,0.852,0.0,0.054000000000000006,0.10300000000000001,2.2230000000000003,2.6310000000000002,1.8630000000000002,2.255,0.162,pilG-fliC-,PaQa,0,3
Track_63,63,70,0,0,0,0,0,69,0,69,1.5630000000000002,63,52.18600000000001,109.103,0,0.134,1.645,0.004,0.067,0.28800000000000003,1.98,2.647,1.835,1.9669999999999999,0.09,pilG-fliC-,PaQa,0,3
Track_65,65,601,0,0,0,0,0,600,0,600,0.068,65,243.459,263.877,0,0.027999999999999997,0.494,5.79e-08,0.013999999999999999,0.049,2.1390000000000002,2.617,1.824,2.113,0.08800000000000001,pilG-fliC-,PaQa,0,3
Track_66,66,55,0,0,0,0,0,54,0,54,1.75,66,237.41299999999998,109.109,0,0.069,1.6740000000000002,1.087e-06,0.013999999999999999,0.228,1.49,2.642,1.2990000000000002,1.446,0.171,pilG-fliC-,PaQa,0,3
Track_74,74,601,0,0,0,0,0,600,0,600,0.27899999999999997,74,161.234,106.795,0,0.077,1.1179999999999999,9.791999999999999e-08,0.048,0.094,2.12,2.813,1.645,2.112,0.14,pilG-fliC-,PaQa,0,3
Track_75,75,601,0,0,0,0,0,600,0,600,0.586,75,311.195,260.14099999999996,0,0.201,1.08,0.002,0.184,0.125,1.761,2.544,1.141,1.7619999999999998,0.243,pilG-fliC-,PaQa,0,3
Track_76,76,601,0,0,0,0,0,600,0,600,0.275,76,119.62200000000001,106.839,0,0.045,0.41600000000000004,0.0,0.034,0.049,2.533,2.763,2.08,2.548,0.105,pilG-fliC-,PaQa,0,3
Track_77,77,494,0,0,0,0,0,493,0,493,0.27,77,97.329,260.091,0,0.027999999999999997,0.541,1.342e-07,0.019,0.042,2.551,2.717,2.28,2.549,0.073,pilG-fliC-,PaQa,0,3
Track_79,79,601,0,0,0,0,0,600,0,600,0.218,79,291.75,261.868,0,0.036000000000000004,0.38799999999999996,5.276e-08,0.032,0.038,1.8019999999999998,2.08,1.527,1.825,0.08800000000000001,pilG-fliC-,PaQa,0,3
Track_80,80,601,0,0,0,0,0,600,0,600,0.295,80,243.334,106.815,0,0.122,0.505,5.848e-07,0.11699999999999999,0.076,2.084,2.383,1.6030000000000002,2.103,0.122,pilG-fliC-,PaQa,0,3
Track_82,82,601,0,0,0,0,0,600,0,600,0.159,82,252.06400000000002,262.45099999999996,0,0.027999999999999997,0.9229999999999999,8.511e-07,0.016,0.06,1.6640000000000001,2.7,1.245,1.695,0.106,pilG-fliC-,PaQa,0,3
Track_83,83,601,0,0,0,0,0,600,0,600,0.16699999999999998,83,111.85700000000001,107.762,0,0.040999999999999995,0.69,0.0,0.013000000000000001,0.07,2.408,2.813,2.17,2.415,0.078,pilG-fliC-,PaQa,0,3
Track_84,84,601,0,0,0,0,0,600,0,600,0.366,84,278.428,262.02,0,0.081,0.325,1.0720000000000001e-07,0.06,0.066,2.024,2.293,1.4909999999999999,2.065,0.149,pilG-fliC-,PaQa,0,3
Track_86,86,601,0,0,0,0,0,600,0,600,0.16399999999999998,86,228.646,93.031,0,0.023,1.161,1.369e-09,1.588e-06,0.085,2.675,2.795,2.1630000000000003,2.6460000000000004,0.084,pilG-fliC-,PaQa,0,3
Track_93,93,601,0,0,0,0,0,600,0,600,0.41600000000000004,93,149.679,308.086,0,0.027999999999999997,0.262,8.767000000000002e-08,0.013999999999999999,0.035,2.186,2.47,1.827,2.252,0.138,pilG-fliC-,PaQa,0,3
Track_94,94,601,0,0,0,0,0,600,0,600,0.473,94,34.192,309.01099999999997,0,0.065,0.607,0.0,0.037000000000000005,0.079,2.499,2.826,2.149,2.479,0.129,pilG-fliC-,PaQa,0,3
Track_96,96,601,0,0,0,0,0,600,0,600,0.17600000000000002,96,101.11399999999999,309.543,0,0.052000000000000005,0.501,1.1119999999999999e-07,0.034,0.057999999999999996,1.879,2.612,1.25,1.795,0.22899999999999998,pilG-fliC-,PaQa,0,3
Track_98,98,601,0,0,0,0,0,600,0,600,0.386,98,202.787,304.362,0,0.040999999999999995,0.292,0.0001446,0.022000000000000002,0.046,1.926,2.323,1.6669999999999998,1.892,0.133,pilG-fliC-,PaQa,0,3
Track_103,103,601,0,0,0,0,0,600,0,600,0.244,103,19.15,307.757,0,0.08,1.355,4.015e-08,0.046,0.124,1.614,1.87,1.157,1.617,0.081,pilG-fliC-,PaQa,0,3
