Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_0,0,3,0,0,0,0,0,2,0,2,1.041,0,10.199,226.407,0,1.358,1.388,1.327,1.388,0.043,15.222,16.973,12.007,16.687,2.277,cpdA-fliC-,PaQa,1,1
Track_1,1,134,0,0,0,0,0,133,0,133,0.619,1,143.292,229.371,0,0.219,2.911,0.0,0.123,0.342,14.868,19.142,10.745,14.966,1.589,cpdA-fliC-,PaQa,1,1
Track_2,2,11,0,0,0,0,0,10,0,10,1.405,2,227.353,195.711,0,0.6920000000000001,1.26,2.345e-08,0.915,0.446,14.651,19.731,10.178,13.387,2.784,cpdA-fliC-,PaQa,1,1
Track_3,3,23,2,1,0,0,0,24,0,24,10.648,3,315.254,23.176,0,0.931,2.061,0.0,0.926,0.6829999999999999,17.245,20.029,10.178,17.574,2.6910000000000003,cpdA-fliC-,PaQa,1,1
Track_4,4,14,0,0,0,0,0,13,0,13,2.2230000000000003,4,282.092,59.793,0,0.59,1.126,0.165,0.573,0.311,18.364,20.458,13.984000000000002,18.733,1.541,cpdA-fliC-,PaQa,1,1
Track_5,5,18,1,1,0,0,0,18,0,18,13.74,5,268.712,290.0490000000001,0,1.157,3.5,0.08199999999999999,0.972,0.877,16.285999999999998,18.027,13.387,16.708,1.463,cpdA-fliC-,PaQa,1,1
Track_6,6,23,2,1,0,0,0,24,0,24,15.861,6,115.11,230.989,0,1.143,2.942,0.174,0.848,0.857,16.159000000000002,18.75,5.214,17.11,3.116,cpdA-fliC-,PaQa,1,1
Track_7,7,41,2,2,0,0,0,43,0,43,7.951,7,98.129,250.958,0,1.213,4.441,0.14300000000000002,1.121,0.975,16.119,18.75,5.214,16.97,2.519,cpdA-fliC-,PaQa,1,1
Track_8,8,12,2,6,0,0,0,18,0,18,6.7360000000000015,8,247.759,159.29399999999995,0,0.902,1.95,0.16699999999999998,0.755,0.496,14.725,19.58,5.214,17.11,4.9030000000000005,cpdA-fliC-,PaQa,1,1
Track_9,9,17,3,3,0,0,0,22,0,22,14.054,9,118.329,143.716,0,0.937,1.95,0.114,0.955,0.56,14.343,19.257,7.6960000000000015,13.836,3.175,cpdA-fliC-,PaQa,1,1
Track_10,10,2,0,0,0,0,0,1,0,1,1.327,10,205.081,153.243,0,1.327,1.327,1.327,1.327,,6.455,7.6960000000000015,5.214,7.6960000000000015,1.241,cpdA-fliC-,PaQa,1,1
Track_11,11,22,4,4,0,0,0,30,1,31,9.218,11,295.201,78.747,0,0.764,2.081,3.54e-07,0.6940000000000001,0.574,12.403,17.977,5.214,13.836,4.55,cpdA-fliC-,PaQa,1,1
Track_12,12,7,0,0,0,0,0,6,1,7,1.511,12,206.415,195.487,0,0.735,1.068,0.376,0.836,0.243,16.895,19.555,14.728,16.785999999999998,1.574,cpdA-fliC-,PaQa,1,1
Track_13,13,24,1,2,0,0,0,25,1,26,5.323,13,229.736,85.947,0,0.626,1.319,0.1,0.5710000000000001,0.34700000000000003,15.769,18.162,5.214,16.094,2.456,cpdA-fliC-,PaQa,1,1
Track_14,14,5,3,4,0,0,0,13,1,14,1.628,14,119.578,27.077,0,0.337,0.52,0.154,0.41,0.161,17.503,18.249,16.787,17.514,0.527,cpdA-fliC-,PaQa,1,1
Track_15,15,120,6,2,0,0,0,127,1,128,62.627,15,139.828,79.54899999999998,0,0.98,3.175,0.086,0.887,0.574,17.33,20.588,4.99,18.282,2.774,cpdA-fliC-,PaQa,1,1
Track_16,16,76,4,1,0,0,0,79,1,80,63.328,16,253.451,119.733,0,1.161,3.648,0.081,0.959,0.784,17.512999999999998,20.155,15.298,17.511,1.002,cpdA-fliC-,PaQa,1,1
Track_17,17,67,4,1,0,0,0,70,1,71,11.879,17,312.315,269.95,0,0.852,2.54,0.127,0.8079999999999999,0.536,17.143,19.092,13.644,17.134,1.014,cpdA-fliC-,PaQa,1,1
Track_18,18,20,7,2,0,0,0,28,2,30,2.684,18,194.349,7.286,0,0.574,1.605,4.67e-07,0.481,0.404,7.267,13.487,5.214,5.214,2.668,cpdA-fliC-,PaQa,1,1
Track_19,19,4,0,0,0,0,0,3,3,6,2.676,19,266.905,176.453,0,1.054,1.121,0.936,1.106,0.103,11.077,14.353,5.214,12.371,3.48,cpdA-fliC-,PaQa,1,1
Track_20,20,18,1,1,0,0,0,18,4,22,5.759,20,206.947,154.97899999999996,0,0.879,2.53,0.124,0.774,0.6709999999999999,13.884,18.162,5.214,16.094,3.879,cpdA-fliC-,PaQa,1,1
Track_21,21,3,0,0,0,0,0,2,4,6,1.169,21,204.971,153.438,0,0.585,0.789,0.38,0.789,0.289,8.306000000000001,12.007,5.214,7.6960000000000015,2.807,cpdA-fliC-,PaQa,1,1
Track_22,22,13,0,0,0,0,0,12,5,17,2.546,22,267.482,176.85299999999995,0,0.7829999999999999,2.345,0.172,0.899,0.5920000000000001,16.668,19.731,12.371,16.99,2.281,cpdA-fliC-,PaQa,1,1
