Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_3138,0,35,2,4,0,0,0,39,0,39,1.648,0,172.701,132.999,0,0.5579999999999999,1.6269999999999998,2.308e-08,0.5329999999999999,0.516,8.3,13.401,4.392,8.74,2.67,cyaB-fliC-,PaQa,2,1
Track_3139,1,18,3,2,0,0,0,21,0,21,5.85,1,39.68,139.615,0,0.441,2.54,8.878999999999998e-08,0.131,0.688,7.917999999999998,17.092,3.939,9.113,3.242,cyaB-fliC-,PaQa,2,1
Track_3140,2,57,4,2,0,0,0,61,0,61,1.425,2,132.132,139.623,0,0.086,1.042,6.051e-08,7.556e-07,0.188,11.768,16.749000000000002,5.214,13.172,3.888,cyaB-fliC-,PaQa,2,1
Track_3141,3,17,2,2,0,0,0,19,0,19,0.362,3,100.555,147.282,0,0.03,0.258,8.527e-14,7.252e-07,0.067,6.964,10.178,5.172999999999999,5.214,2.046,cyaB-fliC-,PaQa,2,1
Track_3142,4,16,3,2,0,0,0,19,0,19,0.25,4,8.389,142.87,0,0.284,1.7619999999999998,0.0,0.113,0.458,10.397,18.682,5.214,10.178,3.014,cyaB-fliC-,PaQa,2,1
Track_3143,5,12,1,5,0,0,0,16,0,16,0.031,5,129.964,122.626,0,0.334,0.904,0.018000000000000002,0.314,0.329,6.028,13.187,4.8439999999999985,5.214,2.272,cyaB-fliC-,PaQa,2,1
Track_3144,6,79,1,2,0,0,0,80,0,80,1.0,6,37.347,127.181,0,0.038,0.262,0.0,7.009e-07,0.069,18.371,19.435,17.37,18.141,0.498,cyaB-fliC-,PaQa,2,1
Track_3145,7,17,0,0,0,0,0,16,0,16,1.033,7,219.66,126.891,0,0.38,2.032,1.218e-07,0.258,0.528,10.574000000000002,16.086,6.292000000000002,10.178,2.43,cyaB-fliC-,PaQa,2,1
Track_3146,8,37,1,1,0,0,0,37,0,37,0.325,8,87.77799999999998,183.919,0,0.047,0.7140000000000001,0.0,2.73e-07,0.132,9.365,11.358,7.6960000000000015,8.997,0.7490000000000001,cyaB-fliC-,PaQa,2,1
Track_3147,9,66,3,2,0,0,0,69,0,69,1.143,9,143.48,184.018,0,0.068,0.93,7.361000000000001e-08,0.004,0.133,16.164,19.289,13.95,16.497,0.984,cyaB-fliC-,PaQa,2,1
Track_3148,10,10,4,2,0,0,0,14,0,14,0.443,10,284.259,159.27100000000004,0,0.301,0.65,0.011,0.336,0.234,8.232000000000001,13.836,5.214,7.6960000000000015,3.21,cyaB-fliC-,PaQa,2,1
Track_3149,11,32,2,2,0,0,0,35,0,35,0.821,11,284.379,159.589,0,0.482,1.872,3.797e-07,0.433,0.407,10.856,16.96,5.214,12.007,3.999,cyaB-fliC-,PaQa,2,1
Track_3150,12,10,1,1,0,0,0,10,0,10,0.417,12,328.709,169.75799999999995,0,0.206,0.655,4.376e-07,0.202,0.246,8.103,12.435,5.15,8.634,3.113,cyaB-fliC-,PaQa,2,1
Track_3151,13,43,0,0,0,0,0,42,0,42,0.737,13,143.373,236.924,0,0.171,1.737,2.665e-09,0.018000000000000002,0.375,13.569,15.666,12.007,13.487,0.667,cyaB-fliC-,PaQa,2,1
Track_3152,14,16,4,1,0,0,0,19,0,19,0.672,14,80.791,235.55900000000003,0,0.6609999999999999,1.675,3.325e-07,0.589,0.398,7.907,16.033,5.214,7.6960000000000015,3.164,cyaB-fliC-,PaQa,2,1
Track_3153,15,9,2,2,0,0,0,12,0,12,5.908,15,130.35299999999998,241.923,0,0.716,1.629,5.816e-09,0.762,0.626,7.746,10.630999999999998,5.214,7.6960000000000015,2.397,cyaB-fliC-,PaQa,2,1
Track_3154,16,12,1,2,0,0,0,13,0,13,2.1830000000000003,16,150.678,243.245,0,0.365,1.948,7.02e-07,0.223,0.5670000000000001,7.432,13.182,4.584,5.2120000000000015,2.962,cyaB-fliC-,PaQa,2,1
Track_3155,17,3,0,0,0,0,0,2,0,2,0.741,17,99.233,244.508,0,0.3720000000000001,0.7120000000000001,0.031,0.7120000000000001,0.481,6.041,7.6960000000000015,5.214,5.214,1.17,cyaB-fliC-,PaQa,2,1
Track_3156,18,6,1,3,0,0,0,8,0,8,1.061,18,99.398,202.609,0,0.954,1.625,0.292,1.223,0.6,10.228,16.749000000000002,5.214,10.178,3.544,cyaB-fliC-,PaQa,2,1
Track_3157,19,33,4,2,0,0,0,37,0,37,1.167,19,122.818,201.782,0,0.266,1.764,2.048e-08,0.14300000000000002,0.393,12.358,16.033,5.214,12.88,3.384,cyaB-fliC-,PaQa,2,1
Track_3158,20,26,0,0,0,0,0,25,0,25,0.5429999999999999,20,292.653,216.816,0,0.124,0.425,0.0,0.07200000000000001,0.142,18.496,19.232,17.574,18.5,0.509,cyaB-fliC-,PaQa,2,1
Track_3159,21,70,2,3,0,0,0,74,0,74,2.218,21,157.122,212.221,0,0.255,1.13,2.247e-08,0.187,0.235,8.937000000000003,13.883,4.098,8.993,2.514,cyaB-fliC-,PaQa,2,1
Track_3160,22,44,1,3,0,0,0,46,0,46,4.136,22,302.5,217.788,0,0.471,2.7060000000000004,8.521000000000001e-08,0.335,0.5760000000000001,13.387,19.555,3.997,13.686,4.476,cyaB-fliC-,PaQa,2,1
Track_3161,23,13,1,1,0,0,0,13,0,13,0.924,23,255.011,230.405,0,0.134,0.478,1.511e-07,0.113,0.16399999999999998,11.098,15.017,9.525,11.423,1.589,cyaB-fliC-,PaQa,2,1
Track_3162,24,11,3,1,0,0,0,13,0,13,3.0550000000000003e-07,24,261.68,269.379,0,0.321,0.65,1.817e-07,0.37,0.238,7.791,11.355,5.214,7.6960000000000015,2.16,cyaB-fliC-,PaQa,2,1
Track_3163,25,3,0,0,0,0,0,2,0,2,0.14800000000000002,25,100.642,269.587,0,0.411,0.477,0.34600000000000003,0.477,0.093,8.505,10.178,5.214,10.122,2.327,cyaB-fliC-,PaQa,2,1
Track_3164,26,154,0,0,0,0,0,153,0,153,3.305,26,74.663,271.435,0,0.079,3.116,0.0,1.989e-07,0.322,15.433,21.172,13.487,15.316,0.777,cyaB-fliC-,PaQa,2,1
Track_3165,27,4,0,0,0,0,0,3,0,3,0.258,27,233.736,253.52,0,0.086,0.258,2.391e-07,3.1120000000000003e-07,0.149,8.316,10.178,7.6960000000000015,7.6960000000000015,1.075,cyaB-fliC-,PaQa,2,1
Track_3166,28,27,2,3,0,0,0,30,0,30,1.014,28,300.582,258.06,0,0.723,1.949,2.816e-07,0.785,0.5379999999999999,11.219,17.765,5.214,12.371,3.093,cyaB-fliC-,PaQa,2,1
Track_3167,29,15,0,0,0,0,0,14,0,14,1.354,29,169.408,14.117,0,0.4,1.298,0.0,0.299,0.476,13.675,17.46,5.214,15.017,3.607,cyaB-fliC-,PaQa,2,1
Track_3168,30,41,4,1,0,0,0,44,0,44,2.927,30,307.956,16.123,0,0.412,1.7819999999999998,8.114e-07,0.336,0.3720000000000001,10.951,24.802,5.214,12.007,4.368,cyaB-fliC-,PaQa,2,1
Track_3169,31,73,2,2,0,0,0,75,0,75,1.016,31,184.706,17.113,0,0.16699999999999998,0.66,0.0,0.069,0.214,17.87,23.518,14.853,18.162,0.888,cyaB-fliC-,PaQa,2,1
Track_3170,32,16,0,0,0,0,0,15,0,15,3.262,32,304.422,300.121,0,0.31,2.667,5.396e-08,5.206e-07,0.685,10.684,18.85,7.416,11.355,3.195,cyaB-fliC-,PaQa,2,1
Track_3171,33,2,0,0,0,0,0,1,0,1,0.918,33,214.506,302.895,0,0.918,0.918,0.918,0.918,,6.977,8.74,5.214,8.74,1.763,cyaB-fliC-,PaQa,2,1
Track_3172,34,37,0,0,0,0,0,36,0,36,3.661,34,268.257,17.512,0,0.404,2.826,2.241e-08,0.235,0.5760000000000001,13.355,18.162,7.6960000000000015,13.187,1.784,cyaB-fliC-,PaQa,2,1
Track_3173,35,2,0,0,0,0,0,1,0,1,0.905,35,214.49400000000003,302.894,0,0.905,0.905,0.905,0.905,,6.977,8.74,5.214,8.74,1.763,cyaB-fliC-,PaQa,2,1
Track_3174,36,11,0,0,0,0,0,10,0,10,1.0659999999999998,36,279.403,278.821,0,0.3670000000000001,1.34,0.0,0.325,0.4370000000000001,12.414,17.765,7.6960000000000015,10.178,4.092,cyaB-fliC-,PaQa,2,1
Track_3175,37,378,3,1,0,0,0,380,0,380,3.9,37,99.385,0.185,0,0.272,2.6,0.0,0.0,0.485,19.727,25.617,3.692,21.047,3.89,cyaB-fliC-,PaQa,2,1
Track_3176,38,8,0,0,0,0,0,7,0,7,1.511,38,300.619,282.272,0,0.483,1.278,5.471e-07,0.35700000000000004,0.447,9.252,16.033,5.214,7.6960000000000015,4.7010000000000005,cyaB-fliC-,PaQa,2,1
Track_3177,39,11,1,1,0,0,0,11,0,11,0.237,39,301.782,4.141,0,0.019,0.11,1.094e-07,3.596e-07,0.034,10.079,11.912,5.214,11.912,2.979,cyaB-fliC-,PaQa,2,1
Track_3178,40,5,0,0,0,0,0,4,0,4,2.799,40,192.342,283.191,0,0.73,1.709,1.016e-07,0.8109999999999999,0.732,9.333,14.702,5.214,10.178,3.676,cyaB-fliC-,PaQa,2,1
Track_3179,41,17,3,3,0,0,0,21,0,21,1.356,41,125.089,283.39,0,0.232,0.979,1.844e-08,0.233,0.25,11.762,18.657,5.214,13.184,4.966,cyaB-fliC-,PaQa,2,1
Track_3180,42,24,1,2,0,0,0,25,0,25,2.346,42,196.736,7.182,0,0.575,1.94,3.175e-13,0.425,0.505,12.92,16.094,11.358,13.187,1.411,cyaB-fliC-,PaQa,2,1
Track_3181,43,7,0,0,0,0,0,6,0,6,0.968,43,288.923,37.676,0,0.16399999999999998,0.919,1.666e-07,0.005,0.371,11.419,13.183,10.169,10.178,1.4409999999999998,cyaB-fliC-,PaQa,2,1
Track_3182,44,30,0,0,0,0,0,29,0,29,3.104,44,196.957,38.234,0,0.243,3.104,0.0,7.048999999999998e-07,0.574,8.616,12.968,5.214,7.6960000000000015,1.529,cyaB-fliC-,PaQa,2,1
Track_3183,45,26,2,3,0,0,0,29,0,29,0.713,45,258.444,26.757,0,0.128,0.5579999999999999,1.583e-09,0.02,0.18,11.828,14.054,7.6960000000000015,13.836,2.485,cyaB-fliC-,PaQa,2,1
Track_3184,46,265,5,1,0,0,0,269,0,269,4.3580000000000005,46,82.77799999999998,306.251,0,0.421,3.0,0.0,0.319,0.413,19.74,23.878,12.934,20.173,2.365,cyaB-fliC-,PaQa,2,1
Track_3185,47,2,0,0,0,0,0,1,0,1,0.821,47,298.933,29.495,0,0.821,0.821,0.821,0.821,,12.747,16.497,8.997,16.497,3.75,cyaB-fliC-,PaQa,2,1
Track_3186,48,6,2,1,0,0,0,7,0,7,5.161e-07,48,10.023,313.627,0,0.107,0.314,3.2430000000000007e-08,0.031,0.131,5.627999999999999,7.6960000000000015,5.214,5.214,0.925,cyaB-fliC-,PaQa,2,1
Track_3187,49,8,0,0,0,0,0,7,0,7,2.969,49,159.143,33.276,0,0.741,3.068,6.637e-07,0.395,1.0590000000000002,17.608,22.513,12.535,18.454,3.384,cyaB-fliC-,PaQa,2,1
Track_3188,50,8,2,4,0,0,0,12,0,12,2.859,50,10.33,313.4240000000001,0,0.174,0.575,4.79e-07,0.016,0.23,7.28,19.257,5.214,5.214,4.599,cyaB-fliC-,PaQa,2,1
Track_3189,51,16,0,0,0,0,0,15,0,15,6.61,51,76.07600000000002,74.391,0,0.8440000000000001,2.7030000000000003,7.002999999999999e-08,0.368,0.981,13.841,17.541,8.638,13.829,2.503,cyaB-fliC-,PaQa,2,1
Track_3190,52,39,2,2,0,0,0,41,0,41,0.7240000000000001,52,267.119,72.135,0,0.162,0.723,0.0,0.003,0.231,8.856,13.187,5.2010000000000005,7.6960000000000015,2.139,cyaB-fliC-,PaQa,2,1
