Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_15877,0,67,1,1,0,0,0,67,0,67,11.949000000000002,0,121.364,142.64700000000005,0,0.526,1.473,5.958e-07,0.477,0.344,4.3260000000000005,7.194,1.23,4.216,1.4340000000000002,fliC-,PaQa,0,1
Track_15878,1,8,0,0,0,0,0,7,0,7,0.275,1,279.072,36.295,0,0.21,0.597,7.583e-07,0.104,0.251,7.825,8.007,7.147,7.941,0.266,fliC-,PaQa,0,1
Track_15879,2,18,1,1,0,0,0,18,0,18,4.849,2,217.996,149.44,0,0.87,3.037,0.038,0.762,0.782,7.317,9.581,3.954,7.198,1.753,fliC-,PaQa,0,1
Track_15880,3,215,0,0,0,0,0,214,0,214,3.642,3,128.009,150.774,0,0.071,2.157,0.0,0.01,0.16399999999999998,6.33,11.211,4.9860000000000015,6.29,0.7190000000000001,fliC-,PaQa,0,1
Track_15881,4,80,1,4,0,0,0,83,0,83,8.329,4,203.658,149.898,0,0.17800000000000002,1.234,1.875e-08,0.11,0.232,7.355,8.201,3.971,7.705,0.76,fliC-,PaQa,0,1
Track_15882,5,56,5,1,0,0,0,60,0,60,5.142,5,78.082,35.529,0,0.508,2.834,0.014,0.355,0.453,5.547999999999999,11.419,1.171,5.559,2.592,fliC-,PaQa,0,1
Track_15883,6,30,4,2,0,0,0,34,0,34,0.272,6,74.937,150.518,0,0.044,0.278,0.0,1.857e-06,0.097,2.494,2.977,2.012,2.977,0.483,fliC-,PaQa,0,1
Track_15884,7,601,0,0,0,0,0,600,0,600,0.8590000000000001,7,19.032,37.659,0,0.045,0.509,0.0,0.0007088999999999999,0.071,9.902,11.354,8.604,9.943,0.5529999999999999,fliC-,PaQa,0,1
Track_15885,8,402,1,3,0,0,0,404,0,404,2.543,8,167.12099999999995,38.754,0,0.118,1.599,0.0,0.057,0.182,8.623,10.155,1.933,8.934,1.218,fliC-,PaQa,0,1
Track_15886,9,46,1,2,0,0,0,47,0,47,4.702,9,88.594,41.13800000000001,0,0.7090000000000001,2.1630000000000003,0.011,0.614,0.498,6.985,17.477,2.012,7.443,2.492,fliC-,PaQa,0,1
