Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_1559,0,130,2,2,0,0,0,132,0,132,0.292,0,206.127,85.788,0,0.076,0.358,6.427e-09,0.06,0.071,5.178,5.8370000000000015,4.851,5.143,0.188,pilG-fliC-,PaQa,3,1
Track_1560,1,601,0,0,0,0,0,600,0,600,0.5820000000000001,1,198.293,86.611,0,0.106,0.865,0.0,0.075,0.12,5.042,5.978,3.545,5.237,0.527,pilG-fliC-,PaQa,3,1
Track_1561,2,601,0,0,0,0,0,600,0,600,0.257,2,44.712,83.29299999999998,0,0.067,0.48,0.0,0.063,0.069,4.8260000000000005,6.082000000000002,4.317,4.807,0.287,pilG-fliC-,PaQa,3,1
Track_1562,3,601,0,0,0,0,0,600,0,600,0.32,3,117.38,84.292,0,0.062,0.258,0.0,0.059,0.054000000000000006,5.134,6.114,4.307,5.1789999999999985,0.23,pilG-fliC-,PaQa,3,1
Track_1563,4,44,2,2,0,0,0,46,0,46,0.18600000000000005,4,130.851,81.624,0,0.139,0.4970000000000001,5.917999999999999e-08,0.061,0.156,2.455,3.78,1.151,2.207,0.879,pilG-fliC-,PaQa,3,1
Track_1564,5,132,1,5,0,0,0,136,0,136,2.185,5,19.329,81.40100000000002,0,0.121,0.611,3.074e-07,0.07200000000000001,0.126,2.812,3.699,1.464,2.909,0.5660000000000001,pilG-fliC-,PaQa,3,1
Track_1565,6,381,2,1,0,0,0,382,0,382,5.009,6,22.368,81.373,0,0.095,0.7070000000000001,0.0,0.066,0.106,4.558,7.364,2.235,4.634,1.206,pilG-fliC-,PaQa,3,1
Track_1566,7,601,0,0,0,0,0,600,0,600,0.5589999999999999,7,135.912,93.816,0,0.026,0.387,0.0,0.001,0.052000000000000005,5.676,6.6720000000000015,5.023,5.685,0.28300000000000003,pilG-fliC-,PaQa,3,1
Track_1567,8,4,0,0,0,0,0,3,0,3,0.585,8,97.213,95.105,0,0.195,0.579,1.7510000000000005e-07,0.006,0.333,1.5019999999999998,2.553,1.151,1.151,0.607,pilG-fliC-,PaQa,3,1
Track_1568,9,25,0,0,0,0,0,24,0,24,0.106,9,124.924,94.207,0,0.07,0.354,7.062999999999999e-08,0.061,0.09,3.23,3.78,2.553,3.287,0.271,pilG-fliC-,PaQa,3,1
