Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_6956,0,38,6,2,0,0,0,44,0,44,3.465,0,137.756,116.185,0,0.618,1.771,0.043,0.516,0.404,5.954,11.243,2.209,6.0,2.217,pilH-fliC-,PaQa,3,1
Track_6957,1,22,4,2,0,0,0,27,0,27,8.855,1,191.752,110.704,0,0.725,2.624,0.056,0.473,0.624,9.606,12.922,2.744,10.825,2.79,pilH-fliC-,PaQa,3,1
Track_6958,2,9,1,3,0,0,0,11,0,11,10.467,2,85.19200000000002,115.19,0,0.484,2.216,0.0,2.304e-07,0.879,8.243,22.244,6.105,6.466,4.955,pilH-fliC-,PaQa,3,1
Track_6959,3,28,1,1,0,0,0,28,0,28,6.787000000000001,3,121.571,115.703,0,0.736,1.803,0.124,0.743,0.417,8.262,12.749,2.735,8.774,3.662,pilH-fliC-,PaQa,3,1
Track_6960,4,34,3,4,0,0,0,40,0,40,0.139,4,88.29799999999999,115.679,0,0.006999999999999999,0.141,2.9e-08,0.001,0.025,6.432,6.466,5.395,6.466,0.181,pilH-fliC-,PaQa,3,1
Track_6961,5,52,4,4,0,0,0,58,0,58,4.257,5,38.739,119.161,0,0.667,2.7030000000000003,0.141,0.446,0.562,9.171,12.928,2.744,9.105,2.857,pilH-fliC-,PaQa,3,1
Track_6962,6,31,4,2,0,0,0,36,0,36,5.91,6,185.46400000000003,120.793,0,0.705,1.686,0.02,0.617,0.39,9.146,22.244,3.931,8.779,3.564,pilH-fliC-,PaQa,3,1
Track_6963,7,158,6,2,0,0,0,164,0,164,16.688,7,98.197,118.229,0,0.618,2.45,0.004,0.528,0.406,10.188,22.121,2.517,11.178,2.7710000000000004,pilH-fliC-,PaQa,3,1
Track_6964,8,2,0,0,0,0,0,1,0,1,1.943,8,115.521,119.702,0,1.943,1.943,1.943,1.943,,8.597000000000001,11.798,5.395,11.798,3.202,pilH-fliC-,PaQa,3,1
Track_6965,9,15,2,4,0,0,0,19,0,19,6.449,9,130.753,119.963,0,0.727,2.35,0.163,0.615,0.5760000000000001,7.687,11.617,2.333,9.134,2.879,pilH-fliC-,PaQa,3,1
Track_6966,10,22,1,1,0,0,0,22,0,22,4.478,10,97.651,121.55,0,0.92,2.624,0.005,0.6629999999999999,0.73,8.854,12.836,2.744,10.145,3.151,pilH-fliC-,PaQa,3,1
