Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_1,1,40,0,0,0,0,0,39,0,39,2.116,0,56.68600000000001,6.386,0,0.301,0.746,2.622e-08,0.287,0.238,16.667,20.16,13.686,16.167,2.048,pilTU-fliC-,PaQa,3,1
Track_2,2,356,1,1,0,0,0,356,0,356,0.888,1,290.633,13.022,0,0.037000000000000005,0.541,0.0,3.703e-07,0.076,17.572,18.782,13.387,17.765,0.726,pilTU-fliC-,PaQa,3,1
Track_3,3,12,0,0,0,0,0,11,0,11,0.215,2,279.91,13.059,0,0.105,0.215,1.529e-07,0.081,0.086,16.464000000000002,17.146,15.316,16.497,0.623,pilTU-fliC-,PaQa,3,1
Track_4,4,9,3,6,0,0,0,18,0,18,0.314,3,64.025,46.441,0,0.051,0.314,1.033e-07,0.022,0.107,5.49,7.6960000000000015,5.214,5.214,0.78,pilTU-fliC-,PaQa,3,1
Track_7,7,24,4,2,0,0,0,29,0,29,0.028,4,102.927,38.82,0,0.134,0.359,0.0,0.129,0.128,14.849,17.765,12.371,15.719,2.28,pilTU-fliC-,PaQa,3,1
Track_8,8,40,0,0,0,0,0,39,0,39,0.904,5,311.586,258.785,0,0.29600000000000004,1.031,5.032e-08,0.243,0.269,17.389,19.327,13.277,17.491,1.58,pilTU-fliC-,PaQa,3,1
Track_9,9,129,4,2,0,0,0,136,0,136,0.4920000000000001,6,280.894,277.015,0,0.117,0.636,0.0,0.066,0.154,18.157,20.458,13.686,18.987,2.202,pilTU-fliC-,PaQa,3,1
Track_10,10,72,2,2,0,0,0,75,0,75,2.227,7,318.2940000000001,258.87,0,0.07200000000000001,2.38,0.0,0.011,0.289,15.097,17.274,12.371,14.978,1.034,pilTU-fliC-,PaQa,3,1
Track_11,11,107,9,2,0,0,0,116,0,116,0.442,8,216.67,199.949,0,0.133,0.596,0.0,0.13,0.135,16.38,17.759,14.835,16.333,0.6920000000000001,pilTU-fliC-,PaQa,3,1
Track_12,12,24,3,3,0,0,0,28,0,28,0.174,9,75.896,246.08,0,0.165,0.628,0.0,0.14400000000000002,0.185,15.052,19.731,13.686,14.728,1.725,pilTU-fliC-,PaQa,3,1
