Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR,Strain,Reporter,TimePoint,TeckRep
ID961038,961038,0,3.51061,114.2553,83.62602,0,0,0,2.5,1,-10921639,28.84615,0,0,255,6375,80.95259,1.0,1.0,0.35633000000000004,pilG-fliC-,PaQa,3,1
ID961087,961087,0,3.86312,114.50306,83.42028,0,3,1,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,1.0,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID961135,961135,0,3.85925,114.51843999999998,83.54971,0,6,2,2.5,1,-10921639,32.30769,0,0,255,7140,85.01398,1.0,1.0,0.38003000000000003,pilG-fliC-,PaQa,3,1
ID961190,961190,0,3.6799800000000005,114.53906,83.54973000000001,0,9,3,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,2.93135,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID961248,961248,0,3.6799800000000005,114.53906,83.54973000000001,0,12,4,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,2.93135,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID961349,961349,0,3.85925,114.51843999999998,83.54971,0,15,5,2.5,1,-10921639,32.30769,0,0,255,7140,85.01398,1.0,1.0,0.38003000000000003,pilG-fliC-,PaQa,3,1
ID961299,961299,0,4.03249,114.48121,83.63802,0,18,6,2.5,1,-10921639,33.46154,0,0,255,7395,86.29434,1.0,1.0,0.38776,pilG-fliC-,PaQa,3,1
ID961404,961404,0,4.18852,114.46824,83.59888000000001,0,21,7,2.5,1,-10921639,34.61538,0,0,255,7650,87.5407,1.0,1.0,0.39542,pilG-fliC-,PaQa,3,1
ID961456,961456,0,4.03249,114.48121,83.63802,0,24,8,2.5,1,-10921639,33.46154,0,0,255,7395,86.29434,1.0,1.0,0.38776,pilG-fliC-,PaQa,3,1
ID961510,961510,0,4.03249,114.48121,83.63802,0,27,9,2.5,1,-10921639,33.46154,0,0,255,7395,86.29434,1.0,1.0,0.38776,pilG-fliC-,PaQa,3,1
ID961569,961569,0,3.90783,114.39119,83.74226,0,30,10,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,1.0,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID961624,961624,0,3.8054699999999997,114.40866000000001,83.79678,0,33,11,2.5,1,-10921639,30.0,0,0,255,6630,82.3449,1.0,1.0,0.36432,pilG-fliC-,PaQa,3,1
ID961680,961680,0,4.0092,114.45101000000001,83.70376999999999,0,36,12,2.5,1,-10921639,32.30769,0,0,255,7140,85.01398,1.0,1.0,0.38003000000000003,pilG-fliC-,PaQa,3,1
ID961783,961783,0,3.7384699999999995,114.4,83.85,0,39,13,2.5,1,-10921639,28.84615,0,0,255,6375,80.95259,1.0,1.0,0.35633000000000004,pilG-fliC-,PaQa,3,1
ID961733,961733,0,4.01624,114.44835,83.85494,0,42,14,2.5,1,-10921639,33.46154,0,0,255,7395,86.29434,1.0,1.0,0.38776,pilG-fliC-,PaQa,3,1
ID961833,961833,0,4.04842,114.446,83.96316,0,45,15,2.5,1,-10921639,33.46154,0,0,255,7395,86.29434,1.0,1.0,0.38776,pilG-fliC-,PaQa,3,1
ID961945,961945,0,3.89238,114.45846999999999,84.00623,0,48,16,2.5,1,-10921639,32.30769,0,0,255,7140,85.01398,1.0,1.0,0.38003000000000003,pilG-fliC-,PaQa,3,1
ID961889,961889,0,3.87905,114.46315,84.07215,0,51,17,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,1.0,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID962000,962000,0,3.87905,114.46315,84.07215,0,54,18,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,1.0,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID962052,962052,0,3.79225,114.5108,84.25699,0,57,19,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,1.0,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID962108,962108,0,3.6799800000000005,114.51637,84.32337,0,60,20,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,2.93135,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID962166,962166,0,3.6799800000000005,114.51637,84.32337,0,63,21,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,2.93135,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID962224,962224,0,3.54978,114.49661,84.44495,0,66,22,2.5,1,-10921639,28.84615,0,0,255,6375,80.95259,1.0,1.0,0.35633000000000004,pilG-fliC-,PaQa,3,1
ID962337,962337,0,3.6753099999999996,114.42023,84.49479000000001,0,69,23,2.5,1,-10921639,28.84615,0,0,255,6375,80.95259,1.0,1.0,0.35633000000000004,pilG-fliC-,PaQa,3,1
ID962280,962280,0,3.6753099999999996,114.42023,84.49479000000001,0,72,24,2.5,1,-10921639,28.84615,0,0,255,6375,80.95259,1.0,1.0,0.35633000000000004,pilG-fliC-,PaQa,3,1
ID962395,962395,0,3.8446800000000003,114.42671000000001,84.60696999999999,0,75,25,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,1.0,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID962452,962452,0,4.04842,114.4644,84.50581,0,78,26,2.5,1,-10921639,33.46154,0,0,255,7395,86.29434,1.0,1.0,0.38776,pilG-fliC-,PaQa,3,1
ID962512,962512,0,3.89238,114.45846999999999,84.65623000000001,0,81,27,2.5,1,-10921639,32.30769,0,0,255,7140,85.01398,1.0,1.0,0.38003000000000003,pilG-fliC-,PaQa,3,1
ID962569,962569,0,3.74551,114.42115,84.76297,0,84,28,2.5,1,-10921639,30.0,0,0,255,6630,82.3449,1.0,1.0,0.36432,pilG-fliC-,PaQa,3,1
ID962630,962630,0,3.60831,114.41153,84.87404000000001,0,87,29,2.5,1,-10921639,27.69231,0,0,255,6120,79.5191,1.0,1.0,0.34825,pilG-fliC-,PaQa,3,1
ID962686,962686,0,3.60831,114.41153,84.87404000000001,0,90,30,2.5,1,-10921639,27.69231,0,0,255,6120,79.5191,1.0,1.0,0.34825,pilG-fliC-,PaQa,3,1
ID962742,962742,0,3.77768,114.4197,84.9851,0,93,31,2.5,1,-10921639,30.0,0,0,255,6630,82.3449,1.0,1.0,0.36432,pilG-fliC-,PaQa,3,1
ID962803,962803,0,3.77768,114.4197,84.9851,0,96,32,2.5,1,-10921639,30.0,0,0,255,6630,82.3449,1.0,1.0,0.36432,pilG-fliC-,PaQa,3,1
ID962860,962860,0,3.71915,114.4951,84.89217,0,99,33,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,1.0,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID962916,962916,0,3.83601,114.56246999999999,84.82549,0,102,34,2.5,1,-10921639,32.30769,0,0,255,7140,85.01398,2.93135,1.0,0.38003000000000003,pilG-fliC-,PaQa,3,1
ID963034,963034,0,4.159730000000001,114.37409,84.86095999999999,0,105,35,2.5,1,-10921639,34.61538,0,0,255,7650,87.5407,1.0,1.0,0.39542,pilG-fliC-,PaQa,3,1
ID962975,962975,0,3.95859,114.32543000000001,84.92598000000001,0,108,36,2.5,1,-10921639,34.61538,0,0,255,7650,87.5407,1.0,1.0,0.39542,pilG-fliC-,PaQa,3,1
ID963088,963088,0,3.8915900000000003,114.31119,84.98369,0,111,37,2.5,1,-10921639,33.46154,0,0,255,7395,86.29434,1.0,1.0,0.38776,pilG-fliC-,PaQa,3,1
ID963144,963144,0,3.7336400000000003,114.24566000000002,84.8871,0,114,38,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,1.2581799999999999,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID963256,963256,0,3.8072199999999996,114.30356,84.83471999999999,0,117,39,2.5,1,-10921639,32.30769,0,0,255,7140,85.01398,2.93135,1.0,0.38003000000000003,pilG-fliC-,PaQa,3,1
ID963201,963201,0,3.8072199999999996,114.30356,84.83471999999999,0,120,40,2.5,1,-10921639,32.30769,0,0,255,7140,85.01398,2.93135,1.0,0.38003000000000003,pilG-fliC-,PaQa,3,1
ID963311,963311,0,3.8072199999999996,114.30356,84.83471999999999,0,123,41,2.5,1,-10921639,32.30769,0,0,255,7140,85.01398,2.93135,1.0,0.38003000000000003,pilG-fliC-,PaQa,3,1
ID963367,963367,0,3.7706800000000005,114.31268,84.66714,0,126,42,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,1.2581799999999999,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID963474,963474,0,3.7706800000000005,114.31268,84.66713,0,129,43,2.5,1,-10921639,31.15385,0,0,255,6885,83.69807,1.2581799999999999,1.0,0.37222,pilG-fliC-,PaQa,3,1
ID963423,963423,0,3.56339,114.25388000000001,84.76720999999999,0,132,44,2.5,1,-10921639,28.84615,0,0,255,6375,80.95259,1.26011,1.0,0.35633000000000004,pilG-fliC-,PaQa,3,1
