Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR,Strain,Reporter,TimePoint,TeckRep
ID984458,984458,1,0.12275,142.50359,303.68412,0,0,0,7.5,1,-10921639,14.420079999999999,0,0,255,24990,58.91676,21.690089999999998,0.69448,0.20062,pilH-fliC-,PaQa,1,1
ID984522,984522,1,0.11722,142.92672,303.44499,0,3,1,7.5,1,-10921639,14.12579,0,0,255,24480,58.348130000000005,23.85523,0.67906,0.19582,pilH-fliC-,PaQa,1,1
ID984489,984489,1,0.1246,143.2425,303.63161,0,6,2,7.5,1,-10921639,14.420079999999999,0,0,255,24990,58.91676,25.65811,0.70449,0.20232,pilH-fliC-,PaQa,1,1
ID984552,984552,1,0.12959,142.92073,304.00507000000005,0,9,3,7.5,1,-10921639,14.27294,0,0,255,24735,58.63332,28.5,0.7019,0.20079,pilH-fliC-,PaQa,1,1
ID984585,984585,1,0.12675999999999998,143.47079,305.01386,0,12,4,7.5,1,-10921639,13.97865,0,0,255,24225,58.06116,28.5,0.69658,0.1977,pilH-fliC-,PaQa,1,1
ID984684,984684,1,0.12908,143.92621,305.42228,0,15,5,7.5,1,-10921639,13.97865,0,0,255,24225,58.06116,28.5,0.7017399999999999,0.19856,pilH-fliC-,PaQa,1,1
ID984619,984619,1,0.12680999999999998,144.31409,305.48986,0,18,6,7.5,1,-10921639,14.12579,0,0,255,24480,58.348130000000005,27.13928,0.69926,0.19925,pilH-fliC-,PaQa,1,1
ID984649,984649,1,0.12159,145.78024,305.30305,0,21,7,7.5,1,-10921639,13.97865,0,0,255,24225,58.06116,23.373739999999998,0.6914399999999999,0.19684000000000001,pilH-fliC-,PaQa,1,1
ID984751,984751,1,0.11606,145.85936999999998,306.17877000000004,0,24,8,7.5,1,-10921639,13.68436,0,0,255,23715,57.4818,26.51704,0.68585,0.1937,pilH-fliC-,PaQa,1,1
ID984784,984784,1,0.12195,145.45638,306.82768,0,27,9,7.5,1,-10921639,13.24293,0,0,255,22950,56.598769999999995,28.5,0.68776,0.19069,pilH-fliC-,PaQa,1,1
ID984717,984717,1,0.1195,144.68847,308.1227,0,30,10,7.5,1,-10921639,13.09579,0,0,255,22695,56.300580000000004,11.37075,0.81939,0.20951,pilH-fliC-,PaQa,1,1
ID984814,984814,1,0.144,144.36363,308.03049,0,33,11,7.5,1,-10921639,14.56722,0,0,255,25245,59.19848,5.59259,0.94655,0.23931999999999998,pilH-fliC-,PaQa,1,1
ID984841,984841,1,0.1229,143.76238,308.34007,0,36,12,7.5,1,-10921639,12.94864,0,0,255,22440,56.000409999999995,10.24434,0.91851,0.2214,pilH-fliC-,PaQa,1,1
ID984870,984870,1,0.12855999999999998,143.58987,309.03526,0,39,13,7.5,1,-10921639,13.68436,0,0,255,23715,57.4818,10.30867,0.9432,0.23110999999999998,pilH-fliC-,PaQa,1,1
ID984898,984898,1,0.12472000000000001,142.6513,309.49002,0,42,14,7.5,1,-10921639,13.68436,0,0,255,23715,57.4818,10.7619,0.80838,0.21284,pilH-fliC-,PaQa,1,1
ID984924,984924,1,0.13044,141.71313999999998,309.10438999999997,0,45,15,7.5,1,-10921639,14.27294,0,0,255,24735,58.63332,10.51181,0.71726,0.20335,pilH-fliC-,PaQa,1,1
ID985034,985034,1,0.13074000000000002,140.81587,309.20976,0,48,16,7.5,1,-10921639,13.97865,0,0,255,24225,58.06116,11.79087,1.0,0.24076,pilH-fliC-,PaQa,1,1
ID984950,984950,1,0.12691,139.91095,308.09031,0,51,17,7.5,1,-10921639,13.97865,0,0,255,24225,58.06116,10.84765,1.0,0.24076,pilH-fliC-,PaQa,1,1
ID984977,984977,1,0.12235,139.04528,307.58898,0,54,18,7.5,1,-10921639,13.68436,0,0,255,23715,57.4818,11.85395,0.73942,0.2024,pilH-fliC-,PaQa,1,1
ID985007,985007,1,0.12372000000000001,139.12065,306.57414,0,57,19,7.5,1,-10921639,13.537220000000001,0,0,255,23460,57.18935,28.5,0.70416,0.19562000000000002,pilH-fliC-,PaQa,1,1
ID985061,985061,1,0.12638,139.53367,306.04079,0,60,20,7.5,1,-10921639,14.27294,0,0,255,24735,58.63332,28.5,0.68682,0.19823,pilH-fliC-,PaQa,1,1
ID985091,985091,1,0.12065,140.06028,305.28071,0,63,21,7.5,1,-10921639,13.97865,0,0,255,24225,58.06116,25.70711,0.68634,0.19598,pilH-fliC-,PaQa,1,1
ID985119,985119,1,0.12374,140.43808,304.73672,0,66,22,7.5,1,-10921639,14.12579,0,0,255,24480,58.348130000000005,27.18037,0.69926,0.19925,pilH-fliC-,PaQa,1,1
ID985148,985148,1,0.12317,140.72732,304.99631,0,69,23,7.5,1,-10921639,13.97865,0,0,255,24225,58.06116,28.5,0.69658,0.1977,pilH-fliC-,PaQa,1,1
ID985176,985176,1,0.13319,141.47477,305.1893,0,72,24,7.5,1,-10921639,14.71437,0,0,255,25500,59.47851,3.0,0.79286,0.21881,pilH-fliC-,PaQa,1,1
ID985234,985234,1,0.12525,142.62133,304.74795,0,75,25,7.5,1,-10921639,13.97865,0,0,255,24225,58.06116,11.6522,0.84188,0.22009,pilH-fliC-,PaQa,1,1
ID985205,985205,1,0.11940999999999999,143.37726999999998,304.65647,0,78,26,7.5,1,-10921639,13.39008,0,0,255,23205,56.895019999999995,11.35319,0.7233,0.19755999999999999,pilH-fliC-,PaQa,1,1
