Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_0,101,0,0,0,0,0,300,0,300,0.5785,0,0,59.52761,309.68588,0,0.0093,0.04708,0.0,3.364e-07,0.01212,5.5844,5.82957,5.21226,5.57978,0.12300000000000001,fliC-,PaQa,1,1
Track_2,106,0,0,2,0,0,300,0,300,0.6827300000000001,2,2,287.70292,302.1363,0,0.007940000000000001,0.06648,0.0,1.62e-07,0.01575,2.53335,2.9229,2.28307,2.57851,0.13473,fliC-,PaQa,1,1
Track_5,101,0,0,0,0,0,300,0,300,0.56922,5,5,102.43422,280.49922000000004,0,0.00549,0.03308,0.0,2.074e-07,0.008740000000000001,4.05968,4.41063,3.74942,4.03435,0.20634,fliC-,PaQa,1,1
Track_7,102,0,0,1,0,0,300,0,300,3.56737,7,7,119.4368,51.18866,0,0.04038,0.19541,0.0,0.02643,0.04256,3.870330000000001,4.42425,3.37417,3.84529,0.23592,fliC-,PaQa,1,1
Track_8,69,0,0,2,0,0,195,0,195,6.30309,8,8,153.292,25.37995,0,0.05161,0.28827,0.0,0.03659,0.06297,3.07395,3.7842,0.544,3.30965,0.75316,fliC-,PaQa,1,1
Track_15,49,6,1,1,0,0,156,0,156,2.61468,15,15,297.82943,104.49744,0,0.21214,0.7328600000000001,2.74e-07,0.1712,0.16409,1.37829,2.81313,0.18546,1.41064,0.8270700000000001,fliC-,PaQa,1,1
Track_16,107,0,0,6,0,0,300,0,300,1.32211,16,16,58.16532,93.63921,0,0.05764,0.30794,0.0,0.05441,0.04929,3.57901,4.2112,2.93057,3.56854,0.27623000000000003,fliC-,PaQa,1,1
Track_20,113,0,0,5,0,0,300,0,300,2.72153,20,20,14.75557,59.25816999999999,0,0.01843,0.0912,0.0,0.01466,0.02216,2.80126,3.08339,2.48386,2.78,0.17535,fliC-,PaQa,1,1
Track_22,106,1,1,5,0,0,300,0,300,8.04884,22,22,263.48298,175.15976,0,0.06301,0.59301,0.0,0.04362,0.07932,3.83804,4.49863,0.544,3.91808,0.53013,fliC-,PaQa,1,1
Track_25,105,0,0,2,0,0,300,0,300,5.31732,25,25,118.31916,127.41435,0,0.04164,0.15566,0.0,0.03682,0.03703,3.75268,4.3105400000000005,3.38905,3.72523,0.18383,fliC-,PaQa,1,1
Track_26,75,3,1,0,0,0,231,0,231,4.70029,26,26,242.86977,124.72684,0,0.12259,0.3973,4.638e-08,0.09705,0.08687,2.8502,4.3540800000000015,0.18546,3.11485,1.03611,fliC-,PaQa,1,1
Track_27,89,0,0,0,0,0,264,0,264,1.4398,27,27,1.41479,120.19225,0,0.0364,0.40685,0.0,0.0,0.07281,3.06712,3.98751,0.68179,3.3169,0.68802,fliC-,PaQa,1,1
Track_28,118,1,1,9,0,0,300,0,300,0.91337,28,28,194.02489,212.0625,0,0.08322,0.36127,0.0,0.05483,0.07959,1.56613,2.39243,0.18546,1.58388,0.52441,fliC-,PaQa,1,1
Track_30,105,0,0,3,0,0,300,0,300,2.41661,30,30,275.63461,201.83713,0,0.02885,0.15217999999999998,0.0,0.01932,0.03046,3.516,3.87585,3.14257,3.4889300000000003,0.16005,fliC-,PaQa,1,1
Track_31,108,0,0,3,0,0,300,0,300,2.28782,31,31,168.85946,190.83313,0,0.0222,0.10205,0.0,0.01953,0.02518,2.60297,2.9481900000000003,2.07477,2.66632,0.19887,fliC-,PaQa,1,1
Track_34,110,0,0,6,0,0,300,0,300,7.389019999999999,34,34,160.30853000000005,260.93451,0,0.0384,0.35177,0.0,0.02282,0.04627,2.69639,3.34676,2.05757,2.7044900000000003,0.30547,fliC-,PaQa,1,1
Track_35,106,0,0,3,0,0,300,0,300,3.17245,35,35,25.25672,252.96449,0,0.02084,0.07495,0.0,0.01935,0.01788,2.71261,3.20447,2.19208,2.77496,0.21363,fliC-,PaQa,1,1
Track_36,178,3,2,5,0,0,300,0,300,3.2430000000000003,36,36,245.35561,244.86635,0,0.13165,1.03104,5.7940000000000005e-09,0.06926,0.18565,3.4657400000000003,4.0976300000000005,2.72113,3.47872,0.26614,fliC-,PaQa,1,1
Track_39,71,6,2,3,0,0,210,0,210,2.01999,39,39,201.825,219.70001,0,0.08657999999999999,0.39434,0.0,0.05975,0.08265,0.99076,2.07477,0.18546,0.89651,0.59815,fliC-,PaQa,1,1
