Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_0,81,0,0,3,0,0,231,0,231,0.5525800000000001,0,0,65.38891,300.9467,0,0.09005,0.37742,1.31e-07,0.07267,0.0835,2.81842,3.88651,1.24902,2.95323,0.6845100000000001,pilG-fliC-,PaQa,1,1
Track_4,74,0,0,4,0,0,186,0,186,4.78894,4,4,283.52089,277.7818,0,0.05886,0.38289,7.786e-10,0.05346,0.06245,3.09833,4.04842,1.97028,3.16712,0.60514,pilG-fliC-,PaQa,1,1
Track_6,85,0,0,0,0,0,252,0,252,1.81604,6,6,22.72316,265.47612000000004,0,0.03518,0.1566,1.026e-07,0.02706,0.03373,2.37078,3.06619,1.17202,2.46759,0.4048,pilG-fliC-,PaQa,1,1
Track_7,86,0,0,0,0,0,255,0,255,1.08769,7,7,24.52848,268.50903,0,0.03654,0.17551,8.205e-09,0.02582,0.03585,2.44518,3.21216,1.18413,2.52695,0.43786,pilG-fliC-,PaQa,1,1
Track_9,66,0,0,0,0,0,195,0,195,1.3927,9,9,284.09415,257.75082000000003,0,0.08208,1.25494,8.597999999999999e-08,0.03817,0.21362,2.53813,3.69706,1.24902,2.6566,0.48831,pilG-fliC-,PaQa,1,1
Track_21,101,0,0,0,0,0,300,0,300,4.153569999999998,21,21,280.63347000000005,4.69281,0,0.03859,0.1952,3.1269999999999995e-08,0.03495,0.03095,3.2845699999999995,3.96696,1.66031,3.31176,0.44732,pilG-fliC-,PaQa,1,1
Track_24,104,0,0,2,0,0,300,0,300,6.66246,24,24,186.60892,23.99938,0,0.069,0.37279,0.0,0.05591,0.05912000000000001,4.02583,4.69538,3.25007,4.00701,0.3453,pilG-fliC-,PaQa,1,1
Track_29,101,0,0,0,0,0,300,0,300,0.59227,29,29,101.08607,21.78255,0,0.14072,0.44008,0.00923,0.12852,0.09025,3.96514,4.67438,3.10612,4.01098,0.34617,pilG-fliC-,PaQa,1,1
Track_51,104,0,0,2,0,0,300,0,300,1.47635,50,51,281.91788,48.36691,0,0.03275,0.23542,2.747e-08,0.01994,0.04241,3.57211,3.92401,3.14588,3.57649,0.17197,pilG-fliC-,PaQa,1,1
Track_55,103,0,0,1,0,0,300,0,300,0.25363,54,55,198.25529,46.72837,0,0.02559,0.13647,2.612e-08,0.01789,0.02983,3.13535,3.4996,2.7,3.10981,0.16724,pilG-fliC-,PaQa,1,1
Track_56,102,0,0,1,0,0,300,0,300,2.09782,55,56,224.67317000000003,47.95217,0,0.12034,0.40261,0.0,0.09709,0.09338,3.40897,3.89246,2.81631,3.42876,0.22527,pilG-fliC-,PaQa,1,1
Track_69,104,0,0,2,0,0,300,0,300,1.2452,67,69,81.84888000000002,62.48248,0,0.03209,0.34418000000000004,6.553e-09,0.01784,0.04471,3.01475,3.66558,2.36587,3.10422,0.26905,pilG-fliC-,PaQa,1,1
Track_75,101,0,0,0,0,0,300,0,300,2.55599,71,75,245.64919,82.28327,0,0.038360000000000005,0.15559,4.245e-09,0.03159,0.02888,3.84274,4.40227,3.29111,3.82279,0.21052,pilG-fliC-,PaQa,1,1
Track_79,64,0,0,1,0,0,186,0,186,1.48909,75,79,317.79302,80.21685,0,0.03939,0.15707000000000002,3.577e-08,0.03572,0.03677,3.15726,4.0772,1.24902,3.25279,0.61075,pilG-fliC-,PaQa,1,1
Track_82,101,0,0,0,0,0,300,0,300,0.36288,78,82,194.49226,78.06804,0,0.03574,0.37003,1.301e-07,0.01627,0.05971,3.15327,4.93472,2.64826,3.13751,0.28462,pilG-fliC-,PaQa,1,1
Track_83,107,0,0,5,0,0,300,0,300,0.4875600000000001,79,83,220.11748,80.10906999999997,0,0.03779,0.13471,9.336e-10,0.03749,0.02565,3.02541,3.47338,2.60003,3.03123,0.18001,pilG-fliC-,PaQa,1,1
Track_84,101,0,0,0,0,0,300,0,300,1.6080299999999998,80,84,188.93516,80.29513,0,0.13488,0.37865,6.761e-08,0.12067,0.09996,2.91015,3.72885,2.39699,2.87995,0.22713000000000005,pilG-fliC-,PaQa,1,1
Track_86,102,0,0,1,0,0,300,0,300,0.50239,82,86,287.1100600000001,105.4428,0,0.03627,0.21967,8.718e-08,0.02278,0.04617,3.64208,4.26232,2.93149,3.65601,0.27967,pilG-fliC-,PaQa,1,1
Track_88,111,0,0,4,0,0,300,0,300,1.02536,84,88,154.4706,100.03444,0,0.13704000000000002,1.15564,4.803e-08,0.11247,0.15643,3.4710400000000003,4.0103800000000005,1.66975,3.4969,0.34113000000000004,pilG-fliC-,PaQa,1,1
