Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR,Strain,Reporter,TimePoint,TeckRep
ID459045,459045,0,5.799930000000001,59.527609999999996,309.68588,0,0,0,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,1.36534,1.0,0.51855,fliC-,PaQa,1,1
ID459143,459143,0,5.7430699999999995,59.49482,309.77126,0,3,1,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.83969,1.0,0.51855,fliC-,PaQa,1,1
ID459190,459190,0,5.58704,59.49083,309.79606,0,6,2,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.83969,1.0,0.51153,fliC-,PaQa,1,1
ID459095,459095,0,5.48379,59.50188000000001,309.83643,0,9,3,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.77378,1.0,0.5045,fliC-,PaQa,1,1
ID459244,459244,0,5.48379,59.50188000000001,309.83643,0,12,4,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.77378,1.0,0.5045,fliC-,PaQa,1,1
ID459298,459298,0,5.48379,59.50188000000001,309.83643,0,15,5,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.77378,1.0,0.5045,fliC-,PaQa,1,1
ID459397,459397,0,5.4185,59.3966,309.77637000000004,0,18,6,2.5,1,-10921639,50.76923,0,0,255,11220,102.05768,2.83697,1.0,0.49746,fliC-,PaQa,1,1
ID459345,459345,0,5.4185,59.3966,309.77637000000004,0,21,7,2.5,1,-10921639,50.76923,0,0,255,11220,102.05768,2.83697,1.0,0.49746,fliC-,PaQa,1,1
ID459448,459448,0,5.55357,59.407309999999995,309.81115,0,24,8,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.83697,1.0,0.5045,fliC-,PaQa,1,1
ID459553,459553,0,5.55357,59.407309999999995,309.81115,0,27,9,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.83697,1.0,0.5045,fliC-,PaQa,1,1
ID459498,459498,0,5.55357,59.407309999999995,309.81115,0,30,10,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.83697,1.0,0.5045,fliC-,PaQa,1,1
ID459603,459603,0,5.55357,59.407309999999995,309.81115,0,33,11,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.83697,1.0,0.5045,fliC-,PaQa,1,1
ID459651,459651,0,5.4185,59.4142,309.84811,0,36,12,2.5,1,-10921639,50.76923,0,0,255,11220,102.05768,2.83697,1.0,0.49746,fliC-,PaQa,1,1
ID459702,459702,0,5.49845,59.3934,309.91001,0,39,13,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.78734,1.0,0.51153,fliC-,PaQa,1,1
ID459744,459744,0,5.21226,59.3424,309.89855,0,42,14,2.5,1,-10921639,50.76923,0,0,255,11220,102.05768,2.90598,1.0,0.49746,fliC-,PaQa,1,1
ID459789,459789,0,5.4806099999999995,59.261630000000004,309.85811,0,45,15,2.5,1,-10921639,50.76923,0,0,255,11220,102.05768,1.33913,1.0,0.49746,fliC-,PaQa,1,1
ID459886,459886,0,5.4806099999999995,59.261630000000004,309.85811,0,48,16,2.5,1,-10921639,50.76923,0,0,255,11220,102.05768,1.33913,1.0,0.49746,fliC-,PaQa,1,1
ID459837,459837,0,5.57978,59.2804,309.89857,0,51,17,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID459986,459986,0,5.57978,59.2804,309.89857,0,54,18,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID459936,459936,0,5.57978,59.2804,309.89857,0,57,19,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460044,460044,0,5.75004,59.206759999999996,309.86668,0,60,20,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,1.3381299999999998,1.0,0.51855,fliC-,PaQa,1,1
ID460141,460141,0,5.59401,59.207930000000005,309.89603999999997,0,63,21,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.8788099999999996,1.0,0.51153,fliC-,PaQa,1,1
ID460097,460097,0,5.59401,59.207930000000005,309.89603999999997,0,66,22,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.8788099999999996,1.0,0.51153,fliC-,PaQa,1,1
ID460195,460195,0,5.75004,59.206759999999996,309.86668,0,69,23,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,1.3381299999999998,1.0,0.51855,fliC-,PaQa,1,1
ID460241,460241,0,5.57978,59.2804,309.89857,0,72,24,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460286,460286,0,5.57978,59.2804,309.89857,0,75,25,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460339,460339,0,5.57978,59.2804,309.89857,0,78,26,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460382,460382,0,5.57978,59.2804,309.89857,0,81,27,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460425,460425,0,5.57978,59.2804,309.89857,0,84,28,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460519,460519,0,5.57978,59.2804,309.89857,0,87,29,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460472,460472,0,5.57978,59.2804,309.89857,0,90,30,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460565,460565,0,5.57978,59.2804,309.89857,0,93,31,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460616,460616,0,5.57978,59.2804,309.89857,0,96,32,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460666,460666,0,5.57978,59.2804,309.89857,0,99,33,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460713,460713,0,5.57978,59.2804,309.89857,0,102,34,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460762,460762,0,5.57978,59.2804,309.89857,0,105,35,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460811,460811,0,5.57978,59.2804,309.89857,0,108,36,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460858,460858,0,5.57045,59.256769999999996,309.86971,0,111,37,2.5,1,-10921639,50.76923,0,0,255,11220,102.05768,1.33913,1.0,0.49746,fliC-,PaQa,1,1
ID460905,460905,0,5.57978,59.2804,309.89857,0,114,38,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.68478,1.0,0.5045,fliC-,PaQa,1,1
ID460961,460961,0,5.60651,59.221180000000004,309.85272000000003,0,117,39,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.8285099999999996,1.0,0.51153,fliC-,PaQa,1,1
ID461009,461009,0,5.60651,59.221180000000004,309.85272000000003,0,120,40,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.8285099999999996,1.0,0.51153,fliC-,PaQa,1,1
ID461119,461119,0,5.597180000000001,59.20155,309.82515,0,123,41,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.82915,1.0,0.5045,fliC-,PaQa,1,1
ID461061,461061,0,5.67351,59.16011999999999,309.85969,0,126,42,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.83969,1.0,0.51855,fliC-,PaQa,1,1
ID461180,461180,0,5.50326,59.237190000000005,309.89544,0,129,43,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.79146,1.0,0.5045,fliC-,PaQa,1,1
ID461238,461238,0,5.67351,59.16013,309.85969,0,132,44,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.83969,1.0,0.51855,fliC-,PaQa,1,1
ID461294,461294,0,5.67351,59.16011999999999,309.85969,0,135,45,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.83969,1.0,0.51855,fliC-,PaQa,1,1
ID461396,461396,0,5.67351,59.16011999999999,309.85969,0,138,46,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.83969,1.0,0.51855,fliC-,PaQa,1,1
ID461344,461344,0,5.67351,59.16011999999999,309.85969,0,141,47,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.83969,1.0,0.51855,fliC-,PaQa,1,1
ID461449,461449,0,5.67351,59.16011999999999,309.85969,0,144,48,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.83969,1.0,0.51855,fliC-,PaQa,1,1
ID461507,461507,0,5.54336,59.12554,309.84349,0,147,49,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.8898200000000003,1.0,0.51153,fliC-,PaQa,1,1
ID461615,461615,0,5.54336,59.12554,309.84349,0,150,50,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.8898200000000003,1.0,0.51153,fliC-,PaQa,1,1
ID461559,461559,0,5.47316,59.089780000000005,309.81377000000003,0,153,51,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.87387,1.0,0.5045,fliC-,PaQa,1,1
ID461673,461673,0,5.47316,59.089780000000005,309.81377000000003,0,156,52,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.87387,1.0,0.5045,fliC-,PaQa,1,1
ID461731,461731,0,5.67842,59.063669999999995,309.83574,0,159,53,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.8898200000000003,1.0,0.51855,fliC-,PaQa,1,1
ID461788,461788,0,5.67842,59.063669999999995,309.83574,0,162,54,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.8898200000000003,1.0,0.51855,fliC-,PaQa,1,1
ID461842,461842,0,5.7304,59.100080000000005,309.89465,0,165,55,2.5,1,-10921639,56.53846,0,0,255,12495,106.16833000000001,1.37835,1.0,0.53254,fliC-,PaQa,1,1
ID461906,461906,0,5.7304,59.100080000000005,309.89465,0,168,56,2.5,1,-10921639,56.53846,0,0,255,12495,106.16833000000001,1.37835,1.0,0.53254,fliC-,PaQa,1,1
ID461960,461960,0,5.7304,59.100080000000005,309.89465,0,171,57,2.5,1,-10921639,56.53846,0,0,255,12495,106.16833000000001,1.37835,1.0,0.53254,fliC-,PaQa,1,1
ID462012,462012,0,5.7304,59.100080000000005,309.89465,0,174,58,2.5,1,-10921639,56.53846,0,0,255,12495,106.16833000000001,1.37835,1.0,0.53254,fliC-,PaQa,1,1
ID462070,462070,0,5.7304,59.100080000000005,309.89465,0,177,59,2.5,1,-10921639,56.53846,0,0,255,12495,106.16833000000001,1.37835,1.0,0.53254,fliC-,PaQa,1,1
ID462124,462124,0,5.7304,59.100080000000005,309.89465,0,180,60,2.5,1,-10921639,56.53846,0,0,255,12495,106.16833000000001,1.37835,1.0,0.53254,fliC-,PaQa,1,1
ID462181,462181,0,5.59,59.1678,309.96589,0,183,61,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,1.37873,1.0,0.51855,fliC-,PaQa,1,1
ID462244,462244,0,5.68918,59.185919999999996,310.00863,0,186,62,2.5,1,-10921639,55.38462,0,0,255,12240,105.38441,2.85415,1.0,0.52555,fliC-,PaQa,1,1
ID462304,462304,0,5.68918,59.185919999999996,310.00863,0,189,63,2.5,1,-10921639,55.38462,0,0,255,12240,105.38441,2.85415,1.0,0.52555,fliC-,PaQa,1,1
ID462366,462366,0,5.68918,59.185919999999996,310.00863,0,192,64,2.5,1,-10921639,55.38462,0,0,255,12240,105.38441,2.85415,1.0,0.52555,fliC-,PaQa,1,1
ID462424,462424,0,5.8295699999999995,59.12041,309.93793999999997,0,195,65,2.5,1,-10921639,57.69231,0,0,255,12750,106.93399,2.91075,1.0,0.53951,fliC-,PaQa,1,1
ID462532,462532,0,5.8295699999999995,59.12041,309.93793999999997,0,198,66,2.5,1,-10921639,57.69231,0,0,255,12750,106.93399,2.91075,1.0,0.53951,fliC-,PaQa,1,1
ID462481,462481,0,5.68918,59.185919999999996,310.00863,0,201,67,2.5,1,-10921639,55.38462,0,0,255,12240,105.38441,2.85415,1.0,0.52555,fliC-,PaQa,1,1
ID462646,462646,0,5.8295699999999995,59.12041,309.93793999999997,0,204,68,2.5,1,-10921639,57.69231,0,0,255,12750,106.93399,2.91075,1.0,0.53951,fliC-,PaQa,1,1
ID462699,462699,0,5.57028,59.10867,309.98081,0,207,69,2.5,1,-10921639,55.38462,0,0,255,12240,105.38441,2.8035,1.0,0.52555,fliC-,PaQa,1,1
ID462587,462587,0,5.67354,59.097390000000004,309.93855,0,210,70,2.5,1,-10921639,56.53846,0,0,255,12495,106.16833000000001,2.91075,1.0,0.53254,fliC-,PaQa,1,1
ID462756,462756,0,5.76475,59.14351,310.05949,0,213,71,2.5,1,-10921639,55.38462,0,0,255,12240,105.38441,1.32447,1.0,0.52555,fliC-,PaQa,1,1
ID462809,462809,0,5.74911,59.073209999999996,310.01027999999997,0,216,72,2.5,1,-10921639,56.53846,0,0,255,12495,106.16833000000001,2.8035,1.0,0.53254,fliC-,PaQa,1,1
ID462864,462864,0,5.60872,59.138659999999994,310.08322999999996,0,219,73,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.77714,1.0,0.51855,fliC-,PaQa,1,1
ID462918,462918,0,5.60872,59.138659999999994,310.08322999999996,0,222,74,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.77714,1.0,0.51855,fliC-,PaQa,1,1
ID462972,462972,0,5.60872,59.138659999999994,310.08322999999996,0,225,75,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.77714,1.0,0.51855,fliC-,PaQa,1,1
ID463087,463087,0,5.60872,59.138659999999994,310.08322999999996,0,228,76,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.77714,1.0,0.51855,fliC-,PaQa,1,1
ID463028,463028,0,5.60872,59.138659999999994,310.08322999999996,0,231,77,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.77714,1.0,0.51855,fliC-,PaQa,1,1
ID463140,463140,0,5.549519999999999,59.08947,309.95083999999997,0,234,78,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.80672,1.0,0.51855,fliC-,PaQa,1,1
ID463195,463195,0,5.549519999999999,59.08947,309.95083999999997,0,237,79,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.80672,1.0,0.51855,fliC-,PaQa,1,1
ID463251,463251,0,5.39349,59.081340000000004,309.97087999999997,0,240,80,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.80672,1.0,0.51153,fliC-,PaQa,1,1
ID463308,463308,0,5.39349,59.081340000000004,309.97087999999997,0,243,81,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.80672,1.0,0.51153,fliC-,PaQa,1,1
ID463361,463361,0,5.39349,59.081340000000004,309.97087999999997,0,246,82,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.80672,1.0,0.51153,fliC-,PaQa,1,1
ID463412,463412,0,5.39349,59.081340000000004,309.97087999999997,0,249,83,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.80672,1.0,0.51153,fliC-,PaQa,1,1
ID463468,463468,0,5.26334,59.04036,309.94245,0,252,84,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.96552,1.0,0.5045,fliC-,PaQa,1,1
ID463524,463524,0,5.26334,59.040369999999996,309.94245,0,255,85,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.96552,1.0,0.5045,fliC-,PaQa,1,1
ID463577,463577,0,5.59819,59.01676,309.95732999999996,0,258,86,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.96552,1.0,0.51855,fliC-,PaQa,1,1
ID463629,463629,0,5.26334,59.04036,309.94245,0,261,87,2.5,1,-10921639,51.92308,0,0,255,11475,102.91894,2.96552,1.0,0.5045,fliC-,PaQa,1,1
ID463684,463684,0,5.59819,59.01676,309.95732999999996,0,264,88,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.96552,1.0,0.51855,fliC-,PaQa,1,1
ID463735,463735,0,5.59819,59.01676,309.95732999999996,0,267,89,2.5,1,-10921639,54.23076999999999,0,0,255,11985,104.58183000000001,2.96552,1.0,0.51855,fliC-,PaQa,1,1
ID463792,463792,0,5.528,58.98529,309.92445,0,270,90,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.85575,1.0,0.51153,fliC-,PaQa,1,1
ID463842,463842,0,5.528,58.98529,309.92445,0,273,91,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.85575,1.0,0.51153,fliC-,PaQa,1,1
ID463899,463899,0,5.528,58.98529,309.92445,0,276,92,2.5,1,-10921639,53.076919999999994,0,0,255,11730,103.76016,2.85575,1.0,0.51153,fliC-,PaQa,1,1
