Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_5,53,0,0,1,0,0,153,0,153,4.95368,5,5,274.07634,196.85806000000002,0,0.0484,0.2323,6.821e-13,0.04918,0.03781,0.24598000000000003,0.31666,0.06878,0.25424,0.04952,fliC-,PaQa,2,1
Track_7,94,0,0,0,0,0,279,0,279,6.25571,7,7,199.07019,233.70012000000003,0,0.10840999999999999,0.8225600000000001,0.0119,0.08283,0.10998,0.46547,0.54852,0.27091,0.48483999999999994,0.06521,fliC-,PaQa,2,1
Track_10,71,0,0,1,0,0,207,0,207,2.8389900000000003,10,10,140.55328,222.20941000000002,0,0.0956,1.5660399999999999,4.183e-07,0.04987,0.19624,0.36576,0.6339600000000001,0.11185,0.40802,0.11433,fliC-,PaQa,2,1
Track_11,101,0,0,0,0,0,300,0,300,3.4653,11,11,171.90541000000002,215.61866,0,0.0338,0.19789,7.086e-07,0.02653,0.027710000000000002,0.48599,0.61311,0.35941999999999996,0.48348,0.062329999999999997,fliC-,PaQa,2,1
Track_31,101,0,0,0,0,0,300,0,300,0.325,31,31,214.55471,331.82501,0,0.00108,0.10833,0.0,0.0,0.01083,0.36808,0.46785,0.27654,0.36844,0.041339999999999995,fliC-,PaQa,2,1
Track_34,103,0,0,1,0,0,300,0,300,1.54942,34,34,277.61159,315.84639,0,0.0969,0.60569,1e-05,0.05223,0.1251,0.24475999999999998,0.53567,0.12714,0.23248000000000002,0.0719,fliC-,PaQa,2,1
Track_42,101,0,0,0,0,0,300,0,300,0.8438,42,42,23.308510000000002,37.71455,0,0.08799,1.5176,0.0,0.0173,0.24431,0.26463000000000003,0.40179000000000004,0.15797,0.26254,0.030789999999999998,fliC-,PaQa,2,1
Track_47,98,3,2,1,0,0,300,0,300,4.14018,47,47,293.34924,58.89838,0,0.08221,0.42938999999999994,0.00018999999999999998,0.07153999999999999,0.06115,0.1262,0.24611999999999998,0.05631,0.12902,0.03562,fliC-,PaQa,2,1
Track_54,102,0,0,1,0,0,300,0,300,7.6759699999999995,54,54,9.87546,80.24444,0,0.09383999999999999,0.42477,1.276e-07,0.07808,0.07911,0.29085,0.40565,0.1276,0.33612,0.08541,fliC-,PaQa,2,1
Track_128,52,6,2,0,0,0,180,15,195,13.780870000000002,128,128,311.81723999999997,115.2029,0,0.30277,0.8726,0.01829,0.24223000000000003,0.20751,0.17415999999999998,0.25422,0.05747000000000001,0.1812,0.05112,fliC-,PaQa,2,1
Track_186,47,4,2,1,0,0,150,33,183,43.03318,186,186,109.84716999999999,140.20747,0,0.5248,1.0705,0.06187,0.5554600000000001,0.23517,0.26161999999999996,0.38354,0.05757,0.30755,0.09352,fliC-,PaQa,2,1
Track_222,62,0,0,0,0,0,183,45,228,8.62,222,222,235.11279,272.58898,0,0.11861,0.6077899999999999,0.00817,0.0912,0.10655,0.40941,0.44935,0.32427,0.41258,0.02048,fliC-,PaQa,2,1
Track_256,52,0,0,0,0,0,153,57,210,3.20016,256,256,198.00486999999998,157.42978,0,0.1227,0.7979,0.00847,0.07232000000000001,0.1422,0.37949,0.5541,0.08036,0.40395,0.11215,fliC-,PaQa,2,1
Track_346,73,0,0,0,0,0,216,84,300,8.40964,346,346,26.223840000000003,112.03328,0,0.16955,0.87692,0.00506,0.1015,0.17115999999999998,0.40626999999999996,0.48128000000000004,0.17815999999999999,0.41593,0.047389999999999995,fliC-,PaQa,2,1
Track_363,74,0,0,3,0,0,210,90,300,0.7185,363,363,150.0404,300.7888,0,0.07021000000000001,0.39564,3.167e-07,0.051570000000000005,0.07152,0.28772,0.32226,0.06896000000000001,0.29361,0.03587,fliC-,PaQa,2,1
Track_377,54,1,2,0,0,0,165,96,261,5.07421,377,377,226.92201,300.67004,0,0.11988,0.6594300000000001,4.738e-07,0.09,0.12242,0.31547,0.38354,0.05757,0.34174,0.07845,fliC-,PaQa,2,1
Track_382,75,0,0,3,0,0,201,99,300,6.1012900000000005,382,382,286.89274,183.69183999999998,0,0.20017000000000001,1.26302,0.0055,0.09187999999999999,0.29034,0.3568,0.49478,0.17502,0.35167,0.04565,fliC-,PaQa,2,1
Track_455,49,2,2,0,0,0,153,126,279,3.8166800000000003,455,455,264.84243,292.3387,0,0.20578000000000002,1.09812,0.01511,0.1243,0.22318000000000002,0.19858,0.31571,0.06435,0.19594,0.06415,fliC-,PaQa,2,1
Track_471,58,0,0,1,0,0,168,132,300,2.09685,471,471,221.18702000000002,181.76788,0,0.17409000000000002,1.4923899999999999,0.0024,0.08561,0.25577,0.22171,0.35147,0.08161,0.22166999999999998,0.05483,fliC-,PaQa,2,1
Track_507,53,0,0,0,0,0,156,144,300,4.903630000000001,507,507,13.66758,26.64862,0,0.08868,1.39773,2.704e-07,0.03589,0.23898000000000003,0.24581999999999998,0.29974,0.20317000000000002,0.25063,0.017490000000000002,fliC-,PaQa,2,1
