 ,Label,Track_ID,BiologicalReplicate,PaqaArea,PaqaMean,PaqaTotalFluorescence,PaqaMin,PaqaMax,PaqaStd,rfpArea,rfpMean,rfpTotalFluorescence,rfpMin,rfpMax,rfpStd,PaQa_RFP_ratio,Strain,Reporter,TimePoint,TeckRep
1,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,0,1,2.21813,56.0,124.21501,19,108,26.357159999999997,2.32375,154.04545,357.96314,40,345,90.97748,0.34701,pilG-fliC-,PaQa,1,1
2,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,4,1,2.21813,47.33333,104.99126000000001,20,81,18.6342,2.535,140.0,354.90002000000004,82,218,39.92275,0.29583000000000004,pilG-fliC-,PaQa,1,1
3,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,6,1,3.06313,69.75862,213.67938999999998,15,151,36.860409999999995,3.38,225.71875,762.92941,69,484,130.25143,0.28008,pilG-fliC-,PaQa,1,1
4,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,7,1,3.4856300000000005,67.63636,235.75501,13,136,37.01082,1.58438,167.0,264.59064,59,361,98.51323000000001,0.89102,pilG-fliC-,PaQa,1,1
5,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,9,1,2.85188,47.40741,135.20001000000002,13,91,17.48023,2.535,127.04167,322.05064,47,199,47.68144,0.41981,pilG-fliC-,PaQa,1,1
6,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,21,1,3.38,61.4375,207.65876,26,112,25.54937,2.535,148.29166999999998,375.91938999999996,63,315,69.21578000000001,0.5524,pilG-fliC-,PaQa,1,1
7,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,24,1,3.16875,43.43333,137.62938,15,97,18.21838,2.85188,156.59259,446.58252000000005,77,325,74.1393,0.30818,pilG-fliC-,PaQa,1,1
8,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,29,1,3.27438,53.35484,174.70376000000002,17,106,23.421570000000003,2.9575,138.42857,409.40252000000004,51,331,79.26581,0.42673,pilG-fliC-,PaQa,1,1
9,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,51,1,2.64063,49.64,131.08063,3,105,24.49129,2.535,140.79166999999998,356.90689,55,251,57.6315,0.36727,pilG-fliC-,PaQa,1,1
10,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,55,1,3.9081300000000003,59.567569999999996,232.79751000000002,21,124,26.870620000000002,3.27438,220.32258,721.4187900000001,47,447,112.11583,0.32269000000000003,pilG-fliC-,PaQa,1,1
11,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,56,1,2.64063,33.32,87.98563,15,64,14.35479,2.32375,121.27273000000001,281.80751000000004,40,258,65.36213000000001,0.31222,pilG-fliC-,PaQa,1,1
12,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,69,1,3.69688,40.74286,150.62126,7,98,21.448079999999997,3.69688,153.11428999999998,566.0444,37,330,89.02866999999999,0.26609,pilG-fliC-,PaQa,1,1
13,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,75,1,4.43625,59.095240000000004,262.16126,20,116,25.56084,4.225,222.6,940.48505,76,402,91.52548,0.27875,pilG-fliC-,PaQa,1,1
14,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,79,1,2.74625,49.5,135.93938,23,91,19.64128,2.64063,173.44,457.99002,76,340,72.01046,0.29682,pilG-fliC-,PaQa,1,1
15,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,82,1,4.1193800000000005,53.82051,221.70689,12,99,25.44951,3.8025,206.83333000000002,786.48379,56,421,113.74847,0.2819,pilG-fliC-,PaQa,1,1
16,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,83,1,3.59125,63.94118,229.62876,23,119,28.50406,3.59125,217.17647000000002,779.9350400000001,44,408,115.39326000000001,0.29441999999999996,pilG-fliC-,PaQa,1,1
17,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,84,1,2.21813,39.14286,86.82375,9,69,16.5266,3.69688,187.85714,694.4844099999999,50,390,103.40416,0.12502,pilG-fliC-,PaQa,1,1
18,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,86,1,2.64063,57.96,153.05063,16,105,26.18123,2.535,194.25,492.42377,55,421,116.57625,0.31081,pilG-fliC-,PaQa,1,1
19,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,88,1,1.90125,66.05556,125.58813,23,117,30.435029999999998,2.21813,153.42857,340.32377,60,314,76.25259,0.36903,pilG-fliC-,PaQa,1,1
20,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,92,1,4.33063,60.4878,261.95001,19,115,25.59309,2.85188,178.22222,508.26752999999997,43,379,97.47399,0.5153800000000001,pilG-fliC-,PaQa,1,1
21,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,100,1,2.74625,43.34615,119.03938000000001,9,85,19.534470000000002,2.21813,151.38095,335.78189,45,321,76.42217,0.35451,pilG-fliC-,PaQa,1,1
22,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,101,1,3.38,66.34375,224.24188999999998,14,137,35.2874,4.1193800000000005,193.48718,797.04629,51,453,120.66958999999999,0.28134000000000003,pilG-fliC-,PaQa,1,1
23,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,102,1,3.59125,67.67647,243.04314,16,152,38.69047,1.7956299999999998,167.05882,299.97501,55,391,99.97717,0.81021,pilG-fliC-,PaQa,1,1
24,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,106,1,2.21813,55.7619,123.68688,12,108,27.5933,2.64063,208.84,551.46815,76,434,115.31106000000001,0.22429000000000002,pilG-fliC-,PaQa,1,1
25,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,111,1,4.54188,51.74419,235.01564,5,125,27.997529999999998,2.64063,175.88,464.43315,49,403,108.78278,0.50603,pilG-fliC-,PaQa,1,1
26,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,116,1,4.225,35.8,151.25501,15,68,13.28041,3.06313,154.86207,474.3619,68,267,59.80846,0.31886,pilG-fliC-,PaQa,1,1
27,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,126,1,2.535,49.45833,125.37688,11,90,24.3578,2.74625,142.57692,391.55189,47,293,80.05807,0.32021,pilG-fliC-,PaQa,1,1
28,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,131,1,2.42938,52.95652,128.65126,14,124,30.692729999999997,4.01375,241.02632000000003,967.41942,42,531,152.74347,0.13298,pilG-fliC-,PaQa,1,1
29,pilG-fliC-_PaQa_1h.nd2 - C=2.tif,150,1,2.32375,93.59091,217.48189,52,155,33.33618,2.32375,312.22727000000003,725.53816,132,484,118.16975,0.29975,pilG-fliC-,PaQa,1,1
