 ,Label,Track_ID,BiologicalReplicate,PaqaArea,PaqaMean,PaqaTotalFluorescence,PaqaMin,PaqaMax,PaqaStd,rfpArea,rfpMean,rfpTotalFluorescence,rfpMin,rfpMax,rfpStd,PaQa_RFP_ratio,Strain,Reporter,TimePoint,TeckRep
1,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,1,1,9.82313,1220.93548,11993.40247,544,4103,629.23977,10.24563,98.47423,1008.93005,35,298,50.62672,11.88725,pilH-fliC-,PaQa,1,1
2,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,2,1,6.86563,1152.66154,7913.742270000001,470,2742,589.79717,6.97125,120.77273000000001,841.9369199999999,34,270,67.79694,9.39945,pilH-fliC-,PaQa,1,1
3,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,4,1,13.41438,1663.74016,22318.035490000002,516,3850,999.2950699999999,12.358130000000001,137.02563999999998,1693.3800800000001,24,323,80.14948000000001,13.17958,pilH-fliC-,PaQa,1,1
4,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,7,1,15.315629999999999,2539.09655,38887.852569999995,404,5762,1574.5465800000002,14.68188,164.26619,2411.73575,29,364,96.19693000000001,16.12443,pilH-fliC-,PaQa,1,1
5,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,8,1,12.358130000000001,1893.2478600000002,23396.994919999997,349,4216,1180.52564,11.83,163.63393,1935.78947,27,373,102.49878000000001,12.08654,pilH-fliC-,PaQa,1,1
6,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,9,1,8.76688,1066.33735,9348.44672,330,2596,504.50447,9.18938,95.24138,875.20879,32,216,47.09218,10.681389999999999,pilH-fliC-,PaQa,1,1
7,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,10,1,12.675,1578.0416699999998,20001.67913,271,3996,1087.46648,11.83,143.625,1699.08383,23,327,92.18656,11.772039999999999,pilH-fliC-,PaQa,1,1
8,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,11,1,10.77375,1166.28431,12565.25625,640,4302,563.84612,11.09063,96.58095,1071.14318,33,308,49.6586,11.7307,pilH-fliC-,PaQa,1,1
9,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,13,1,13.52,1343.86719,18169.085280000003,256,3179,849.3437,11.72438,132.55856,1554.16633,15,286,74.6408,11.69057,pilH-fliC-,PaQa,1,1
10,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,14,1,11.72438,1544.35135,18106.55528,552,3676,846.3871300000001,12.04125,134.52632,1619.86508,17,358,78.62257,11.17782,pilH-fliC-,PaQa,1,1
11,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,17,1,6.3375,969.55,6144.523429999999,393,2548,563.87559,12.56938,150.69748,1894.17322,30,334,89.62413000000001,3.24391,pilH-fliC-,PaQa,1,1
12,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,19,1,16.160629999999998,2304.30065,37238.940610000005,360,5015,1374.83948,8.344380000000001,131.78481000000002,1099.66193,41,294,64.71330999999999,33.86399,pilH-fliC-,PaQa,1,1
13,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,20,1,13.41438,1882.01575,25246.06626,375,4625,1280.65874,12.04125,183.64035,2211.25949,31,421,114.80426999999999,11.41705,pilH-fliC-,PaQa,1,1
14,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,21,1,11.83,2350.82143,27810.218889999996,472,5519,1507.29086,11.30188,170.82243,1930.61385,23,391,107.21418999999999,14.404860000000001,pilH-fliC-,PaQa,1,1
15,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,23,1,12.04125,1914.6666699999998,23054.98115,408,4424,1222.65119,13.30875,170.02381,2262.80449,25,389,106.78543,10.18868,pilH-fliC-,PaQa,1,1
16,pilH-fliC-_PaQa_1h.nd2 - C=2.tif,25,1,15.315629999999999,39.75172,608.82253,8,72,11.993360000000001,27.35688,16.0888,440.1394,0,45,8.04853,1.38325,pilH-fliC-,PaQa,1,1
