Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR,Strain,Reporter,TimePoint,TeckRep
ID1000368,1000368,31,0.28376999999999997,53.710390000000004,39.12846,0,0,0,7.5,1,-10921639,39.434509999999996,0,0,255,68340,92.22596,22.513939999999998,0.43438999999999994,0.25898000000000004,pilH-fliC-,PaQa,3,1
ID1000284,1000284,31,0.29331999999999997,54.35893000000001,39.38974,0,3,1,7.5,1,-10921639,39.728790000000004,0,0,255,68850,92.50623,19.444589999999998,0.44656,0.26516,pilH-fliC-,PaQa,3,1
ID1000539,1000539,31,0.30294,53.92653000000001,38.71754,0,6,2,7.5,1,-10921639,40.46451,0,0,255,70125,93.19917,21.10236,0.4435,0.26679,pilH-fliC-,PaQa,3,1
ID1000452,1000452,31,0.30791,53.8676,38.770340000000004,0,9,3,7.5,1,-10921639,41.641659999999995,0,0,255,72165,94.28534,3.0,0.46518000000000004,0.28044,pilH-fliC-,PaQa,3,1
ID1000614,1000614,31,0.27485,54.43618000000001,37.44891,0,12,4,7.5,1,-10921639,39.28736,0,0,255,68085,92.08514,27.08046,0.45813000000000004,0.26809,pilH-fliC-,PaQa,3,1
ID1000691,1000691,31,0.27847,54.41534,38.63773,0,15,5,7.5,1,-10921639,40.02308,0,0,255,69360,92.78473000000001,21.20261,0.44427,0.26538,pilH-fliC-,PaQa,3,1
ID1000840,1000840,31,0.24298000000000003,54.23431,37.10969,0,18,6,7.5,1,-10921639,37.08021,0,0,255,64260,89.91761,24.2494,0.42123999999999995,0.24445,pilH-fliC-,PaQa,3,1
ID1000769,1000769,31,0.2767,54.09089,36.55702,0,21,7,7.5,1,-10921639,40.17023,0,0,255,69615,92.92331999999999,27.176640000000003,0.50958,0.29186,pilH-fliC-,PaQa,3,1
ID1000914,1000914,31,0.23601999999999998,53.522769999999994,36.36226,0,24,8,7.5,1,-10921639,35.903059999999996,0,0,255,62220,88.71748000000001,27.064459999999997,0.50843,0.27281,pilH-fliC-,PaQa,3,1
ID1001057,1001057,31,0.22546,52.9567,35.31073,0,27,9,7.5,1,-10921639,34.57877,0,0,255,59925,87.32866,27.15513,0.44745,0.24481,pilH-fliC-,PaQa,3,1
ID1000984,1000984,31,0.24151,53.44752,34.321259999999995,0,30,10,7.5,1,-10921639,35.75591,0,0,255,61965,88.56522,28.5,0.49588000000000004,0.26766999999999996,pilH-fliC-,PaQa,3,1
ID1001132,1001132,31,0.2683,53.241530000000004,35.70227,0,33,11,7.5,1,-10921639,38.110209999999995,0,0,255,66045,90.94223000000001,27.10515,0.59925,0.31405,pilH-fliC-,PaQa,3,1
ID1001213,1001213,31,0.2795,53.55967,35.40148,0,36,12,7.5,1,-10921639,38.69879,0,0,255,67065,91.51736,28.5,0.51615,0.28791,pilH-fliC-,PaQa,3,1
ID1001359,1001359,31,0.23585,54.19429,32.43723,0,39,13,7.5,1,-10921639,32.6659,0,0,255,56610,85.24633,6.22574,0.53304,0.26647,pilH-fliC-,PaQa,3,1
ID1001283,1001283,31,0.22269,54.711209999999994,29.07762,0,42,14,7.5,1,-10921639,31.93018,0,0,255,55335,84.42021,3.0,0.46033,0.23845,pilH-fliC-,PaQa,3,1
ID1001432,1001432,31,0.24224,55.19846999999999,28.28057,0,45,15,7.5,1,-10921639,32.224470000000004,0,0,255,55845,84.75239,28.5,0.44748999999999994,0.23509000000000002,pilH-fliC-,PaQa,3,1
