Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,0.61685,2.13846717087976,1.0679627982988,0.473207142803234,947,671.36301369863,711.0,185,10204,7482.945205479449,7782.5,2449,pilH-fliC-,Liquid,1
1,2,0.561925,1.99035487874275,1.0686748342018,0.495025251881154,990,720.6541353383459,761.0,243,9408,6969.571428571429,7376.0,2117,pilH-fliC-,Liquid,1
1,3,0.756275,2.51731493398826,1.07164910887391,0.536003731330296,957,663.156424581006,699.0,160,7556,5236.82122905028,5703.0,1347,pilH-fliC-,Liquid,1
1,4,0.5239,1.81346717087976,1.0746483916862,0.473207142803234,1173,818.774193548387,869.5,230,10979,7982.629032258059,8304.0,3533,pilH-fliC-,Liquid,1
1,5,0.63375,2.09847763108502,1.0333943403580799,0.507666228933933,898,647.38,674.5,209,9525,7002.22,7424.5,2380,pilH-fliC-,Liquid,1
1,6,0.80275,2.64731493398826,1.09083952619317,0.473207142803234,1030,708.794736842105,727.0,265,8678,6118.221052631579,6321.5,2463,pilH-fliC-,Liquid,1
1,7,0.621075,2.07155374953077,1.04788104175838,0.507666228933933,914,645.496598639456,683.0,279,7629,5590.9387755102,5907.0,2268,pilH-fliC-,Liquid,1
1,8,0.899925,3.1538220496225096,1.1163692090706399,0.495025251881154,1011,733.262910798122,773.0,211,10623,7859.60563380282,8254.0,2817,pilH-fliC-,Liquid,1
1,9,0.6759999999999999,2.29539105243401,1.07060404539402,0.473207142803234,1094,796.775,850.5,224,10082,7535.40625,8137.5,2427,pilH-fliC-,Liquid,1
1,10,0.519675,1.7484671708797601,1.07597979746447,0.473207142803234,1077,752.317073170732,778.0,215,12300,9059.27642276423,9763.0,3252,pilH-fliC-,Liquid,1
1,11,0.63375,2.10458323408,1.07628790559861,0.495025251881154,1163,826.906666666667,871.5,316,8989,6508.01333333333,6876.5,2627,pilH-fliC-,Liquid,1
1,12,0.7098,2.23692388155425,1.0117452403587601,0.473207142803234,1000,720.3571428571429,756.0,213,10600,7745.47619047619,8278.5,2308,pilH-fliC-,Liquid,1
1,13,0.519675,1.6788477631085,1.02984683114016,0.473207142803234,1086,802.666666666667,830.0,364,12536,9276.49593495935,9815.0,3740,pilH-fliC-,Liquid,1
1,14,0.773175,2.61385822331377,1.08211104945591,0.495025251881154,1083,782.251366120219,816.0,275,7949,5809.94535519126,6219.0,1637,pilH-fliC-,Liquid,1
1,15,0.54925,1.9257821048680202,1.07399302711967,0.507666228933933,1086,790.861538461538,829.5,270,12430,9544.03846153846,9964.0,4932,pilH-fliC-,Liquid,1
1,16,0.53235,1.8115537495307699,1.01028880179665,0.507666228933933,986,721.9841269841271,766.5,305,8170,6220.8253968254,6382.0,2165,pilH-fliC-,Liquid,1
1,17,0.53235,1.88308657865101,1.07966912753363,0.495025251881154,1070,807.388888888889,843.5,289,12641,9432.484126984129,9825.5,2941,pilH-fliC-,Liquid,1
1,18,0.80275,2.7145936942852598,1.04407449780202,0.507666228933933,1133,825.852631578947,858.5,330,10977,8229.30526315789,8761.0,3539,pilH-fliC-,Liquid,1
1,19,0.5746,1.9522787602970002,1.0612365882545,0.507666228933933,978,707.044117647059,733.0,325,8377,6053.83823529412,6350.5,2096,pilH-fliC-,Liquid,1
1,20,0.49855,1.44577164466275,1.04852813742386,0.536003731330296,2361,1676.3050847457598,1749.5,610,8699,5951.04237288136,6450.5,1844,pilH-fliC-,Liquid,1
1,21,0.53235,1.6788477631085,1.02984683114016,0.473207142803234,924,668.746031746032,698.5,234,7729,5518.78571428571,6063.0,1601,pilH-fliC-,Liquid,1
1,22,0.773175,2.72808657865101,1.07900964893168,0.495025251881154,1022,720.224043715847,748.0,237,10352,7718.69398907104,8145.0,2201,pilH-fliC-,Liquid,1
1,23,0.595725,1.8357716446627501,1.04530702901419,0.52,1173,838.631205673759,872.0,400,11619,8349.31205673759,8604.0,3420,pilH-fliC-,Liquid,1
1,24,0.65065,2.10458323408,1.07628790559861,0.507666228933933,1056,764.7012987012989,792.5,256,10117,7363.50649350649,7618.5,2622,pilH-fliC-,Liquid,1
1,25,1.03935,3.31308657865101,1.0721738456350798,0.473207142803234,1027,725.7926829268291,747.0,221,10315,7108.861788617891,7906.5,1822,pilH-fliC-,Liquid,1
1,26,0.637975,2.21270598642227,1.0669313226061,0.495025251881154,1131,828.5430463576159,862.0,322,10044,7517.88741721854,7977.0,2302,pilH-fliC-,Liquid,1
1,27,0.545025,1.87150711563425,1.0730300335725,0.473207142803234,1179,824.728682170543,847.0,240,11366,8026.86046511628,8667.0,3000,pilH-fliC-,Liquid,1
1,28,0.773175,2.5553910524340098,1.06604259790424,0.495025251881154,1083,759.010928961749,800.0,268,10439,7359.66666666667,8216.0,1579,pilH-fliC-,Liquid,1
1,29,0.51545,1.7642388155425102,1.08222781927339,0.495025251881154,1221,845.040983606557,873.5,363,11514,8150.606557377049,8751.5,2480,pilH-fliC-,Liquid,1
1,30,0.798525,2.7707821048680197,1.0820396094609999,0.536003731330296,1117,795.0634920634919,836.0,278,14052,10337.8571428571,10903.0,3117,pilH-fliC-,Liquid,1
1,31,0.63375,2.145,1.0,0.39,1054,762.58,777.5,273,10259,7599.65333333333,7950.5,3436,pilH-fliC-,Liquid,1
1,32,0.494325,1.7484671708797601,1.07597979746447,0.473207142803234,1334,952.6068376068381,977.0,407,13550,10196.4871794872,10832.0,2793,pilH-fliC-,Liquid,1
