Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,3.080025,4.82847763108502,1.07714940074813,0.946414285606467,556,152.382716049383,140.0,18,mNG_pilT_5h,Solid,3
1,2,2.12095,3.3711265234055094,1.07815206388578,0.946414285606467,841,203.077689243028,180.5,42,mNG_pilT_5h,Solid,3
1,3,2.209675,3.21420264185125,1.0777892485402298,1.0090713552569,381,143.889101338432,144.0,32,mNG_pilT_5h,Solid,3
1,4,2.49275,3.33575639138202,1.0080068225353,1.0581233387464801,263,74.9983050847458,71.0,1,mNG_pilT_5h,Solid,3
1,5,2.023775,3.0911626970967596,1.07145859782737,0.946414285606467,630,187.609603340292,180.0,40,mNG_pilT_5h,Solid,3
1,6,2.01955,2.951861994377,1.0527118369025898,0.975,296,89.63389121338909,84.0,13,mNG_pilT_5h,Solid,3
1,7,3.08425,4.28346717087976,1.04274485540584,1.0090713552569,260,77.1095890410959,75.0,17,mNG_pilT_5h,Solid,3
1,8,2.116725,2.90731493398826,1.06555475256742,1.0090713552569,278,110.534930139721,110.0,25,mNG_pilT_5h,Solid,3
1,9,2.742025,4.30528253136024,1.0727829298446199,0.946414285606467,903,235.85362095531602,219.0,95,mNG_pilT_5h,Solid,3
1,10,2.344875,3.48848809129029,1.03728883306614,0.990050503762308,732,165.142342342342,148.0,43,mNG_pilT_5h,Solid,3
1,11,1.812525,2.83116269709676,1.07489215798247,0.946414285606467,295,125.191142191142,123.0,34,mNG_pilT_5h,Solid,3
1,12,3.789825,5.22032916525676,1.07533870177917,1.04809350727881,440,103.99219620958799,98.0,15,mNG_pilT_5h,Solid,3
1,13,1.9266,3.1896194077712594,1.03820693170169,0.867208164168212,653,160.32675438596502,144.0,52,mNG_pilT_5h,Solid,3
