Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,2,2.1294,3.17655374953077,1.0814712604780201,1.0174109297624,297,58.380952380952394,49.0,0,mNG_pilT_cyaB-,Liquid,2
1,3,2.535,3.5461626970967597,1.06564313112478,1.0090713552569,194,66.4016666666667,63.0,8,mNG_pilT_cyaB-,Liquid,2
1,4,2.488525,3.3645936942852597,1.0700679124902501,1.1351761977772399,147,66.0271646859083,64.0,5,mNG_pilT_cyaB-,Liquid,2
1,5,3.477175,4.57458323408,1.0662140406918101,1.07594144822105,209,82.08262454434991,82.0,10,mNG_pilT_cyaB-,Liquid,2
1,7,1.998425,2.83769552621701,1.03476668459675,1.0090713552569,112,57.183932346723005,56.0,5,mNG_pilT_cyaB-,Liquid,2
1,8,1.88435,2.6199638263087404,1.04773410450592,1.0090713552569,135,69.3116591928251,69.0,3,mNG_pilT_cyaB-,Liquid,2
1,9,2.20545,2.94958323408,1.0689808028006098,1.07200746266059,226,59.7835249042146,58.0,0,mNG_pilT_cyaB-,Liquid,2
1,10,1.9266,2.8357821048680196,1.10849513665548,1.02774023955472,323,70.3245614035088,65.0,0,mNG_pilT_cyaB-,Liquid,2
1,11,2.47585,3.20077164466275,1.02389051060595,1.04,139,55.988054607508495,54.0,0,mNG_pilT_cyaB-,Liquid,2
1,12,2.623725,3.6788686835190294,1.06788641031031,1.04809350727881,280,68.09822866344611,63.0,5,mNG_pilT_cyaB-,Liquid,2
1,13,2.0618,3.00805040495976,1.07739155591069,1.0174109297624,99,40.934426229508205,40.0,0,mNG_pilT_cyaB-,Liquid,2
1,14,2.099825,2.96535487874275,1.0764903776508001,1.0174109297624,169,74.9979879275654,74.0,7,mNG_pilT_cyaB-,Liquid,2
1,15,2.9068,4.05501046020526,1.07464165794167,1.07200746266059,180,66.3837209302326,64.0,0,mNG_pilT_cyaB-,Liquid,2
1,16,2.1801,3.0484671708797597,1.05265949037412,1.0090713552569,130,59.087209302325604,59.0,7,mNG_pilT_cyaB-,Liquid,2
1,18,2.809625,4.08655374953077,1.08043932256647,1.07594144822105,174,71.603007518797,71.0,3,mNG_pilT_cyaB-,Liquid,2
1,19,2.28995,2.8915432893255097,1.04852813742386,1.07200746266059,293,54.85239852398521,51.0,0,mNG_pilT_cyaB-,Liquid,2
1,20,2.39135,3.14692388155425,1.0084106338432701,0.975,219,66.5123674911661,66.0,0,mNG_pilT_cyaB-,Liquid,2
1,21,2.649075,3.6780142312685,1.07222875246271,1.0174109297624,210,53.103668261562994,51.0,0,mNG_pilT_cyaB-,Liquid,2
1,23,2.10405,3.2007097574855,1.04321865341603,0.975,334,77.5722891566265,74.0,12,mNG_pilT_cyaB-,Liquid,2
1,26,2.834975,3.8534776310850205,1.08219740437695,1.07200746266059,163,66.4366616989568,66.0,4,mNG_pilT_cyaB-,Liquid,2
1,28,2.91525,3.86654328932551,1.0429596062613102,1.04,255,79.2028985507246,78.0,16,mNG_pilT_cyaB-,Liquid,2
1,29,2.243475,3.2619448019647796,1.06317720807539,1.0660792653456899,217,58.167608286252396,56.0,0,mNG_pilT_cyaB-,Liquid,2
1,30,2.50965,3.20077164466275,1.02389051060595,1.07200746266059,200,61.9225589225589,61.0,7,mNG_pilT_cyaB-,Liquid,2
1,31,2.556125,3.67524635766898,1.04887876791365,1.02774023955472,179,83.76363636363641,82.0,8,mNG_pilT_cyaB-,Liquid,2
1,32,2.336425,3.3334776310850205,1.08140770809048,1.0090713552569,159,55.03797468354429,53.0,1,mNG_pilT_cyaB-,Liquid,2
1,33,2.750475,3.9068981680682597,1.07884208255896,1.07200746266059,251,86.4162826420891,86.0,8,mNG_pilT_cyaB-,Liquid,2
1,34,2.05335,2.56192388155425,1.01028880179665,1.07200746266059,201,73.65843621399179,74.0,0,mNG_pilT_cyaB-,Liquid,2
1,35,2.5181,3.55497428651401,1.07883877065354,1.07594144822105,238,61.2214765100671,57.0,0,mNG_pilT_cyaB-,Liquid,2
1,36,2.378675,3.1942388155425094,1.06604259790424,1.0090713552569,146,49.7460035523979,47.0,0,mNG_pilT_cyaB-,Liquid,2
1,37,2.23925,3.0038582233137703,1.08176926914207,1.1351761977772399,133,57.575471698113205,57.0,0,mNG_pilT_cyaB-,Liquid,2
1,38,2.28995,3.34420264185125,1.0772502073239498,1.0090713552569,207,60.9575645756458,58.0,7,mNG_pilT_cyaB-,Liquid,2
1,39,2.18855,2.99881158941725,1.0626252874553102,1.07594144822105,175,58.2162162162162,56.0,0,mNG_pilT_cyaB-,Liquid,2
1,40,2.35755,3.2238686835190298,1.06275963066259,1.1351761977772399,165,65.6792114695341,64.0,8,mNG_pilT_cyaB-,Liquid,2
1,41,2.851875,3.9965432893255097,1.03973664007649,1.0090713552569,133,49.318518518518495,48.0,0,mNG_pilT_cyaB-,Liquid,2
1,42,3.925025,5.41384297003304,1.05769738949841,1.02774023955472,163,66.9763186221744,66.0,1,mNG_pilT_cyaB-,Liquid,2
1,43,2.970175,4.32233585439879,1.07915755182225,1.02774023955472,366,68.90042674253199,64.0,6,mNG_pilT_cyaB-,Liquid,2
1,44,2.6871,3.4918877078629906,1.05154208529846,1.04,237,66.2216981132076,65.0,6,mNG_pilT_cyaB-,Liquid,2
1,45,2.5519,3.6492388155425095,1.0764763105630601,0.946414285606467,173,70.3245033112583,68.0,4,mNG_pilT_cyaB-,Liquid,2
1,46,2.40825,3.33809703885628,1.06943883159658,1.0660792653456899,234,59.026315789473706,55.0,0,mNG_pilT_cyaB-,Liquid,2
1,47,1.9942,2.4319238815542503,1.01082584451998,1.1351761977772399,131,55.3114406779661,55.0,5,mNG_pilT_cyaB-,Liquid,2
1,48,2.251925,3.0530865786510097,1.07531716468635,1.07200746266059,178,62.093808630394,60.0,0,mNG_pilT_cyaB-,Liquid,2
1,49,2.319525,3.2888686835190297,1.0584980801789798,1.0174109297624,284,68.9581056466302,66.0,0,mNG_pilT_cyaB-,Liquid,2
1,50,4.1912,5.9488220496225095,1.06897028724559,1.0090713552569,241,78.6038306451613,76.0,5,mNG_pilT_cyaB-,Liquid,2
1,51,2.3153,3.09578210486802,1.08216184754124,1.105,143,63.605839416058394,63.5,0,mNG_pilT_cyaB-,Liquid,2
1,52,2.775825,3.63425973595304,1.02611847518253,1.1183022847155402,142,62.0700152207001,60.0,0,mNG_pilT_cyaB-,Liquid,2
1,53,1.9097,2.8942492757477796,1.06318240851159,0.990050503762308,295,57.32743362831861,53.0,0,mNG_pilT_cyaB-,Liquid,2
1,54,3.029325,4.05501046020526,1.07464165794167,1.07200746266059,224,57.2538354253835,55.0,0,mNG_pilT_cyaB-,Liquid,2
1,55,1.91815,2.63382204962251,1.07948739606274,1.105,215,70.125550660793,66.0,7,mNG_pilT_cyaB-,Liquid,2
1,56,2.125175,2.91002092041053,1.04597190599802,1.105,186,59.168986083499,59.0,1,mNG_pilT_cyaB-,Liquid,2
1,57,3.553225,4.5634309971885,1.06989490325741,1.07200746266059,209,68.6432818073722,66.0,0,mNG_pilT_cyaB-,Liquid,2
1,58,1.90125,2.75501046020527,1.08076613452207,1.04,160,68.9022222222222,66.5,11,mNG_pilT_cyaB-,Liquid,2
1,59,2.40825,3.0484671708797597,1.05265949037412,1.105,312,76.35087719298251,69.0,6,mNG_pilT_cyaB-,Liquid,2
