Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,2,2.049125,2.8799638263087406,1.04432920572045,1.0090713552569,275,90.459793814433,85.0,14,mNG_pilT,Liquid,2
1,3,2.197,3.23650711563425,1.069137182015,1.0090713552569,232,47.4211538461539,42.0,0,mNG_pilT,Liquid,2
1,4,2.978625,4.166470941942991,1.07235478138244,1.0090713552569,224,58.0099290780142,55.0,0,mNG_pilT,Liquid,2
1,5,2.015325,3.0261626970967597,1.07231711963401,0.946414285606467,235,81.63941299790359,79.0,13,mNG_pilT,Liquid,2
1,6,2.40825,3.42497428651401,1.07872002027224,1.02774023955472,336,75.8929824561403,71.0,4,mNG_pilT,Liquid,2
1,7,1.897025,2.8018981680682598,1.1067415128631297,1.02774023955472,139,64.0601336302895,64.0,0,mNG_pilT,Liquid,2
1,8,2.34065,3.1896194077712594,1.03820693170169,1.04,197,51.6028880866426,47.0,0,mNG_pilT,Liquid,2
1,10,1.9773,2.95462986797652,1.08105700875118,1.07594144822105,173,66.3397435897436,64.0,13,mNG_pilT,Liquid,2
1,11,2.471625,3.50069929728024,1.07094467576131,1.0090713552569,249,72.25470085470091,70.0,0,mNG_pilT,Liquid,2
1,14,2.868775,4.23460415449053,1.04736992182123,1.01116269709676,205,48.195876288659804,45.0,0,mNG_pilT,Liquid,2
1,15,2.00265,2.96997428651401,1.07547601555818,1.02774023955472,415,171.101265822785,172.0,18,mNG_pilT,Liquid,2
1,16,3.350425,4.5053910524340095,1.04972584733355,1.07200746266059,215,63.051702395964696,61.0,0,mNG_pilT,Liquid,2
1,17,2.23925,3.07809703885628,1.0779293471381501,1.0660792653456899,164,74.7509433962264,72.5,11,mNG_pilT,Liquid,2
1,18,3.333525,4.655354878742751,1.06154475684109,1.0090713552569,271,86.2877059569075,84.0,6,mNG_pilT,Liquid,2
1,19,2.54345,3.5299638263087405,1.04129179487558,0.946414285606467,225,67.0730897009967,64.0,0,mNG_pilT,Liquid,2
1,20,2.17165,3.0484671708797597,1.05265949037412,1.0090713552569,138,45.4416342412451,44.0,0,mNG_pilT,Liquid,2
1,21,1.711125,2.6723253941935297,1.07596849251247,0.990050503762308,164,49.72592592592589,46.0,2,mNG_pilT,Liquid,2
1,22,2.3153,3.1246194077712595,1.04280787482596,1.04,204,64.1332116788321,63.0,0,mNG_pilT,Liquid,2
1,23,2.167425,3.0938686835190294,1.04718487600886,1.02774023955472,310,85.80506822612091,80.0,20,mNG_pilT,Liquid,2
1,25,1.795625,2.95839482349724,1.07128290358272,0.946414285606467,279,40.1905882352941,32.0,0,mNG_pilT,Liquid,2
1,26,1.973075,2.8469343417595203,1.08153896502846,1.0090713552569,269,75.7537473233405,72.0,0,mNG_pilT,Liquid,2
1,27,2.344875,3.07539105243401,1.05796668471339,1.07200746266059,193,68.5981981981982,67.0,2,mNG_pilT,Liquid,2
1,28,2.649075,3.65847763108502,1.1315850462956598,1.1351761977772399,229,69.2408293460925,64.0,8,mNG_pilT,Liquid,2
1,30,1.989975,2.9811265234055,1.07802234883277,1.0090713552569,190,69.18259023354571,68.0,0,mNG_pilT,Liquid,2
1,31,3.2110000000000003,4.38654328932551,1.0362747751494201,1.0090713552569,164,58.8315789473684,55.0,0,mNG_pilT,Liquid,2
1,33,2.725125,3.80233585439879,1.04710500101224,1.0581233387464801,409,83.92868217054259,78.0,0,mNG_pilT,Liquid,2
1,34,1.9266,2.8088582233137704,1.1348343191139298,0.990050503762308,252,86.76973684210529,82.0,13,mNG_pilT,Liquid,2
1,35,2.66175,3.8107821048680197,1.07759335581246,1.07200746266059,259,83.4904761904762,80.0,0,mNG_pilT,Liquid,2
1,37,2.716675,3.7407354709715004,1.05123610804264,1.0090713552569,212,70.2643856920684,69.0,0,mNG_pilT,Liquid,2
1,38,3.06735,4.25001046020526,1.0650342482344999,1.0090713552569,199,82.4201101928375,81.0,6,mNG_pilT,Liquid,2
1,39,4.2757,5.67156420973603,1.08226301763117,1.07594144822105,286,91.7134387351779,90.0,1,mNG_pilT,Liquid,2
1,40,3.612375,4.85035487874275,1.06546859344132,1.07200746266059,357,84.6678362573099,84.0,2,mNG_pilT,Liquid,2
1,41,2.522325,3.28154328932551,1.04365474598587,1.0090713552569,343,85.5527638190955,82.0,14,mNG_pilT,Liquid,2
1,42,2.911025,4.11766981273101,1.07930340890999,1.07200746266059,312,85.69230769230771,84.0,8,mNG_pilT,Liquid,2
1,43,2.843425,3.8595832340800005,1.0709646177149201,1.07200746266059,183,65.63447251114411,64.0,0,mNG_pilT,Liquid,2
1,44,2.682875,3.82464032818178,1.06075111096066,1.0660792653456899,383,75.140157480315,69.0,2,mNG_pilT,Liquid,2
1,45,2.344875,3.2726698127310097,1.07100795611104,1.07594144822105,265,112.610810810811,113.0,22,mNG_pilT,Liquid,2
1,46,2.50965,3.42731493398826,1.0583754760153499,1.07200746266059,153,53.0185185185185,53.0,0,mNG_pilT,Liquid,2
1,47,2.6533,3.64881158941724,1.05243903240826,1.0090713552569,203,49.45700636942679,46.5,0,mNG_pilT,Liquid,2
1,48,2.27305,3.01501046020526,1.0784241439593198,1.07200746266059,289,89.8029739776952,87.0,8,mNG_pilT,Liquid,2
1,50,2.54345,3.43464032818179,1.047427603512,1.07594144822105,284,87.4900332225914,86.5,16,mNG_pilT,Liquid,2
1,52,2.758925,4.113050404959759,1.07575314822187,0.975,322,88.8055130168453,83.0,16,mNG_pilT,Liquid,2
1,53,2.0787,2.8599381128227503,1.04258463199563,1.0660792653456899,142,53.6930894308943,51.0,4,mNG_pilT,Liquid,2
1,54,3.603925,4.83501046020526,1.0689851416787601,1.07200746266059,189,52.532239155920294,51.0,0,mNG_pilT,Liquid,2
1,55,2.4674,3.49416646816,1.07319812288657,1.0174109297624,362,106.609589041096,99.0,25,mNG_pilT,Liquid,2
1,56,2.505425,3.536861994377,1.08826522903908,1.0174109297624,265,59.5885328836425,55.0,0,mNG_pilT,Liquid,2
1,57,2.961725,3.7746194077712594,1.03287452015163,1.07200746266059,313,70.30242510699,69.0,3,mNG_pilT,Liquid,2
1,58,2.535,3.35769552621701,1.02984683114016,1.07200746266059,160,75.7866666666667,75.0,14,mNG_pilT,Liquid,2
