Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,2.192775,3.16497428651401,1.10892791110166,1.07594144822105,229,64.36608863198461,59.0,5,mNG_pilT_pilG-,Liquid,3
1,3,1.78295,2.60923881554251,1.07437962789608,1.04,398,67.1279620853081,62.5,0,mNG_pilT_pilG-,Liquid,3
1,4,2.032225,2.8246298679765203,1.09118050666223,1.02774023955472,260,73.006237006237,66.0,0,mNG_pilT_pilG-,Liquid,3
1,5,1.9942,2.707695526217,1.0362529801350502,1.0090713552569,469,123.576271186441,118.0,36,mNG_pilT_pilG-,Liquid,3
1,6,2.67865,3.6834880912902896,1.05123087674253,1.0660792653456899,311,58.0536277602524,52.0,0,mNG_pilT_pilG-,Liquid,3
1,8,1.79985,2.53265935252575,1.10605706173325,1.0174109297624,399,67.169014084507,52.5,1,mNG_pilT_pilG-,Liquid,3
1,10,3.443375,4.7276802729362695,1.06547136679818,1.105,478,87.8662576687117,81.0,17,mNG_pilT_pilG-,Liquid,3
1,11,3.1941,4.3215432893255095,1.03832565024373,1.07200746266059,231,58.53571428571429,55.0,0,mNG_pilT_pilG-,Liquid,3
1,12,3.11805,4.06233585439879,1.05205062840455,1.1572920979597199,190,82.9119241192412,84.0,17,mNG_pilT_pilG-,Liquid,3
1,13,1.8421,2.36692388155425,1.011115916491,1.0090713552569,359,93.6903669724771,90.0,20,mNG_pilT_pilG-,Liquid,3
1,14,3.2110000000000003,4.470020920410531,1.08194582775902,1.02774023955472,402,92.34473684210529,85.0,16,mNG_pilT_pilG-,Liquid,3
1,15,2.13785,2.8488477631085,1.0181650278166898,1.07200746266059,217,67.3221343873518,63.5,9,mNG_pilT_pilG-,Liquid,3
1,16,1.96885,2.6965432893255095,1.05135584562486,1.0090713552569,264,72.412017167382,67.0,12,mNG_pilT_pilG-,Liquid,3
1,17,1.778725,2.58693434175952,1.08238983168196,1.07594144822105,443,68.2755344418052,57.0,0,mNG_pilT_pilG-,Liquid,3
1,18,2.81385,3.6454119728445398,1.04036433112472,1.1183022847155402,415,53.609609609609606,47.0,0,mNG_pilT_pilG-,Liquid,3
1,19,1.4196,2.057695526217,1.04597190599802,1.0090713552569,346,93.8095238095238,91.0,11,mNG_pilT_pilG-,Liquid,3
1,20,1.922375,2.81539105243401,1.07086252280466,1.0090713552569,359,72.6593406593407,66.0,0,mNG_pilT_pilG-,Liquid,3
1,21,1.744925,2.61847763108502,1.09477829714327,1.02774023955472,230,56.1428571428571,53.0,0,mNG_pilT_pilG-,Liquid,3
1,22,2.251925,3.0596194077712595,1.04576554730755,1.04,399,69.86866791744839,65.0,3,mNG_pilT_pilG-,Liquid,3
1,24,2.00265,2.75692388155425,1.00957610719164,1.0090713552569,270,92.65822784810129,85.5,13,mNG_pilT_pilG-,Liquid,3
1,25,2.76315,3.812695526217,1.02654306970036,1.0090713552569,437,59.7354740061162,52.0,0,mNG_pilT_pilG-,Liquid,3
1,26,2.539225,3.3846194077712597,1.0362529801350502,1.0090713552569,242,59.0316139767055,56.0,1,mNG_pilT_pilG-,Liquid,3
1,27,1.7407,2.5061626970967597,1.07894785554672,1.0090713552569,181,50.22087378640779,48.0,4,mNG_pilT_pilG-,Liquid,3
1,28,2.2984,3.0642388155425095,1.06783298858801,1.0090713552569,129,64.0919117647059,65.0,7,mNG_pilT_pilG-,Liquid,3
1,29,3.01665,4.26848809129029,1.06627517017068,1.07594144822105,475,59.76470588235289,48.0,0,mNG_pilT_pilG-,Liquid,3
1,30,1.694225,2.3826955262170095,1.04056521067641,1.0090713552569,228,67.3192019950125,63.0,8,mNG_pilT_pilG-,Liquid,3
1,31,2.13785,3.00109034971425,1.0671188499206,1.0660792653456899,542,74.4268774703557,59.0,1,mNG_pilT_pilG-,Liquid,3
1,32,2.9913,4.2161265234055,1.0731870972125899,1.0090713552569,762,103.947740112994,93.0,16,mNG_pilT_pilG-,Liquid,3
1,33,3.37155,4.79964032818178,1.07914457654649,1.07594144822105,324,90.5989974937343,83.0,8,mNG_pilT_pilG-,Liquid,3
1,34,2.336425,3.13109034971425,1.08474782425498,1.17,296,55.567811934900504,49.0,0,mNG_pilT_pilG-,Liquid,3
1,35,1.863225,2.7434309971885003,1.07622361402524,1.0090713552569,222,76.53061224489801,75.0,8,mNG_pilT_pilG-,Liquid,3
