Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,1.81675,2.53265935252575,1.07042312908572,1.0090713552569,178,62.474418604651206,62.0,0,mNG_pilT_pilG-,Solid,1
1,2,2.6533,3.50425973595304,1.0164781928931401,1.10308657865101,381,55.9156050955414,51.0,0,mNG_pilT_pilG-,Solid,1
1,3,2.08715,3.0084776310850203,1.07783671148814,1.02774023955472,136,66.0506072874494,66.0,7,mNG_pilT_pilG-,Solid,1
1,4,1.871675,2.62962986797652,1.09661000701292,1.10308657865101,211,87.5959367945824,87.0,8,mNG_pilT_pilG-,Solid,1
1,5,1.728025,2.55347763108502,1.0648529502314301,1.02774023955472,257,67.4278728606357,66.0,0,mNG_pilT_pilG-,Solid,1
1,6,2.67865,3.4969343417595202,1.07597979746447,1.1351761977772399,176,49.8611987381703,48.0,1,mNG_pilT_pilG-,Solid,1
1,7,6.05865,7.91581348548381,1.1090332227483302,1.07594144822105,218,61.891910739191104,61.0,0,mNG_pilT_pilG-,Solid,1
1,8,2.066025,2.9480970388562797,1.0544902140144201,1.0660792653456899,140,58.1860940695297,58.0,0,mNG_pilT_pilG-,Solid,1
1,9,3.502525,4.5758030252785495,1.04651310863681,1.1183022847155402,170,75.7696019300362,75.0,10,mNG_pilT_pilG-,Solid,1
1,10,2.158975,3.01501046020526,1.1050260456321002,1.0090713552569,264,74.23091976516629,70.0,0,mNG_pilT_pilG-,Solid,1
1,11,2.10405,2.9861731573020296,1.06181463866535,1.02774023955472,216,60.11445783132529,58.0,4,mNG_pilT_pilG-,Solid,1
1,12,2.96595,3.9657925650732797,1.0836449376525201,1.07594144822105,424,99.1908831908832,96.5,11,mNG_pilT_pilG-,Solid,1
1,13,2.12095,2.85346717087976,1.0554471029397,1.04,165,51.326693227091596,48.0,0,mNG_pilT_pilG-,Solid,1
