Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,4.40245,6.76036533894801,1.07399360541517,0.946414285606467,1456,258.56238003838797,227.0,36,mNG_pilT_pilH-,Liquid,2
1,2,3.620825,5.56152803604478,1.07952277250407,0.990050503762308,1291,308.597432905484,268.0,66,mNG_pilT_pilH-,Liquid,2
1,3,3.003975,4.4622064129144805,1.0730388028604,0.990050503762308,1171,309.441631504923,255.0,88,mNG_pilT_pilH-,Liquid,2
1,4,2.606825,3.84381158941724,1.0453789386463,0.946414285606467,1810,344.717990275527,257.0,74,mNG_pilT_pilH-,Liquid,2
1,5,2.96595,4.49609034971424,1.07646330950895,0.946414285606467,1506,335.643874643875,289.0,109,mNG_pilT_pilH-,Liquid,2
1,6,2.5519,3.53039105243401,1.05210927797461,0.990050503762308,2047,355.210264900662,295.0,76,mNG_pilT_pilH-,Liquid,2
1,7,3.249025,4.87913029446874,1.07453149212044,0.946414285606467,1809,441.387516254876,374.0,128,mNG_pilT_pilH-,Liquid,2
1,8,3.2786,4.81079256507328,1.0813056614510301,0.990050503762308,1636,311.018041237113,262.0,58,mNG_pilT_pilH-,Liquid,2
1,9,2.699775,4.108858223313771,1.07248911335735,0.8840955830678041,1872,358.04068857589994,282.0,79,mNG_pilT_pilH-,Liquid,2
1,10,3.865875,5.792690733141541,1.05305202479327,0.990050503762308,1460,300.711475409836,271.0,61,mNG_pilT_pilH-,Liquid,2
1,11,2.2984,3.5888582233137702,1.07744617690898,0.946414285606467,816,335.540441176471,321.0,106,mNG_pilT_pilH-,Liquid,2
1,12,3.9715,5.743889603929559,1.04012201529935,0.990050503762308,1803,306.084042553191,236.0,54,mNG_pilT_pilH-,Liquid,2
1,13,3.47295,4.9496041544905305,1.06732877903271,1.0174109297624,2016,515.3369829683701,428.0,152,mNG_pilT_pilH-,Liquid,2
1,14,3.35465,4.88226350701627,1.03008847649994,0.975,2033,376.730478589421,324.0,98,mNG_pilT_pilH-,Liquid,2
1,15,1.9266,3.0242492757477795,1.0679627982988,0.990050503762308,1134,244.041666666667,223.0,91,mNG_pilT_pilH-,Liquid,2
1,16,3.52365,5.33923881554251,1.04455484901689,0.91,1382,322.255395683453,291.0,129,mNG_pilT_pilH-,Liquid,2
1,17,2.564575,4.22074593117676,1.09885081928811,0.8840955830678041,1766,347.24546952224097,288.0,94,mNG_pilT_pilH-,Liquid,2
1,18,2.86455,4.3919552621700495,1.04497155124223,0.975,1553,321.710914454277,263.0,72,mNG_pilT_pilH-,Liquid,2
1,19,2.86455,4.20810749906154,1.04898187123068,0.966294468575703,1529,385.63569321533896,318.0,107,mNG_pilT_pilH-,Liquid,2
1,20,3.671525,5.5388582233137695,1.06834140341597,0.8840955830678041,1405,370.87686996547797,325.0,132,mNG_pilT_pilH-,Liquid,2
1,21,2.3153,3.30150711563425,1.06842652509324,1.0090713552569,1522,288.84124087591204,248.0,74,mNG_pilT_pilH-,Liquid,2
1,22,2.429375,3.44031870505149,1.0748044320035401,1.02774023955472,1007,291.530434782609,268.0,68,mNG_pilT_pilH-,Liquid,2
1,23,2.708225,3.92692388155425,1.0067637407845,0.867208164168212,1757,397.492979719189,324.0,126,mNG_pilT_pilH-,Liquid,2
1,24,3.950375,5.91493811282275,1.0734782312905,0.946414285606467,2118,408.63101604278097,321.0,131,mNG_pilT_pilH-,Liquid,2
1,25,2.860325,4.351173157302029,1.0823738475359599,0.8840955830678041,1714,424.140324963072,372.0,137,mNG_pilT_pilH-,Liquid,2
