Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,3.4645,5.16001046020526,1.05658697400857,0.946414285606467,2188,594.432926829268,574.5,186,mNG_pilU_cpdA-,Liquid,3
1,2,3.1941,4.91848809129029,1.07736462088247,0.946414285606467,3656,899.140211640212,808.0,324,mNG_pilU_cpdA-,Liquid,3
1,3,3.82785,6.09040151263927,1.07015863606634,0.872066511224918,2197,644.3609271523179,549.5,186,mNG_pilU_cpdA-,Liquid,3
1,4,3.451825,5.15618361750729,1.07304994069618,0.990050503762308,2108,604.964504283966,565.0,194,mNG_pilU_cpdA-,Liquid,3
1,5,1.770275,2.95462986797652,1.08105700875118,0.8840955830678041,1140,316.195704057279,288.0,79,mNG_pilU_cpdA-,Liquid,3
1,6,2.22235,3.0438477631085004,1.01704844576215,1.0090713552569,2029,677.3060836501901,635.5,234,mNG_pilU_cpdA-,Liquid,3
1,7,3.45605,5.02539105243401,1.03872748463706,0.91,3670,843.251833740831,711.0,249,mNG_pilU_cpdA-,Liquid,3
1,8,2.83075,4.15802469147376,1.04489804402529,0.990050503762308,2625,772.05223880597,704.0,233,mNG_pilU_cpdA-,Liquid,3
1,9,3.20255,4.85497428651401,1.07251335350217,0.946414285606467,3984,961.31926121372,855.0,396,mNG_pilU_cpdA-,Liquid,3
1,10,3.434925,5.312253046811009,1.0749827082669499,0.946414285606467,3201,812.7859778597791,700.0,245,mNG_pilU_cpdA-,Liquid,3
1,11,3.494075,5.458451917599031,1.07126073948018,0.946414285606467,2655,726.174123337364,679.0,244,mNG_pilU_cpdA-,Liquid,3
1,12,3.64195,5.50263363903975,1.0777416335485999,0.946414285606467,2452,753.5,707.0,258,mNG_pilU_cpdA-,Liquid,3
1,13,3.16875,4.918060865165019,1.07759875986731,0.946414285606467,2937,856.753333333333,840.5,343,mNG_pilU_cpdA-,Liquid,3
1,14,4.4954,6.66844145739376,1.07309430075583,0.946414285606467,2526,788.177631578947,748.5,291,mNG_pilU_cpdA-,Liquid,3
1,15,3.7856,5.44231493398826,1.04003822736593,0.946414285606467,3830,847.5725446428571,739.0,307,mNG_pilU_cpdA-,Liquid,3
1,16,3.223675,4.80346717087976,1.0358159138781802,0.946414285606467,2001,692.900393184797,681.0,291,mNG_pilU_cpdA-,Liquid,3
1,18,4.601025,6.950052301026321,1.04223022548282,0.937443331620637,3856,994.469237832874,822.0,323,mNG_pilU_cpdA-,Liquid,3
1,19,3.5659,4.94541197284454,1.07597979746447,1.02774023955472,3031,1001.2109004739301,953.0,323,mNG_pilU_cpdA-,Liquid,3
1,20,4.1912,6.2000104602052595,1.05819908273056,0.946414285606467,2396,793.952620967742,746.0,282,mNG_pilU_cpdA-,Liquid,3
1,21,2.96595,4.29264409924502,1.0247798105130699,0.937443331620637,2951,745.878917378917,646.5,274,mNG_pilU_cpdA-,Liquid,3
1,22,3.739125,5.38691908847879,1.06549007473192,0.990050503762308,3132,829.5762711864411,757.0,258,mNG_pilU_cpdA-,Liquid,3
1,23,3.603925,5.4115642097360395,1.08168780697771,0.946414285606467,2555,735.188745603752,682.0,252,mNG_pilU_cpdA-,Liquid,3
1,24,3.54055,5.12691908847879,1.04327066729377,0.990050503762308,3349,860.257756563246,756.5,259,mNG_pilU_cpdA-,Liquid,3
1,25,3.756025,5.54809703885628,1.07966912753363,0.990050503762308,3583,965.6389201349831,838.0,292,mNG_pilU_cpdA-,Liquid,3
1,26,2.08715,2.9565432893255097,1.04764756604936,0.946414285606467,3119,713.289473684211,584.5,228,mNG_pilU_cpdA-,Liquid,3
1,27,2.471625,3.7300104602052597,1.07060404539402,0.946414285606467,2633,772.5914529914529,711.0,231,mNG_pilU_cpdA-,Liquid,3
1,28,2.158975,3.14728922050227,1.0503736792173501,0.975,4035,898.178082191781,651.0,278,mNG_pilU_cpdA-,Liquid,3
1,29,3.20255,4.6060646362282505,1.04299871014764,0.990050503762308,2635,801.3878627968339,723.0,289,mNG_pilU_cpdA-,Liquid,3
1,30,3.139175,4.55270598642227,1.0733798031766,0.946414285606467,3243,1075.600269179,1060.0,336,mNG_pilU_cpdA-,Liquid,3
1,31,3.105375,4.17656420973604,1.06721470442303,1.07594144822105,2099,774.042176870748,770.0,301,mNG_pilU_cpdA-,Liquid,3
1,32,3.401125,5.135365338948009,1.0798398915321,0.946414285606467,1380,430.227329192547,408.0,163,mNG_pilU_cpdA-,Liquid,3
1,33,2.471625,3.5795575205940002,1.0667616200376,1.04809350727881,2314,783.4512820512821,771.0,328,mNG_pilU_cpdA-,Liquid,3
1,36,2.175875,3.1914709419429905,1.11821167712821,1.02774023955472,2355,756.3436893203881,698.0,237,mNG_pilU_cpdA-,Liquid,3
1,37,2.378675,3.4542388155425097,1.06263020768144,0.946414285606467,1749,633.909413854352,617.0,230,mNG_pilU_cpdA-,Liquid,3
1,38,3.6166,5.44310749906154,1.07500570449734,0.990050503762308,2570,1001.3703271027999,991.0,380,mNG_pilU_cpdA-,Liquid,3
1,40,2.395575,3.5442492757477795,1.07894785554672,0.990050503762308,2505,858.056437389771,759.0,288,mNG_pilU_cpdA-,Liquid,3
1,41,2.353325,3.62231493398826,1.05599108064292,0.946414285606467,2334,655.1921005386,568.0,200,mNG_pilU_cpdA-,Liquid,3
1,42,3.527875,4.7988477631085,1.01096896630759,0.946414285606467,2859,976.3736526946111,911.0,388,mNG_pilU_cpdA-,Liquid,3
1,43,4.1574,5.85036533894801,1.0860616723918899,1.0090713552569,2331,1020.5924796748,982.0,352,mNG_pilU_cpdA-,Liquid,3
1,44,3.316625,4.451543289325509,1.0357553083437498,1.0090713552569,2303,731.9082802547771,698.0,231,mNG_pilU_cpdA-,Liquid,3
1,45,3.5828,5.1654224330498,1.04481838506677,1.02774023955472,3249,766.963443396226,677.5,227,mNG_pilU_cpdA-,Liquid,3
1,46,3.003975,4.20731493398826,1.0497493368770798,0.946414285606467,2974,893.911392405063,886.0,285,mNG_pilU_cpdA-,Liquid,3
2,1,3.392675,4.82465078838705,1.0444961381200601,0.975,3528,968.3960149439599,903.0,341,mNG_pilU_cpdA-,Liquid,3
2,2,3.612375,5.07264409924502,1.06545760379496,1.02774023955472,1840,511.488888888889,474.0,185,mNG_pilU_cpdA-,Liquid,3
2,3,2.2308,3.42269552621701,1.0293262520823698,0.91,1458,501.543560606061,488.0,186,mNG_pilU_cpdA-,Liquid,3
2,5,2.598375,3.88502092041053,1.07749746481129,1.02774023955472,2857,909.852032520325,872.0,350,mNG_pilU_cpdA-,Liquid,3
2,6,3.730675,5.481183617507289,1.0770373323545501,1.0090713552569,2680,820.870894677237,760.0,284,mNG_pilU_cpdA-,Liquid,3
2,7,3.679975,5.59689816806826,1.06933195608202,0.8840955830678041,2353,693.9804822043629,652.0,213,mNG_pilU_cpdA-,Liquid,3
2,9,2.62795,3.4765432893255097,1.04552018921728,1.0090713552569,2903,858.551446945338,764.0,302,mNG_pilU_cpdA-,Liquid,3
2,11,3.223675,4.378097038856279,1.08216184754124,1.07594144822105,4459,1059.6173001310601,922.0,392,mNG_pilU_cpdA-,Liquid,3
2,12,2.742025,4.01231493398826,1.0516883049935,0.946414285606467,3572,803.146379044684,652.0,278,mNG_pilU_cpdA-,Liquid,3
