Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,2.0618,3.3196194077712597,1.0403187285783,0.867208164168212,1080,499.56967213114797,481.0,252,mNG_pilU_cpdA-,Solid,3
1,2,2.8392,3.5684671708797597,1.04632172643537,1.04,1215,596.3630952380951,608.0,260,mNG_pilU_cpdA-,Solid,3
1,3,4.601025,6.5519343417595195,1.06010271155108,0.946414285606467,1773,659.8769513314969,629.0,205,mNG_pilU_cpdA-,Solid,3
1,4,3.3462,4.77605417602299,1.07349763060337,1.0090713552569,1270,569.530303030303,568.0,234,mNG_pilU_cpdA-,Solid,3
1,5,2.5181,3.7007459311767597,1.08807590161481,0.990050503762308,1429,572.609060402685,572.0,227,mNG_pilU_cpdA-,Solid,3
1,6,2.9406,3.8238477631085,1.0142832262887298,1.04,929,426.616379310345,416.0,166,mNG_pilU_cpdA-,Solid,3
1,8,2.792725,4.16960415449053,1.04474618755097,0.990050503762308,1627,640.714069591528,622.0,201,mNG_pilU_cpdA-,Solid,3
1,9,2.556125,3.5480142312685,1.07029086916093,1.02774023955472,1425,664.985123966942,675.0,216,mNG_pilU_cpdA-,Solid,3
1,10,2.57725,3.58189816806826,1.07885440382898,1.0090713552569,1333,600.63606557377,590.0,225,mNG_pilU_cpdA-,Solid,3
1,11,4.40245,6.18423881554251,1.04325276617905,0.946414285606467,1870,726.634357005758,700.0,221,mNG_pilU_cpdA-,Solid,3
1,12,2.3998,3.58189816806826,1.07885440382898,1.0090713552569,1954,774.0616197183099,759.5,264,mNG_pilU_cpdA-,Solid,3
1,13,3.05045,4.455735470971501,1.0485491296320901,0.946414285606467,1630,476.33102493074796,433.0,182,mNG_pilU_cpdA-,Solid,3
1,15,2.62795,3.7030865786510097,1.06753105299777,0.946414285606467,1293,527.6816720257241,525.0,216,mNG_pilU_cpdA-,Solid,3
1,16,3.671525,5.04578210486802,1.0665964873316,0.946414285606467,1211,532.953970080552,529.0,250,mNG_pilU_cpdA-,Solid,3
1,17,2.539225,3.43150711563425,1.0670034911627901,1.0090713552569,1501,625.116472545757,591.0,262,mNG_pilU_cpdA-,Solid,3
1,18,3.815175,5.08884297003304,1.0415532279306499,1.02774023955472,1565,557.970099667774,546.0,180,mNG_pilU_cpdA-,Solid,3
1,19,3.654625,5.42876016244526,1.05890548533611,0.9597134989151709,1680,637.412716763006,621.0,244,mNG_pilU_cpdA-,Solid,3
1,20,2.57725,3.6107354709715005,1.05261539137041,0.946414285606467,1841,671.632786885246,642.0,234,mNG_pilU_cpdA-,Solid,3
1,21,3.096925,4.56422356226178,1.04478879600397,0.966294468575703,2060,580.4747612551159,552.0,184,mNG_pilU_cpdA-,Solid,3
1,22,4.2926,6.03002092041053,1.0784241439593198,0.946414285606467,2329,626.16437007874,569.0,174,mNG_pilU_cpdA-,Solid,3
1,23,4.9686,7.01845191759903,1.09718070069022,0.990050503762308,3800,957.4855442176871,897.0,302,mNG_pilU_cpdA-,Solid,3
1,25,4.296825,6.34344145739376,1.07477176712841,0.946414285606467,1793,703.519174041298,699.0,300,mNG_pilU_cpdA-,Solid,3
1,26,3.40535,4.97233585439879,1.07444936352399,0.990050503762308,1504,516.961538461538,476.0,225,mNG_pilU_cpdA-,Solid,3
1,27,3.77715,5.75190862827352,1.0799607041191701,0.946414285606467,2619,690.804250559284,675.5,204,mNG_pilU_cpdA-,Solid,3
1,28,4.2081,5.8165432893255105,1.02856645257745,0.946414285606467,2988,984.6656626506019,950.5,343,mNG_pilU_cpdA-,Solid,3
1,29,4.0729,5.391538496250041,1.0377265059413199,1.02774023955472,2417,979.025933609959,979.0,401,mNG_pilU_cpdA-,Solid,3
1,30,2.488525,3.6311265234055,1.07708973051706,1.0090713552569,1347,777.8641765704581,797.0,361,mNG_pilU_cpdA-,Solid,3
1,31,2.437825,3.37346717087976,1.04852813742386,1.0090713552569,1314,690.8630849220099,725.0,234,mNG_pilU_cpdA-,Solid,3
1,32,2.3998,3.64270598642227,1.0805245105005898,0.946414285606467,3830,858.1179577464791,730.0,305,mNG_pilU_cpdA-,Solid,3
1,33,3.7349,4.76496382630874,1.0308602048972602,1.0090713552569,3273,1132.28619909502,1062.0,409,mNG_pilU_cpdA-,Solid,3
1,34,3.4476,5.01189816806826,1.07330203359434,0.946414285606467,1872,648.349264705882,621.0,241,mNG_pilU_cpdA-,Solid,3
1,35,2.843425,4.57962986797652,1.07531716468635,0.872066511224918,2877,842.0163447251109,812.0,244,mNG_pilU_cpdA-,Solid,3
1,36,2.6026,3.64874970223999,1.0413168859075101,1.0174109297624,2381,804.577922077922,753.0,354,mNG_pilU_cpdA-,Solid,3
1,37,2.344875,3.8103548787427504,1.09672299366973,0.867208164168212,3008,635.632432432432,517.0,253,mNG_pilU_cpdA-,Solid,3
1,38,2.919475,4.1338686835190295,1.07684967654196,1.0090713552569,985,552.037626628075,566.0,215,mNG_pilU_cpdA-,Solid,3
1,39,3.899675,5.23616269709676,1.0490210714966,1.0090713552569,2109,773.457204767064,783.0,244,mNG_pilU_cpdA-,Solid,3
1,40,2.535,4.0614814021482495,1.08101787306615,0.9306583691129631,1836,568.875,520.0,200,mNG_pilU_cpdA-,Solid,3
1,41,3.874325,5.48962986797652,1.0680350189071999,0.946414285606467,2752,879.9203925845151,881.0,280,mNG_pilU_cpdA-,Solid,3
1,43,2.589925,3.84417692836526,1.04417389511537,0.937443331620637,1148,518.965742251223,514.0,169,mNG_pilU_cpdA-,Solid,3
1,45,2.7378,3.9853291652567595,1.05695940252805,0.975,1025,434.54783950617303,440.5,119,mNG_pilU_cpdA-,Solid,3
1,46,3.60815,5.05964032818178,1.08091123923842,1.0174109297624,1911,705.4110070257609,666.0,295,mNG_pilU_cpdA-,Solid,3
1,47,3.646175,5.19617315730203,1.08028547968857,1.0090713552569,2003,654.833140208575,644.0,283,mNG_pilU_cpdA-,Solid,3
2,1,3.5659,4.85810749906154,1.076875361896,1.07594144822105,1820,774.8234597156401,781.5,351,mNG_pilU_cpdA-,Solid,3
2,2,2.987075,4.6061265234055,1.07013287923391,0.8840955830678041,1720,648.628005657709,623.0,277,mNG_pilU_cpdA-,Solid,3
2,3,2.535,3.77270598642227,1.07966912753363,0.990050503762308,1522,637.648333333333,613.0,190,mNG_pilU_cpdA-,Solid,3
2,4,3.77715,5.15496382630874,1.02961554594151,0.946414285606467,2596,726.029082774049,676.0,304,mNG_pilU_cpdA-,Solid,3
2,6,2.564575,4.1673253941935195,1.0823117459700502,0.872066511224918,2375,574.988467874794,511.0,213,mNG_pilU_cpdA-,Solid,3
2,7,2.9913,4.48265935252575,1.06048257731058,0.872066511224918,2104,776.388418079096,681.0,377,mNG_pilU_cpdA-,Solid,3
2,8,4.406675,5.926882914787529,1.0456634719543,1.02774023955472,1965,583.649089165868,553.0,197,mNG_pilU_cpdA-,Solid,3
2,9,3.705325,5.12846717087976,1.0337755545623601,0.946414285606467,1410,482.7251995439,469.0,199,mNG_pilU_cpdA-,Solid,3
2,10,2.0956,3.0596194077712595,1.03962597048738,0.946414285606467,1542,567.260080645161,562.0,171,mNG_pilU_cpdA-,Solid,3
2,11,3.798275,5.07461940777126,1.02645150966396,0.975,1209,572.813125695217,579.0,161,mNG_pilU_cpdA-,Solid,3
2,12,3.2448,4.58886868351903,1.08101757718169,1.0090713552569,1598,569.876302083333,558.5,172,mNG_pilU_cpdA-,Solid,3
2,13,3.5659,4.942705986422269,1.0700540911909,0.946414285606467,1748,487.242890995261,468.5,119,mNG_pilU_cpdA-,Solid,3
2,14,3.718,5.2677059864222695,1.06735408027343,0.946414285606467,1345,567.2431818181819,571.0,257,mNG_pilU_cpdA-,Solid,3
2,15,3.975725,5.518405283702509,1.0775176235500799,1.0090713552569,2039,745.480340063762,736.0,275,mNG_pilU_cpdA-,Solid,3
2,16,2.344875,3.5934776310850203,1.08234209501489,0.946414285606467,1801,609.387387387387,556.0,217,mNG_pilU_cpdA-,Solid,3
2,17,3.527875,5.169249275747769,1.11524077693164,0.975,1218,538.535329341317,543.0,173,mNG_pilU_cpdA-,Solid,3
2,18,2.851875,3.6111626970967596,1.0648529502314301,1.04,1139,654.4696296296299,663.0,315,mNG_pilU_cpdA-,Solid,3
2,19,2.9237,4.43385822331377,1.0693616384661802,0.91,1427,406.485549132948,379.0,105,mNG_pilU_cpdA-,Solid,3
2,20,2.94905,4.28425973595304,1.05583786490281,0.990050503762308,819,492.277936962751,508.0,164,mNG_pilU_cpdA-,Solid,3
2,22,5.437575,7.28036533894801,1.07134595877628,1.0090713552569,2404,585.5788655788659,558.0,204,mNG_pilU_cpdA-,Solid,3
2,23,3.037775,4.57118361750729,1.060926466358,0.966294468575703,1364,526.019471488178,520.0,170,mNG_pilU_cpdA-,Solid,3
2,24,2.5688,3.65577164466275,1.02107563966554,0.946414285606467,1555,569.879934210526,549.0,169,mNG_pilU_cpdA-,Solid,3
2,26,4.19965,6.066183617507289,1.08102723261968,0.990050503762308,1476,585.041247484909,568.0,210,mNG_pilU_cpdA-,Solid,3
2,27,2.032225,3.18536533894802,1.06308117122719,0.937443331620637,2320,629.1559251559249,493.0,221,mNG_pilU_cpdA-,Solid,3
2,28,3.15185,4.54574593117676,1.07847182074847,0.946414285606467,2488,889.612600536193,882.0,277,mNG_pilU_cpdA-,Solid,3
2,29,4.58835,6.1238582233137695,1.05538242449818,1.0090713552569,2027,630.466850828729,597.0,241,mNG_pilU_cpdA-,Solid,3
