Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,2.30685,3.3915175758395097,1.07473384118549,1.02774023955472,137,53.1135531135531,52.0,1,mNG_pilU_cyaB-,Liquid,2
1,2,2.4167,3.4411731573020297,1.0750713750238,1.07200746266059,78,28.508741258741303,28.0,0,mNG_pilU_cyaB-,Liquid,2
1,3,3.18565,4.64420264185125,1.08095292783522,1.0090713552569,136,52.5344827586207,52.0,0,mNG_pilU_cyaB-,Liquid,2
1,4,2.62795,3.80154328932551,1.03843661857109,0.946414285606467,137,48.8038585209003,46.5,5,mNG_pilU_cyaB-,Liquid,2
1,5,2.589925,3.4876955262169997,1.03110021546863,1.0090713552569,83,31.763458401305105,30.0,0,mNG_pilU_cyaB-,Liquid,2
1,6,2.00265,2.75309703885628,1.0430324855036899,1.0660792653456899,89,29.210970464135,28.0,0,mNG_pilU_cyaB-,Liquid,2
1,7,1.956175,2.71231493398826,1.06854258936386,1.0090713552569,94,42.470842332613394,43.0,0,mNG_pilU_cyaB-,Liquid,2
1,8,2.978625,4.37766981273101,1.0794125002539499,1.04,85,28.472340425531897,27.0,0,mNG_pilU_cyaB-,Liquid,2
1,9,3.003975,4.32105417602299,1.0691667148623498,1.0090713552569,270,58.990154711673696,57.0,0,mNG_pilU_cyaB-,Liquid,2
1,10,1.5717,2.38873924203473,1.0499952712240601,1.02774023955472,112,41.6962365591398,41.0,0,mNG_pilU_cyaB-,Liquid,2
1,11,2.4167,3.43002092041053,1.06828836667959,1.07594144822105,77,32.9143356643357,32.0,0,mNG_pilU_cyaB-,Liquid,2
1,12,2.361775,3.12270598642227,1.08239213056679,1.07594144822105,139,61.212880143112706,61.0,5,mNG_pilU_cyaB-,Liquid,2
1,13,2.108275,2.8915432893255097,1.04852813742386,1.07200746266059,154,59.73947895791579,59.0,2,mNG_pilU_cyaB-,Liquid,2
1,14,2.8392,3.68731493398826,1.05523200377885,1.07200746266059,97,38.193452380952394,37.0,0,mNG_pilU_cyaB-,Liquid,2
1,15,1.9604,2.927278760297,1.07777624025828,1.0090713552569,80,31.010775862069,31.0,0,mNG_pilU_cyaB-,Liquid,2
1,17,3.7011,5.2561265234055,1.09026389858014,1.0090713552569,109,44.148401826484005,43.0,0,mNG_pilU_cyaB-,Liquid,2
1,18,2.733575,3.88231493398826,1.0530569904361802,1.0090713552569,186,52.4327666151468,51.0,0,mNG_pilU_cyaB-,Liquid,2
1,19,3.350425,4.768097038856281,1.09964302364003,1.07200746266059,206,49.765447667087,48.0,0,mNG_pilU_cyaB-,Liquid,2
1,20,3.206775,4.8414814021482595,1.07452918382179,1.0174109297624,164,50.364953886693,49.0,1,mNG_pilU_cyaB-,Liquid,2
1,21,2.56035,3.62459369428526,1.1103846074568302,1.08959854992561,105,37.003300330033,36.0,0,mNG_pilU_cyaB-,Liquid,2
1,22,3.012425,4.35308657865101,1.06048950143785,1.0090713552569,133,38.5441795231417,37.0,0,mNG_pilU_cyaB-,Liquid,2
1,23,1.8252,2.60461940777126,1.04549032392238,1.0090713552569,68,29.337962962963,29.0,0,mNG_pilU_cyaB-,Liquid,2
