Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,1.947725,2.6315432893255095,1.06392957383837,1.04,80,24.318872017353602,23.0,0,mNG_pilU_cyaB-,Solid,2
1,2,2.93215,4.2718258206857405,1.06152632844599,1.0174109297624,82,30.815561959654197,30.0,0,mNG_pilU_cyaB-,Solid,2
1,3,3.0082,4.07454706038874,1.09839134537476,1.1351761977772399,77,28.5477528089888,27.0,0,mNG_pilU_cyaB-,Solid,2
1,4,2.066025,2.73270598642227,1.10406730809698,1.1183022847155402,80,34.609406952965195,35.0,0,mNG_pilU_cyaB-,Solid,2
1,5,2.108275,2.93232539419353,1.06927349966737,1.105,85,31.226452905811602,30.0,0,mNG_pilU_cyaB-,Solid,2
1,6,3.510975,4.655354878742751,1.06154475684109,1.0090713552569,88,34.1660649819495,33.0,0,mNG_pilU_cyaB-,Solid,2
1,7,1.9266,2.72346717087976,1.057447857787,1.0090713552569,64,29.811403508771896,29.0,0,mNG_pilU_cyaB-,Solid,2
1,8,1.939275,2.5888477631085,1.0199015083374499,1.0090713552569,74,27.8300653594771,27.0,0,mNG_pilU_cyaB-,Solid,2
1,9,2.074475,2.8915432893255097,1.04852813742386,1.0090713552569,76,28.3380855397149,28.0,0,mNG_pilU_cyaB-,Solid,2
1,10,2.927925,3.95846717087976,1.049835263881,1.0090713552569,65,24.9235209235209,24.0,0,mNG_pilU_cyaB-,Solid,2
1,11,2.260375,2.9946194077712596,1.0403739789009798,1.04,88,33.0336448598131,32.0,0,mNG_pilU_cyaB-,Solid,2
1,12,3.1265,4.128822049622509,1.09943521304055,1.1351761977772399,78,27.654054054054104,27.0,0,mNG_pilU_cyaB-,Solid,2
1,13,2.47585,3.42078210486802,1.08057449507612,1.0090713552569,89,40.9744027303754,41.0,0,mNG_pilU_cyaB-,Solid,2
1,14,1.888575,2.8130504049597596,1.0752430648928801,1.0174109297624,82,30.1856823266219,29.0,0,mNG_pilU_cyaB-,Solid,2
1,15,2.091375,2.84231493398826,1.0665346844233599,1.07200746266059,136,60.5212121212121,60.0,6,mNG_pilU_cyaB-,Solid,2
1,16,2.640625,3.37425973595304,1.00557981304784,1.1183022847155402,70,26.664,26.0,0,mNG_pilU_cyaB-,Solid,2
1,17,3.25325,4.368796336136509,1.0414560322138,1.0660792653456899,84,26.3246753246753,25.0,0,mNG_pilU_cyaB-,Solid,2
1,18,2.22235,2.9903653389480196,1.0407552584752,1.1183022847155402,85,35.473384030418295,35.0,1,mNG_pilU_cyaB-,Solid,2
1,19,2.657525,3.6380865786510097,1.0682883666796,1.04,85,33.1255961844197,33.0,0,mNG_pilU_cyaB-,Solid,2
1,20,2.327975,3.03078210486802,1.0823117459700502,1.1351761977772399,76,30.802177858439197,30.0,0,mNG_pilU_cyaB-,Solid,2
1,21,3.181425,4.238858223313771,1.07123024714553,1.1351761977772399,93,34.278884462151396,34.0,0,mNG_pilU_cyaB-,Solid,2
1,22,2.834975,3.6334671708797597,1.0456269584503002,1.07200746266059,124,51.037257824143104,51.0,0,mNG_pilU_cyaB-,Solid,2
1,23,2.792725,3.73462986797652,1.0811896094670999,1.07594144822105,94,43.320726172466,42.0,0,mNG_pilU_cyaB-,Solid,2
1,24,2.35755,3.30569929728024,1.08575459798466,1.07200746266059,128,31.0322580645161,30.0,0,mNG_pilU_cyaB-,Solid,2
1,25,1.626625,2.1807354709715,1.0711619257490401,1.07594144822105,113,49.31948051948049,48.0,2,mNG_pilU_cyaB-,Solid,2
1,27,2.6026,3.3196194077712597,1.0368824888729302,1.07200746266059,88,38.0892857142857,38.0,0,mNG_pilU_cyaB-,Solid,2
1,28,3.10115,4.09493811282275,1.0993409656552702,1.07200746266059,105,41.1035422343324,40.0,0,mNG_pilU_cyaB-,Solid,2
1,29,3.1941,4.427325394193519,1.0816991537176301,1.0090713552569,63,26.5687830687831,26.0,0,mNG_pilU_cyaB-,Solid,2
1,31,1.86745,2.6830504049597597,1.1095514106114,1.105,84,36.0542986425339,35.0,0,mNG_pilU_cyaB-,Solid,2
1,32,2.2477,2.93189816806826,1.0724365553395299,1.1627553482998898,79,35.078947368421105,34.0,0,mNG_pilU_cyaB-,Solid,2
1,33,2.54345,3.2857354709715003,1.07528379960523,1.07200746266059,75,30.4468438538206,30.0,0,mNG_pilU_cyaB-,Solid,2
1,34,2.9575,3.747695526217,1.02958668302665,1.07200746266059,78,29.2785714285714,29.0,0,mNG_pilU_cyaB-,Solid,2
1,35,1.9435,2.6872425866057403,1.0569338361365401,1.105,99,44.663043478260896,43.5,0,mNG_pilU_cyaB-,Solid,2
1,36,2.260375,3.1450104602052598,1.07708048353565,1.0090713552569,92,39.618691588785,39.0,0,mNG_pilU_cyaB-,Solid,2
1,37,2.8392,3.4607716446627497,1.0237076587336702,1.07200746266059,81,30.287202380952397,29.0,0,mNG_pilU_cyaB-,Solid,2
1,38,2.353325,2.9676955262169997,1.0333943403580799,1.07200746266059,101,32.7971274685817,32.0,0,mNG_pilU_cyaB-,Solid,2
1,39,3.527875,4.70039105243401,1.04105092745238,1.0090713552569,95,37.9461077844311,37.0,0,mNG_pilU_cyaB-,Solid,2
1,40,1.81675,2.47461940777126,1.0474749583133,1.0090713552569,95,31.1372093023256,30.0,0,mNG_pilU_cyaB-,Solid,2
1,41,2.17165,2.7188477631085,1.01899389366644,1.04,90,41.3093385214008,41.0,0,mNG_pilU_cyaB-,Solid,2
1,42,3.105375,3.8971702392232297,1.0546305429667,1.1627553482998898,84,33.0448979591837,33.0,0,mNG_pilU_cyaB-,Solid,2
1,43,2.74625,3.7342026418512497,1.07480432418195,1.07200746266059,87,42.5353846153846,42.0,2,mNG_pilU_cyaB-,Solid,2
1,44,2.52655,3.32651757583951,1.06572907503318,1.1183022847155402,66,27.0852842809365,27.0,0,mNG_pilU_cyaB-,Solid,2
1,46,2.2646,3.1292388155425095,1.0669313226061,1.0090713552569,86,37.123134328358205,36.0,0,mNG_pilU_cyaB-,Solid,2
1,47,2.25615,2.92308657865101,1.07684967654196,1.07200746266059,99,38.9569288389513,38.0,1,mNG_pilU_cyaB-,Solid,2
1,48,2.082925,2.98808657865101,1.1094166325841899,1.07594144822105,76,25.8559837728195,25.0,0,mNG_pilU_cyaB-,Solid,2
