Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,2.606825,3.8246403281817902,1.06561059829475,1.0174109297624,135,49.184764991896294,49.0,0,mNG_pilU,Liquid,1
1,2,3.0589,3.8396194077712598,1.03617507466852,1.07200746266059,114,54.0193370165746,54.0,0,mNG_pilU,Liquid,1
1,3,2.4336,3.162695526217,1.0315232470448101,1.07200746266059,299,83.3177083333333,81.0,2,mNG_pilU,Liquid,1
1,4,3.33775,4.601934341759519,1.06479696347014,1.04,587,154.683544303797,143.0,29,mNG_pilU,Liquid,1
1,5,2.429375,3.357695526217,1.02984683114016,1.0090713552569,330,63.1913043478261,57.0,0,mNG_pilU,Liquid,1
1,6,1.897025,2.76844145739377,1.0360450383669,1.01533245786787,143,56.982182628062404,54.0,0,mNG_pilU,Liquid,1
1,7,2.649075,3.73228922050227,1.06625955227036,1.07200746266059,95,41.0207336523126,40.0,0,mNG_pilU,Liquid,1
1,8,3.164525,4.451543289325509,1.0357553083437498,1.0090713552569,565,123.72630173564801,111.0,25,mNG_pilU,Liquid,1
1,9,1.9266,2.707695526217,1.0362529801350502,0.946414285606467,434,76.82236842105259,66.0,0,mNG_pilU,Liquid,1
1,10,2.2308,3.1872787602969996,1.076718849299,1.0090713552569,208,56.6041666666667,54.0,0,mNG_pilU,Liquid,1
1,11,2.649075,3.78385822331377,1.07562729190642,1.0090713552569,328,78.8915470494418,73.0,0,mNG_pilU,Liquid,1
1,12,2.4505,3.57451088669748,1.06927750220316,1.0090713552569,494,83.2534482758621,73.0,8,mNG_pilU,Liquid,1
1,13,2.294175,3.43378587593125,1.0580317831082,1.0174109297624,295,99.0,93.0,6,mNG_pilU,Liquid,1
1,14,3.43915,4.77456798079927,1.04796636153992,1.02774023955472,269,78.8169533169533,75.5,8,mNG_pilU,Liquid,1
1,15,3.494075,5.09501046020526,1.31818266219489,1.0090713552569,176,52.6045949214027,51.0,0,mNG_pilU,Liquid,1
1,16,2.366,3.42348809129029,1.0341189081675601,1.0581233387464801,240,74.1071428571429,71.0,8,mNG_pilU,Liquid,1
1,17,3.037775,4.11958323408,1.07405257820924,1.07200746266059,200,65.85952712100139,65.0,1,mNG_pilU,Liquid,1
1,18,2.496975,3.41148140214826,1.04282649449494,1.0660792653456899,219,82.0659898477157,78.0,11,mNG_pilU,Liquid,1
1,19,2.57725,3.71232539419353,1.1007663674003898,1.0090713552569,143,64.2852459016393,62.0,0,mNG_pilU,Liquid,1
1,21,2.066025,2.8915432893255097,1.04852813742386,1.0090713552569,658,152.936605316973,136.0,29,mNG_pilU,Liquid,1
1,22,2.535,3.8237858759312497,1.0681789194436,1.0090713552569,701,114.503333333333,101.5,10,mNG_pilU,Liquid,1
1,23,3.01665,4.06154328932551,1.0362529801350502,1.0090713552569,685,127.883753501401,113.0,19,mNG_pilU,Liquid,1
1,24,3.0927,3.9834776310850204,1.0818428212031899,1.17,245,76.11612021857921,74.0,10,mNG_pilU,Liquid,1
1,25,2.18855,3.3576336390397503,1.05596275723748,0.9921819389607941,365,102.677606177606,96.0,18,mNG_pilU,Liquid,1
1,26,2.936375,3.5526955262169997,1.02833686785396,1.07200746266059,350,80.10647482014392,77.0,1,mNG_pilU,Liquid,1
1,27,2.8054,3.86420264185125,1.07381952660071,1.07200746266059,528,124.23493975903601,107.0,10,mNG_pilU,Liquid,1
1,28,3.38,4.759223562261781,1.04876935062389,1.02774023955472,315,88.08875,84.0,6,mNG_pilU,Liquid,1
1,29,2.9068,4.05501046020527,1.06706922074949,1.07200746266059,195,59.476744186046496,58.5,3,mNG_pilU,Liquid,1
1,30,1.744925,2.642695526217,1.0370431784541,0.946414285606467,130,58.7966101694915,59.0,5,mNG_pilU,Liquid,1
1,31,3.6335,5.1311731573020305,1.08057449507612,1.0090713552569,138,55.052325581395394,54.0,4,mNG_pilU,Liquid,1
1,32,3.198325,4.67425973595304,1.07140109770621,1.02774023955472,233,77.0739762219287,75.0,5,mNG_pilU,Liquid,1
1,33,2.2139,3.25036533894802,1.069531900651,1.0174109297624,455,95.1679389312977,85.0,13,mNG_pilU,Liquid,1
1,34,3.494075,4.581543289325509,1.0347595600284,1.07200746266059,198,56.044740024183795,54.0,0,mNG_pilU,Liquid,1
1,35,3.172975,4.49041197284454,1.0943561116652,1.02774023955472,620,138.22370173102502,122.0,12,mNG_pilU,Liquid,1
1,36,2.649075,3.77079256507328,1.0860964636675299,1.07594144822105,377,99.35566188197771,96.0,21,mNG_pilU,Liquid,1
1,37,2.049125,2.88224258660575,1.06394031349614,1.1351761977772399,190,53.9938144329897,53.0,0,mNG_pilU,Liquid,1
1,38,1.9266,2.61577164466275,1.02882321552617,1.0090713552569,528,88.844298245614,74.0,9,mNG_pilU,Liquid,1
1,39,2.108275,3.0238220496225097,1.10232818839368,1.07594144822105,132,47.7915831663327,47.0,0,mNG_pilU,Liquid,1
1,40,2.851875,3.7430142312685,1.0730300335725,1.1351761977772399,201,77.92,76.0,0,mNG_pilU,Liquid,1
1,41,2.623725,3.61535487874275,1.07121743591612,1.07200746266059,224,67.7536231884058,66.0,0,mNG_pilU,Liquid,1
1,42,3.8701,5.64421310205652,1.1090721725254198,1.0174109297624,316,87.54148471615721,84.0,2,mNG_pilU,Liquid,1
1,44,2.395575,3.41616269709676,1.06725775199068,1.0090713552569,201,72.92063492063491,70.0,0,mNG_pilU,Liquid,1
1,45,2.47585,3.5795575205940002,1.0549520869803002,1.02774023955472,311,89.85665529010241,86.0,0,mNG_pilU,Liquid,1
1,46,2.657525,3.8692492757477797,1.08159262340011,1.0090713552569,223,83.1430842607313,83.0,3,mNG_pilU,Liquid,1
1,47,2.6195,3.75964032818178,1.0729639679781602,1.02774023955472,192,64.9322580645161,64.0,0,mNG_pilU,Liquid,1
1,49,2.606825,3.50346717087976,1.04703634840256,1.04,203,74.7115072933549,74.0,11,mNG_pilU,Liquid,1
1,50,2.08715,2.8557459311767595,1.08588009021515,1.07594144822105,195,85.7105263157895,84.0,0,mNG_pilU,Liquid,1
1,51,2.530775,3.8488582233137705,1.07500570449734,0.946414285606467,286,79.7011686143573,74.0,5,mNG_pilU,Liquid,1
1,52,2.589925,3.5534880912902898,1.04439846846137,1.0660792653456899,381,81.2512234910277,74.0,0,mNG_pilU,Liquid,1
1,53,2.277275,3.3492492757477796,1.07604909883854,1.02774023955472,227,83.1985157699443,81.0,10,mNG_pilU,Liquid,1
1,54,2.0449,3.15886868351903,1.05423819954585,0.990050503762308,142,58.549586776859506,58.0,0,mNG_pilU,Liquid,1
1,55,2.818075,4.19616269709676,1.05830080632957,0.946414285606467,378,90.904047976012,87.0,3,mNG_pilU,Liquid,1
1,56,3.299725,4.89575639138202,1.09055419679294,1.0174109297624,752,164.408450704225,138.0,28,mNG_pilU,Liquid,1
1,57,2.3153,3.47001046020526,1.07350820738083,0.946414285606467,162,79.18613138686129,78.0,15,mNG_pilU,Liquid,1
1,58,2.6364,3.8195936942852597,1.0769967524335,1.0174109297624,144,63.06891025641029,62.5,1,mNG_pilU,Liquid,1
1,59,2.4843,3.6761626970967596,1.06407475837916,1.0090713552569,152,50.765306122449,50.0,3,mNG_pilU,Liquid,1
1,60,2.873,4.25001046020526,1.0650342482344999,0.975,371,99.10735294117649,93.0,18,mNG_pilU,Liquid,1
1,61,2.2815,3.2396403281817903,1.0347595600284,1.02774023955472,483,134.111111111111,127.0,4,mNG_pilU,Liquid,1
1,62,2.446275,3.5011265234055,1.0777008661064,1.0090713552569,217,91.9879101899827,90.0,1,mNG_pilU,Liquid,1
1,63,1.288625,2.44997428651401,1.0822255159677598,0.8840955830678041,226,98.855737704918,97.0,0,mNG_pilU,Liquid,1
1,64,1.859,2.6176231788344904,1.07170787670781,1.07594144822105,190,105.463636363636,104.0,33,mNG_pilU,Liquid,1
1,65,2.074475,2.93609034971425,1.05736425477552,1.02774023955472,221,61.0448065173116,60.0,0,mNG_pilU,Liquid,1
1,66,2.268825,3.10650711563425,1.0705460335758499,1.07200746266059,115,50.6536312849162,51.0,0,mNG_pilU,Liquid,1
1,67,2.826525,4.054583234080001,1.07405047862308,1.0090713552569,142,53.5680119581465,53.0,0,mNG_pilU,Liquid,1
1,68,2.5012,3.5299638263087405,1.03748449951389,0.975,787,175.07263513513502,149.0,45,mNG_pilU,Liquid,1
1,69,2.45895,3.6283586498059797,1.06620897633414,1.02774023955472,691,125.006872852234,113.0,10,mNG_pilU,Liquid,1
1,70,2.023775,3.0688582233137702,1.0814389821505899,0.946414285606467,196,76.2776617954071,77.0,7,mNG_pilU,Liquid,1
1,71,2.378675,3.0953548787427505,1.07564522893862,1.1351761977772399,304,73.595026642984,72.0,9,mNG_pilU,Liquid,1
1,73,2.589925,3.6088220496225096,1.0785224112496898,1.07200746266059,259,74.1761827079935,71.0,0,mNG_pilU,Liquid,1
1,74,2.07025,2.88039105243401,1.0608167802322601,1.0090713552569,290,123.67551020408199,122.0,24,mNG_pilU,Liquid,1
1,75,2.074475,2.96997428651401,1.07547601555818,1.04,427,109.05295315682301,101.0,17,mNG_pilU,Liquid,1
1,76,1.998425,2.8942492757477796,1.06318240851159,1.0174109297624,277,88.19238900634251,85.0,12,mNG_pilU,Liquid,1
1,77,2.378675,3.3915175758395097,1.06751169240636,1.07594144822105,487,137.818827708703,131.0,39,mNG_pilU,Liquid,1
1,78,2.3153,3.4457925650732797,1.06024386617639,0.990050503762308,417,119.374087591241,111.0,32,mNG_pilU,Liquid,1
1,79,2.39135,3.47420264185125,1.07654782471609,1.0090713552569,429,70.47526501766791,65.0,2,mNG_pilU,Liquid,1
1,80,2.49275,3.38,1.0,0.975,221,79.2084745762712,78.0,11,mNG_pilU,Liquid,1
1,81,2.513875,3.7495470603887404,1.07304152984772,1.0090713552569,364,96.60168067226891,92.0,12,mNG_pilU,Liquid,1
1,82,2.47585,3.3019343417595204,1.07790577136014,1.105,185,88.1740614334471,87.0,12,mNG_pilU,Liquid,1
1,83,1.820975,2.5011160632002403,1.03394063069182,0.975,211,74.6334106728538,72.0,4,mNG_pilU,Liquid,1
1,84,3.350425,4.49879633613651,1.05096502899019,1.07594144822105,211,71.89785624211851,69.0,2,mNG_pilU,Liquid,1
1,85,3.477175,4.8480142312685,1.12479220142556,1.07594144822105,980,195.11907654921,172.0,42,mNG_pilU,Liquid,1
1,86,1.5379,2.17192388155425,1.01208734619242,1.0090713552569,230,80.7884615384615,76.0,12,mNG_pilU,Liquid,1
1,87,2.0111,2.8018981680682598,1.08686256197942,1.07594144822105,672,176.081932773109,151.0,46,mNG_pilU,Liquid,1
1,88,1.913925,2.8399742865140096,1.07334613567113,1.0090713552569,442,120.15673289183201,108.0,9,mNG_pilU,Liquid,1
1,89,4.8503,6.32192954868405,1.04154503419822,1.1183022847155402,676,115.682926829268,105.0,22,mNG_pilU,Liquid,1
1,90,2.826525,4.08925973595304,1.05887327442918,1.02774023955472,537,123.787742899851,115.0,26,mNG_pilU,Liquid,1
1,91,3.122275,4.79964032818179,1.07914457654649,1.0090713552569,203,64.89445196211099,62.0,0,mNG_pilU,Liquid,1
1,92,3.1603,4.159938112822751,1.07550033420319,1.07594144822105,162,70.3008021390374,69.0,2,mNG_pilU,Liquid,1
1,93,2.4843,3.1942388155425094,1.06604259790424,1.07200746266059,236,83.87585034013608,81.5,2,mNG_pilU,Liquid,1
1,94,2.108275,2.98808657865101,1.07608948026669,1.0090713552569,141,56.2765531062124,55.0,0,mNG_pilU,Liquid,1
1,95,2.784275,3.71885822331377,1.07624261981353,1.0090713552569,166,79.9286798179059,79.0,9,mNG_pilU,Liquid,1
1,96,1.804075,2.642695526217,1.04248344229468,0.975,288,106.128805620609,103.0,6,mNG_pilU,Liquid,1
1,97,2.023775,2.9342388155425096,1.10102769813978,0.990050503762308,297,79.9770354906054,77.0,12,mNG_pilU,Liquid,1
1,98,2.150525,3.1575870051432298,1.06412614112967,1.0090713552569,237,81.2023575638507,79.0,5,mNG_pilU,Liquid,1
1,99,2.2477,3.1668877078629905,1.05295781937616,1.0090713552569,679,122.86654135338301,111.0,12,mNG_pilU,Liquid,1
1,100,2.028,2.90731493398826,1.06555475256742,1.0090713552569,252,100.485416666667,98.0,29,mNG_pilU,Liquid,1
1,101,2.0787,3.1222787602969997,1.07706255247401,0.975,131,63.9451219512195,62.5,9,mNG_pilU,Liquid,1
1,102,2.6364,3.7819448019647797,1.07343544978795,1.02774023955472,354,88.0112179487179,82.0,9,mNG_pilU,Liquid,1
1,103,2.5688,3.72809703885628,1.07739245167326,1.0090713552569,159,60.904605263157904,60.5,6,mNG_pilU,Liquid,1
1,104,3.443375,4.877705986422269,1.10248099596376,1.0090713552569,280,83.6478527607362,82.0,18,mNG_pilU,Liquid,1
1,105,2.10405,3.18493811282275,1.07437519724915,1.04809350727881,451,112.714859437751,106.0,20,mNG_pilU,Liquid,1
1,106,3.341975,4.682644099245019,1.0502627930365,1.07594144822105,417,92.7673830594185,86.0,6,mNG_pilU,Liquid,1
1,107,2.34065,3.4918877078629906,1.05154208529846,0.91,551,121.465703971119,114.0,19,mNG_pilU,Liquid,1
1,108,2.682875,3.83265935252575,1.05477991961205,1.0090713552569,221,86.9952755905512,84.0,20,mNG_pilU,Liquid,1
1,109,3.7349,5.3781074990615405,1.07929030711665,1.02774023955472,209,86.131221719457,84.0,6,mNG_pilU,Liquid,1
1,110,3.113825,4.98306086516502,1.0780436812799201,0.937443331620637,623,133.036635006784,126.0,27,mNG_pilU,Liquid,1
1,111,2.72935,3.8757821048680197,1.0770373323545501,1.04,436,89.27399380804951,82.0,14,mNG_pilU,Liquid,1
1,112,2.96595,4.1646194077712595,1.0332699279311701,1.0090713552569,389,78.8247863247863,74.0,1,mNG_pilU,Liquid,1
1,113,1.981525,2.74577164466275,1.03000198914099,0.975,285,102.825159914712,101.0,13,mNG_pilU,Liquid,1
1,114,1.964625,2.8288220496225094,1.06623951457185,1.02774023955472,558,100.277419354839,91.0,27,mNG_pilU,Liquid,1
1,115,1.96885,2.64731493398826,1.06956763273314,1.0090713552569,240,88.3476394849785,87.0,7,mNG_pilU,Liquid,1
1,116,2.3322,3.35116269709676,1.06808101583851,1.0090713552569,147,62.1105072463768,62.0,6,mNG_pilU,Liquid,1
2,1,1.7407,2.4680865786510098,1.13206345932688,1.0174109297624,166,87.381067961165,87.0,9,mNG_pilU,Liquid,1
2,2,2.88145,4.20306086516502,1.06810840607927,1.02774023955472,178,66.1524926686217,65.0,7,mNG_pilU,Liquid,1
2,3,2.2646,3.3019343417595204,1.07790577136014,1.0174109297624,204,96.2723880597015,97.0,6,mNG_pilU,Liquid,1
2,4,1.9773,2.9207459311767594,1.08982298460043,1.0174109297624,157,50.905982905982896,51.0,0,mNG_pilU,Liquid,1
2,5,2.96595,3.86654328932551,1.0429596062613102,1.07200746266059,413,90.517094017094,83.0,3,mNG_pilU,Liquid,1
2,6,1.9435,3.03540151263927,1.1003882217189198,0.990050503762308,140,52.7565217391304,52.0,0,mNG_pilU,Liquid,1
2,7,1.719575,2.48109034971425,1.03810403018902,1.02774023955472,139,61.5012285012285,63.0,0,mNG_pilU,Liquid,1
2,8,2.353325,3.3892388155425097,1.06346103789448,1.0090713552569,507,104.567324955117,99.0,17,mNG_pilU,Liquid,1
2,9,1.660425,2.5057354709715,1.06671960201896,0.946414285606467,134,55.086513994910895,54.0,0,mNG_pilU,Liquid,1
2,10,1.69,2.58693434175952,1.08238983168196,0.990050503762308,224,58.4125,57.0,0,mNG_pilU,Liquid,1
2,11,3.52365,5.039249275747769,1.07999666447943,1.07200746266059,165,63.031175059952,60.5,0,mNG_pilU,Liquid,1
2,12,2.995525,4.54574593117676,1.1072859361013798,1.0090713552569,226,64.2411847672779,62.0,7,mNG_pilU,Liquid,1
2,13,2.573025,3.8734414573937594,1.10715746404917,1.0090713552569,368,87.35960591133009,82.0,9,mNG_pilU,Liquid,1
2,14,3.1603,4.10503138061579,1.03740996955531,1.1183022847155402,374,106.802139037433,102.0,12,mNG_pilU,Liquid,1
2,15,1.8759,2.55724258660574,1.0668150097418199,1.105,161,79.3333333333333,80.0,3,mNG_pilU,Liquid,1
2,16,2.25615,3.162695526217,1.03431618513601,1.0090713552569,147,68.40636704119851,66.0,0,mNG_pilU,Liquid,1
2,17,3.38845,4.85810749906154,1.0650025471762399,1.07200746266059,253,63.067331670822895,60.0,0,mNG_pilU,Liquid,1
2,18,2.699775,3.5173253941935303,1.08031115432733,1.1627553482998898,206,79.9405320813772,79.0,0,mNG_pilU,Liquid,1
2,19,1.5041,2.16539105243401,1.07296230398034,1.0090713552569,205,93.7303370786517,91.5,16,mNG_pilU,Liquid,1
2,20,3.561675,4.93765935252575,1.04502423851722,1.0090713552569,795,173.768683274021,161.0,50,mNG_pilU,Liquid,1
2,21,2.57725,3.73271644662753,1.06181463866535,1.07200746266059,217,83.36885245901641,77.0,6,mNG_pilU,Liquid,1
2,22,2.01955,3.21420264185125,1.10433976016366,1.07594144822105,240,94.73640167364019,92.0,5,mNG_pilU,Liquid,1
2,23,3.1265,4.28383250982777,1.06078036747866,1.07594144822105,192,62.2837837837838,60.0,0,mNG_pilU,Liquid,1
2,24,1.390025,2.09805040495976,1.04777843305911,0.990050503762308,114,56.434650455927,57.0,3,mNG_pilU,Liquid,1
2,25,2.108275,3.07077164466275,1.02483676728191,0.946414285606467,492,119.993987975952,111.0,30,mNG_pilU,Liquid,1
2,26,2.581475,3.7411626970967595,1.06330884998426,1.0090713552569,389,81.4075286415712,76.0,0,mNG_pilU,Liquid,1
2,27,2.2139,3.04378587593125,1.04998561512266,1.0660792653456899,131,47.072519083969496,45.0,0,mNG_pilU,Liquid,1
2,28,1.651975,2.36458323408,1.07507436413962,1.07200746266059,192,64.46547314578011,64.0,0,mNG_pilU,Liquid,1
2,29,1.8083,2.44997428651401,1.06994703332735,1.1183022847155402,138,63.4275700934579,62.0,5,mNG_pilU,Liquid,1
2,30,3.519425,4.70039105243401,1.0480247608548499,1.0090713552569,201,80.86554621848741,78.0,9,mNG_pilU,Liquid,1
2,31,3.5152,4.98576685158729,1.03305778045651,0.975,360,138.579326923077,138.0,19,mNG_pilU,Liquid,1
2,32,1.592825,2.30192388155425,1.01142193214792,1.0090713552569,477,82.4297082228117,75.0,0,mNG_pilU,Liquid,1
2,33,2.05335,2.8353548787427503,1.07713997336116,1.0174109297624,282,99.059670781893,96.5,15,mNG_pilU,Liquid,1
2,34,3.215225,4.4111265234055,1.09485719774326,1.04,227,109.434954007884,108.0,28,mNG_pilU,Liquid,1
2,35,1.533675,2.10692388155425,1.0124499341393,1.0090713552569,292,105.413223140496,104.0,18,mNG_pilU,Liquid,1
2,36,2.260375,3.34271644662753,1.0512713580786501,1.02774023955472,140,45.5364485981308,44.0,0,mNG_pilU,Liquid,1
2,37,1.635075,2.36501046020527,1.15058765298025,1.105,579,101.01291989664101,91.0,0,mNG_pilU,Liquid,1
2,38,1.47875,2.13612652340551,1.07821596695767,1.1351761977772399,149,77.61714285714291,79.0,6,mNG_pilU,Liquid,1
2,39,2.5519,3.9073253941935198,1.0822775231629,0.946414285606467,170,55.955298013245,52.0,2,mNG_pilU,Liquid,1
2,40,2.175875,2.88643476825173,1.06304261521011,1.105,161,60.2077669902913,59.0,0,mNG_pilU,Liquid,1
2,41,1.5379,2.3422787602970003,1.07435785236473,1.0174109297624,146,78.8928571428571,78.0,5,mNG_pilU,Liquid,1
2,42,1.74915,2.48109034971425,1.03810403018902,1.0660792653456899,207,83.11835748792271,83.0,4,mNG_pilU,Liquid,1
2,43,3.223675,4.78116269709676,1.0527403721667,0.946414285606467,1477,271.826998689384,237.0,63,mNG_pilU,Liquid,1
2,44,3.3631,5.10233585439879,1.0761159189790501,0.990050503762308,720,139.733668341709,125.5,23,mNG_pilU,Liquid,1
2,45,1.7914,2.25035487874275,1.07509855090334,1.17,129,63.94575471698111,63.0,0,mNG_pilU,Liquid,1
2,46,2.108275,2.9087392420347298,1.0639654293190999,1.07594144822105,170,73.13226452905809,73.0,2,mNG_pilU,Liquid,1
2,47,2.319525,3.42269552621701,1.03169433708053,0.946414285606467,175,73.3187613843352,73.0,6,mNG_pilU,Liquid,1
2,48,2.69555,3.5680399447544904,1.03406028054979,0.975,200,64.666144200627,62.0,0,mNG_pilU,Liquid,1
2,49,2.209675,2.8757716446627497,1.0264036452259,1.07200746266059,179,73.41300191204591,73.0,0,mNG_pilU,Liquid,1
2,50,2.47585,3.16497428651401,1.1176574704588402,1.07594144822105,178,76.25597269624569,76.0,12,mNG_pilU,Liquid,1
2,51,2.175875,2.90916646816,1.06082858903861,1.1627553482998898,371,88.3514563106796,84.0,0,mNG_pilU,Liquid,1
2,52,1.81675,2.44258700514323,1.0323542416006601,1.10308657865101,118,57.9651162790698,55.0,5,mNG_pilU,Liquid,1
2,53,2.091375,2.86370306834347,1.02932351296808,1.0581233387464801,302,87.1454545454545,84.0,17,mNG_pilU,Liquid,1
2,54,2.94905,4.07540151263927,1.0821348285430998,1.0090713552569,523,120.213467048711,109.0,7,mNG_pilU,Liquid,1
2,55,2.006875,2.90454706038874,1.07341035231198,1.07200746266059,170,76.31368421052629,77.0,3,mNG_pilU,Liquid,1
2,56,1.846325,2.6992492757477797,1.0676039522337701,1.0660792653456899,202,99.66819221967958,99.0,16,mNG_pilU,Liquid,1
2,57,2.7547,3.7300104602052597,1.07060404539402,1.07200746266059,173,82.308282208589,81.0,5,mNG_pilU,Liquid,1
2,58,1.728025,2.24424927574778,1.01637700932112,1.1183022847155402,157,75.8606356968215,77.0,7,mNG_pilU,Liquid,1
2,59,1.761825,2.54423881554251,1.16699301385571,1.07200746266059,441,111.136690647482,102.0,16,mNG_pilU,Liquid,1
2,60,3.874325,5.43614744381603,1.07496056872189,1.07200746266059,387,84.4874591057797,79.0,0,mNG_pilU,Liquid,1
2,61,2.9913,4.65116269709676,1.06693619662815,0.946414285606467,944,160.53813559321998,144.0,10,mNG_pilU,Liquid,1
2,62,1.804075,2.42077164466275,1.03094432229408,1.0090713552569,280,66.5456674473068,63.0,0,mNG_pilU,Liquid,1
2,63,2.0787,3.2457459311767596,1.07317911999323,0.946414285606467,928,184.02439024390202,168.0,41,mNG_pilU,Liquid,1
2,64,2.023775,3.20539105243401,1.06303247010241,0.946414285606467,197,82.92066805845509,82.0,13,mNG_pilU,Liquid,1
2,65,3.2786,4.44266981273101,1.07934055113224,1.07200746266059,221,83.62757731958759,82.0,2,mNG_pilU,Liquid,1
2,66,1.58015,2.24758700514323,1.01525271887585,1.01533245786787,148,68.4786096256685,68.0,0,mNG_pilU,Liquid,1
2,67,1.66465,2.8353548787427503,1.07713997336116,0.91,701,179.314720812183,164.5,28,mNG_pilU,Liquid,1
2,68,1.58015,2.16305040495976,1.05233322668037,1.1627553482998898,232,108.617647058824,110.0,16,mNG_pilU,Liquid,1
2,69,2.0787,3.17002092041053,1.06474603078251,1.0090713552569,327,86.3069105691057,82.0,3,mNG_pilU,Liquid,1
2,70,2.7716,3.77270598642227,1.07966912753363,1.0090713552569,173,76.44054878048779,76.0,7,mNG_pilU,Liquid,1
2,71,2.86455,3.9965432893255097,1.03677610832671,1.0090713552569,186,63.2463126843658,61.0,0,mNG_pilU,Liquid,1
2,72,2.5181,3.4361265234055094,1.07794908904186,1.07200746266059,158,60.3439597315436,59.0,4,mNG_pilU,Liquid,1
2,73,1.8252,2.5948914789262303,1.06202505433221,1.07594144822105,380,100.5,93.5,11,mNG_pilU,Liquid,1
2,74,1.812525,2.47461940777126,1.0474749583133,1.0090713552569,193,77.2470862470862,74.0,15,mNG_pilU,Liquid,1
2,75,2.05335,2.90916646816,1.0810600230504699,1.04809350727881,521,119.271604938272,107.0,27,mNG_pilU,Liquid,1
2,76,3.992625,5.9565746699413005,1.08284445104705,0.975,387,110.929100529101,105.0,0,mNG_pilU,Liquid,1
2,77,2.4674,3.55263363903975,1.07189042900058,1.04809350727881,392,88.2705479452055,80.5,11,mNG_pilU,Liquid,1
2,78,1.79985,2.61577164466275,1.02882321552617,0.91,192,79.6197183098592,78.0,8,mNG_pilU,Liquid,1
2,79,1.86745,2.9342388155425096,1.0997200638326299,0.946414285606467,314,95.8891402714932,90.0,0,mNG_pilU,Liquid,1
2,80,2.716675,3.55269552621701,1.02833686785396,1.0090713552569,238,90.5303265940902,89.0,13,mNG_pilU,Liquid,1
2,81,2.336425,3.12,1.0,0.91,424,107.296564195298,107.0,1,mNG_pilU,Liquid,1
2,82,1.888575,2.8404015126392697,1.09246212024587,1.01533245786787,525,109.81655480984301,96.0,27,mNG_pilU,Liquid,1
2,83,2.20545,3.29269552621701,1.03038586360076,0.91,511,89.183908045977,81.0,13,mNG_pilU,Liquid,1
2,84,1.635075,2.42077164466275,1.03094432229408,0.946414285606467,175,68.8733850129199,67.0,18,mNG_pilU,Liquid,1
2,85,1.956175,2.8561731573020297,1.06572883372038,1.02774023955472,167,69.0302375809935,68.0,0,mNG_pilU,Liquid,1
2,86,3.11805,4.09308657865101,1.06318240851159,1.1351761977772399,237,89.99186991869921,90.0,0,mNG_pilU,Liquid,1
2,87,1.280175,1.83719595270922,1.07679371599823,1.105,179,79.8316831683168,81.0,6,mNG_pilU,Liquid,1
2,88,2.2308,3.2118619943769997,1.06891029211843,1.0174109297624,400,120.392045454545,119.0,10,mNG_pilU,Liquid,1
2,89,2.6533,3.7611265234055096,1.0763553286906802,1.07594144822105,203,64.3678343949045,60.0,0,mNG_pilU,Liquid,1
2,90,1.90125,2.5549638263087404,1.04865646087164,1.07200746266059,189,93.12,91.0,14,mNG_pilU,Liquid,1
2,91,2.0111,2.83769552621701,1.03476668459675,0.946414285606467,687,151.905462184874,135.0,35,mNG_pilU,Liquid,1
2,92,3.4307,4.69465078838705,1.03881117554529,1.02774023955472,512,121.304187192118,116.0,15,mNG_pilU,Liquid,1
2,93,2.606825,3.5011265234055,1.0777008661064,1.07200746266059,361,108.21555915721201,100.0,14,mNG_pilU,Liquid,1
2,94,1.5886,2.19231493398826,1.07684967654196,1.07200746266059,218,82.63297872340429,83.0,0,mNG_pilU,Liquid,1
2,95,1.9942,2.94766981273101,1.08311487214597,0.990050503762308,212,83.9173728813559,85.0,13,mNG_pilU,Liquid,1
2,96,2.1801,3.11993811282275,1.07088455371245,1.0174109297624,703,144.562015503876,129.0,46,mNG_pilU,Liquid,1
2,97,1.69,2.23692388155425,1.0117452403587601,1.0090713552569,293,77.0325,74.0,21,mNG_pilU,Liquid,1
2,98,2.344875,3.2968877078629903,1.0510080789379002,1.0090713552569,281,79.2,75.0,2,mNG_pilU,Liquid,1
2,99,2.049125,2.7346194077712593,1.04365474598587,1.0090713552569,352,132.294845360825,129.0,36,mNG_pilU,Liquid,1
2,100,2.61105,3.7596403281817903,1.05849312387088,1.0581233387464801,429,116.247572815534,109.0,6,mNG_pilU,Liquid,1
2,101,2.843425,3.9357354709715002,1.05821327836226,1.07200746266059,156,63.401188707280795,62.0,11,mNG_pilU,Liquid,1
3,1,2.040675,3.0511731573020295,1.06437262328248,1.02774023955472,191,50.5610766045549,49.0,0,mNG_pilU,Liquid,1
3,2,3.316625,4.3484671708797595,1.03910772045548,1.0090713552569,472,105.434394904459,96.0,16,mNG_pilU,Liquid,1
