Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,3.291275,4.62694480196478,1.08190012004355,1.07200746266059,133,46.319640564826706,44.0,1,mNG_pilU_pilG-,Liquid,2
1,2,2.3998,3.45609034971425,1.0709353862055,1.02774023955472,114,45.603873239436595,44.0,0,mNG_pilU_pilG-,Liquid,2
1,3,3.587025,4.953796336136509,1.0568737691210601,1.01533245786787,96,31.354534746760898,30.0,0,mNG_pilU_pilG-,Liquid,2
1,4,4.144725,5.68420264185125,1.06796446990319,1.04,191,45.414882772680905,44.0,0,mNG_pilU_pilG-,Liquid,2
1,5,2.7885,3.69193434175952,1.07397551196135,1.07200746266059,163,47.6181818181818,46.5,2,mNG_pilU_pilG-,Liquid,2
1,6,2.040675,3.1218515341717405,1.0691491816954801,0.946414285606467,112,37.153209109730895,34.0,0,mNG_pilU_pilG-,Liquid,2
1,7,2.260375,3.03731493398826,1.0636477221210199,1.0090713552569,202,67.94392523364489,66.0,0,mNG_pilU_pilG-,Liquid,2
1,8,2.682875,3.78613698361077,1.0706243352310698,1.07594144822105,88,33.3716535433071,33.0,0,mNG_pilU_pilG-,Liquid,2
1,9,2.873,4.16541197284454,1.05984293919473,1.02774023955472,167,58.5926470588235,56.0,2,mNG_pilU_pilG-,Liquid,2
1,10,2.496975,3.1673149339882603,1.06181463866535,1.07200746266059,338,66.4297800338409,64.0,0,mNG_pilU_pilG-,Liquid,2
1,11,3.62505,4.8738791437243,1.06976409454726,1.0660792653456899,99,43.1503496503497,41.5,0,mNG_pilU_pilG-,Liquid,2
1,12,2.7547,3.79920264185125,1.0743189748409498,1.0174109297624,146,46.9969325153374,44.0,0,mNG_pilU_pilG-,Liquid,2
1,13,1.897025,2.8246298679765203,1.07966912753363,1.0090713552569,112,45.8730512249443,44.0,0,mNG_pilU_pilG-,Liquid,2
1,14,2.488525,3.5534880912902898,1.04439846846137,1.01116269709676,101,43.5772495755518,43.0,0,mNG_pilU_pilG-,Liquid,2
1,15,1.96885,2.77731493398826,1.09522776889401,1.0090713552569,104,43.562231759656704,42.0,0,mNG_pilU_pilG-,Liquid,2
1,16,1.719575,2.65655374953077,1.08305436254829,1.01116269709676,111,41.835380835380796,41.0,0,mNG_pilU_pilG-,Liquid,2
1,17,2.539225,3.76617315730203,1.07966912753363,1.0090713552569,137,58.8552412645591,58.0,4,mNG_pilU_pilG-,Liquid,2
1,18,2.28995,2.9449638263087405,1.04354439722736,1.07594144822105,81,30.763837638376398,29.0,0,mNG_pilU_pilG-,Liquid,2
1,19,2.868775,4.159938112822751,1.07550033420319,1.07200746266059,272,40.6097201767305,37.0,0,mNG_pilU_pilG-,Liquid,2
1,20,2.59415,3.60001046020526,1.0720526609415,1.07200746266059,120,41.480456026058604,41.0,0,mNG_pilU_pilG-,Liquid,2
1,21,2.00265,2.8738582233137704,1.12337892904819,0.990050503762308,165,51.7510548523207,51.0,4,mNG_pilU_pilG-,Liquid,2
1,22,3.257475,4.3934414573937595,1.07887630917609,1.07594144822105,236,56.6238651102464,52.0,0,mNG_pilU_pilG-,Liquid,2
1,23,3.4645,5.05268027293627,1.081616485451,1.0660792653456899,179,55.0426829268293,53.0,2,mNG_pilU_pilG-,Liquid,2
1,24,2.86455,4.34193434175952,1.0673162198805302,0.946414285606467,147,42.535398230088504,40.0,0,mNG_pilU_pilG-,Liquid,2
1,25,2.463175,3.43464032818179,1.0515676497033601,1.07594144822105,128,49.85934819897079,48.0,0,mNG_pilU_pilG-,Liquid,2
1,26,3.54055,4.451543289325509,1.0333943403580799,1.07200746266059,187,46.19570405727921,46.0,0,mNG_pilU_pilG-,Liquid,2
1,27,2.9575,3.7588477631085,1.01390986461495,1.0090713552569,315,72.65,67.0,3,mNG_pilU_pilG-,Liquid,2
1,28,4.127825,5.52308657865101,1.05038098032057,1.0090713552569,108,47.447287615148404,48.0,0,mNG_pilU_pilG-,Liquid,2
1,29,1.863225,2.58693434175952,1.09792927931685,1.0174109297624,199,50.9047619047619,50.0,0,mNG_pilU_pilG-,Liquid,2
1,30,2.6533,3.79039105243401,1.053996082635,0.975,206,45.79458598726111,43.0,0,mNG_pilU_pilG-,Liquid,2
1,31,2.818075,3.56883250982777,1.03447353906115,1.1183022847155402,192,68.99850074962521,66.0,6,mNG_pilU_pilG-,Liquid,2
1,32,3.122275,4.31920264185125,1.09241929274918,1.0090713552569,119,39.8389715832206,38.0,0,mNG_pilU_pilG-,Liquid,2
1,33,3.5152,4.819604154490531,1.0646997304690502,1.0660792653456899,207,57.29927884615379,54.0,0,mNG_pilU_pilG-,Liquid,2
1,34,2.784275,3.59539105243401,1.05135584562486,1.0090713552569,136,58.201820940819395,58.0,2,mNG_pilU_pilG-,Liquid,2
1,35,2.818075,3.82150711563425,1.06282216429717,1.04,172,61.71964017991,59.0,3,mNG_pilU_pilG-,Liquid,2
1,36,2.0956,2.9211731573020296,1.0589783666219699,1.0660792653456899,126,54.973790322580605,55.0,0,mNG_pilU_pilG-,Liquid,2
1,37,2.108275,2.90731493398826,1.06555475256742,1.0090713552569,176,46.0901803607214,44.0,0,mNG_pilU_pilG-,Liquid,2
1,38,2.682875,3.68497428651401,1.07872133413558,1.0174109297624,148,64.8629921259842,63.0,0,mNG_pilU_pilG-,Liquid,2
1,39,2.268825,3.25270598642227,1.08225001847847,0.990050503762308,162,42.9869646182495,41.0,1,mNG_pilU_pilG-,Liquid,2
1,40,2.3829,3.3288582233137705,1.07966912753363,1.02774023955472,187,50.985815602836894,48.0,0,mNG_pilU_pilG-,Liquid,2
1,41,1.71535,2.4630399447544904,1.0489453031336702,0.975,158,67.2955665024631,66.0,2,mNG_pilU_pilG-,Liquid,2
1,42,3.071575,4.505756391382019,1.06330996937393,1.0174109297624,107,43.2888583218707,42.0,0,mNG_pilU_pilG-,Liquid,2
1,43,2.9575,3.86192388155425,1.00687595471232,1.0090713552569,137,41.6,41.0,0,mNG_pilU_pilG-,Liquid,2
1,44,2.64485,3.8738686835190297,1.0791495117942902,1.02774023955472,284,45.260383386581495,42.0,0,mNG_pilU_pilG-,Liquid,2
1,45,2.987075,4.11539105243401,1.04597190599802,0.946414285606467,163,56.8981612446959,56.0,0,mNG_pilU_pilG-,Liquid,2
1,46,3.265925,4.724974286514009,1.07341847931999,1.04,227,58.464424320827895,56.0,2,mNG_pilU_pilG-,Liquid,2
1,47,1.913925,2.66961940777125,1.0500023688759001,0.975,94,42.187637969094894,42.0,0,mNG_pilU_pilG-,Liquid,2
1,48,2.404025,3.6138686835190295,1.07197059132078,0.990050503762308,109,43.339191564147605,42.0,0,mNG_pilU_pilG-,Liquid,2
1,50,2.07025,2.95377541572599,1.1160196767311101,0.9921819389607941,110,45.6632653061224,45.0,0,mNG_pilU_pilG-,Liquid,2
1,51,2.192775,3.3107459311767595,1.07427221653364,1.0090713552569,267,58.281310211946106,54.0,3,mNG_pilU_pilG-,Liquid,2
1,52,3.333525,4.48308657865101,1.06474603078251,1.0090713552569,217,68.0240811153359,66.0,0,mNG_pilU_pilG-,Liquid,2
1,53,1.804075,2.47881158941725,1.06219365456366,1.07200746266059,175,49.836065573770504,48.0,0,mNG_pilU_pilG-,Liquid,2
1,54,1.973075,2.94724258660575,1.06576938309992,0.990050503762308,233,46.9357601713062,42.0,0,mNG_pilU_pilG-,Liquid,2
1,55,2.615275,3.35769552621701,1.02984683114016,1.07200746266059,413,57.381260096930504,51.0,2,mNG_pilU_pilG-,Liquid,2
1,56,3.198325,4.1646194077712595,1.0332699279311701,1.04,128,49.809775429326294,49.0,0,mNG_pilU_pilG-,Liquid,2
1,57,3.899675,5.116194077712549,1.0299762972650501,1.105,111,43.9371614301192,44.0,0,mNG_pilU_pilG-,Liquid,2
1,58,1.744925,2.5707354709715,1.0658033064190502,0.946414285606467,269,55.2130750605327,52.0,0,mNG_pilU_pilG-,Liquid,2
1,59,2.336425,3.4407459311767594,1.13373355743923,1.07200746266059,99,38.3345388788427,37.0,0,mNG_pilU_pilG-,Liquid,2
1,60,2.94905,3.9092388155425097,1.05724244210664,1.07200746266059,227,71.7464183381089,70.0,3,mNG_pilU_pilG-,Liquid,2
1,61,2.13785,3.0507459311767597,1.07731964679155,1.02774023955472,179,53.4604743083004,49.0,0,mNG_pilU_pilG-,Liquid,2
1,62,1.998425,2.8218619943769996,1.03688706246968,1.0660792653456899,160,41.302325581395394,40.0,0,mNG_pilU_pilG-,Liquid,2
1,63,3.2955,4.66502092041053,1.0823357565499399,1.04,106,48.324358974359,48.0,0,mNG_pilU_pilG-,Liquid,2
1,64,2.5857,3.27692388155425,1.00808267487011,1.07200746266059,223,71.5277777777778,69.0,5,mNG_pilU_pilG-,Liquid,2
1,65,1.6393,2.5038220496225096,1.06795131479186,0.975,251,47.5231958762887,45.0,0,mNG_pilU_pilG-,Liquid,2
1,66,2.268825,3.1896194077712594,1.03820693170169,1.0090713552569,104,47.162011173184396,45.0,0,mNG_pilU_pilG-,Liquid,2
1,67,3.54055,4.82656420973603,1.09045107148672,1.105,216,50.7136038186158,49.0,0,mNG_pilU_pilG-,Liquid,2
1,68,2.099825,3.08839482349724,1.0729529110112699,1.0090713552569,129,44.806841046277704,45.0,0,mNG_pilU_pilG-,Liquid,2
1,69,1.973075,2.8469343417595203,1.08153896502846,1.0090713552569,121,41.5824411134904,40.0,0,mNG_pilU_pilG-,Liquid,2
1,70,2.23925,3.1445832340799997,1.06667616805086,1.0090713552569,88,32.2358490566038,32.0,0,mNG_pilU_pilG-,Liquid,2
1,71,3.62505,5.2430608651650195,1.0793441797312802,1.02774023955472,126,40.5431235431235,39.0,0,mNG_pilU_pilG-,Liquid,2
1,72,2.860325,4.14650711563425,1.0787510767061999,1.0090713552569,158,58.192023633678,55.0,0,mNG_pilU_pilG-,Liquid,2
1,73,1.859,2.67147094194299,1.06833200785589,1.07594144822105,109,46.752272727272704,47.0,0,mNG_pilU_pilG-,Liquid,2
1,74,2.64485,3.6088220496225096,1.0785224112496898,1.07200746266059,223,53.66453674121411,49.0,0,mNG_pilU_pilG-,Liquid,2
1,75,1.83365,2.5080142312685,1.02501852576613,1.0660792653456899,89,39.110599078341,38.0,0,mNG_pilU_pilG-,Liquid,2
1,76,2.6871,3.7184309971885003,1.06728045687288,1.0090713552569,179,55.185534591195,54.0,0,mNG_pilU_pilG-,Liquid,2
1,77,2.4674,3.3849847467192697,1.03636483423976,1.02774023955472,74,31.0565068493151,31.0,0,mNG_pilU_pilG-,Liquid,2
1,78,1.83365,2.8738582233137704,1.0822405796685302,0.946414285606467,136,47.4976958525346,46.0,0,mNG_pilU_pilG-,Liquid,2
1,79,3.418025,4.700329165256759,1.06968724201781,1.07594144822105,142,36.8800988875155,36.0,0,mNG_pilU_pilG-,Liquid,2
1,80,3.65885,5.00302469147376,1.09499431063853,1.07594144822105,221,47.4168591224018,45.0,0,mNG_pilU_pilG-,Liquid,2
1,81,1.95195,2.75877541572599,1.07286683315458,1.04,82,37.168831168831204,37.5,0,mNG_pilU_pilG-,Liquid,2
1,82,2.099825,3.0034309971885,1.07428234324049,1.0090713552569,94,39.9859154929577,39.0,0,mNG_pilU_pilG-,Liquid,2
1,83,1.95195,2.8692388155425097,1.07060404539402,1.0090713552569,98,41.6406926406926,40.0,0,mNG_pilU_pilG-,Liquid,2
1,84,2.006875,2.79031870505149,1.07420704355293,1.07594144822105,101,40.532631578947395,39.0,0,mNG_pilU_pilG-,Liquid,2
