Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,1.9773,3.1222787602969997,1.07706255247401,1.0090713552569,1415,477.13034188034203,490.0,209,pilB_mNG_0_03ara,Liquid,1
1,2,2.260375,3.27771644662753,1.04873100733801,1.01116269709676,1729,468.035514018692,461.0,134,pilB_mNG_0_03ara,Liquid,1
1,3,1.7745,2.8488477631085,1.0181650278166898,0.845,928,345.00476190476195,365.0,85,pilB_mNG_0_03ara,Liquid,1
1,4,2.970175,3.87116269709676,1.06862995021726,1.07200746266059,609,280.71408250355597,293.0,77,pilB_mNG_0_03ara,Liquid,1
1,5,2.082925,3.0888220496225096,1.07282782938659,1.02774023955472,989,469.590263691684,501.0,110,pilB_mNG_0_03ara,Liquid,1
1,6,3.240575,4.28765935252575,1.05036070084903,1.07200746266059,875,278.458930899609,289.0,73,pilB_mNG_0_03ara,Liquid,1
1,7,2.074475,3.0099638263087405,1.04278425308698,0.946414285606467,2720,493.06517311609,449.0,163,pilB_mNG_0_03ara,Liquid,1
1,9,3.6166,5.12421310205652,1.07981715154789,1.0174109297624,1593,446.65186915887904,468.5,114,pilB_mNG_0_03ara,Liquid,1
1,11,2.98285,4.20731493398826,1.0497493368770798,1.0090713552569,1249,480.92634560906504,499.5,114,pilB_mNG_0_03ara,Liquid,1
1,12,1.7576,2.61109034971425,1.05131319468068,0.990050503762308,1818,594.903846153846,617.0,114,pilB_mNG_0_03ara,Liquid,1
1,13,3.198325,5.02618361750729,1.07594440295752,0.946414285606467,994,238.500660501982,241.0,50,pilB_mNG_0_03ara,Liquid,1
1,14,2.9575,4.07810749906154,1.04033608450724,1.0660792653456899,863,350.72,362.0,100,pilB_mNG_0_03ara,Liquid,1
1,15,1.96885,3.07766981273101,1.07361572853845,0.990050503762308,1747,739.5257510729609,761.5,295,pilB_mNG_0_03ara,Liquid,1
1,16,1.660425,2.40074593117676,1.0413399363115798,1.0174109297624,1167,637.1119592875319,661.0,163,pilB_mNG_0_03ara,Liquid,1
1,17,2.6364,3.59156420973604,1.0559748057260898,1.02774023955472,4325,1586.1875,1638.5,451,pilB_mNG_0_03ara,Liquid,1
1,18,2.015325,3.2880142312685,1.0901802677608299,1.0090713552569,685,438.756813417191,457.0,141,pilB_mNG_0_03ara,Liquid,1
1,19,2.40825,3.70998474671927,1.0606192095779698,0.990050503762308,1996,466.514035087719,466.0,147,pilB_mNG_0_03ara,Liquid,1
1,20,2.366,3.4496194077712596,1.03881346967878,1.0090713552569,998,267.7,272.0,66,pilB_mNG_0_03ara,Liquid,1
1,22,2.7378,4.05920264185125,1.07225839243595,0.946414285606467,2841,841.069444444444,872.5,204,pilB_mNG_0_03ara,Liquid,1
1,23,3.05045,4.529974286514,1.0747300202622199,1.02774023955472,1001,612.051246537396,633.5,180,pilB_mNG_0_03ara,Liquid,1
1,24,1.888575,2.60881158941724,1.06024507378799,1.04,2158,417.10514541387,421.0,87,pilB_mNG_0_03ara,Liquid,1
1,25,3.206775,4.41346717087976,1.04448401414696,1.0090713552569,2397,483.69960474308294,513.0,110,pilB_mNG_0_03ara,Liquid,1
1,26,2.581475,3.5530608651650204,1.0510071143312198,1.0660792653456899,1500,662.824877250409,685.0,244,pilB_mNG_0_03ara,Liquid,1
1,27,2.496975,3.4649638263087406,1.03807870831235,1.0090713552569,876,319.21996615905203,331.0,115,pilB_mNG_0_03ara,Liquid,1
1,28,2.59415,3.7142388155425095,1.05946010359877,1.0090713552569,1556,565.065146579805,576.5,184,pilB_mNG_0_03ara,Liquid,1
1,29,2.496975,3.6984671708797596,1.0520720335484999,0.946414285606467,569,245.472081218274,248.0,86,pilB_mNG_0_03ara,Liquid,1
1,30,1.90125,2.72765935252575,1.0679554275927,1.0090713552569,1447,484.11555555555606,508.5,155,pilB_mNG_0_03ara,Liquid,1
1,31,2.150525,3.0099638263087405,1.04278425308698,1.0090713552569,1336,274.895874263261,264.0,67,pilB_mNG_0_03ara,Liquid,1
1,32,3.40535,4.75381158941724,1.04097675764653,1.0090713552569,834,377.13771712158797,382.0,143,pilB_mNG_0_03ara,Liquid,1
1,33,3.6166,4.8172635070162695,1.02577425518481,1.0660792653456899,3081,614.5876168224299,614.5,160,pilB_mNG_0_03ara,Liquid,1
1,34,2.3491,3.3595470603887403,1.07444872559113,1.0090713552569,1973,751.629496402878,789.5,215,pilB_mNG_0_03ara,Liquid,1
1,35,3.21945,4.639583234080001,1.06239210918125,1.0090713552569,999,350.790026246719,367.5,76,pilB_mNG_0_03ara,Liquid,1
1,36,3.5997,4.91535487874275,1.07853833174897,1.07200746266059,623,284.27464788732397,297.0,55,pilB_mNG_0_03ara,Liquid,1
1,37,2.353325,3.3645936942852597,1.0700679124902501,1.07594144822105,1258,345.797127468582,355.0,73,pilB_mNG_0_03ara,Liquid,1
1,38,3.468725,5.00031870505149,1.0708222822532198,1.0090713552569,3671,705.436053593179,732.0,181,pilB_mNG_0_03ara,Liquid,1
1,39,3.063125,4.26578210486802,1.08227716772532,1.0174109297624,827,310.681379310345,319.0,104,pilB_mNG_0_03ara,Liquid,1
1,40,3.06735,3.93154328932551,1.03731401776285,1.07200746266059,709,355.595041322314,372.0,93,pilB_mNG_0_03ara,Liquid,1
1,41,2.818075,4.01231493398826,1.0566070728058101,1.0090713552569,1742,608.404797601199,627.0,212,pilB_mNG_0_03ara,Liquid,1
1,42,3.984175,5.5127269068328,1.07606225633721,1.07594144822105,1244,405.00848356309604,421.0,111,pilB_mNG_0_03ara,Liquid,1
1,43,2.6364,3.8154015126392697,1.08237905241867,1.0090713552569,828,250.809294871795,262.0,57,pilB_mNG_0_03ara,Liquid,1
1,44,3.3462,4.46497428651401,1.07515011405706,1.07594144822105,1432,471.01641414141403,486.5,134,pilB_mNG_0_03ara,Liquid,1
1,45,2.615275,3.29269552621701,1.03038586360076,1.07200746266059,2217,471.505654281099,491.0,81,pilB_mNG_0_03ara,Liquid,1
1,46,2.860325,4.12228922050227,1.07383329117543,1.02774023955472,1985,565.493353028065,579.0,151,pilB_mNG_0_03ara,Liquid,1
1,47,2.12095,2.83116269709676,1.07489215798247,1.07200746266059,1031,644.645418326693,691.5,178,pilB_mNG_0_03ara,Liquid,1
