Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,2.091375,2.8599381128227503,1.0472995667638199,1.0581233387464801,105,43.8060606060606,43.0,4,pilB_mNG_cyaB-,Liquid,1
1,2,2.9068,3.88964032818178,1.08177109890049,1.1183022847155402,416,48.3037790697674,42.0,0,pilB_mNG_cyaB-,Liquid,1
1,3,2.8054,3.86228922050227,1.10530596552973,1.1351761977772399,163,39.54216867469879,37.0,0,pilB_mNG_cyaB-,Liquid,1
1,4,2.7547,3.6449847467192695,1.0572981992331099,1.1518029345335101,181,46.8420245398773,43.0,0,pilB_mNG_cyaB-,Liquid,1
1,5,2.7716,3.94731493398826,1.0523647784841998,1.04,204,44.9375,44.0,0,pilB_mNG_cyaB-,Liquid,1
1,6,2.7716,3.92224258660574,1.07599627857613,1.07200746266059,205,36.6478658536585,34.0,0,pilB_mNG_cyaB-,Liquid,1
1,7,3.57435,4.84695526217004,1.0583754760153499,1.1351761977772399,485,52.48817966903071,46.5,0,pilB_mNG_cyaB-,Liquid,1
1,9,3.603925,4.88694480196478,1.09053640964717,1.07200746266059,318,47.9706916764361,41.0,0,pilB_mNG_cyaB-,Liquid,1
1,10,2.387125,3.17107988950898,1.08306071488096,1.07200746266059,168,31.3893805309735,29.0,0,pilB_mNG_cyaB-,Liquid,1
1,11,2.18855,3.03269552621701,1.03579647914499,1.0090713552569,447,52.8223938223938,44.0,0,pilB_mNG_cyaB-,Liquid,1
1,13,2.89835,4.211445228457,1.04761589824626,1.0660792653456899,85,35.084548104956305,34.0,0,pilB_mNG_cyaB-,Liquid,1
1,14,2.091375,2.76154328932551,1.06213203435596,1.07200746266059,221,34.9313131313131,33.0,0,pilB_mNG_cyaB-,Liquid,1
1,15,2.708225,3.66501046020527,1.07132681992898,1.04,113,37.0483619344774,35.0,0,pilB_mNG_cyaB-,Liquid,1
1,16,2.78005,3.5907716446627496,1.02143678763816,1.07200746266059,386,42.344984802431604,37.0,0,pilB_mNG_cyaB-,Liquid,1
1,17,2.40825,3.59724258660574,1.0750618054891201,1.0090713552569,171,43.315789473684205,40.0,0,pilB_mNG_cyaB-,Liquid,1
1,19,2.84765,3.6107354709715005,1.05261539137041,1.07200746266059,229,41.0148367952522,38.0,0,pilB_mNG_cyaB-,Liquid,1
1,20,2.987075,4.02765935252575,1.05281104820128,1.07200746266059,329,45.2432814710042,42.0,0,pilB_mNG_cyaB-,Liquid,1
1,21,2.42515,3.43421310205652,1.06350933541835,1.02774023955472,201,45.17944250871079,42.5,0,pilB_mNG_cyaB-,Liquid,1
1,22,3.401125,4.617278760297,1.0648605377754201,1.07594144822105,184,36.956521739130395,34.0,0,pilB_mNG_cyaB-,Liquid,1
1,23,2.344875,3.0865432893255096,1.04597190599802,1.04,105,45.1603603603604,44.0,0,pilB_mNG_cyaB-,Liquid,1
1,24,2.12095,2.9449638263087405,1.04354439722736,1.0090713552569,181,42.139442231075705,37.0,0,pilB_mNG_cyaB-,Liquid,1
1,25,2.6533,3.55682582068574,1.03634142139343,1.0660792653456899,99,35.4952229299363,35.0,0,pilB_mNG_cyaB-,Liquid,1
1,26,2.91525,3.82193434175952,1.0726242889575601,1.1351761977772399,165,37.9739130434783,34.0,0,pilB_mNG_cyaB-,Liquid,1
1,27,3.460275,4.720720217690769,1.04642132637401,1.10308657865101,178,40.8424908424908,39.0,0,pilB_mNG_cyaB-,Liquid,1
1,28,3.113825,4.68541197284454,1.0721738456350798,1.0090713552569,97,36.1261872455902,35.0,0,pilB_mNG_cyaB-,Liquid,1
1,30,3.6842,4.80149186235352,1.04445803871792,1.1183022847155402,111,38.814220183486206,38.0,0,pilB_mNG_cyaB-,Liquid,1
1,31,2.784275,3.7876231788344903,1.07104459386944,1.07200746266059,239,45.569044006069795,42.0,0,pilB_mNG_cyaB-,Liquid,1
1,32,2.12095,2.8069448019647796,1.03140577250886,1.1183022847155402,160,44.3486055776892,43.0,0,pilB_mNG_cyaB-,Liquid,1
1,34,2.294175,3.4096298679765202,1.0823117459700502,1.0090713552569,143,42.491712707182295,40.0,0,pilB_mNG_cyaB-,Liquid,1
1,35,2.978625,4.23417692836526,1.06403485279394,1.02774023955472,93,32.7730496453901,31.0,0,pilB_mNG_cyaB-,Liquid,1
1,36,1.69845,2.5015432893255096,1.05449021401443,0.975,140,56.0696517412935,55.0,3,pilB_mNG_cyaB-,Liquid,1
1,37,2.12095,2.92308657865101,1.07684967654196,1.0090713552569,188,37.5318725099602,34.0,0,pilB_mNG_cyaB-,Liquid,1
1,38,2.1632,2.91378587593125,1.03249652793171,1.105,412,46.9453125,43.0,0,pilB_mNG_cyaB-,Liquid,1
1,39,1.9435,2.81539105243401,1.06181463866535,1.0090713552569,123,44.7130434782609,44.0,0,pilB_mNG_cyaB-,Liquid,1
1,40,2.961725,4.2211731573020295,1.0822017962473198,1.0090713552569,399,44.4821683309558,36.0,0,pilB_mNG_cyaB-,Liquid,1
1,42,3.3293,4.5323149339882605,1.04679588990053,1.07200746266059,524,67.94289340101521,58.0,7,pilB_mNG_cyaB-,Liquid,1
1,43,2.197,3.16540151263927,1.07793840805033,1.07200746266059,137,49.0884615384615,47.0,0,pilB_mNG_cyaB-,Liquid,1
1,45,2.750475,3.60648140214826,1.05689229964039,1.1183022847155402,112,40.261136712749604,38.0,0,pilB_mNG_cyaB-,Liquid,1
1,46,2.96595,3.9668515341717296,1.07598708737179,1.07200746266059,103,38.380341880341895,37.0,0,pilB_mNG_cyaB-,Liquid,1
1,47,2.547675,3.3688477631085,1.01624366911267,1.04,433,47.6666666666667,41.0,0,pilB_mNG_cyaB-,Liquid,1
1,48,2.2308,3.0572787602969997,1.07735847996135,1.07594144822105,202,44.6534090909091,42.0,0,pilB_mNG_cyaB-,Liquid,1
1,50,2.463175,3.43840528370251,1.03742577735146,1.07594144822105,232,52.0943396226415,47.0,0,pilB_mNG_cyaB-,Liquid,1
1,51,2.52655,3.21462986797652,1.1165241403155701,1.1183022847155402,92,40.0367892976589,39.0,0,pilB_mNG_cyaB-,Liquid,1
1,52,2.6533,3.67610080991951,1.02506577116447,1.02774023955472,250,49.8550955414013,44.0,0,pilB_mNG_cyaB-,Liquid,1
1,53,3.418025,4.470020920410531,1.08194582775902,1.105,335,43.8096415327565,39.0,0,pilB_mNG_cyaB-,Liquid,1
1,54,2.3491,3.23650711563425,1.069137182015,1.0090713552569,334,41.363309352518,37.0,0,pilB_mNG_cyaB-,Liquid,1
1,57,2.2815,3.06651757583951,1.05650005639874,1.10691011378522,105,38.0240740740741,37.0,0,pilB_mNG_cyaB-,Liquid,1
