Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,2.074475,3.10878587593125,1.04417841555502,0.975,299,56.786150712831,52.0,0,pilB_mNG,Liquid,1
1,2,2.13785,3.24993811282275,1.05997769530584,1.02774023955472,322,49.5928853754941,44.0,0,pilB_mNG,Liquid,1
1,3,3.012425,4.58844145739376,1.11115913141271,1.02774023955472,303,45.7180925666199,43.0,0,pilB_mNG,Liquid,1
1,4,2.023775,3.1969448019647797,1.06694569155568,0.937443331620637,79,29.2066805845511,29.0,0,pilB_mNG,Liquid,1
1,5,1.888575,2.72069929728024,1.0732541606628199,1.02774023955472,109,35.409395973154396,34.0,0,pilB_mNG,Liquid,1
1,6,1.6393,2.54885822331377,1.08176926914207,1.0090713552569,106,44.118556701030904,44.0,0,pilB_mNG,Liquid,1
1,7,2.99975,4.39024635766898,1.07754277732336,1.02774023955472,227,36.230985915493,34.0,0,pilB_mNG,Liquid,1
1,8,1.981525,2.80651757583951,1.05029441810026,1.02774023955472,353,70.7974413646055,64.0,1,pilB_mNG,Liquid,1
1,9,2.708225,3.85575639138202,1.0405298657095199,1.0174109297624,132,39.73634945397821,39.0,0,pilB_mNG,Liquid,1
1,10,2.3322,3.3599742865140096,1.0785545109434,0.990050503762308,347,65.9528985507246,56.0,0,pilB_mNG,Liquid,1
1,11,2.184325,3.28154328932551,1.04365474598587,0.946414285606467,191,47.5996131528046,47.0,0,pilB_mNG,Liquid,1
1,12,3.299725,4.7496194077712595,1.02825247806498,0.946414285606467,241,41.660691421254796,39.0,0,pilB_mNG,Liquid,1
1,13,1.846325,3.00805040495976,1.07739155591069,0.946414285606467,162,40.3752860411899,39.0,0,pilB_mNG,Liquid,1
1,14,2.20545,3.30002092041053,1.0799588297431,1.02774023955472,194,38.536398467433,35.0,0,pilB_mNG,Liquid,1
