Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,2.868775,4.66231493398826,1.0547083422383101,0.867208164168212,1005,141.929307805596,112.0,17,pilB_mNG_pilH-,Liquid,3
1,2,3.03355,4.67149186235352,1.0362623079681,0.937443331620637,1626,145.394150417827,92.0,11,pilB_mNG_pilH-,Liquid,3
1,3,2.00265,3.72347763108502,1.08237770520937,0.785397988283647,967,134.139240506329,108.0,25,pilB_mNG_pilH-,Liquid,3
1,5,3.4476,5.604650788387049,1.07496586348934,0.9306583691129631,989,115.797794117647,98.5,7,pilB_mNG_pilH-,Liquid,3
1,6,6.32905,9.656162697096761,1.0316164390817,0.867208164168212,1728,136.889853137517,109.0,23,pilB_mNG_pilH-,Liquid,3
1,7,3.3124,4.96309703885628,1.08188509878242,1.0090713552569,218,91.5510204081633,90.5,14,pilB_mNG_pilH-,Liquid,3
1,8,3.15185,5.08379633613651,1.06002407481643,0.8840955830678041,304,148.150134048257,145.0,44,pilB_mNG_pilH-,Liquid,3
1,9,5.505175,8.411861994377,1.06244323128797,0.867208164168212,1927,166.41519570222601,110.0,27,pilB_mNG_pilH-,Liquid,3
1,10,6.037525,9.157346314604052,1.08226968933036,0.9306583691129631,1515,146.995801259622,110.0,25,pilB_mNG_pilH-,Liquid,3
1,11,1.254825,2.17192388155425,1.01208734619242,0.7907591289387691,1316,202.66329966330002,168.0,44,pilB_mNG_pilH-,Liquid,3
1,12,2.378675,3.82846717087976,1.0436547459858598,0.867208164168212,666,121.717584369449,107.0,22,pilB_mNG_pilH-,Liquid,3
1,13,3.367325,5.776126523405499,1.07033370535638,0.845,1443,134.57967377666202,106.0,25,pilB_mNG_pilH-,Liquid,3
1,14,4.094025,6.15078210486802,1.05796668471339,0.91,1214,125.77399380805001,88.0,3,pilB_mNG_pilH-,Liquid,3
1,15,2.27305,3.68731493398826,1.05523200377885,0.867208164168212,2409,262.771375464684,134.5,45,pilB_mNG_pilH-,Liquid,3
1,16,1.128075,1.85154328932551,1.06753105299777,0.946414285606467,284,133.280898876405,131.0,10,pilB_mNG_pilH-,Liquid,3
1,17,3.77715,5.81037579915328,1.07387958170448,0.9306583691129631,1667,197.32662192393698,132.0,30,pilB_mNG_pilH-,Liquid,3
1,18,1.973075,3.1942388155425094,1.06604259790424,0.872066511224918,499,102.03426124196999,86.0,11,pilB_mNG_pilH-,Liquid,3
1,19,2.1294,3.4792492757477795,1.07811162029842,0.946414285606467,1389,159.291666666667,117.0,20,pilB_mNG_pilH-,Liquid,3
1,20,3.1265,4.70039105243401,1.04105092745238,0.867208164168212,810,137.156756756757,109.0,22,pilB_mNG_pilH-,Liquid,3
1,21,2.725125,3.9899485730280095,1.03315763319729,0.975,998,158.165891472868,126.0,35,pilB_mNG_pilH-,Liquid,3
1,22,3.434925,5.4142701961582995,1.04760924608649,0.937443331620637,1754,176.01230012300098,125.0,16,pilB_mNG_pilH-,Liquid,3
1,23,2.235025,3.45381158941724,1.0493642764231998,0.867208164168212,1317,157.665406427221,125.0,29,pilB_mNG_pilH-,Liquid,3
1,24,3.156075,4.73734631460405,1.0200557406308501,0.9192388155425121,908,120.48728246318599,97.0,18,pilB_mNG_pilH-,Liquid,3
1,25,1.499875,2.7053548787427504,1.0775228141732,0.867208164168212,431,119.912676056338,113.0,33,pilB_mNG_pilH-,Liquid,3
1,26,4.153175,6.43117315730203,1.07335661514675,0.8840955830678041,1007,126.138351983723,105.0,13,pilB_mNG_pilH-,Liquid,3
1,27,2.834975,4.68498474671927,1.0738594096009102,0.872066511224918,1281,125.96870342771999,99.0,20,pilB_mNG_pilH-,Liquid,3
1,29,2.8392,4.601934341759519,1.0711148466268199,0.867208164168212,1990,198.529761904762,120.0,25,pilB_mNG_pilH-,Liquid,3
1,33,3.308175,4.90918738857052,1.02531275130811,0.937443331620637,1472,161.832694763729,121.0,12,pilB_mNG_pilH-,Liquid,3
1,34,2.49275,3.93190862827352,1.06634328978613,0.937443331620637,1575,167.398305084746,118.0,27,pilB_mNG_pilH-,Liquid,3
1,35,3.612375,5.409650788387049,1.07434572682825,0.990050503762308,603,104.12865497076,88.0,12,pilB_mNG_pilH-,Liquid,3
