Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,3.2448,5.12925973595304,1.0746483916862,0.9306583691129631,1175,166.682291666667,107.5,28,pilB_mNG_pilH-,Solid,1
1,3,3.105375,4.30336911001125,1.04877198679585,1.02774023955472,658,107.32653061224501,87.0,15,pilB_mNG_pilH-,Solid,1
1,4,5.55165,8.903879143724302,1.1116255027142399,0.8840955830678041,1368,134.028919330289,92.0,17,pilB_mNG_pilH-,Solid,1
1,5,5.2221,8.22504184082106,1.07995412275802,0.9192388155425121,1301,112.96359223301,76.0,7,pilB_mNG_pilH-,Solid,1
1,6,3.401125,4.98540151263927,1.07769795717319,0.946414285606467,1082,146.699378881988,104.0,12,pilB_mNG_pilH-,Solid,1
1,7,2.818075,4.0288791437243,1.0181650278166898,0.975,1289,130.191904047976,89.0,1,pilB_mNG_pilH-,Solid,1
1,9,3.60815,5.368868683519031,1.08223471375469,0.946414285606467,1098,137.819672131148,97.0,11,pilB_mNG_pilH-,Solid,1
1,10,3.82785,5.51457844100453,1.01679160652397,0.975,1060,111.296909492274,78.0,18,pilB_mNG_pilH-,Solid,1
1,11,3.6166,5.7111265234054995,1.0616054494133,0.872066511224918,951,127.05023364486,94.0,13,pilB_mNG_pilH-,Solid,1
1,13,2.302625,4.1607925650732795,1.07511417600846,0.867208164168212,200,118.40917431192699,117.0,43,pilB_mNG_pilH-,Solid,1
1,14,3.82785,5.80618361750729,1.07966912753363,0.937443331620637,1248,146.030905077263,108.0,14,pilB_mNG_pilH-,Solid,1
1,15,2.66175,4.17194480196478,1.1007425089686202,0.9306583691129631,1096,121.27301587301599,76.0,0,pilB_mNG_pilH-,Solid,1
1,16,3.206775,4.86464032818178,1.08647383225416,1.0090713552569,932,140.766798418972,112.0,19,pilB_mNG_pilH-,Solid,1
1,17,2.62795,4.013107499061539,1.03915440753417,0.937443331620637,998,130.66720257234698,100.0,17,pilB_mNG_pilH-,Solid,1
1,18,3.164525,4.5750104602052595,1.06181463866535,0.946414285606467,1123,155.3391188251,115.0,30,pilB_mNG_pilH-,Solid,1
1,20,2.902575,4.33916646815999,1.0761564758649,0.946414285606467,1049,151.657933042213,111.0,8,pilB_mNG_pilH-,Solid,1
1,21,3.27015,5.08151757583951,1.0790505464681202,0.8840955830678041,1188,143.66149870801001,92.0,16,pilB_mNG_pilH-,Solid,1
