Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.15475,3.6492388155425095,1.0671018826184302,0.845,622,395.95294117647103,416.5,112,2715,2051.1607843137303,2112.5,871,764-fliC-,Liquid,1
1,2,2.35755,3.8818877078629903,1.0475817674555798,0.845,1623,1139.9050179211501,1225.5,258,2734,2023.0645161290302,2127.5,779,764-fliC-,Liquid,1
1,3,2.564575,4.023467170879759,1.04779034427738,0.8840955830678041,991,681.775947281713,724.0,163,3208,2376.0626029654,2432.0,968,764-fliC-,Liquid,1
1,5,2.7209,5.20036533894801,1.07977763070845,0.7907591289387691,2615,1973.9953416149103,2095.5,613,3158,2321.9798136646,2360.5,794,764-fliC-,Liquid,1
1,6,2.71245,4.8419086282735195,1.07406532173162,0.872066511224918,1279,867.08722741433,950.0,250,3245,2272.33644859813,2304.5,833,764-fliC-,Liquid,1
1,7,2.0111,3.10650711563425,1.0705460335758499,0.946414285606467,999,641.81512605042,683.5,164,2751,1940.14915966387,2057.0,843,764-fliC-,Liquid,1
1,8,2.07025,3.55035487874275,1.07182142497161,0.867208164168212,2370,1791.1081632653102,1933.5,460,3163,2345.74081632653,2398.0,820,764-fliC-,Liquid,1
1,9,2.395575,4.94769073314154,1.02516835610498,0.83240615086627,2291,1784.23456790123,1854.0,541,2933,2106.67195767196,2151.0,851,764-fliC-,Liquid,1
1,10,2.99975,4.918060865165019,1.0775987598673,0.937443331620637,1869,1299.6816901408502,1380.5,335,3419,2503.8478873239396,2571.0,617,764-fliC-,Liquid,1
1,11,3.350425,4.60846717087976,1.03983245484583,0.975,976,641.505674653216,674.0,144,3164,2263.3757881462802,2314.0,680,764-fliC-,Liquid,1
1,12,2.260375,3.48763363903975,1.05126846593504,0.990050503762308,1840,1229.68598130841,1302.0,326,2867,2042.9364485981303,2138.0,660,764-fliC-,Liquid,1
1,16,2.3998,4.20731493398826,1.0497493368770798,0.7907591289387691,1778,1219.21478873239,1317.5,255,2828,2076.09507042254,2130.5,633,764-fliC-,Liquid,1
1,20,1.956175,2.9565432893255097,1.04764756604936,0.872066511224918,989,616.237580993521,656.0,198,3221,2392.77969762419,2455.0,1060,764-fliC-,Liquid,1
1,23,1.7407,2.72346717087976,1.057447857787,0.91,1467,984.26213592233,1038.0,358,3055,2224.95145631068,2274.5,928,764-fliC-,Liquid,1
1,24,2.361775,3.71885822331377,1.07624261981353,0.946414285606467,1300,908.579606440072,972.0,288,3134,2268.1842576028603,2346.0,757,764-fliC-,Liquid,1
1,28,2.167425,3.75650711563425,1.0896474154909201,0.845,816,575.027290448343,614.0,180,2692,2041.0350877193,2123.0,636,764-fliC-,Liquid,1
1,34,2.522325,3.62231493398826,1.05599108064292,0.975,1677,1116.51256281407,1188.0,258,2918,2009.8542713567801,2115.0,517,764-fliC-,Liquid,1
1,35,1.685775,2.76573547097149,1.0630801942938601,0.867208164168212,1446,997.4035087719301,1057.0,253,3137,2230.68421052632,2282.0,795,764-fliC-,Liquid,1
1,36,2.843425,4.54346717087976,1.0403830316504399,0.867208164168212,1133,795.824665676077,827.0,261,3141,2191.78157503715,2227.0,732,764-fliC-,Liquid,1
1,38,1.4365,2.6115175758395095,1.03290441173568,0.8840955830678041,1305,900.238235294118,968.5,286,3222,2279.2764705882396,2359.0,744,764-fliC-,Liquid,1
1,42,2.27305,3.6446194077712595,1.03675441059333,0.867208164168212,1542,1068.1728624535301,1135.5,321,2935,2181.23420074349,2261.5,550,764-fliC-,Liquid,1
1,43,2.420925,3.83308657865101,1.06604259790424,0.867208164168212,1242,772.333333333333,829.0,224,3023,2212.55148342059,2251.0,674,764-fliC-,Liquid,1
1,45,1.7238,2.927278760297,1.07777624025828,0.8840955830678041,1404,1040.7132352941198,1119.0,340,2738,2045.89950980392,2109.5,622,764-fliC-,Liquid,1
1,47,1.677325,2.78150711563425,1.07384492648425,0.8840955830678041,1856,1337.44584382872,1437.0,407,3202,2199.9974811083102,2241.0,698,764-fliC-,Liquid,1
1,49,2.17165,3.46113698361077,1.05550802115263,0.937443331620637,2306,1707.0817120622598,1809.0,569,3368,2319.2607003891,2447.0,701,764-fliC-,Liquid,1
1,54,2.5857,4.06190862827352,1.05780125928339,0.9306583691129631,1994,1387.5179738562101,1456.5,310,3274,2308.8725490196102,2435.5,680,764-fliC-,Liquid,1
1,56,1.956175,3.1942388155425094,1.06604259790424,0.872066511224918,1470,1030.38660907127,1114.0,279,2771,2007.1403887689,2094.0,608,764-fliC-,Liquid,1
1,57,2.184325,3.64732539419352,1.08129196811767,0.8840955830678041,1551,1078.01740812379,1149.0,317,2792,2019.8916827853,2108.0,622,764-fliC-,Liquid,1
1,58,1.68155,2.63339482349724,1.09858373976642,1.0090713552569,964,622.278894472362,666.0,163,3211,2237.30904522613,2308.5,670,764-fliC-,Liquid,1
1,59,1.753375,2.9718877078629906,1.04947219072554,0.7907591289387691,1930,1367.8433734939802,1470.0,398,2402,1760.57108433735,1911.0,521,764-fliC-,Liquid,1
1,60,1.770275,2.7768877078629903,1.05204576773662,0.946414285606467,2633,1893.11455847255,2036.0,546,2862,1960.8997613365198,2093.0,668,764-fliC-,Liquid,1
1,61,3.367325,4.9704224330498,1.03810205164684,0.990050503762308,812,523.350062735257,550.0,87,3521,2390.21831869511,2508.0,713,764-fliC-,Liquid,1
1,62,2.39135,3.7365432893255095,1.0390226061282501,0.867208164168212,2141,1545.6254416961099,1636.0,421,2858,2081.75795053004,2164.5,601,764-fliC-,Liquid,1
1,63,1.9097,2.88039105243401,1.0608167802322601,0.975,2331,1678.46460176991,1780.0,458,3427,2372.37610619469,2427.0,656,764-fliC-,Liquid,1
1,64,2.099825,3.2546194077712594,1.03753345413541,0.867208164168212,2288,1599.8551307847101,1695.0,516,3481,2462.77062374245,2528.0,562,764-fliC-,Liquid,1
1,65,3.679975,5.76072021769076,1.0696535967148102,0.937443331620637,2749,1950.4867967853,2080.0,601,3660,2513.01033295063,2578.0,517,764-fliC-,Liquid,1
1,66,2.8392,3.82846717087976,1.04760924608649,1.0090713552569,777,520.525297619048,549.0,142,3212,2210.99553571429,2267.0,626,764-fliC-,Liquid,1
1,67,2.4843,3.6027164466275297,1.06177738793181,0.990050503762308,1727,1219.82653061224,1288.0,355,3084,2188.8163265306102,2263.0,626,764-fliC-,Liquid,1
1,68,3.663075,5.6084776310850195,1.0715443046841,0.946414285606467,1240,853.337946943483,894.0,279,3444,2356.64244521338,2438.0,748,764-fliC-,Liquid,1
1,69,1.81675,2.9992388155425096,1.06874657841954,0.91,1798,1301.89069767442,1383.0,360,2855,1979.7534883720898,2120.0,600,764-fliC-,Liquid,1
1,70,1.9435,3.06189816806826,1.07476546718007,0.990050503762308,2215,1539.07173913043,1619.5,492,3602,2611.60869565217,2726.5,799,764-fliC-,Liquid,1
1,71,2.125175,3.3669343417595203,1.0772769705285201,0.9306583691129631,1508,1063.03578528827,1140.0,322,2750,2041.3339960238602,2131.0,425,764-fliC-,Liquid,1
1,72,2.311075,3.41190862827352,1.02943128249481,1.0174109297624,2089,1419.9451553930498,1494.0,345,3425,2345.3345521023803,2424.0,769,764-fliC-,Liquid,1
1,73,2.378675,3.92309703885628,1.09592160539516,0.8840955830678041,554,360.559502664298,374.0,97,2903,2112.3179396092396,2172.0,657,764-fliC-,Liquid,1
1,74,2.201225,3.41616269709676,1.06725775199068,0.946414285606467,1434,1014.0690978886801,1073.0,328,3259,2284.2994241842603,2400.0,634,764-fliC-,Liquid,1
1,75,2.336425,3.42731493398826,1.0583754760153499,0.946414285606467,3168,2232.94032549729,2299.0,756,3270,2261.0886075949397,2332.0,654,764-fliC-,Liquid,1
1,79,2.1463,3.1088477631085003,1.01670601290957,0.946414285606467,3355,2246.74212598425,2307.0,726,3215,2227.98228346457,2318.5,552,764-fliC-,Liquid,1
