Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,2.7716,3.93190862827352,1.0533306817108299,1.0660792653456899,1062,676.2591463414631,728.0,98,689,427.185975609756,445.0,114,WT-Px2,Liquid,1
1,2,2.2646,3.2884414573937595,1.06045105674237,1.0174109297624,895,549.554104477612,572.5,115,374,217.865671641791,223.5,44,WT-Px2,Liquid,1
1,3,3.587025,4.98731493398826,1.04316931632588,1.0090713552569,1084,756.4770318021201,784.0,113,589,354.83745583038905,365.0,67,WT-Px2,Liquid,1
1,5,3.164525,4.62694480196478,1.10511950586079,1.02774023955472,994,613.202937249666,656.0,95,448,276.283044058745,284.0,90,WT-Px2,Liquid,1
1,8,3.20255,4.4111265234055095,1.07167715215815,1.07200746266059,952,606.646437994723,657.0,115,483,287.054089709763,299.0,72,WT-Px2,Liquid,1
1,9,3.5659,5.386553749530769,1.07109818872567,0.975,920,536.458530805687,591.5,110,1268,809.481042654028,836.5,186,WT-Px2,Liquid,1
1,14,4.0391,5.72923881554251,1.04458448759746,1.0090713552569,927,624.9738493723851,647.5,121,742,461.79079497908,481.0,104,WT-Px2,Liquid,1
1,15,2.995525,4.38228922050227,1.07682380155029,1.02774023955472,997,658.239774330042,699.0,76,539,323.523272214386,330.0,86,WT-Px2,Liquid,1
1,16,2.682875,3.6107354709715005,1.0680674528165999,1.0090713552569,1185,775.4409448818901,811.0,165,652,400.62834645669295,422.0,108,WT-Px2,Liquid,1
1,18,2.158975,3.07809703885628,1.0663886035897299,1.02774023955472,971,623.311154598826,668.0,98,439,278.438356164384,289.0,71,WT-Px2,Liquid,1
1,21,2.615275,3.5795575205940002,1.06596194854588,1.02774023955472,1203,786.066235864297,848.0,132,587,377.313408723748,391.0,110,WT-Px2,Liquid,1
1,22,2.463175,3.5377164466275297,1.0544902140144201,1.0174109297624,955,576.121783876501,636.0,94,484,309.608919382504,323.0,93,WT-Px2,Liquid,1
1,24,2.7378,3.5796194077712595,1.03448351520888,1.04,972,662.361111111111,693.0,115,493,320.898148148148,334.5,85,WT-Px2,Liquid,1
1,29,3.3631,4.8011265234055,1.06857921310694,0.946414285606467,764,519.422110552764,552.5,70,350,209.03140703517602,217.0,60,WT-Px2,Liquid,1
1,31,2.52655,3.7392492757477798,1.0808060680340799,1.0090713552569,1128,768.182274247492,812.0,143,608,386.79765886287595,402.5,115,WT-Px2,Liquid,1
1,32,3.063125,4.21846717087976,1.04554279246052,1.0090713552569,1229,815.558620689655,845.0,147,689,427.01103448275904,440.0,101,WT-Px2,Liquid,1
1,36,3.147625,4.34925973595304,1.05796668471339,1.07594144822105,1025,644.434899328859,692.0,111,499,332.820134228188,347.0,90,WT-Px2,Liquid,1
1,39,3.2786,4.45233585439879,1.06444186021972,1.0581233387464801,1178,764.842783505155,807.0,135,661,420.220360824742,432.5,112,WT-Px2,Liquid,1
1,40,2.79695,3.7680865786510096,1.07481979356883,1.0090713552569,916,614.521148036254,642.0,105,686,460.98489425981904,481.0,90,WT-Px2,Liquid,1
1,41,2.62795,3.7030865786510097,1.06753105299777,0.990050503762308,1029,647.3440514469451,679.0,183,917,644.594855305466,678.5,247,WT-Px2,Liquid,1
1,42,3.0758,4.5657097574855,1.0755619392374598,1.0090713552569,955,624.879120879121,653.5,132,441,284.32967032967,292.0,90,WT-Px2,Liquid,1
1,44,2.336425,3.1292388155425095,1.0669313226061,1.0090713552569,1144,760.28390596745,803.0,142,938,640.0452079566,670.0,204,WT-Px2,Liquid,1
1,45,2.10405,3.01643476825173,1.05225446794489,1.07594144822105,1087,712.180722891566,742.5,192,615,386.28112449799204,395.0,120,WT-Px2,Liquid,1
1,46,3.3293,4.62232539419352,1.0809448387420602,1.0090713552569,1041,677.0685279187819,724.0,128,499,307.519035532995,319.0,77,WT-Px2,Liquid,1
1,48,2.57725,3.60462986797652,1.08176926914207,1.0090713552569,1175,795.94262295082,842.0,171,622,416.077049180328,436.0,119,WT-Px2,Liquid,1
1,50,2.197,3.03263363903975,1.03095952452858,1.02774023955472,1166,749.2,789.5,124,541,348.10576923076894,362.5,98,WT-Px2,Liquid,1
1,54,1.795625,2.67423881554251,1.07343544978795,1.0090713552569,1272,845.4517647058819,875.0,201,570,366.204705882353,380.0,104,WT-Px2,Liquid,1
1,55,2.5181,3.4115432893255098,1.04222840475901,1.0090713552569,973,632.718120805369,685.0,144,504,314.402684563758,331.0,83,WT-Px2,Liquid,1
1,56,4.3433,6.173086578651009,1.04597190599802,1.0090713552569,1028,675.773346303502,702.0,110,444,292.62159533073896,304.0,73,WT-Px2,Liquid,1
1,57,3.99685,5.72079256507328,1.10421442503842,0.990050503762308,1143,731.3456659619451,762.5,129,677,423.68816067653296,436.0,137,WT-Px2,Liquid,1
1,61,2.091375,3.0084776310850203,1.07783671148814,1.02774023955472,1046,681.965656565657,708.0,129,955,599.593939393939,629.0,192,WT-Px2,Liquid,1
1,63,3.080025,4.44118361750729,1.0608793565362702,0.990050503762308,1077,695.131687242798,748.0,138,712,457.698216735254,476.0,118,WT-Px2,Liquid,1
1,69,3.25325,4.644629867976519,1.0973744028458101,1.0090713552569,1484,1009.5376623376599,1071.5,199,865,548.463636363636,572.5,142,WT-Px2,Liquid,1
1,70,3.5152,5.40232539419353,1.07657490619211,1.0090713552569,1218,826.0829326923081,859.0,109,596,393.22235576923106,404.0,123,WT-Px2,Liquid,1
1,76,3.249025,4.79878587593125,1.10771678922901,0.9921819389607941,1017,634.2210663198961,678.0,96,1007,645.317295188557,672.0,196,WT-Px2,Liquid,1
1,78,3.03355,4.43003138061579,1.04852813742386,1.02774023955472,1014,683.442896935933,711.0,152,594,378.03064066852403,390.0,120,WT-Px2,Liquid,1
1,80,2.7547,4.1734309971885,1.0627557135227201,0.946414285606467,913,573.676380368098,603.5,82,452,272.81748466257704,279.0,95,WT-Px2,Liquid,1
1,82,2.243475,3.0368877078629906,1.0593892806433298,1.0090713552569,1054,668.374764595104,714.0,133,562,350.38794726930297,369.0,103,WT-Px2,Liquid,1
1,84,3.485625,5.08847763108502,1.07531716468635,1.0090713552569,857,561.058181818182,574.0,202,423,262.689696969697,267.0,78,WT-Px2,Liquid,1
1,85,2.5688,3.5238582233137703,1.07802952550868,1.0174109297624,938,582.534539473684,637.0,98,438,260.422697368421,272.0,76,WT-Px2,Liquid,1
1,88,2.39135,3.42306086516502,1.0480224200589499,1.01533245786787,1021,629.962897526502,695.0,113,468,297.217314487633,307.0,92,WT-Px2,Liquid,1
1,89,3.35465,4.91578210486802,1.06771960496683,1.0090713552569,1146,729.474811083123,764.0,126,915,585.947103274559,598.0,176,WT-Px2,Liquid,1
1,90,2.116725,2.95001046020526,1.15314651383362,1.08181560351106,1047,662.654690618763,685.0,82,604,386.445109780439,399.0,131,WT-Px2,Liquid,1
1,91,3.72645,4.97382204962251,1.07519481603065,1.0174109297624,989,613.0147392290249,664.0,118,480,308.20068027210897,325.0,77,WT-Px2,Liquid,1
