Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,3,2.0086,3.773784937,1.0638191209999999,0.88,1573,1198.186747,1213.5,644,2290,1509.590361,1496.5,623,WT-alex,Solid,1
1,4,2.7346,4.127960313,1.03881347,1.088944443,1422,1044.097345,1060.0,518,2588,1942.2699120000002,1979.5,949,WT-alex,Solid,1
1,6,2.1659,3.368292872,1.068674834,1.083374358,1161,875.4134078,894.0,501,1526,1150.458101,1177.0,594,WT-alex,Solid,1
1,10,3.6179,5.527308741000001,1.0450260679999999,1.01414989,1256,910.6354515,924.0,451,4165,3044.337793,3161.0,1125,WT-alex,Solid,1
1,11,2.7225,4.560142853,1.10716349,1.01414989,1250,900.88,916.0,400,5167,3841.635556,3995.0,1436,WT-alex,Solid,1
1,12,2.2627,3.372253967,1.047218192,1.083374358,1287,979.8770053,998.0,550,3296,2494.743316,2556.0,1100,WT-alex,Solid,1
1,14,4.7069,7.39803174,1.082504855,1.01414989,1138,853.2236504000001,883.0,323,3928,3027.9820050000003,3130.0,1530,WT-alex,Solid,1
1,18,3.5211,5.163523805,1.081179546,1.1,1356,985.1134020999999,1002.0,475,5569,4092.7697590000002,4171.0,2060,WT-alex,Solid,1
1,21,1.9602,2.825387333,1.009015426,1.1,1322,963.9814815,976.0,468,3081,2135.938272,2179.5,887,WT-alex,Solid,1
1,22,2.0086,2.867817459,1.085352754,1.121784293,1201,938.0,966.0,597,2747,2081.9578309999997,2152.5,1277,WT-alex,Solid,1
1,27,2.4563,3.918292872,1.0759669509999998,1.01414989,1015,771.3940887,788.0,436,3826,2887.921182,2976.0,1508,WT-alex,Solid,1
1,29,2.2506,3.25901587,1.057447858,1.1,1210,860.6612902999999,870.0,419,2546,1770.446237,1797.5,829,WT-alex,Solid,1
1,31,2.6862,3.834983347,1.0643168459999999,1.189831921,1227,912.2432432,950.5,463,880,696.8243243,701.0,466,WT-alex,Solid,1
1,32,1.9723,2.848944443,1.0772769709999999,1.121784293,1195,923.6993865000001,922.0,602,1400,1052.159509,1072.0,689,WT-alex,Solid,1
2,1,3.8841,5.708944442999999,1.0485281370000001,1.01414989,1225,878.3831776000001,889.0,445,3932,2839.5919,2937.0,1022,WT-alex,Solid,1
2,2,2.8919,4.176761902,1.081348035,1.121784293,1466,1055.364017,1047.0,563,2558,1717.698745,1724.0,669,WT-alex,Solid,1
2,5,2.2627,3.846761902,1.082311746,1.01414989,1175,866.7700535,878.0,510,3918,2898.459893,3052.0,1236,WT-alex,Solid,1
2,7,3.3154,4.464331776,1.043384338,1.189831921,1191,847.6459854,864.0,370,757,556.0620438,571.0,313,WT-alex,Solid,1
2,10,7.2237,9.187855581,1.04867252,1.282809417,1279,865.5259631000001,893.0,400,2994,2035.7855949999998,2085.0,732,WT-alex,Solid,1
2,12,3.2428,4.651269837,1.0810185209999998,1.184736258,1186,840.4477612,858.0,321,3366,2327.022388,2390.5,688,WT-alex,Solid,1
2,13,2.178,3.3486968569999997,1.06245751,1.121784293,1319,921.9833332999999,949.0,405,4672,3449.838889,3577.0,1337,WT-alex,Solid,1
2,14,3.388,4.878364298,1.080713309,1.184736258,1342,937.2607142999999,949.0,433,1354,952.85,963.5,455,WT-alex,Solid,1
2,16,2.9645,4.484650788,1.028930686,1.01414989,1218,877.7632653,898.0,393,6346,4665.216327,4931.0,1984,WT-alex,Solid,1
2,17,2.42,3.380071427,1.079669128,1.121784293,253,213.51,213.0,184,337,291.45,292.0,241,WT-alex,Solid,1
2,18,3.2065,4.627817459,1.0436547459999999,1.01414989,1657,1200.3245279999999,1241.0,594,1893,1380.445283,1453.0,632,WT-alex,Solid,1
2,19,3.1097,4.824983347,1.07723603,1.083374358,1188,890.5836575999999,919.0,409,1610,1218.241245,1240.0,623,WT-alex,Solid,1
2,20,1.6093,2.48119841,1.09414365,1.189831921,301,240.7293233,238.0,200,357,285.5789474,283.0,224,WT-alex,Solid,1
2,23,2.2385,3.1066904760000003,1.03962597,1.01414989,1283,950.8486485999999,982.0,511,2700,1900.7351350000001,1948.0,1027,WT-alex,Solid,1
2,25,2.6499,4.332325394,1.081983017,1.01414989,1308,1045.242009,1057.0,705,6096,4790.8630140000005,4910.0,2630,WT-alex,Solid,1
2,26,2.8435,4.525634919,1.07343545,1.083374358,928,688.8680851,699.0,394,1164,845.9787233999999,859.0,533,WT-alex,Solid,1
2,28,2.2627,3.068944443,1.074648392,1.184736258,1364,946.7647059000001,973.0,445,3068,2043.3422460000002,2046.0,927,WT-alex,Solid,1
2,33,3.5211,4.943523805,1.073378734,1.189831921,1232,876.4810997000002,896.0,430,4071,2941.5120269999998,2982.0,1398,WT-alex,Solid,1
2,34,2.1901,3.4853873330000003,1.048057875,1.083374358,1071,783.6187845,822.0,361,3925,2971.486188,3019.0,1404,WT-alex,Solid,1
3,2,3.1218,4.536690476,1.028178321,1.01414989,1287,971.4883721000001,1004.0,461,7175,5391.48062,5530.5,2285,WT-alex,Solid,1
3,4,3.4727,5.352253967,1.031523247,1.01414989,1209,919.6376307,955.0,495,780,615.0836237000001,628.0,401,WT-alex,Solid,1
3,8,2.6862,3.782325394,1.081945828,1.184736258,1101,796.1441441000001,816.5,349,3874,2747.63964,2867.0,844,WT-alex,Solid,1
3,12,2.2022,3.5733809510000003,1.061814639,1.01414989,1235,933.5219779999999,954.0,406,3893,2984.032967,3105.5,983,WT-alex,Solid,1
3,13,2.1901,2.9016023960000004,1.07242648,1.229837388,1144,793.7292818,818.0,427,1340,958.0441989,975.0,493,WT-alex,Solid,1
3,15,3.2791,4.613523805,1.0564816890000002,1.121784293,1162,829.8745387,847.0,400,1817,1282.6383759999999,1312.0,472,WT-alex,Solid,1
3,16,2.2022,3.1561103310000003,1.013146638,1.1,1220,897.0219779999999,917.0,453,3519,2510.225275,2626.5,935,WT-alex,Solid,1
3,17,3.1944,4.586833329,1.066042598,1.184736258,1096,797.0606061000001,814.5,385,1950,1397.742424,1427.0,556,WT-alex,Solid,1
3,18,1.9844,3.019419855,1.039715294,1.083374358,210,182.42073169999998,182.0,160,287,242.27439019999997,242.0,206,WT-alex,Solid,1
3,22,2.4079,3.6723253939999996,1.081438982,1.01414989,971,714.9145728999999,732.0,406,3178,2375.2060300000003,2443.0,1072,WT-alex,Solid,1
3,24,2.8435,3.953523805,1.0165685420000001,1.189831921,1200,873.6638298,908.0,385,1686,1248.374468,1283.0,539,WT-alex,Solid,1
4,2,1.6456,2.59901587,1.012087346,1.1,196,168.19117649999998,168.0,141,225,196.73529409999998,195.5,169,WT-alex,Solid,1
4,3,2.8919,4.275706345,1.069053544,1.088944443,1239,915.8870293,946.0,465,1491,1106.430962,1138.0,461,WT-alex,Solid,1
4,8,2.7225,3.835706345,1.0561835929999999,1.1693160390000001,1606,1186.777778,1217.0,558,1664,1237.977778,1270.0,624,WT-alex,Solid,1
4,12,2.8072,4.438364298,1.045290797,1.1,1166,877.4913793,899.0,488,3386,2507.9698280000002,2565.0,1034,WT-alex,Solid,1
4,13,1.8029,2.556690476,1.04679589,1.083374358,1199,884.4630872000001,899.0,470,1896,1376.369128,1411.0,680,WT-alex,Solid,1
4,14,2.3837,3.350142853,1.047712889,1.132519316,1421,1032.548223,1058.0,494,4160,3053.335025,3143.0,1492,WT-alex,Solid,1
4,15,3.1097,4.783380951,1.0593569790000001,1.01414989,1269,921.0622568,942.0,550,2141,1642.610895,1673.0,810,WT-alex,Solid,1
4,16,2.1538,3.2433809510000002,1.066042598,1.01414989,1393,1055.719101,1093.5,459,2229,1679.3820219999998,1701.5,891,WT-alex,Solid,1
4,17,1.936,3.050071427,1.081769269,1.01414989,1339,1023.79375,1054.0,596,4118,3095.1,3220.0,1447,WT-alex,Solid,1
4,22,2.0691,3.1137849369999997,1.060854765,1.01414989,1335,1007.4736839999999,1023.0,565,1677,1239.590643,1275.0,705,WT-alex,Solid,1
4,23,2.42,3.5356349189999996,1.081057009,1.121784293,1403,1013.71,1059.5,494,3383,2378.595,2449.5,886,WT-alex,Solid,1
