Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,4.322175,6.04111127012477,1.0570943008159102,1.07594144822105,1612,1036.57673509286,1102.0,154,2310,1596.56793743891,1680.0,515,WT-lolo,Solid,1
1,2,3.0589,4.58233585439879,1.06753105299777,0.990050503762308,1439,960.53729281768,1015.5,147,2452,1714.1422651933701,1792.0,610,WT-lolo,Solid,1
1,3,3.2786,4.443097038856281,1.08228197051604,1.07200746266059,1517,1047.94716494845,1095.0,221,552,359.430412371134,371.5,106,WT-lolo,Solid,1
1,4,2.39135,3.3919448019647795,1.07373095311429,1.02774023955472,1731,1168.96466431095,1232.0,249,4109,2947.10954063604,3075.5,998,WT-lolo,Solid,1
1,5,3.1265,4.31537579915328,1.04219562015194,1.02774023955472,1426,910.2972972972971,928.0,167,944,582.1945945945951,599.0,146,WT-lolo,Solid,1
1,6,3.8701,5.28760792555376,1.03747814970287,1.04809350727881,1876,1256.26091703057,1305.5,255,2127,1417.77838427948,1490.5,340,WT-lolo,Solid,1
1,7,3.730675,4.85533962546202,1.0356692531306,1.0660792653456899,2309,1595.1993204982998,1690.0,378,2957,2144.5107587769,2298.0,632,WT-lolo,Solid,1
1,8,3.122275,4.449567980799269,1.02989187972952,1.01116269709676,1476,972.691474966171,1039.0,136,2143,1430.86468200271,1475.0,514,WT-lolo,Solid,1
1,9,3.55745,5.24810749906154,1.0773012250516898,1.0174109297624,1495,989.0368171021381,1047.5,184,3219,2286.0296912114,2397.5,843,WT-lolo,Solid,1
1,10,2.5519,3.56464032818179,1.0544323576559498,1.07594144822105,1207,841.995033112583,890.0,238,2678,1871.5529801324499,1974.5,737,WT-lolo,Solid,1
1,11,2.30685,3.36964032818178,1.04351239702553,1.0090713552569,1622,1066.8241758241802,1120.0,214,945,599.53663003663,627.0,205,WT-lolo,Solid,1
1,12,3.510975,4.6027269068328,1.041115798688,1.07594144822105,1924,1298.4572803850801,1388.0,234,1503,984.6462093862821,1052.0,255,WT-lolo,Solid,1
1,13,3.181425,4.541553749530769,1.07747723155648,0.975,1630,1091.2656042496699,1156.0,203,1500,985.760956175299,1033.0,273,WT-lolo,Solid,1
1,14,3.113825,4.23965078838705,1.01359419402607,0.975,1284,868.7801899592939,908.0,164,3815,2658.59294436906,2778.0,625,WT-lolo,Solid,1
1,15,2.640625,3.75040151263927,1.0823117459700502,1.0090713552569,1606,1067.3184,1163.0,209,2187,1585.6816,1662.0,596,WT-lolo,Solid,1
1,16,3.274375,4.6060646362282505,1.04187077782877,1.02774023955472,1692,1134.84516129032,1189.0,252,4930,3391.15096774194,3524.0,1038,WT-lolo,Solid,1
1,18,3.426475,4.79921310205652,1.0787029845018101,1.0090713552569,2366,1584.37854500617,1669.0,346,3476,2491.08508014797,2619.0,839,WT-lolo,Solid,1
1,19,2.209675,2.91421310205652,1.02265997334335,1.0660792653456899,1892,1276.83365200765,1358.0,328,1351,924.9139579349901,961.0,335,WT-lolo,Solid,1
1,20,2.84765,3.94768027293628,1.04464869156455,1.02774023955472,1673,1135.75667655786,1177.5,279,1572,1022.5756676557901,1075.0,292,WT-lolo,Solid,1
1,21,1.956175,2.72617315730203,1.05648168859887,1.02774023955472,1431,907.5269978401731,987.0,158,1065,678.10151187905,702.0,235,WT-lolo,Solid,1
1,24,2.6364,3.644557520594,1.06805064260635,1.04809350727881,1710,1127.14423076923,1191.5,285,3337,2261.0961538461497,2381.5,757,WT-lolo,Solid,1
1,25,2.564575,3.5799847467192696,1.04308916658352,1.0174109297624,1720,1112.89950576606,1167.0,213,1928,1321.0658978583199,1377.0,414,WT-lolo,Solid,1
1,26,3.6673,5.03918738857052,1.0343232435785,1.01533245786787,1463,988.1347926267281,1070.0,193,3143,2332.04838709677,2440.0,914,WT-lolo,Solid,1
1,27,3.6673,5.12734631460405,1.0403587899731601,1.0174109297624,1616,1066.4735023041499,1127.0,201,4016,2880.81105990783,3035.5,716,WT-lolo,Solid,1
1,28,2.9406,3.97609034971425,1.07582104465484,1.07200746266059,2432,1713.17672413793,1845.0,405,2471,1699.16235632184,1805.5,517,WT-lolo,Solid,1
1,29,2.1463,3.13577164466275,1.02435455066902,0.91,1460,936.32874015748,1017.5,205,3691,2700.00787401575,2825.0,1038,WT-lolo,Solid,1
1,32,4.11515,5.77925973595304,1.08043932256647,1.02774023955472,1724,1167.20123203285,1274.5,262,9627,7099.96406570842,7530.0,2174,WT-lolo,Solid,1
1,34,2.84765,3.94810749906154,1.0348585671695698,1.0660792653456899,1593,1052.0608308605301,1114.5,243,2394,1666.73590504451,1755.5,684,WT-lolo,Solid,1
1,35,2.23925,3.2619448019647796,1.06317720807539,1.02774023955472,1412,947.490566037736,1027.0,198,2006,1331.5773584905698,1391.0,397,WT-lolo,Solid,1
1,36,2.40825,3.2949742865140097,1.07830727753526,1.02774023955472,1386,873.373684210526,920.5,155,999,651.233333333333,684.5,149,WT-lolo,Solid,1
1,37,2.28995,3.4449381128227503,1.06553622762703,0.990050503762308,1517,969.2859778597791,1021.5,299,1908,1327.9889298893,1382.5,570,WT-lolo,Solid,1
1,38,3.99685,5.646919088478779,1.05820122539879,1.02774023955472,1734,1153.81078224101,1232.5,241,4261,3020.29175475687,3153.5,908,WT-lolo,Solid,1
1,39,3.3124,4.70118361750729,1.06871306441063,1.04,1549,1017.7346938775501,1116.5,206,1855,1322.65433673469,1384.0,487,WT-lolo,Solid,1
1,40,1.939275,2.8176698127310096,1.05603129844184,0.990050503762308,1886,1242.6644880174301,1338.0,244,3307,2331.94989106754,2434.0,876,WT-lolo,Solid,1
1,41,2.2308,3.2076698127310097,1.06951891491688,1.02774023955472,61,23.8333333333333,23.0,0,75,36.8598484848485,36.5,5,WT-lolo,Solid,1
1,42,1.93505,2.71650711563425,1.0744297531093498,1.04,1455,948.2772925764191,1033.5,197,1128,736.569868995633,767.5,258,WT-lolo,Solid,1
1,43,3.3969,4.81769073314154,1.01723008970706,0.975,1937,1267.44527363184,1343.0,299,2405,1632.6305970149301,1696.5,564,WT-lolo,Solid,1
1,44,2.4505,3.42959369428526,1.07145378629507,1.02774023955472,1548,1043.1258620689698,1093.5,330,4945,3461.1258620689696,3619.0,1122,WT-lolo,Solid,1
1,46,2.395575,3.4769086282735198,1.03153631068293,1.01533245786787,1539,1001.14814814815,1077.0,202,2556,1720.02116402116,1817.0,578,WT-lolo,Solid,1
1,47,2.446275,3.73690862827352,1.0452891267898001,0.9306583691129631,1103,730.341968911917,786.0,163,1785,1254.7530224525,1327.0,401,WT-lolo,Solid,1
1,48,2.69555,3.80190862827352,1.05910348937302,1.07594144822105,1863,1280.2868338558,1370.0,287,2742,1921.93887147335,2033.5,743,WT-lolo,Solid,1
1,49,1.8928,2.9314709419429903,1.07258348738897,0.946414285606467,1583,1062.14508928571,1113.0,322,1118,744.542410714286,781.0,228,WT-lolo,Solid,1
1,50,2.843425,4.0549485730280095,1.0344281807953701,1.01533245786787,1617,1121.94947994056,1171.0,347,6621,4863.022288261521,5090.0,1847,WT-lolo,Solid,1
1,51,2.032225,3.0061369836107703,1.0214532144313,0.975,1538,987.293139293139,1050.0,224,2403,1643.6403326403301,1720.0,681,WT-lolo,Solid,1
1,52,2.285725,3.26613698361077,1.04098165999071,1.01533245786787,1514,989.8890942698711,1031.0,276,4506,3101.38447319778,3238.0,980,WT-lolo,Solid,1
1,55,2.446275,3.42959369428526,1.07145378629507,1.02774023955472,2108,1441.88428324698,1539.0,417,5226,3731.5267702936103,3924.0,1158,WT-lolo,Solid,1
1,60,1.7407,2.67885822331377,1.12251312253135,0.990050503762308,1284,814.1966019417481,833.0,216,1798,1124.4927184466,1130.0,385,WT-lolo,Solid,1
