Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,2.8054,4.34925973595304,1.06545113051927,1.1627553482998898,1236,870.349397590361,907.0,253,885,631.740963855422,653.5,252,fliC-,Liquid,3
1,2,2.0618,3.10693434175952,1.07966912753363,1.07200746266059,1261,876.155737704918,921.0,282,1730,1274.52459016393,1327.0,583,fliC-,Liquid,3
1,3,2.3829,3.49139859456048,1.04068421161832,1.1627553482998898,1389,924.695035460993,949.0,272,1112,760.914893617021,790.0,244,fliC-,Liquid,3
1,4,1.7238,2.9861731573020296,1.06181463866535,1.04809350727881,1311,889.0980392156861,934.0,182,934,657.7647058823529,682.5,256,fliC-,Liquid,3
1,5,2.6533,4.0791664681599995,1.07626350438493,1.1627553482998898,1378,936.146496815287,1006.0,211,1300,949.1146496815289,1002.0,360,fliC-,Liquid,3
1,6,1.859,2.7838477631085,1.01857026770862,0.946414285606467,1177,810.627272727273,877.5,179,947,669.245454545455,702.0,237,fliC-,Liquid,3
1,7,1.7069,2.81539105243401,1.06181463866535,0.990050503762308,1422,1026.23762376238,1059.0,337,2094,1538.67326732673,1624.0,752,fliC-,Liquid,3
1,8,2.5181,4.25462986797652,1.07783671148814,1.07200746266059,1186,855.671140939597,877.0,235,1583,1159.7919463087198,1234.0,484,fliC-,Liquid,3
1,9,1.9097,2.9138477631085,1.01777700919844,0.946414285606467,1066,776.7079646017701,832.0,199,1276,939.5398230088499,961.0,452,fliC-,Liquid,3
1,10,2.6026,4.34002092041053,1.11220815515059,1.07200746266059,1272,903.2077922077921,918.0,344,433,287.525974025974,293.0,119,fliC-,Liquid,3
1,11,1.69,2.6538477631085,1.0194371770886,0.946414285606467,1273,912.58,962.5,203,1442,1046.69,1092.5,450,fliC-,Liquid,3
1,12,2.2139,3.44308657865101,1.09974145039248,1.07200746266059,1326,921.0610687022901,989.0,240,677,479.01526717557294,506.0,221,fliC-,Liquid,3
1,13,1.6055,2.81539105243401,1.08284271247462,0.946414285606467,1253,848.505263157895,923.0,163,956,716.5894736842099,756.0,297,fliC-,Liquid,3
1,14,1.8759,3.1914709419429905,1.07451452554357,1.07200746266059,1226,800.0810810810809,902.0,161,1001,721.810810810811,764.0,293,fliC-,Liquid,3
1,15,2.3322,3.68078210486802,1.07866638684783,1.07200746266059,1484,1038.1884057971001,1096.5,316,1379,1002.02898550725,1034.5,371,fliC-,Liquid,3
1,16,2.7378,4.28617315730203,1.0823117459700502,1.07200746266059,1355,967.185185185185,1009.0,322,1737,1245.07407407407,1318.0,397,fliC-,Liquid,3
1,17,2.1801,3.66771644662754,1.0686512826858698,1.04809350727881,1216,875.5193798449609,935.0,221,1412,1048.3643410852699,1108.0,415,fliC-,Liquid,3
1,18,2.3491,3.76617315730203,1.0965519715493102,1.07200746266059,1451,1034.57553956835,1074.0,263,2555,1904.07913669065,2007.0,809,fliC-,Liquid,3
