Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.2110000000000003,5.703107499061541,1.09778109477971,0.990050503762308,1678,1267.23157894737,1303.0,552,1218,873.673684210526,921.5,347,pilAT8V,Liquid,1
1,2,3.0082,4.69465078838705,1.04204970935704,1.10308657865101,1059,769.629213483146,806.5,321,1265,903.2640449438198,936.5,335,pilAT8V,Liquid,1
1,4,3.2448,4.69465078838705,1.0403187285783,1.19854077944808,2000,1442.96875,1469.5,612,1232,878.864583333333,909.5,258,pilAT8V,Liquid,1
1,5,2.9744,4.693796336136519,1.0637869290995798,1.10308657865101,2939,2194.72727272727,2273.5,950,1243,879.761363636364,904.0,273,pilAT8V,Liquid,1
1,6,2.9237,4.47840528370251,1.0970883005677199,1.1627553482998898,848,610.028901734104,639.0,162,1135,779.699421965318,831.0,238,pilAT8V,Liquid,1
1,12,3.0251,4.83771644662754,1.12715543156949,1.07200746266059,528,373.418994413408,383.0,191,1031,727.167597765363,758.0,241,pilAT8V,Liquid,1
1,13,2.8392,4.43762317883449,1.06621585489639,1.07200746266059,472,321.45238095238096,324.0,121,1029,714.630952380952,759.0,247,pilAT8V,Liquid,1
1,16,4.0053,6.03002092041053,1.2073475018045001,1.07200746266059,1491,1061.16455696203,1109.0,282,1215,817.084388185654,857.0,212,pilAT8V,Liquid,1
1,17,2.6364,4.326955262170049,1.04370695171425,1.04809350727881,2631,2003.59615384615,2090.5,1095,1260,917.2435897435901,934.5,363,pilAT8V,Liquid,1
1,18,2.366,3.66771644662754,1.0686512826858698,1.1627553482998898,566,405.46428571428595,424.0,164,1242,857.907142857143,927.5,283,pilAT8V,Liquid,1
1,20,2.3153,3.4830142312685,1.06913383707287,1.1627553482998898,705,493.84671532846704,521.0,143,1196,810.9416058394161,861.0,264,pilAT8V,Liquid,1
1,21,2.4843,4.08002092041053,1.07966912753363,1.07200746266059,1005,746.0816326530611,777.0,296,1164,817.7414965986391,867.0,279,pilAT8V,Liquid,1
1,22,3.2786,5.22303515167903,1.02883249938588,1.1183022847155402,587,416.938144329897,432.0,147,1276,896.2061855670099,960.5,261,pilAT8V,Liquid,1
1,23,2.5012,4.1422530468110095,1.05395040698039,1.04809350727881,917,650.635135135135,661.0,315,1016,752.0,787.0,224,pilAT8V,Liquid,1
1,24,2.9913,4.97610080991951,1.06781066442578,1.07200746266059,1392,1058.68361581921,1114.0,566,1129,814.435028248588,839.0,334,pilAT8V,Liquid,1
1,25,3.0927,5.17386868351903,1.08238983168196,1.07200746266059,429,302.032786885246,307.0,147,937,673.737704918033,691.0,284,pilAT8V,Liquid,1
1,26,3.4138,5.137644099245019,1.0623132996307099,1.1627553482998898,1291,856.70297029703,898.0,260,1172,781.90099009901,820.0,283,pilAT8V,Liquid,1
1,27,5.7291,7.720020920410531,1.0905931763896899,1.58151825787754,1048,624.53982300885,588.0,226,1327,839.985250737463,860.0,228,pilAT8V,Liquid,1
1,30,3.3631,5.183107499061539,1.08073147862217,1.1627553482998898,933,637.492462311558,663.0,195,1134,774.934673366834,813.0,235,pilAT8V,Liquid,1
1,37,3.2617,5.38925973595304,1.10716348965055,1.1183022847155402,1730,1192.31606217617,1249.0,456,1232,835.8601036269431,918.0,204,pilAT8V,Liquid,1
1,38,3.042,4.877644099245019,1.0479070052717,1.1183022847155402,2364,1720.7388888888902,1759.0,729,1315,933.783333333333,976.0,223,pilAT8V,Liquid,1
1,39,2.4505,3.55078210486802,1.07966912753363,1.19854077944808,427,288.66896551724096,302.0,72,1218,792.275862068965,850.0,255,pilAT8V,Liquid,1
1,41,2.7378,4.5684776310850195,1.0788733328908,1.07200746266059,726,521.5246913580249,533.5,237,1083,808.975308641975,851.0,245,pilAT8V,Liquid,1
1,42,2.5688,4.37156420973604,1.07145859782737,1.01533245786787,828,604.690789473684,622.0,332,1195,865.151315789474,885.0,270,pilAT8V,Liquid,1
1,43,3.3293,5.16462986797652,1.07060404539402,1.07200746266059,1041,705.680203045685,732.0,244,1449,937.111675126904,1023.0,230,pilAT8V,Liquid,1
1,47,3.1941,4.9769552621700495,1.06181463866535,1.10308657865101,1436,1019.3492063492099,1057.0,347,1206,812.47619047619,882.0,168,pilAT8V,Liquid,1
1,48,4.4447,6.91771644662753,1.4758687193749198,1.07200746266059,955,528.6539923954371,458.0,126,1269,848.520912547529,903.0,199,pilAT8V,Liquid,1
1,49,2.3829,3.46156420973604,1.04602372915257,1.19854077944808,1304,910.460992907801,952.0,345,1277,838.255319148936,896.0,185,pilAT8V,Liquid,1
1,52,5.2897,7.29465078838705,1.12023934814596,1.73441632833642,957,598.185303514377,594.0,224,1351,905.242811501597,964.0,245,pilAT8V,Liquid,1
1,53,2.9913,4.8907097574855,1.0770816387495301,1.07200746266059,827,586.378531073446,606.0,205,1293,912.525423728814,954.0,271,pilAT8V,Liquid,1
1,55,2.6702,4.16923881554251,1.06844217953173,0.946414285606467,998,704.835443037975,742.5,279,1038,661.689873417722,735.5,154,pilAT8V,Liquid,1
1,58,2.9237,4.30294188388598,1.06385992487671,1.1627553482998898,965,642.098265895954,658.0,223,1346,935.1734104046241,1020.0,194,pilAT8V,Liquid,1
1,59,2.8392,4.600020920410531,1.08225001847847,1.07200746266059,776,554.125,575.0,247,1467,1015.45238095238,1083.5,342,pilAT8V,Liquid,1
1,60,2.2477,3.8515642097360403,1.07118152222563,1.01533245786787,614,458.98496240601503,487.0,226,956,695.4360902255639,732.0,290,pilAT8V,Liquid,1
1,61,2.6533,4.30379633613652,1.03812077607089,1.10308657865101,937,658.127388535032,675.0,255,1116,726.484076433121,768.0,209,pilAT8V,Liquid,1
1,63,2.7716,4.698477631085019,1.0987532707338798,1.04809350727881,1349,992.987804878049,1017.0,426,1299,883.0548780487801,947.5,223,pilAT8V,Liquid,1
1,65,3.2786,4.6038477631085,1.01142193214792,1.07200746266059,499,352.278350515464,359.0,119,1233,804.231958762887,876.5,197,pilAT8V,Liquid,1
1,66,2.6195,3.87769552621701,1.02612908788971,0.946414285606467,2573,1925.9290322580603,2019.0,835,1376,925.851612903226,1020.0,242,pilAT8V,Liquid,1
1,70,2.7885,5.03080302527855,1.0567678010646,1.04809350727881,525,377.95757575757597,386.0,173,1101,784.654545454545,811.0,259,pilAT8V,Liquid,1
1,72,2.2984,3.2230142312685,1.0872194145671998,1.19854077944808,783,580.308823529412,607.5,247,1178,785.529411764706,844.5,208,pilAT8V,Liquid,1
1,73,2.6364,4.29923881554251,1.05319735644355,0.946414285606467,702,520.775641025641,533.0,237,1132,781.75,834.0,265,pilAT8V,Liquid,1
1,74,3.1603,5.021564209736041,1.07966912753363,1.07200746266059,899,631.524064171123,644.0,265,1193,788.101604278075,839.0,195,pilAT8V,Liquid,1
1,75,2.5012,4.24994857302802,1.04644260608802,1.04809350727881,1272,932.175675675676,965.0,476,1210,848.783783783784,889.5,277,pilAT8V,Liquid,1
1,76,2.3153,3.38541197284454,1.02301186457628,1.10308657865101,507,361.43795620438,374.0,129,1066,729.890510948905,805.0,202,pilAT8V,Liquid,1
1,79,3.6842,6.25379633613652,1.1792984301773402,1.01533245786787,831,598.619266055046,619.5,255,1090,765.348623853211,809.0,201,pilAT8V,Liquid,1
1,80,3.042,5.1608030252785495,1.0671018826184302,1.07200746266059,961,678.133333333333,700.5,295,1273,921.1055555555561,970.5,369,pilAT8V,Liquid,1
1,81,2.5012,4.00386868351903,1.1077626702141299,1.1627553482998898,735,521.594594594595,539.5,217,1303,934.439189189189,982.5,288,pilAT8V,Liquid,1
1,82,3.4814,5.5823463146040595,1.06392957383837,1.04809350727881,1801,1353.8446601941698,1402.5,646,1230,859.592233009709,935.0,221,pilAT8V,Liquid,1
1,85,2.4505,3.94916646816,1.07605117934717,1.07200746266059,1032,740.68275862069,776.0,328,1073,757.0965517241381,820.0,254,pilAT8V,Liquid,1
1,87,2.9237,4.38462986797652,1.07684967654196,1.07200746266059,864,606.3757225433529,620.0,244,1057,659.485549132948,716.0,209,pilAT8V,Liquid,1
1,89,2.366,3.69925973595304,1.03152354357099,1.10308657865101,906,681.45,703.5,266,1205,811.314285714286,854.0,250,pilAT8V,Liquid,1
1,90,3.1096,4.90462986797652,1.07269939685489,1.07200746266059,1167,815.119565217391,852.5,295,1324,855.2336956521741,931.0,285,pilAT8V,Liquid,1
1,92,3.0251,4.75232539419353,1.08033904827525,1.07200746266059,630,433.921787709497,441.0,158,1176,737.061452513967,771.0,210,pilAT8V,Liquid,1
1,94,3.2955,5.13849855149555,1.05302186642053,1.1183022847155402,562,393.425641025641,401.0,136,1198,817.815384615385,882.0,257,pilAT8V,Liquid,1
1,98,3.0082,4.814557520594009,1.08926640737421,1.07200746266059,452,305.932584269663,313.0,94,1090,706.404494382022,774.0,191,pilAT8V,Liquid,1
1,102,2.4674,4.200782104868019,1.07414401585808,0.990050503762308,425,310.14383561643797,316.0,153,1012,711.7054794520551,745.0,289,pilAT8V,Liquid,1
2,2,2.6871,3.93154328932551,1.03731401776285,1.07200746266059,581,403.528301886792,423.0,100,1170,851.62893081761,898.0,410,pilAT8V,Liquid,1
2,4,2.7209,4.78386868351903,1.08185540218042,1.07200746266059,1879,1394.53416149068,1422.0,629,1160,837.062111801242,894.0,318,pilAT8V,Liquid,1
2,8,2.4674,4.14693434175952,1.06927349966737,1.07200746266059,1341,974.431506849315,1021.0,382,1198,890.390410958904,934.5,362,pilAT8V,Liquid,1
2,10,2.366,3.5600209204105298,1.10246958200526,1.19854077944808,550,366.83571428571406,390.0,128,1134,812.2714285714289,850.0,311,pilAT8V,Liquid,1
2,11,2.3491,3.7653187050514902,1.07569558504449,1.07200746266059,585,418.56115107913695,434.0,162,1163,819.8129496402879,840.0,270,pilAT8V,Liquid,1
2,12,3.2786,5.380020920410531,1.0812392429733,1.07200746266059,1335,965.474226804124,994.0,436,1275,923.623711340206,954.5,363,pilAT8V,Liquid,1
2,16,3.2279,5.3521806994285,1.05704779565316,1.1183022847155402,819,588.664921465969,608.0,234,1115,765.848167539267,807.0,224,pilAT8V,Liquid,1
2,18,3.042,4.621470941942991,1.10608044339829,1.07200746266059,467,310.311111111111,325.0,104,1184,841.872222222222,885.5,317,pilAT8V,Liquid,1
2,20,4.4785,6.8823463146040496,1.5926195072640201,1.1627553482998898,885,566.441509433962,561.0,186,1402,902.935849056604,930.0,327,pilAT8V,Liquid,1
2,21,2.4336,3.76617315730203,1.07966912753363,1.19854077944808,916,647.4375,673.5,231,2391,1663.14583333333,1758.5,685,pilAT8V,Liquid,1
2,22,2.2984,3.95925973595304,1.04278824158896,1.01533245786787,521,376.21323529411796,385.5,157,1091,743.198529411765,766.0,310,pilAT8V,Liquid,1
2,25,2.2477,3.68078210486802,1.07866638684783,1.07200746266059,1375,1009.9774436090199,1063.0,418,1129,808.3157894736839,848.0,306,pilAT8V,Liquid,1
2,26,2.5012,3.83223212640048,1.04222973986874,0.946414285606467,870,629.222972972973,664.0,309,1206,863.344594594595,901.0,325,pilAT8V,Liquid,1
2,28,2.7378,4.47925973595304,1.06997471748395,1.10308657865101,1413,1050.97530864198,1069.0,514,1257,900.0493827160491,917.5,413,pilAT8V,Liquid,1
2,30,2.6533,4.263868683519029,1.0784241439593198,1.07200746266059,1538,1097.1847133758001,1157.0,314,1176,830.910828025478,866.0,313,pilAT8V,Liquid,1
2,34,2.4843,3.8515642097360403,1.057447857787,1.19854077944808,595,434.44217687074797,459.0,178,1009,723.30612244898,766.0,248,pilAT8V,Liquid,1
2,36,2.4505,4.29923881554251,1.05319735644355,0.946414285606467,603,474.924137931034,492.0,212,1250,945.193103448276,998.0,455,pilAT8V,Liquid,1
2,38,3.1603,5.1191664681599995,1.07333025195521,1.07200746266059,1091,784.882352941176,803.0,342,1102,801.7005347593581,844.0,345,pilAT8V,Liquid,1
