Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,3,1.956175,3.36650711563425,1.06771468650779,0.822192191643779,1889,1343.0561555075599,1386.0,441,3379,2317.77537796976,2379.0,833,pilAt8v-fliC-,Liquid,2
1,4,1.6393,2.56462986797652,1.0746483916862,1.0090713552569,1694,1123.16494845361,1154.5,338,3396,2183.81958762887,2287.0,603,pilAt8v-fliC-,Liquid,2
1,5,1.95195,2.91569929728024,1.07351287105557,0.946414285606467,1127,699.9502164502161,722.0,213,3512,2139.6991341991297,2257.5,512,pilAt8v-fliC-,Liquid,2
1,6,2.7209,4.33078210486802,1.07296230398034,0.946414285606467,2064,1416.2531055900597,1469.0,452,3053,2110.56055900621,2248.5,472,pilAt8v-fliC-,Liquid,2
1,7,2.18855,3.2634309971885003,1.07187160469142,0.946414285606467,1638,1119.35521235521,1174.5,387,3638,2475.5,2576.0,613,pilAt8v-fliC-,Liquid,2
1,9,2.18855,3.4157354709715,1.05479966815455,0.946414285606467,1609,1086.66409266409,1144.5,347,2802,2094.44980694981,2206.0,698,pilAt8v-fliC-,Liquid,2
1,10,2.066025,3.63155374953077,1.08225727308894,0.872066511224918,1765,1245.60736196319,1305.0,440,3397,2482.2842535787304,2549.0,856,pilAt8v-fliC-,Liquid,2
1,11,2.649075,4.4681074990615395,1.05405328318649,0.937443331620637,767,518.4417862838919,533.0,147,5660,3786.54226475279,3906.0,1174,pilAt8v-fliC-,Liquid,2
1,13,2.4336,3.80233585439879,1.04509776913262,0.937443331620637,2375,1612.75,1678.0,431,3491,2432.0295138888896,2515.0,734,pilAt8v-fliC-,Liquid,2
1,14,2.0618,2.9388582233137703,1.0820396094609999,1.04,3671,2485.03073770492,2541.5,933,2720,1775.9672131147502,1918.5,439,pilAt8v-fliC-,Liquid,2
1,15,2.2308,3.3218981680682598,1.07765123453712,1.0090713552569,1119,724.342803030303,743.5,251,2644,1693.83712121212,1817.0,414,pilAt8v-fliC-,Liquid,2
1,16,1.981525,2.8988686835190296,1.03049596896474,1.0174109297624,2387,1618.97228144989,1674.0,545,3039,1953.2942430703602,2073.0,373,pilAt8v-fliC-,Liquid,2
1,17,1.753375,2.84502092041053,1.04779034427738,0.937443331620637,1519,1034.16385542169,1080.0,355,3229,2225.6578313253,2326.0,790,pilAt8v-fliC-,Liquid,2
1,18,2.167425,3.58232539419352,1.08084894017939,0.872066511224918,2954,2080.62768031189,2225.0,763,3386,2367.17348927875,2394.0,854,pilAt8v-fliC-,Liquid,2
1,19,2.116725,3.2726698127310097,1.07100795611104,1.0090713552569,1010,640.1676646706591,660.0,178,3067,1958.3193612774498,2132.0,442,pilAt8v-fliC-,Liquid,2
1,20,1.787175,2.4899638263087405,1.04960905505674,0.975,2707,1945.0023640661898,2050.0,715,2566,1693.48936170213,1855.0,419,pilAt8v-fliC-,Liquid,2
1,21,1.9942,3.1826593525257496,1.0621780775757501,0.867208164168212,1332,902.533898305085,943.5,317,3436,2385.67584745763,2459.5,732,pilAt8v-fliC-,Liquid,2
1,23,2.589925,3.75693434175952,1.07330029708002,0.946414285606467,2404,1689.4013050571,1767.0,502,2818,1806.3523654159899,1970.0,376,pilAt8v-fliC-,Liquid,2
