Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,2.5519,4.40310749906155,1.0517839955886001,1.01533245786787,2002,1449.8410596026501,1525.0,269,3663,2700.54304635762,2787.0,1166,pilG-cpdA-fliC-,Liquid,4
1,2,3.5828,5.94462986797652,1.0884515747717098,0.946414285606467,2046,1389.1367924528302,1526.5,309,4720,3523.5141509434,3641.0,1630,pilG-cpdA-fliC-,Liquid,4
1,3,2.0618,3.53600754212647,1.06687405074048,1.07200746266059,2499,1708.1967213114801,1842.5,377,4464,3251.3688524590198,3451.5,1066,pilG-cpdA-fliC-,Liquid,4
1,4,2.2308,3.7253910524340097,1.04990590532474,0.946414285606467,1351,936.378787878788,1018.0,248,4363,3193.8484848484804,3345.5,1330,pilG-cpdA-fliC-,Liquid,4
1,5,3.4645,6.21004184082106,1.0689616913084101,0.937443331620637,1946,1380.74146341463,1456.0,298,9638,7223.268292682929,7456.0,3138,pilG-cpdA-fliC-,Liquid,4
1,6,2.7039999999999997,4.46078210486802,1.0717801881271,0.946414285606467,1614,1116.78125,1235.5,225,2076,1488.225,1546.0,640,pilG-cpdA-fliC-,Liquid,4
1,7,2.2477,4.1107097574855,1.0708169058089,0.990050503762308,2167,1430.9774436090197,1591.0,302,9205,7087.045112781959,7508.0,3517,pilG-cpdA-fliC-,Liquid,4
1,8,2.2477,3.69840528370251,1.04581601654119,1.04809350727881,2034,1422.6616541353399,1489.0,299,1921,1387.82706766917,1452.0,576,pilG-cpdA-fliC-,Liquid,4
1,9,2.0449,3.2676231788344903,1.07373803283463,1.07200746266059,2283,1647.35537190083,1761.0,373,2447,1852.8347107438,1935.0,882,pilG-cpdA-fliC-,Liquid,4
1,10,3.0589,5.2815642097360405,1.0811896094670999,0.990050503762308,2248,1567.7955801105,1718.0,330,7143,5321.016574585639,5551.0,2018,pilG-cpdA-fliC-,Liquid,4
1,11,3.0251,5.30386868351903,1.0823117459700502,0.990050503762308,1974,1443.29608938547,1532.0,285,5665,4359.79888268156,4508.0,2004,pilG-cpdA-fliC-,Liquid,4
1,12,3.1265,5.09303515167903,1.02601700643125,1.01533245786787,2137,1515.18918918919,1603.0,299,6809,4923.621621621621,5142.0,2168,pilG-cpdA-fliC-,Liquid,4
1,13,2.1294,3.7215642097360404,1.05954823920362,1.01533245786787,2029,1236.22222222222,1325.5,231,8823,6459.34126984127,6920.5,3033,pilG-cpdA-fliC-,Liquid,4
1,14,2.9575,5.08847763108502,1.07531716468635,0.990050503762308,2298,1688.1542857142902,1815.0,441,1381,1013.37714285714,1033.0,391,pilG-cpdA-fliC-,Liquid,4
1,15,2.9744,4.856194077712559,1.01518069504997,1.01533245786787,2086,1379.61931818182,1471.5,416,6211,4625.94318181818,4759.0,1475,pilG-cpdA-fliC-,Liquid,4
1,16,2.6026,4.42455752059401,1.07147220622083,0.990050503762308,2048,1433.81168831169,1580.0,291,4413,3291.0,3375.5,1408,pilG-cpdA-fliC-,Liquid,4
1,17,1.8928,3.16078210486802,1.08194582775902,0.990050503762308,2002,1411.27678571429,1481.0,277,849,614.6875,634.0,247,pilG-cpdA-fliC-,Liquid,4
1,19,1.8928,3.0438477631085004,1.01704844576215,0.946414285606467,2035,1411.36607142857,1520.0,319,6346,4592.58928571429,4611.5,2083,pilG-cpdA-fliC-,Liquid,4
1,20,2.4674,4.196955262170049,1.03658547818659,1.01533245786787,1867,1344.56849315068,1404.5,339,10324,7715.8082191780795,8027.0,3432,pilG-cpdA-fliC-,Liquid,4
1,21,3.4645,5.6584985514955495,1.07976979385873,1.04809350727881,2825,2044.7512195122001,2154.0,440,4443,3254.37073170732,3349.0,1339,pilG-cpdA-fliC-,Liquid,4
1,22,2.7547,4.28063741010299,1.02849730402597,1.04809350727881,2469,1832.8282208589,1888.0,385,8967,6629.83435582822,6921.0,2370,pilG-cpdA-fliC-,Liquid,4
1,23,3.2279,5.37619407771256,1.03843661857109,1.01533245786787,2359,1748.4502617801002,1828.0,345,5905,4454.50785340314,4656.0,1937,pilG-cpdA-fliC-,Liquid,4
1,24,2.2646,3.38838436329198,1.0351533397550299,0.946414285606467,1790,1147.02985074627,1257.5,275,4231,2961.08208955224,3001.5,952,pilG-cpdA-fliC-,Liquid,4
1,25,2.6364,4.514629867976519,1.07583319079416,0.990050503762308,1880,1195.08333333333,1296.5,273,9132,6836.012820512819,7051.0,3101,pilG-cpdA-fliC-,Liquid,4
1,26,2.7378,4.81541197284454,1.09468042616618,1.04809350727881,1867,1332.81481481481,1384.0,251,10104,7601.2037037037,7911.5,3287,pilG-cpdA-fliC-,Liquid,4
1,27,3.5659,5.675391052434009,1.0382723976928,0.946414285606467,2307,1645.28436018957,1740.0,463,15856,11395.7867298578,11746.0,3391,pilG-cpdA-fliC-,Liquid,4
1,28,2.3491,3.8831074990615497,1.03000198914099,1.01533245786787,2241,1672.35971223022,1774.0,485,6885,4998.4676258992795,5120.0,2059,pilG-cpdA-fliC-,Liquid,4
1,29,2.5181,4.08925973595304,1.0591733660533,1.01533245786787,3296,2416.4228187919502,2576.0,534,7925,5998.409395973149,6321.0,2365,pilG-cpdA-fliC-,Liquid,4
1,30,2.5012,4.04847763108502,1.08161107731271,1.07200746266059,1707,1091.0472972973,1178.0,263,5544,4098.70945945946,4256.0,1806,pilG-cpdA-fliC-,Liquid,4
1,31,2.5857,4.22308657865101,1.06181463866535,0.946414285606467,2090,1499.2091503268,1586.0,385,5547,4203.84967320261,4383.0,1934,pilG-cpdA-fliC-,Liquid,4
