Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,2.197,3.6975508314519705,1.05633531088202,1.04809350727881,983,697.784615384615,739.0,249,6697,4963.55384615385,5109.0,2138,pilG-cpdA-fliC-,Liquid,2
1,5,1.8928,2.8868619943769995,1.04451204702074,1.1627553482998898,1558,1062.65178571429,1089.0,353,1045,720.133928571429,734.5,279,pilG-cpdA-fliC-,Liquid,2
1,6,1.6731,2.6538477631085,1.0194371770886,0.946414285606467,1058,699.5858585858591,772.0,178,1721,1164.08080808081,1203.0,364,pilG-cpdA-fliC-,Liquid,2
1,7,2.4167,4.066955262170049,1.02862050233377,1.01533245786787,1154,793.6223776223779,825.0,227,4151,2996.06293706294,3118.0,1344,pilG-cpdA-fliC-,Liquid,2
1,8,1.6731,2.47,1.0,0.91,1264,825.4242424242419,842.0,293,1157,761.3030303030299,806.0,325,pilG-cpdA-fliC-,Liquid,2
1,9,2.3153,3.90541197284454,1.05038098032057,1.04809350727881,1153,825.56204379562,846.0,237,1906,1318.1094890510901,1367.0,432,pilG-cpdA-fliC-,Liquid,2
1,11,1.8421,2.7392388155425094,1.07248911335735,1.07200746266059,1136,764.0917431192661,792.0,203,1118,770.1743119266051,783.0,311,pilG-cpdA-fliC-,Liquid,2
1,12,2.5012,4.40310749906155,1.06417049509793,1.01533245786787,1087,776.459459459459,800.5,273,1719,1199.5472972973,1240.0,462,pilG-cpdA-fliC-,Liquid,2
1,13,1.9266,3.6454119728445398,1.03786731044288,1.01533245786787,759,524.912280701754,558.0,132,3028,2234.7543859649104,2297.0,897,pilG-cpdA-fliC-,Liquid,2
1,15,1.7745,3.45232539419353,1.09796990765225,0.946414285606467,1016,699.12380952381,701.0,179,775,543.733333333333,556.0,182,pilG-cpdA-fliC-,Liquid,2
1,16,3.2617,6.003889603929559,1.05126133441492,1.01533245786787,1335,907.4715025906739,935.0,229,7994,5739.12435233161,5906.0,2158,pilG-cpdA-fliC-,Liquid,2
1,18,2.0449,3.78847763108502,1.0823117459700502,0.946414285606467,921,644.6446280991739,680.0,178,4261,3137.9586776859496,3280.0,1404,pilG-cpdA-fliC-,Liquid,2
1,20,2.5012,4.28531870505149,1.07459536377012,1.07200746266059,1117,739.466216216216,765.5,252,726,471.304054054054,478.0,183,pilG-cpdA-fliC-,Liquid,2
