Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,1.5379,2.53223212640048,1.05638129708301,0.946414285606467,942,645.131868131868,654.0,248,354,243.373626373626,255.0,90,pilG-cyaB-fliC-,Liquid,3
1,2,1.5717,2.577695526217,1.03786731044288,0.946414285606467,1081,694.462365591398,697.0,219,396,260.247311827957,268.0,86,pilG-cyaB-fliC-,Liquid,3
1,3,1.6562,2.9760798895089797,1.06049414355842,0.946414285606467,877,582.908163265306,636.5,156,290,184.214285714286,183.5,79,pilG-cyaB-fliC-,Liquid,3
1,4,1.4703,2.53223212640048,1.05638129708301,0.946414285606467,848,562.252873563218,620.0,191,305,207.252873563218,208.0,104,pilG-cyaB-fliC-,Liquid,3
1,7,1.4703,2.71693434175952,1.0821348285430998,0.990050503762308,800,572.827586206897,578.0,221,256,172.494252873563,178.0,83,pilG-cyaB-fliC-,Liquid,3
1,9,1.4703,2.5015432893255096,1.0544902140144201,0.946414285606467,752,493.70114942528704,533.0,126,235,151.183908045977,154.0,65,pilG-cyaB-fliC-,Liquid,3
1,10,1.859,3.30002092041053,1.23717829701426,1.07200746266059,1031,716.663636363636,759.5,221,299,192.009090909091,199.5,67,pilG-cyaB-fliC-,Liquid,3
1,11,1.5548,2.6176231788344904,1.07170787670781,1.04809350727881,1230,840.978260869565,872.0,277,395,271.423913043478,275.5,119,pilG-cyaB-fliC-,Liquid,3
1,12,1.8421,3.0530865786510097,1.07531716468635,1.07200746266059,1060,721.1467889908259,748.0,286,287,193.137614678899,207.0,49,pilG-cyaB-fliC-,Liquid,3
1,13,2.1463,3.28154328932551,1.04365474598587,0.990050503762308,933,674.275590551181,706.0,271,320,222.889763779528,233.0,83,pilG-cyaB-fliC-,Liquid,3
1,14,1.6393,2.8561731573020297,1.05583786490281,1.01533245786787,728,493.0,506.0,129,319,201.340206185567,212.0,57,pilG-cyaB-fliC-,Liquid,3
1,15,1.9773,3.31308657865101,1.0721738456350798,1.04,923,638.153846153846,669.0,214,326,208.13675213675202,217.0,70,pilG-cyaB-fliC-,Liquid,3
1,17,1.8252,3.0614709419429906,1.0737773805486601,1.01533245786787,810,577.083333333333,594.5,222,341,234.175925925926,245.0,88,pilG-cyaB-fliC-,Liquid,3
1,18,2.873,5.05310749906155,1.06905354398685,1.01533245786787,1183,821.835294117647,855.0,215,343,224.470588235294,227.0,89,pilG-cyaB-fliC-,Liquid,3
1,19,1.7576,2.7707821048680197,1.0820396094609999,1.28035151423349,924,609.721153846154,621.5,197,406,254.0,260.5,95,pilG-cyaB-fliC-,Liquid,3
1,20,1.5886,2.72531870505149,1.0629164882775302,1.04809350727881,1242,844.712765957447,846.5,357,411,252.148936170213,257.0,88,pilG-cyaB-fliC-,Liquid,3
1,21,1.9942,3.12838436329198,1.0374940538424302,0.946414285606467,1085,759.762711864407,790.5,304,350,235.22881355932202,247.5,93,pilG-cyaB-fliC-,Liquid,3
1,23,2.0618,3.78847763108502,1.0823117459700502,0.990050503762308,874,604.44262295082,651.5,208,309,217.885245901639,218.5,101,pilG-cyaB-fliC-,Liquid,3
1,24,1.7576,2.9630142312685,1.0744448490678,1.1627553482998898,963,673.201923076923,679.5,235,269,179.461538461538,186.5,56,pilG-cyaB-fliC-,Liquid,3
1,25,1.7238,2.92308657865101,1.07684967654196,1.07200746266059,1063,674.578431372549,722.5,214,317,205.73529411764702,209.5,87,pilG-cyaB-fliC-,Liquid,3
1,26,1.3519999999999999,2.1338477631084998,1.02389051060595,0.946414285606467,899,609.2,613.5,268,248,164.2625,170.0,65,pilG-cyaB-fliC-,Liquid,3
1,27,1.7745,2.7838477631085,1.01857026770862,0.946414285606467,1005,708.247619047619,745.0,261,300,206.0,218.0,68,pilG-cyaB-fliC-,Liquid,3
1,28,2.9575,5.09771644662754,1.08176926914207,1.01533245786787,1150,772.342857142857,805.0,223,339,226.41714285714298,237.0,84,pilG-cyaB-fliC-,Liquid,3
1,29,1.4365,2.77831201590946,1.0619648769706,0.946414285606467,1089,716.6705882352941,788.0,229,296,205.75294117647098,214.0,83,pilG-cyaB-fliC-,Liquid,3
1,30,1.6393,3.08462986797652,1.08190012004355,0.946414285606467,999,681.268041237113,684.0,172,265,183.67010309278402,194.0,76,pilG-cyaB-fliC-,Liquid,3
1,31,1.5886,2.92308657865101,1.07684967654196,0.990050503762308,1126,751.531914893617,789.0,243,341,209.606382978723,216.5,66,pilG-cyaB-fliC-,Liquid,3
1,32,1.9773,3.4969343417595202,1.07597979746447,0.946414285606467,861,592.623931623932,607.0,154,359,221.22222222222197,228.0,85,pilG-cyaB-fliC-,Liquid,3
1,34,1.5548,2.5553910524340098,1.06604259790424,1.04,963,671.6521739130429,697.0,211,296,201.913043478261,205.5,63,pilG-cyaB-fliC-,Liquid,3
1,36,1.6055,2.76154328932551,1.05038098032057,0.946414285606467,847,582.768421052632,614.0,182,397,259.452631578947,261.0,115,pilG-cyaB-fliC-,Liquid,3
1,37,2.1294,3.7430142312685,1.0730300335725,1.04809350727881,804,532.650793650794,565.0,161,289,199.35714285714297,204.0,74,pilG-cyaB-fliC-,Liquid,3
1,39,1.9942,3.3761731573020297,1.07375061921325,1.07200746266059,1098,750.8305084745759,785.0,217,434,304.85593220339,319.5,95,pilG-cyaB-fliC-,Liquid,3
1,40,1.6562,2.9861731573020296,1.0804443868003701,1.01533245786787,1435,966.8979591836729,995.5,446,353,246.65306122449,251.0,125,pilG-cyaB-fliC-,Liquid,3
1,41,2.4843,4.16923881554251,1.0544902140144201,1.07200746266059,920,608.006802721088,613.0,170,289,165.08843537415,171.0,46,pilG-cyaB-fliC-,Liquid,3
1,42,2.1125,3.77455752059401,1.05739444067773,1.04809350727881,1170,851.992,877.0,321,368,255.632,265.0,99,pilG-cyaB-fliC-,Liquid,3
1,43,1.4534,2.4653187050514904,1.05193289957676,1.04809350727881,1006,674.03488372093,705.5,235,422,285.918604651163,295.0,102,pilG-cyaB-fliC-,Liquid,3
1,44,1.3689,2.19607988950898,1.06840221146758,1.1627553482998898,1022,681.8395061728389,697.0,238,271,174.333333333333,186.0,58,pilG-cyaB-fliC-,Liquid,3
1,45,1.7576,3.2230142312685,1.06296611645523,0.990050503762308,837,565.942307692308,592.5,225,324,210.68269230769198,216.0,88,pilG-cyaB-fliC-,Liquid,3
1,46,1.859,3.227695526217,1.03094432229408,0.946414285606467,837,524.563636363636,579.0,166,277,173.7,180.5,70,pilG-cyaB-fliC-,Liquid,3
1,47,1.7745,2.96769552621701,1.0333943403580799,0.946414285606467,960,696.133333333333,718.0,235,287,192.75238095238097,198.0,85,pilG-cyaB-fliC-,Liquid,3
