Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.6871,5.35771644662753,1.0823117459700502,0.872066511224918,7787,6221.88050314465,6412.0,2948,722,524.320754716981,567.0,68,pilH-,Liquid,1
1,2,2.8054,4.48308657865102,1.05920699754198,0.946414285606467,9165,6856.325301204821,7167.5,2225,965,679.313253012048,733.0,113,pilH-,Liquid,1
1,5,2.3829,4.039238815542509,1.05583786490281,0.946414285606467,9971,7890.120567375891,8275.0,3443,833,589.829787234043,645.0,82,pilH-,Liquid,1
1,6,2.9237,5.15539105243401,1.03786731044288,0.946414285606467,10676,8549.31213872832,8818.0,3865,981,705.28901734104,773.0,118,pilH-,Liquid,1
1,7,2.9068,5.0391873885705305,1.03413918391986,1.01533245786787,9215,7162.691860465121,7466.0,2267,908,504.779069767442,497.5,80,pilH-,Liquid,1
1,8,2.3491,3.97232539419353,1.08236141971605,1.07200746266059,8336,5844.75539568345,6082.0,1221,937,494.719424460432,499.0,19,pilH-,Liquid,1
1,9,3.2955,5.55462986797652,1.06753105299777,0.990050503762308,10133,7539.68717948718,7863.0,2824,1020,727.5487179487179,806.0,53,pilH-,Liquid,1
1,12,2.535,4.056861994377,1.0735407331079698,1.01533245786787,11923,9051.28666666667,9500.0,3700,1039,556.94,574.0,81,pilH-,Liquid,1
1,13,2.3153,3.96308657865101,1.06459220434141,0.946414285606467,8134,6111.430656934311,6348.0,2718,966,642.335766423358,693.0,72,pilH-,Liquid,1
1,15,3.1434,4.95847763108502,1.07624261981353,0.990050503762308,10313,7559.102150537629,7856.5,2496,982,657.118279569892,748.5,41,pilH-,Liquid,1
1,16,2.5857,4.5676231788344905,1.06520321404718,0.946414285606467,11523,9227.712418300649,9551.0,5031,953,649.607843137255,711.0,117,pilH-,Liquid,1
1,18,2.8392,4.69465078838705,1.0368824888729302,1.01533245786787,8719,6654.06547619048,7014.0,2847,906,522.208333333333,562.5,61,pilH-,Liquid,1
1,21,3.9715,6.50158513014657,1.0527133285191999,1.1183022847155402,8019,5542.3914893617,5709.0,2200,829,510.574468085106,558.0,71,pilH-,Liquid,1
1,22,2.4167,3.77838436329198,1.03211048336502,0.990050503762308,8642,6465.874125874129,6760.0,2395,945,672.958041958042,710.0,120,pilH-,Liquid,1
1,23,3.0758,5.49695526217005,1.0810185208576302,1.01533245786787,8487,6478.906593406589,6778.5,2426,933,581.675824175824,676.5,56,pilH-,Liquid,1
1,24,3.1941,5.69769552621701,1.01926574708712,0.91,9920,7356.264550264549,7609.0,3006,911,649.9047619047619,690.0,59,pilH-,Liquid,1
