Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,2.0449,3.8831074990615497,1.0275612227030602,0.937443331620637,1995,1446.6363636363599,1529.0,324,21083,15661.851239669399,16319.0,6963,pilH-cpdA-fliC-,Liquid,2
1,2,2.7378,4.87308657865101,1.05560935858248,0.946414285606467,2699,2036.2962962963,2170.0,534,26470,20859.450617283997,21899.0,7577,pilH-cpdA-fliC-,Liquid,2
1,3,3.2279,5.70693434175952,1.0554471029397,0.946414285606467,1749,1292.26701570681,1339.0,318,24201,18333.2931937173,19217.0,7042,pilH-cpdA-fliC-,Liquid,2
1,5,1.7238,3.26847763108502,1.0809448387420602,0.946414285606467,1796,1313.3529411764698,1364.5,384,17242,12763.9215686275,13492.5,4316,pilH-cpdA-fliC-,Liquid,2
1,6,2.6702,4.7261940777125595,1.00792809537235,0.937443331620637,1610,1099.70886075949,1192.0,190,21455,15553.848101265801,15920.0,5646,pilH-cpdA-fliC-,Liquid,2
1,7,1.9773,3.7960075421264703,1.06909008199955,0.946414285606467,1707,1100.3418803418801,1224.0,266,19189,14380.495726495701,15030.0,6460,pilH-cpdA-fliC-,Liquid,2
1,8,1.9266,3.4422321264004805,1.04584611264519,0.872066511224918,1843,1132.35087719298,1197.5,255,21033,15585.333333333301,16262.5,6368,pilH-cpdA-fliC-,Liquid,2
1,9,2.9068,5.29462986797652,1.06956763273314,0.946414285606467,1768,1312.41860465116,1384.5,273,22884,17574.5872093023,18283.0,5877,pilH-cpdA-fliC-,Liquid,2
1,11,2.2984,4.08002092041053,1.07966912753363,0.946414285606467,1943,1403.7426470588198,1481.5,360,17862,12902.9852941176,13998.5,4680,pilH-cpdA-fliC-,Liquid,2
1,12,2.0449,3.99462986797652,1.07966912753363,0.83240615086627,1283,939.1074380165289,979.0,198,16974,12625.3801652893,13187.0,4272,pilH-cpdA-fliC-,Liquid,2
1,13,3.38,6.31773736703806,1.05423819954584,0.937443331620637,1825,1294.605,1382.5,300,25676,19265.025,20161.5,7791,pilH-cpdA-fliC-,Liquid,2
1,14,2.028,3.51,1.0,0.78,2146,1462.75,1587.0,444,21728,15984.5083333333,17029.5,5763,pilH-cpdA-fliC-,Liquid,2
1,15,1.8928,3.59156420973604,1.0464630391785699,0.937443331620637,1990,1352.14285714286,1445.0,267,23503,16888.7232142857,18160.0,5853,pilH-cpdA-fliC-,Liquid,2
1,16,1.7745,3.59539105243401,1.06059194555076,0.822192191643779,2116,1418.4380952381,1597.0,375,28675,21801.2952380952,22821.0,8998,pilH-cpdA-fliC-,Liquid,2
1,17,2.1801,4.16541197284454,1.05984293919473,0.990050503762308,1801,1302.48837209302,1382.0,282,20523,15077.891472868201,15967.0,5352,pilH-cpdA-fliC-,Liquid,2
1,18,2.0111,3.62693434175952,1.0746483916862,0.946414285606467,1981,1403.8487394958,1506.0,376,23427,17529.4285714286,18585.0,5817,pilH-cpdA-fliC-,Liquid,2
1,19,1.9773,4.11539105243401,1.04597190599802,0.822192191643779,1690,1270.62393162393,1397.0,493,21191,17531.6068376068,18087.0,9605,pilH-cpdA-fliC-,Liquid,2
1,20,2.3998,4.836007542126469,1.0694264765645,0.83240615086627,2299,1663.2676056338,1806.5,427,29197,22734.661971831,23978.0,9808,pilH-cpdA-fliC-,Liquid,2
1,21,3.2786,6.02916646816,1.09650029414876,0.872066511224918,1802,1190.23711340206,1270.5,293,24380,17939.5773195876,19025.5,8410,pilH-cpdA-fliC-,Liquid,2
1,22,2.7547,4.76539105243401,1.0456329283671701,0.990050503762308,2288,1488.7607361963198,1549.0,444,35105,24198.6748466258,24440.0,10944,pilH-cpdA-fliC-,Liquid,2
1,23,1.859,3.74386868351903,1.06956763273314,0.946414285606467,2129,1409.31818181818,1548.5,345,26999,20549.9,21642.0,7147,pilH-cpdA-fliC-,Liquid,2
1,24,1.8421,3.53771644662754,1.05449021401443,0.937443331620637,1741,1280.82568807339,1340.0,391,22583,16679.302752293603,17437.0,7856,pilH-cpdA-fliC-,Liquid,2
1,25,2.6195,4.86925973595304,1.08035716152586,0.990050503762308,1993,1464.0838709677403,1549.0,319,20280,15072.490322580601,15674.0,5845,pilH-cpdA-fliC-,Liquid,2
1,26,1.9266,3.5415432893255097,1.0470197358872901,0.822192191643779,1609,1174.5,1251.5,337,20935,15987.798245614,16534.5,6591,pilH-cpdA-fliC-,Liquid,2
1,27,2.2815,4.73925973595304,1.06808101583851,0.946414285606467,1835,1278.5111111111098,1342.0,301,24483,18297.9555555556,19186.0,8077,pilH-cpdA-fliC-,Liquid,2
1,28,2.1463,3.747695526217,1.0269701942148,0.946414285606467,1768,1187.4881889763801,1333.0,320,19795,14175.826771653501,14755.0,5092,pilH-cpdA-fliC-,Liquid,2
1,29,2.5012,4.99925973595304,1.0727802880608102,0.872066511224918,1988,1462.93918918919,1540.0,282,26124,19713.4594594595,20458.0,8114,pilH-cpdA-fliC-,Liquid,2
1,30,1.9266,3.6715432893255096,1.03962597048738,0.822192191643779,2178,1548.4912280701801,1651.0,284,31669,23213.421052631602,23858.0,8993,pilH-cpdA-fliC-,Liquid,2
1,32,2.8899,5.32531870505149,1.06878747069967,0.990050503762308,2121,1504.33918128655,1573.0,368,25025,18491.8011695906,19074.0,6125,pilH-cpdA-fliC-,Liquid,2
1,33,2.1801,4.46078210486802,1.0717801881271,0.83240615086627,1736,1255.27906976744,1327.0,329,20849,15821.3100775194,16352.0,6758,pilH-cpdA-fliC-,Liquid,2
