Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,0.561925,1.85992765261748,1.1087805018006,0.5515432893255071,1244,850.240601503759,938.0,200,417,284.09022556391005,295.0,80,pilT-pilA-fliC-,Liquid,1
1,2,0.8957,2.7638220496225094,1.07897403266798,0.5813776741499449,1171,843.4811320754719,881.0,161,406,257.268867924528,262.0,63,pilT-pilA-fliC-,Liquid,1
1,4,0.536575,1.7572787602970001,1.04758721281637,0.5813776741499449,1197,834.3464566929131,893.0,303,380,272.937007874016,281.0,101,pilT-pilA-fliC-,Liquid,1
1,6,0.85345,2.602278760297,1.11683469374841,0.559151142357771,1290,851.267326732673,925.0,177,440,297.277227722772,313.0,87,pilT-pilA-fliC-,Liquid,1
1,7,0.4732,1.5957354709715,1.09789938067689,0.536003731330296,1504,1048.58035714286,1116.5,276,502,360.955357142857,377.0,139,pilT-pilA-fliC-,Liquid,1
1,8,0.604175,1.79578210486802,1.0555893431085,0.559151142357771,1023,697.223776223776,788.0,156,543,366.48251748251704,382.0,141,pilT-pilA-fliC-,Liquid,1
1,10,0.494325,1.60269552621701,1.05618359319458,0.536003731330296,1262,903.8803418803419,961.0,370,470,336.564102564103,359.0,130,pilT-pilA-fliC-,Liquid,1
1,11,0.688675,2.17001046020527,1.0814389821505899,0.536003731330296,1332,932.687116564417,1006.0,255,396,265.42331288343604,281.0,82,pilT-pilA-fliC-,Liquid,1
1,12,0.7943,2.5038220496225096,1.0663133516886,0.5515432893255071,1361,949.989361702128,989.5,258,382,274.776595744681,286.0,123,pilT-pilA-fliC-,Liquid,1
1,14,0.68445,2.01961940777126,1.05583786490281,0.536003731330296,1746,1266.69135802469,1306.5,384,688,480.29012345679,498.0,160,pilT-pilA-fliC-,Liquid,1
1,16,0.697125,2.13612652340551,1.0579130128363101,0.559151142357771,1472,997.606060606061,1080.0,293,460,314.09696969697,329.0,100,pilT-pilA-fliC-,Liquid,1
1,17,0.6591,2.20069929728024,1.07877092508539,0.536003731330296,1443,1033.12820512821,1088.0,413,493,370.108974358974,387.0,159,pilT-pilA-fliC-,Liquid,1
1,18,0.705575,2.17882204962251,1.02666747255805,0.559151142357771,1312,927.820359281437,1010.0,190,451,322.341317365269,337.0,91,pilT-pilA-fliC-,Liquid,1
1,21,0.75205,2.4319238815542503,1.01082584451998,0.473207142803234,1331,949.5056179775281,973.5,380,450,317.466292134831,325.5,139,pilT-pilA-fliC-,Liquid,1
1,22,0.553475,1.73269552621701,1.05288244020121,0.536003731330296,1069,772.8625954198469,831.0,235,376,267.167938931298,273.0,101,pilT-pilA-fliC-,Liquid,1
1,23,0.5746,1.72154328932551,1.07060404539402,0.536003731330296,1066,691.264705882353,773.0,150,375,243.63970588235298,252.0,78,pilT-pilA-fliC-,Liquid,1
1,24,0.477425,1.45692388155425,1.01777700919844,0.536003731330296,1841,1308.87610619469,1373.0,271,609,423.309734513274,433.0,155,pilT-pilA-fliC-,Liquid,1
1,25,0.680225,2.0507354709715,1.07272458242069,0.536003731330296,1136,800.3664596273289,867.0,228,481,344.795031055901,359.0,116,pilT-pilA-fliC-,Liquid,1
1,26,0.59995,1.8896194077712603,1.0587058461144598,0.536003731330296,1381,1011.9929577464801,1054.5,247,358,264.598591549296,278.0,87,pilT-pilA-fliC-,Liquid,1
1,27,0.65065,1.81303994475449,1.05350113277062,0.536003731330296,1208,841.0584415584419,904.0,172,428,295.045454545455,304.0,112,pilT-pilA-fliC-,Liquid,1
1,30,0.511225,1.5688115894172499,1.0740184532782702,0.536003731330296,1157,815.826446280992,837.0,337,393,280.057851239669,297.0,120,pilT-pilA-fliC-,Liquid,1
1,31,0.7774,2.5107821048680203,1.09254833995939,0.536003731330296,1410,1003.46739130435,1048.5,318,457,316.913043478261,330.0,134,pilT-pilA-fliC-,Liquid,1
1,32,0.697125,2.16077164466275,1.03429721352147,0.473207142803234,1621,1066.0909090909101,1178.0,230,412,281.29696969697005,290.0,89,pilT-pilA-fliC-,Liquid,1
1,33,0.4901,1.4996194077712601,1.06874657841954,0.536003731330296,1267,925.465517241379,979.0,185,441,320.741379310345,336.5,95,pilT-pilA-fliC-,Liquid,1
1,35,0.8619,2.55077164466275,1.0323436728588,0.536003731330296,1336,955.313725490196,994.5,241,420,279.426470588235,286.5,98,pilT-pilA-fliC-,Liquid,1
1,37,0.44785,1.4657354709715,1.07258348738897,0.536003731330296,1140,812.990566037736,855.5,219,462,326.896226415094,336.0,166,pilT-pilA-fliC-,Liquid,1
1,38,0.51545,1.61846717087976,1.0785168470185,0.536003731330296,1727,1194.98360655738,1279.0,215,475,330.704918032787,345.5,104,pilT-pilA-fliC-,Liquid,1
