Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,2.9237,4.55455752059401,1.07306056937937,1.07200746266059,1348,841.416184971098,924.0,146,536,368.11560693641604,387.0,118,pilTU-fliC-,Liquid,3
1,2,1.9942,3.46156420973604,1.0444132220709101,1.04809350727881,1253,853.110169491525,912.0,245,1178,867.9237288135589,901.0,419,pilTU-fliC-,Liquid,3
1,3,2.3829,4.1338686835190295,1.07684967654196,1.07200746266059,1213,835.4255319148939,909.0,207,865,627.574468085106,659.0,262,pilTU-fliC-,Liquid,3
1,4,2.5688,3.747695526217,1.0269701942148,1.07200746266059,1089,693.473684210526,778.0,141,536,369.92105263157896,391.0,109,pilTU-fliC-,Liquid,3
1,5,2.1632,3.1775508314519705,1.03567038273177,1.19854077944808,1607,1078.921875,1156.5,209,664,454.4296875,458.0,141,pilTU-fliC-,Liquid,3
1,6,2.873,4.16,1.0,1.04,1328,895.017647058824,995.5,204,580,388.670588235294,403.5,104,pilTU-fliC-,Liquid,3
1,7,2.3829,3.4338477631085,1.01518069504997,1.07200746266059,1500,1055.39007092199,1112.0,305,958,701.9219858156031,735.0,225,pilTU-fliC-,Liquid,3
1,8,2.9575,4.55923881554251,1.0507669241002902,1.07200746266059,1523,1066.05714285714,1157.0,291,660,460.828571428571,485.0,123,pilTU-fliC-,Liquid,3
1,9,1.7238,2.93232539419353,1.06927349966737,1.07200746266059,1225,791.0980392156861,888.5,127,524,372.52941176470597,391.5,148,pilTU-fliC-,Liquid,3
1,11,3.0251,5.07541197284454,1.07744617690898,1.07200746266059,1376,893.5418994413409,974.0,149,510,386.128491620112,402.0,105,pilTU-fliC-,Liquid,3
1,12,1.8421,3.016861994377,1.05813128108379,1.1183022847155402,1320,870.550458715596,956.0,207,590,417.91743119266096,439.0,164,pilTU-fliC-,Liquid,3
1,13,2.0449,3.1515432893255095,1.04517445537336,0.946414285606467,1171,831.8925619834711,901.0,181,1027,760.347107438017,778.0,285,pilTU-fliC-,Liquid,3
1,14,2.366,3.4922530468110096,1.02640100089504,1.1183022847155402,1271,840.4571428571429,895.0,171,1079,774.9,806.0,222,pilTU-fliC-,Liquid,3
1,15,3.4645,5.26764409924502,1.05865452985745,1.04809350727881,1180,782.624390243902,875.0,149,565,404.53170731707297,421.0,165,pilTU-fliC-,Liquid,3
1,16,3.8025,6.11073067789603,1.05504148160978,1.1183022847155402,1234,833.888888888889,903.0,175,591,421.862222222222,437.0,124,pilTU-fliC-,Liquid,3
1,17,1.9266,3.28154328932551,1.05086488177865,0.946414285606467,1179,729.640350877193,779.5,167,1122,816.491228070175,827.5,357,pilTU-fliC-,Liquid,3
1,18,1.9773,3.2991664681599997,1.0705149075586,1.07200746266059,1264,916.273504273504,961.0,285,568,416.923076923077,440.0,157,pilTU-fliC-,Liquid,3
1,21,1.8759,3.16078210486802,1.08194582775902,1.07200746266059,1340,800.477477477477,845.0,157,916,658.009009009009,681.0,260,pilTU-fliC-,Liquid,3
1,22,1.8083,2.7838477631085,1.01857026770862,1.07200746266059,1405,960.8691588785049,1003.0,192,578,398.897196261682,417.0,186,pilTU-fliC-,Liquid,3
1,25,2.2139,3.6130142312685,1.07131895198086,1.07200746266059,1305,927.7022900763361,1014.0,257,510,359.465648854962,374.0,156,pilTU-fliC-,Liquid,3
1,26,1.8928,2.90078210486802,1.0823738475359599,1.1627553482998898,1386,929.910714285714,995.0,203,765,535.142857142857,559.0,198,pilTU-fliC-,Liquid,3
1,27,2.7885,4.63156420973604,1.15408523981683,1.04809350727881,3576,2587.73939393939,2829.0,523,810,619.866666666667,656.0,293,pilTU-fliC-,Liquid,3
1,28,2.9068,4.79693434175952,1.06298441789051,0.990050503762308,1248,869.53488372093,935.0,139,704,507.58720930232596,525.0,245,pilTU-fliC-,Liquid,3
1,29,2.0449,3.46539105243401,1.05288244020121,0.946414285606467,1174,897.1239669421491,938.0,388,1507,1130.35537190083,1173.0,500,pilTU-fliC-,Liquid,3
1,30,2.5012,4.3623253941935305,1.08190012004355,0.990050503762308,1438,1001.7905405405401,1041.0,201,588,417.317567567568,430.5,126,pilTU-fliC-,Liquid,3
1,31,2.4674,4.02617315730203,1.08153896502846,1.07200746266059,1411,883.739726027397,994.5,171,591,418.739726027397,440.0,179,pilTU-fliC-,Liquid,3
1,32,2.5688,3.9807097574855,1.0686748342018,1.07200746266059,1213,887.125,926.5,249,482,353.84868421052596,365.0,145,pilTU-fliC-,Liquid,3
1,33,1.9435,3.1515432893255095,1.04517445537336,0.946414285606467,1292,753.486956521739,760.0,221,948,611.660869565217,618.0,241,pilTU-fliC-,Liquid,3
1,34,2.3322,3.85909412077748,1.04432659548544,1.04809350727881,1316,886.7463768115939,948.5,223,630,456.55072463768096,480.0,192,pilTU-fliC-,Liquid,3
1,35,1.7914,2.6,1.0,0.91,1068,698.933962264151,772.0,161,584,416.575471698113,439.5,187,pilTU-fliC-,Liquid,3
1,36,3.1096,4.95465078838705,1.05664973766611,1.1627553482998898,1426,950.8260869565221,1007.5,316,490,322.66847826087,341.0,121,pilTU-fliC-,Liquid,3
1,37,1.9266,3.27771644662754,1.04154783370988,1.01533245786787,1398,998.043859649123,1059.5,290,758,548.868421052632,560.5,241,pilTU-fliC-,Liquid,3
1,38,2.2139,3.4115432893255098,1.04222840475901,1.07200746266059,1154,707.099236641221,760.0,167,624,457.49618320610705,484.0,197,pilTU-fliC-,Liquid,3
1,39,3.4138,5.6660284625370005,1.0570875035654301,1.01533245786787,1813,1257.09900990099,1380.5,339,798,573.3465346534649,593.5,252,pilTU-fliC-,Liquid,3
1,40,2.0787,3.16078210486802,1.08194582775902,1.07200746266059,1272,880.747967479675,934.0,135,572,409.08943089430903,423.0,140,pilTU-fliC-,Liquid,3
1,41,1.5041,2.3938477631085,1.02143678763816,0.946414285606467,1204,689.5056179775281,669.0,264,661,391.60674157303396,386.0,160,pilTU-fliC-,Liquid,3
1,42,3.2786,5.35771644662753,1.0823117459700502,1.07200746266059,1427,966.505154639175,1025.0,176,760,532.0051546391751,553.5,199,pilTU-fliC-,Liquid,3
1,43,2.7885,4.43762317883449,1.0920934117196501,1.07200746266059,1379,934.284848484848,1032.0,226,704,512.606060606061,522.0,207,pilTU-fliC-,Liquid,3
1,44,3.0589,4.4738477631085,1.0117452403587601,1.07200746266059,1312,925.685082872928,995.0,142,517,372.795580110497,389.0,125,pilTU-fliC-,Liquid,3
1,47,2.0787,3.30002092041053,1.08339585221192,1.1183022847155402,1345,964.073170731707,1015.0,347,495,341.0,353.0,162,pilTU-fliC-,Liquid,3
1,48,2.9068,4.76156420973604,1.0772769705285201,1.07200746266059,1183,826.3779069767439,873.5,248,527,360.372093023256,381.5,123,pilTU-fliC-,Liquid,3
1,49,2.5012,3.8191664681599997,1.07561245527133,1.07200746266059,1352,931.222972972973,1015.0,251,562,399.277027027027,411.5,179,pilTU-fliC-,Liquid,3
1,50,1.9266,3.2238686835190298,1.0507669241002902,1.04809350727881,1547,1030.35964912281,1129.5,229,624,446.570175438596,467.5,224,pilTU-fliC-,Liquid,3
1,52,2.535,4.08925973595304,1.05440229059816,1.01533245786787,1375,945.986666666667,1017.5,287,694,491.486666666667,507.0,169,pilTU-fliC-,Liquid,3
1,53,2.1463,3.50531870505149,1.0962420849366001,1.07200746266059,1469,965.6692913385831,1081.0,230,564,413.97637795275597,432.0,170,pilTU-fliC-,Liquid,3
1,54,3.6673,5.734650788387049,1.06706922074949,1.07200746266059,1312,848.8525345622121,938.0,158,836,583.004608294931,600.0,238,pilTU-fliC-,Liquid,3
1,55,2.5012,3.9045575205940097,1.0612365882545,1.1627553482998898,1464,1011.8851351351401,1120.5,282,577,407.621621621622,429.0,187,pilTU-fliC-,Liquid,3
1,56,2.9406,4.63156420973604,1.07567487113583,1.07200746266059,1380,917.919540229885,1021.5,195,720,502.666666666667,516.0,223,pilTU-fliC-,Liquid,3
1,57,2.1801,3.51541197284454,1.03320759381424,1.04809350727881,1258,887.7984496124029,930.0,280,943,664.8139534883719,695.0,245,pilTU-fliC-,Liquid,3
1,58,3.2617,5.290803025278549,1.0706421013651,1.04809350727881,1391,907.6424870466319,1001.0,185,798,559.476683937824,580.0,282,pilTU-fliC-,Liquid,3
1,59,1.9097,2.8014709419429904,1.07081700225212,1.10308657865101,1499,1011.7345132743401,1084.0,254,808,578.3628318584069,593.0,230,pilTU-fliC-,Liquid,3
1,60,2.3153,3.3892388155425097,1.06346103789448,1.07200746266059,1568,1060.43065693431,1197.0,212,989,728.751824817518,765.0,286,pilTU-fliC-,Liquid,3
1,61,2.2815,3.98156420973604,1.06181463866535,1.01533245786787,1169,869.859259259259,909.0,334,616,461.866666666667,488.0,201,pilTU-fliC-,Liquid,3
1,63,2.535,4.00386868351903,1.08822879906514,1.04809350727881,1395,917.713333333333,1031.0,165,599,427.813333333333,449.5,188,pilTU-fliC-,Liquid,3
1,65,1.8083,2.83769552621701,1.03476668459675,1.07200746266059,1432,999.672897196262,1086.0,297,634,447.897196261682,457.0,176,pilTU-fliC-,Liquid,3
1,66,2.0618,3.2007097574855,1.04321865341603,1.1183022847155402,1423,951.827868852459,1046.0,215,467,318.25409836065603,324.5,135,pilTU-fliC-,Liquid,3
1,67,2.3491,3.7253910524340097,1.04990590532474,1.07200746266059,1354,964.884892086331,1027.0,202,610,459.776978417266,480.0,224,pilTU-fliC-,Liquid,3
1,69,2.0111,3.5284776310850203,1.08222781927339,1.07200746266059,1284,909.361344537815,988.0,231,477,327.218487394958,339.0,125,pilTU-fliC-,Liquid,3
1,70,1.9604,3.20539105243401,1.0680069121986702,0.946414285606467,1573,1161.16379310345,1207.0,343,669,475.293103448276,496.0,184,pilTU-fliC-,Liquid,3
1,71,2.535,4.06154328932551,1.0362529801350502,0.946414285606467,1324,921.153333333333,990.5,157,769,570.226666666667,585.5,229,pilTU-fliC-,Liquid,3
1,72,3.5321,5.15539105243401,1.03786731044288,1.07200746266059,1261,800.693779904306,918.0,170,557,400.68899521531097,425.0,174,pilTU-fliC-,Liquid,3
1,73,1.8252,2.8915432893255097,1.04852813742386,0.990050503762308,1377,918.75,971.5,212,1017,693.388888888889,733.5,201,pilTU-fliC-,Liquid,3
1,75,2.1463,3.6130142312685,1.07131895198086,1.07200746266059,1301,886.543307086614,967.0,238,508,381.858267716535,398.0,192,pilTU-fliC-,Liquid,3
1,76,2.5688,4.17762317883449,1.06822225624484,0.990050503762308,1452,972.868421052632,1046.0,240,655,453.625,472.5,177,pilTU-fliC-,Liquid,3
1,78,2.0111,2.8915432893255097,1.04852813742386,1.07200746266059,1442,993.176470588235,1064.0,310,678,475.04201680672304,485.0,207,pilTU-fliC-,Liquid,3
1,79,2.1632,3.5823253941935302,1.08084894017939,1.04809350727881,1281,853.484375,939.5,204,628,436.8203125,450.0,194,pilTU-fliC-,Liquid,3
1,81,1.9773,3.27771644662754,1.04692128897954,1.04809350727881,1570,1093.88888888889,1223.0,214,484,351.34188034187997,360.0,155,pilTU-fliC-,Liquid,3
1,82,2.3998,3.8507097574855,1.06607751346144,1.07200746266059,1383,976.943661971831,1028.5,225,568,410.26760563380304,435.5,158,pilTU-fliC-,Liquid,3
