Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,2.3829,3.87769552621701,1.02612908788971,0.946414285606467,1684,1245.43262411348,1276.0,485,8444,6278.02836879433,6683.0,2682,pilG-cpdA-fliC-,Liquid,5
1,2,2.028,3.227695526217,1.0345177968644201,0.946414285606467,1721,1192.6416666666698,1197.0,483,4941,3589.9583333333294,3583.5,1164,pilG-cpdA-fliC-,Liquid,5
1,3,2.2815,3.6715432893255096,1.03962597048738,0.946414285606467,1597,1153.91851851852,1200.0,278,5129,3923.34074074074,4053.0,1797,pilG-cpdA-fliC-,Liquid,5
1,5,2.7039999999999997,4.93617315730203,1.08134803506587,0.990050503762308,2477,1664.89375,1830.0,385,6857,5034.64375,5147.0,2128,pilG-cpdA-fliC-,Liquid,5
1,6,2.4674,4.066955262170049,1.02862050233377,1.01533245786787,2112,1538.88356164384,1601.5,490,5278,3875.8287671232897,4038.0,1540,pilG-cpdA-fliC-,Liquid,5
1,7,2.1294,3.75693434175952,1.07330029708002,0.946414285606467,2320,1750.27777777778,1822.0,488,4503,3467.9841269841304,3630.0,1440,pilG-cpdA-fliC-,Liquid,5
1,8,2.1125,3.5730865786510098,1.06905354398685,0.946414285606467,2127,1523.0720000000001,1601.0,520,12407,9248.536,9565.0,3575,pilG-cpdA-fliC-,Liquid,5
1,9,2.3153,3.83308657865101,1.06604259790424,0.946414285606467,1960,1315.34306569343,1478.0,346,3474,2632.0437956204396,2723.0,955,pilG-cpdA-fliC-,Liquid,5
1,10,1.9097,3.30002092041053,1.0641851824526,1.04809350727881,1751,1193.8053097345098,1251.0,324,4237,3115.96460176991,3223.0,1376,pilG-cpdA-fliC-,Liquid,5
1,11,2.4336,3.98539105243401,1.0472181922649901,0.946414285606467,2349,1679.76388888889,1806.5,407,8304,6248.50694444444,6548.5,2196,pilG-cpdA-fliC-,Liquid,5
1,12,1.8421,2.8915432893255097,1.04852813742386,0.946414285606467,1442,994.2110091743119,1038.0,379,2898,2046.4678899082603,2134.0,742,pilG-cpdA-fliC-,Liquid,5
1,13,2.8899,4.949238815542509,1.0474749583133,0.946414285606467,1854,1369.07602339181,1443.0,399,8499,6444.50292397661,6619.0,2601,pilG-cpdA-fliC-,Liquid,5
