Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,2.5012,4.01607989,1.0497842309999998,0.946414286,1460,659.6351351,574.5,82,7886,5728.763514,6024.5,2188,pilG-cpdA-fliC-,Liquid,1
1,2,2.3322,3.9176231789999996,1.095295664,0.946414286,2237,823.0362319,560.0,100,18072,13617.99275,14388.5,4611,pilG-cpdA-fliC-,Liquid,1
1,3,4.1236,6.809166468,1.085340115,0.990050504,1809,703.8483607000001,504.0,96,4569,3326.004098,3523.5,1272,pilG-cpdA-fliC-,Liquid,1
1,4,2.6533,4.630709757,1.0759669509999998,0.990050504,1890,1243.980892,1393.0,66,4993,3728.133758,3933.0,1407,pilG-cpdA-fliC-,Liquid,1
1,5,2.8899,4.859166468,1.074547802,0.990050504,2607,1615.5614039999998,1818.0,99,19554,15135.46199,15772.0,5577,pilG-cpdA-fliC-,Liquid,1
1,6,4.2081,7.186955262000001,1.082342095,0.946414286,1853,813.9036145,666.0,67,13078,9589.674699,10097.0,3306,pilG-cpdA-fliC-,Liquid,1
1,7,2.7716,4.8246507880000005,1.042228405,1.015332458,1986,1067.664634,1114.5,91,13920,10566.51829,11126.5,4198,pilG-cpdA-fliC-,Liquid,1
1,8,2.2477,3.85156421,1.0656241229999999,1.015332458,2528,1208.9774439999999,1065.0,114,10572,7881.736842,8295.0,3232,pilG-cpdA-fliC-,Liquid,1
1,9,2.5012,4.4245575210000005,1.071472206,0.946414286,2392,1115.614865,973.5,77,19721,14048.439190000001,14863.0,3792,pilG-cpdA-fliC-,Liquid,1
1,10,2.9575,4.878498551,1.035643932,1.015332458,2463,1100.702857,891.0,105,12562,9187.525714,9504.0,4040,pilG-cpdA-fliC-,Liquid,1
